Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762358888,2025-11-05T16:08:08Z,BAW679,"41.264111,28.735535",0,0,70
1762359007,2025-11-05T16:10:07Z,BAW679,"41.264053,28.735334",0,0,67
1762359024,2025-11-05T16:10:24Z,BAW679,"41.263985,28.735132",0,0,73
1762359042,2025-11-05T16:10:42Z,BAW679,"41.263905,28.734928",0,2,92
1762359059,2025-11-05T16:10:59Z,BAW679,"41.263882,28.734726",0,2,112
1762359077,2025-11-05T16:11:17Z,BAW679,"41.263916,28.734507",0,0,137
1762359310,2025-11-05T16:15:10Z,BAW679,"41.263695,28.734507",0,4,160
1762359322,2025-11-05T16:15:22Z,BAW679,"41.263493,28.734604",0,4,160
1762359332,2025-11-05T16:15:32Z,BAW679,"41.263287,28.734694",0,5,163
1762359341,2025-11-05T16:15:41Z,BAW679,"41.263081,28.734787",0,5,163
1762359349,2025-11-05T16:15:49Z,BAW679,"41.262875,28.734879",0,7,160
1762359355,2025-11-05T16:15:55Z,BAW679,"41.262646,28.734976",0,8,163
1762359362,2025-11-05T16:16:02Z,BAW679,"41.262394,28.734955",0,9,182
1762359368,2025-11-05T16:16:08Z,BAW679,"41.262177,28.734726",0,10,216
1762359374,2025-11-05T16:16:14Z,BAW679,"41.2621,28.734398",0,9,250
1762359381,2025-11-05T16:16:21Z,BAW679,"41.262108,28.73407",0,8,267
1762359386,2025-11-05T16:16:26Z,BAW679,"41.262096,28.73381",0,8,270
1762359390,2025-11-05T16:16:30Z,BAW679,"41.2621,28.733603",0,7,270
1762359396,2025-11-05T16:16:36Z,BAW679,"41.2621,28.733353",0,7,270
1762359404,2025-11-05T16:16:44Z,BAW679,"41.262089,28.732994",0,8,270
1762359412,2025-11-05T16:16:52Z,BAW679,"41.262089,28.732588",0,9,270
1762359421,2025-11-05T16:17:01Z,BAW679,"41.262085,28.732056",0,10,270
1762359428,2025-11-05T16:17:08Z,BAW679,"41.262051,28.731598",0,10,261
1762359433,2025-11-05T16:17:13Z,BAW679,"41.261913,28.731339",0,9,236
1762359439,2025-11-05T16:17:19Z,BAW679,"41.261703,28.731199",0,8,210
1762359445,2025-11-05T16:17:25Z,BAW679,"41.26149,28.731201",0,8,185
1762359452,2025-11-05T16:17:32Z,BAW679,"41.261238,28.731199",0,8,180
1762359457,2025-11-05T16:17:37Z,BAW679,"41.261032,28.731201",0,9,180
1762359462,2025-11-05T16:17:42Z,BAW679,"41.260807,28.731199",0,10,180
1762359469,2025-11-05T16:17:49Z,BAW679,"41.260448,28.731215",0,12,180
1762359476,2025-11-05T16:17:56Z,BAW679,"41.260002,28.731232",0,13,180
1762359483,2025-11-05T16:18:03Z,BAW679,"41.259598,28.73123",0,14,180
1762359490,2025-11-05T16:18:10Z,BAW679,"41.259132,28.731245",0,15,180
1762359497,2025-11-05T16:18:17Z,BAW679,"41.258595,28.731247",0,16,180
1762359504,2025-11-05T16:18:24Z,BAW679,"41.258003,28.73126",0,18,180
1762359511,2025-11-05T16:18:31Z,BAW679,"41.257393,28.731277",0,17,180
1762359518,2025-11-05T16:18:38Z,BAW679,"41.256889,28.731277",0,15,180
1762359526,2025-11-05T16:18:46Z,BAW679,"41.256329,28.731293",0,15,180
1762359533,2025-11-05T16:18:53Z,BAW679,"41.255791,28.731308",0,16,180
1762359539,2025-11-05T16:18:59Z,BAW679,"41.255356,28.731308",0,14,180
1762359547,2025-11-05T16:19:07Z,BAW679,"41.254875,28.731308",0,15,180
1762359554,2025-11-05T16:19:14Z,BAW679,"41.254303,28.731339",0,15,177
1762359558,2025-11-05T16:19:18Z,BAW679,"41.25404,28.731339",0,14,180
1762359561,2025-11-05T16:19:21Z,BAW679,"41.253834,28.731339",0,13,180
1762359566,2025-11-05T16:19:26Z,BAW679,"41.253593,28.731293",0,11,188
1762359572,2025-11-05T16:19:32Z,BAW679,"41.253365,28.731018",0,12,225
1762359576,2025-11-05T16:19:36Z,BAW679,"41.2533,28.730684",0,13,253
1762359579,2025-11-05T16:19:39Z,BAW679,"41.2533,28.730434",0,14,267
1762359582,2025-11-05T16:19:42Z,BAW679,"41.2533,28.730169",0,14,270
1762359587,2025-11-05T16:19:47Z,BAW679,"41.253288,28.729733",0,15,270
1762359589,2025-11-05T16:19:49Z,BAW679,"41.253288,28.729498",0,15,270
1762359593,2025-11-05T16:19:53Z,BAW679,"41.253296,28.729156",0,15,270
1762359596,2025-11-05T16:19:56Z,BAW679,"41.253284,28.72879",0,15,270
1762359600,2025-11-05T16:20:00Z,BAW679,"41.253277,28.728514",0,15,270
1762359607,2025-11-05T16:20:07Z,BAW679,"41.253277,28.727859",0,15,270
1762359615,2025-11-05T16:20:15Z,BAW679,"41.253265,28.727125",0,15,270
1762359621,2025-11-05T16:20:21Z,BAW679,"41.253262,28.726517",0,15,270
1762359628,2025-11-05T16:20:28Z,BAW679,"41.253254,28.725924",0,15,270
1762359635,2025-11-05T16:20:35Z,BAW679,"41.253242,28.725285",0,15,270
1762359643,2025-11-05T16:20:43Z,BAW679,"41.253239,28.724518",0,16,270
1762359650,2025-11-05T16:20:50Z,BAW679,"41.253227,28.723785",0,16,270
1762359655,2025-11-05T16:20:55Z,BAW679,"41.253254,28.723288",0,16,275
1762359657,2025-11-05T16:20:57Z,BAW679,"41.253284,28.723083",0,16,281
1762359660,2025-11-05T16:21:00Z,BAW679,"41.253365,28.722809",0,17,289
1762359662,2025-11-05T16:21:02Z,BAW679,"41.253502,28.722549",0,17,303
1762359666,2025-11-05T16:21:06Z,BAW679,"41.253719,28.722319",0,16,320
1762359669,2025-11-05T16:21:09Z,BAW679,"41.253948,28.722183",0,16,334
1762359672,2025-11-05T16:21:12Z,BAW679,"41.254154,28.722122",0,16,348
1762359675,2025-11-05T16:21:15Z,BAW679,"41.254372,28.722101",0,15,354
1762359678,2025-11-05T16:21:18Z,BAW679,"41.254581,28.722101",0,13,357
1762359683,2025-11-05T16:21:23Z,BAW679,"41.254791,28.722101",0,8,357
1762359688,2025-11-05T16:21:28Z,BAW679,"41.255001,28.722092",0,7,357
1762359696,2025-11-05T16:21:36Z,BAW679,"41.255222,28.722086",0,6,357
1762359703,2025-11-05T16:21:43Z,BAW679,"41.255436,28.722092",0,8,357
1762359710,2025-11-05T16:21:50Z,BAW679,"41.255699,28.722076",0,7,357
1762359718,2025-11-05T16:21:58Z,BAW679,"41.255932,28.722069",0,6,357
1762359726,2025-11-05T16:22:06Z,BAW679,"41.256142,28.722054",0,7,357
1762359734,2025-11-05T16:22:14Z,BAW679,"41.25642,28.722054",0,9,357
1762359740,2025-11-05T16:22:20Z,BAW679,"41.25671,28.722054",0,11,357
1762359748,2025-11-05T16:22:28Z,BAW679,"41.257164,28.722054",0,13,2
1762359752,2025-11-05T16:22:32Z,BAW679,"41.25742,28.722086",0,14,5
1762359756,2025-11-05T16:22:36Z,BAW679,"41.257679,28.722132",0,14,5
1762359760,2025-11-05T16:22:40Z,BAW679,"41.257931,28.722183",0,14,8
1762359763,2025-11-05T16:22:43Z,BAW679,"41.258144,28.72221",0,13,8
1762359767,2025-11-05T16:22:47Z,BAW679,"41.258377,28.72226",0,12,8
1762359771,2025-11-05T16:22:51Z,BAW679,"41.258587,28.722288",0,11,8
1762359776,2025-11-05T16:22:56Z,BAW679,"41.25882,28.722334",0,10,8
1762359780,2025-11-05T16:23:00Z,BAW679,"41.259026,28.722366",0,10,8
