Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762153727,2025-11-03T07:08:47Z,BAW776F,"51.469803,-0.480132",0,3,270
1762153737,2025-11-03T07:08:57Z,BAW776F,"51.469814,-0.479928",0,3,272
1762153746,2025-11-03T07:09:06Z,BAW776F,"51.469814,-0.479705",0,3,270
1762153764,2025-11-03T07:09:24Z,BAW776F,"51.469795,-0.479431",0,3,264
1762153776,2025-11-03T07:09:36Z,BAW776F,"51.46978,-0.47913",0,0,247
1762153793,2025-11-03T07:09:53Z,BAW776F,"51.469795,-0.478897",0,0,222
1762153811,2025-11-03T07:10:11Z,BAW776F,"51.46986,-0.478685",0,1,185
1762153973,2025-11-03T07:12:53Z,BAW776F,"51.469631,-0.478703",0,2,182
1762153988,2025-11-03T07:13:08Z,BAW776F,"51.469425,-0.478685",0,4,180
1762153997,2025-11-03T07:13:17Z,BAW776F,"51.469223,-0.478687",0,5,180
1762154013,2025-11-03T07:13:33Z,BAW776F,"51.46875,-0.478685",0,7,180
1762154023,2025-11-03T07:13:43Z,BAW776F,"51.468456,-0.478687",0,7,180
1762154030,2025-11-03T07:13:50Z,BAW776F,"51.468212,-0.478687",0,7,180
1762154039,2025-11-03T07:13:59Z,BAW776F,"51.467945,-0.478687",0,6,180
1762154049,2025-11-03T07:14:09Z,BAW776F,"51.46772,-0.478685",0,4,180
1762154061,2025-11-03T07:14:21Z,BAW776F,"51.467491,-0.478687",0,3,180
1762154079,2025-11-03T07:14:39Z,BAW776F,"51.467247,-0.478687",0,4,180
1762154090,2025-11-03T07:14:50Z,BAW776F,"51.466919,-0.478668",0,7,180
1762154099,2025-11-03T07:14:59Z,BAW776F,"51.466644,-0.478462",0,8,151
1762154104,2025-11-03T07:15:04Z,BAW776F,"51.466572,-0.478249",0,9,129
1762154106,2025-11-03T07:15:06Z,BAW776F,"51.466541,-0.478017",0,9,109
1762154110,2025-11-03T07:15:10Z,BAW776F,"51.466549,-0.477772",0,9,95
1762154115,2025-11-03T07:15:15Z,BAW776F,"51.466553,-0.477386",0,9,90
1762154120,2025-11-03T07:15:20Z,BAW776F,"51.46656,-0.477104",0,9,90
