Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762241098,2025-11-04T07:24:58Z,BAW785,"59.643494,17.92886",0,0,33
1762241157,2025-11-04T07:25:57Z,BAW785,"59.643356,17.928658",0,2,33
1762241172,2025-11-04T07:26:12Z,BAW785,"59.643192,17.928455",0,3,39
1762241186,2025-11-04T07:26:26Z,BAW785,"59.64304,17.928244",0,3,56
1762241200,2025-11-04T07:26:40Z,BAW785,"59.642925,17.928007",0,2,87
1762241274,2025-11-04T07:27:54Z,BAW785,"59.641365,17.927147",0,1,87
1762241282,2025-11-04T07:28:02Z,BAW785,"59.642944,17.927925",0,0,87
1762241509,2025-11-04T07:31:49Z,BAW785,"59.642887,17.928131",0,4,109
1762241521,2025-11-04T07:32:01Z,BAW785,"59.64267,17.928177",0,5,171
1762241528,2025-11-04T07:32:08Z,BAW785,"59.642509,17.927971",0,6,205
1762241533,2025-11-04T07:32:13Z,BAW785,"59.642437,17.927746",0,7,227
1762241536,2025-11-04T07:32:16Z,BAW785,"59.642403,17.927509",0,7,244
1762241540,2025-11-04T07:32:20Z,BAW785,"59.642403,17.927273",0,7,261
1762241544,2025-11-04T07:32:24Z,BAW785,"59.642418,17.926987",0,8,275
1762241547,2025-11-04T07:32:27Z,BAW785,"59.642452,17.926735",0,8,284
1762241551,2025-11-04T07:32:31Z,BAW785,"59.642517,17.926468",0,9,289
1762241555,2025-11-04T07:32:35Z,BAW785,"59.642574,17.926207",0,9,295
1762241558,2025-11-04T07:32:38Z,BAW785,"59.642658,17.925888",0,10,295
1762241562,2025-11-04T07:32:42Z,BAW785,"59.642738,17.925613",0,11,298
1762241565,2025-11-04T07:32:45Z,BAW785,"59.642818,17.925283",0,11,298
1762241569,2025-11-04T07:32:49Z,BAW785,"59.64291,17.92495",0,12,298
1762241572,2025-11-04T07:32:52Z,BAW785,"59.642979,17.924698",0,12,298
1762241578,2025-11-04T07:32:58Z,BAW785,"59.643158,17.924028",0,13,298
1762241585,2025-11-04T07:33:05Z,BAW785,"59.643356,17.923246",0,13,295
1762241590,2025-11-04T07:33:10Z,BAW785,"59.643459,17.922844",0,11,298
1762241592,2025-11-04T07:33:12Z,BAW785,"59.643528,17.922615",0,12,298
1762241594,2025-11-04T07:33:14Z,BAW785,"59.643589,17.922396",0,10,298
1762241598,2025-11-04T07:33:18Z,BAW785,"59.643646,17.922134",0,10,295
1762241601,2025-11-04T07:33:21Z,BAW785,"59.643711,17.921883",0,11,298
1762241604,2025-11-04T07:33:24Z,BAW785,"59.64381,17.921543",0,11,298
1762241607,2025-11-04T07:33:27Z,BAW785,"59.643856,17.921329",0,10,295
1762241610,2025-11-04T07:33:30Z,BAW785,"59.643929,17.921036",0,11,298
1762241612,2025-11-04T07:33:32Z,BAW785,"59.643997,17.920809",0,12,298
1762241615,2025-11-04T07:33:35Z,BAW785,"59.644054,17.920595",0,13,298
1762241617,2025-11-04T07:33:37Z,BAW785,"59.644112,17.920359",0,11,298
1762241620,2025-11-04T07:33:40Z,BAW785,"59.644192,17.920097",0,9,298
1762241624,2025-11-04T07:33:44Z,BAW785,"59.644264,17.919838",0,10,300
1762241627,2025-11-04T07:33:47Z,BAW785,"59.644398,17.919617",0,11,320
1762241632,2025-11-04T07:33:52Z,BAW785,"59.644615,17.919525",0,12,348
1762241635,2025-11-04T07:33:55Z,BAW785,"59.644844,17.919571",0,13,5
1762241639,2025-11-04T07:33:59Z,BAW785,"59.645065,17.919672",0,14,11
1762241643,2025-11-04T07:34:03Z,BAW785,"59.645348,17.919777",0,15,11
1762241646,2025-11-04T07:34:06Z,BAW785,"59.645599,17.919868",0,16,11
1762241649,2025-11-04T07:34:09Z,BAW785,"59.645824,17.919933",0,17,11
1762241652,2025-11-04T07:34:12Z,BAW785,"59.646046,17.920027",0,18,11
1762241654,2025-11-04T07:34:14Z,BAW785,"59.646252,17.920097",0,19,11
1762241661,2025-11-04T07:34:21Z,BAW785,"59.64695,17.920349",0,21,11
1762241669,2025-11-04T07:34:29Z,BAW785,"59.647709,17.920643",0,23,11
1762241673,2025-11-04T07:34:33Z,BAW785,"59.648209,17.920809",0,21,11
1762241677,2025-11-04T07:34:37Z,BAW785,"59.648495,17.920921",0,18,11
1762241680,2025-11-04T07:34:40Z,BAW785,"59.648754,17.920998",0,15,11
1762241684,2025-11-04T07:34:44Z,BAW785,"59.648987,17.921093",0,15,11
1762241687,2025-11-04T07:34:47Z,BAW785,"59.649208,17.921186",0,15,11
1762241694,2025-11-04T07:34:54Z,BAW785,"59.649746,17.921377",0,17,11
1762241701,2025-11-04T07:35:01Z,BAW785,"59.650314,17.921566",0,16,11
1762241708,2025-11-04T07:35:08Z,BAW785,"59.650803,17.921755",0,16,11
1762241715,2025-11-04T07:35:15Z,BAW785,"59.651379,17.921951",0,18,11
1762241722,2025-11-04T07:35:22Z,BAW785,"59.651932,17.922157",0,19,11
1762241729,2025-11-04T07:35:29Z,BAW785,"59.652534,17.922386",0,18,11
1762241737,2025-11-04T07:35:37Z,BAW785,"59.653133,17.922607",0,15,11
1762241745,2025-11-04T07:35:45Z,BAW785,"59.653725,17.922821",0,18,11
1762241747,2025-11-04T07:35:47Z,BAW785,"59.653957,17.922892",0,16,11
1762241751,2025-11-04T07:35:51Z,BAW785,"59.654228,17.923004",0,15,11
1762241755,2025-11-04T07:35:55Z,BAW785,"59.654446,17.923073",0,13,11
1762241759,2025-11-04T07:35:59Z,BAW785,"59.654697,17.923164",0,11,11
1762241766,2025-11-04T07:36:06Z,BAW785,"59.655006,17.923279",0,9,11
1762241773,2025-11-04T07:36:13Z,BAW785,"59.655235,17.923347",0,6,8
1762241780,2025-11-04T07:36:20Z,BAW785,"59.655453,17.923416",0,7,8
1762241786,2025-11-04T07:36:26Z,BAW785,"59.65567,17.923508",0,9,11
1762241792,2025-11-04T07:36:32Z,BAW785,"59.655876,17.923576",0,7,11
1762241800,2025-11-04T07:36:40Z,BAW785,"59.656086,17.923649",0,5,11
1762241807,2025-11-04T07:36:47Z,BAW785,"59.656311,17.923737",0,8,11
1762241815,2025-11-04T07:36:55Z,BAW785,"59.656601,17.92384",0,10,11
1762241822,2025-11-04T07:37:02Z,BAW785,"59.656975,17.923988",0,12,11
1762241830,2025-11-04T07:37:10Z,BAW785,"59.657444,17.924149",0,13,11
1762241834,2025-11-04T07:37:14Z,BAW785,"59.657681,17.924242",0,10,11
1762241840,2025-11-04T07:37:20Z,BAW785,"59.657925,17.924332",0,9,11
1762241845,2025-11-04T07:37:25Z,BAW785,"59.658134,17.924408",0,10,11
1762241852,2025-11-04T07:37:32Z,BAW785,"59.658485,17.924538",0,11,11
1762241859,2025-11-04T07:37:39Z,BAW785,"59.658894,17.924692",0,13,11
1762241866,2025-11-04T07:37:46Z,BAW785,"59.659325,17.924833",0,14,11
1762241873,2025-11-04T07:37:53Z,BAW785,"59.659813,17.925018",0,15,11
1762241881,2025-11-04T07:38:01Z,BAW785,"59.660408,17.925224",0,17,11
1762241889,2025-11-04T07:38:09Z,BAW785,"59.661022,17.925449",0,18,11
1762241897,2025-11-04T07:38:17Z,BAW785,"59.661678,17.925682",0,19,11
1762241904,2025-11-04T07:38:24Z,BAW785,"59.662209,17.925875",0,12,11
1762241909,2025-11-04T07:38:29Z,BAW785,"59.662445,17.925957",0,11,11
1762241913,2025-11-04T07:38:33Z,BAW785,"59.662685,17.926041",0,12,11
1762241920,2025-11-04T07:38:40Z,BAW785,"59.663074,17.926186",0,12,11
1762241927,2025-11-04T07:38:47Z,BAW785,"59.663406,17.9263",0,11,8
1762241934,2025-11-04T07:38:54Z,BAW785,"59.663616,17.926395",0,5,8
1762241975,2025-11-04T07:39:35Z,BAW785,"59.663898,17.926483",0,6,8
1762241983,2025-11-04T07:39:43Z,BAW785,"59.664116,17.926552",0,8,8
1762241988,2025-11-04T07:39:48Z,BAW785,"59.664352,17.926586",0,9,2
1762241994,2025-11-04T07:39:54Z,BAW785,"59.664585,17.926552",0,9,354
1762242057,2025-11-04T07:40:57Z,BAW785,"59.664825,17.926414",0,0,345
1762242066,2025-11-04T07:41:06Z,BAW785,"59.665031,17.926277",0,7,340
1762242072,2025-11-04T07:41:12Z,BAW785,"59.665234,17.926136",0,8,340
1762242079,2025-11-04T07:41:19Z,BAW785,"59.665455,17.925957",0,6,340
1762242088,2025-11-04T07:41:28Z,BAW785,"59.665665,17.925829",0,5,340
1762242097,2025-11-04T07:41:37Z,BAW785,"59.66589,17.925659",0,6,340
1762242105,2025-11-04T07:41:45Z,BAW785,"59.666027,17.925453",0,3,326
1762242118,2025-11-04T07:41:58Z,BAW785,"59.666107,17.925247",0,3,312
1762242124,2025-11-04T07:42:04Z,BAW785,"59.666153,17.925041",0,5,300
1762242128,2025-11-04T07:42:08Z,BAW785,"59.666164,17.924835",0,5,286
1762242133,2025-11-04T07:42:13Z,BAW785,"59.666164,17.924549",0,7,272
1762242137,2025-11-04T07:42:17Z,BAW785,"59.66618,17.924265",0,8,272
1762242140,2025-11-04T07:42:20Z,BAW785,"59.66618,17.924053",0,8,272
1762242144,2025-11-04T07:42:24Z,BAW785,"59.666176,17.923851",0,6,267
1762242150,2025-11-04T07:42:30Z,BAW785,"59.666039,17.923622",0,6,225
1762242202,2025-11-04T07:43:22Z,BAW785,"59.66581,17.923576",0,0,191
1762242209,2025-11-04T07:43:29Z,BAW785,"59.665146,17.923347",0,33,188
1762242211,2025-11-04T07:43:31Z,BAW785,"59.664852,17.923223",0,43,191
1762242212,2025-11-04T07:43:32Z,BAW785,"59.664642,17.923164",0,48,191
1762242213,2025-11-04T07:43:33Z,BAW785,"59.664257,17.92301",0,53,191
1762242214,2025-11-04T07:43:34Z,BAW785,"59.663921,17.92289",0,63,191
1762242215,2025-11-04T07:43:35Z,BAW785,"59.663593,17.922773",0,68,191
1762242216,2025-11-04T07:43:36Z,BAW785,"59.663258,17.922661",0,72,188
1762242218,2025-11-04T07:43:38Z,BAW785,"59.662651,17.922441",0,78,188
1762242221,2025-11-04T07:43:41Z,BAW785,"59.661629,17.922112",300,92,190
1762242223,2025-11-04T07:43:43Z,BAW785,"59.660744,17.921732",300,101,190
1762242225,2025-11-04T07:43:45Z,BAW785,"59.659718,17.921352",300,109,190
1762242227,2025-11-04T07:43:47Z,BAW785,"59.658554,17.920975",300,118,190
1762242230,2025-11-04T07:43:50Z,BAW785,"59.657017,17.920406",275,126,190
1762242232,2025-11-04T07:43:52Z,BAW785,"59.655807,17.919983",250,137,190
1762242234,2025-11-04T07:43:54Z,BAW785,"59.654507,17.919458",250,143,190
1762242236,2025-11-04T07:43:56Z,BAW785,"59.652924,17.91889",325,147,190
1762242238,2025-11-04T07:43:58Z,BAW785,"59.651619,17.918417",375,148,190
1762242240,2025-11-04T07:44:00Z,BAW785,"59.650269,17.917849",475,147,190
1762242242,2025-11-04T07:44:02Z,BAW785,"59.648895,17.917328",575,144,191
1762242244,2025-11-04T07:44:04Z,BAW785,"59.647476,17.916807",675,142,191
1762242251,2025-11-04T07:44:11Z,BAW785,"59.643402,17.915131",1000,141,191
1762242260,2025-11-04T07:44:20Z,BAW785,"59.637817,17.912933",1500,136,191
1762242266,2025-11-04T07:44:26Z,BAW785,"59.633469,17.911194",1750,142,190
1762242273,2025-11-04T07:44:33Z,BAW785,"59.62944,17.909637",1925,148,191
1762242281,2025-11-04T07:44:41Z,BAW785,"59.62336,17.906958",2125,157,195
1762242283,2025-11-04T07:44:43Z,BAW785,"59.621964,17.90601",2150,162,201
1762242285,2025-11-04T07:44:45Z,BAW785,"59.620651,17.904877",2175,164,205
1762242288,2025-11-04T07:44:48Z,BAW785,"59.619034,17.90317",2225,165,206
1762242290,2025-11-04T07:44:50Z,BAW785,"59.617584,17.901489",2275,170,212
