Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762237466,2025-11-04T06:24:26Z,BAW82DM,"51.469421,-0.485916",0,0,0
1762237519,2025-11-04T06:25:19Z,BAW82DM,"51.469219,-0.485867",0,0,357
1762237545,2025-11-04T06:25:45Z,BAW82DM,"51.469017,-0.48584",0,0,30
1762237572,2025-11-04T06:26:12Z,BAW82DM,"51.468807,-0.485997",0,0,81
1762237589,2025-11-04T06:26:29Z,BAW82DM,"51.468784,-0.486201",0,0,95
1762237607,2025-11-04T06:26:47Z,BAW82DM,"51.468807,-0.486405",0,0,92
1762237622,2025-11-04T06:27:02Z,BAW82DM,"51.468819,-0.486609",0,0,87
1762237639,2025-11-04T06:27:19Z,BAW82DM,"51.468807,-0.486813",0,0,84
1762237654,2025-11-04T06:27:34Z,BAW82DM,"51.468796,-0.487022",0,0,90
1762237672,2025-11-04T06:27:52Z,BAW82DM,"51.468784,-0.48724",0,0,87
1762237692,2025-11-04T06:28:12Z,BAW82DM,"51.468784,-0.4875",0,0,90
1762237708,2025-11-04T06:28:28Z,BAW82DM,"51.468796,-0.487704",0,0,90
1762237725,2025-11-04T06:28:45Z,BAW82DM,"51.468784,-0.487908",0,0,90
1762237931,2025-11-04T06:32:11Z,BAW82DM,"51.468601,-0.487648",0,6,149
1762237939,2025-11-04T06:32:19Z,BAW82DM,"51.46833,-0.487652",0,6,177
1762237948,2025-11-04T06:32:28Z,BAW82DM,"51.468086,-0.487667",0,6,180
1762237957,2025-11-04T06:32:37Z,BAW82DM,"51.467857,-0.487667",0,5,180
1762237965,2025-11-04T06:32:45Z,BAW82DM,"51.467651,-0.487648",0,6,174
1762237973,2025-11-04T06:32:53Z,BAW82DM,"51.467434,-0.487388",0,7,137
1762237977,2025-11-04T06:32:57Z,BAW82DM,"51.467396,-0.487175",0,8,115
1762237980,2025-11-04T06:33:00Z,BAW82DM,"51.467411,-0.486965",0,9,92
1762237984,2025-11-04T06:33:04Z,BAW82DM,"51.467422,-0.486736",0,9,87
1762237987,2025-11-04T06:33:07Z,BAW82DM,"51.467422,-0.486507",0,9,87
1762237991,2025-11-04T06:33:11Z,BAW82DM,"51.467422,-0.486238",0,9,90
1762237996,2025-11-04T06:33:16Z,BAW82DM,"51.467434,-0.485935",0,8,90
1762238001,2025-11-04T06:33:21Z,BAW82DM,"51.467434,-0.485625",0,8,90
1762238009,2025-11-04T06:33:29Z,BAW82DM,"51.467434,-0.485328",0,7,90
1762238016,2025-11-04T06:33:36Z,BAW82DM,"51.467422,-0.484809",0,8,90
1762238023,2025-11-04T06:33:43Z,BAW82DM,"51.467422,-0.484382",0,9,90
1762238030,2025-11-04T06:33:50Z,BAW82DM,"51.467422,-0.484048",0,9,90
1762238047,2025-11-04T06:34:07Z,BAW82DM,"51.467434,-0.48273",0,10,90
1762238053,2025-11-04T06:34:13Z,BAW82DM,"51.467434,-0.482304",0,9,90
1762238063,2025-11-04T06:34:23Z,BAW82DM,"51.467434,-0.481691",0,7,90
1762238073,2025-11-04T06:34:33Z,BAW82DM,"51.467434,-0.481171",0,7,90
1762238080,2025-11-04T06:34:40Z,BAW82DM,"51.467434,-0.480843",0,6,90
1762238087,2025-11-04T06:34:47Z,BAW82DM,"51.467434,-0.480556",0,6,90
1762238097,2025-11-04T06:34:57Z,BAW82DM,"51.467434,-0.480188",0,4,90
1762238122,2025-11-04T06:35:22Z,BAW82DM,"51.467434,-0.479965",0,2,90
1762238130,2025-11-04T06:35:30Z,BAW82DM,"51.467445,-0.479761",0,4,90
1762238137,2025-11-04T06:35:37Z,BAW82DM,"51.467445,-0.47945",0,6,90
1762238147,2025-11-04T06:35:47Z,BAW82DM,"51.467445,-0.478926",0,8,90
1762238154,2025-11-04T06:35:54Z,BAW82DM,"51.467445,-0.478685",0,9,90
1762238160,2025-11-04T06:36:00Z,BAW82DM,"51.467445,-0.478109",0,9,90
1762238167,2025-11-04T06:36:07Z,BAW82DM,"51.467457,-0.477638",0,10,90
1762238174,2025-11-04T06:36:14Z,BAW82DM,"51.467457,-0.47707",0,11,90
