Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762522597,2025-11-07T13:36:37Z,BAW831,"53.425758,-6.246669",0,0,70
1762522643,2025-11-07T13:37:23Z,BAW831,"53.425686,-6.246879",0,2,70
1762522656,2025-11-07T13:37:36Z,BAW831,"53.425655,-6.24712",0,3,64
1762522670,2025-11-07T13:37:50Z,BAW831,"53.42561,-6.247356",0,3,50
1762522690,2025-11-07T13:38:10Z,BAW831,"53.425461,-6.247709",0,3,30
1762522710,2025-11-07T13:38:30Z,BAW831,"53.42527,-6.247929",0,2,8
1762522883,2025-11-07T13:41:23Z,BAW831,"53.42527,-6.248131",0,3,334
1762522898,2025-11-07T13:41:38Z,BAW831,"53.425529,-6.248337",0,6,334
1762522906,2025-11-07T13:41:46Z,BAW831,"53.425652,-6.248757",0,8,298
1762522916,2025-11-07T13:41:56Z,BAW831,"53.425518,-6.249396",0,9,253
1762522920,2025-11-07T13:42:00Z,BAW831,"53.425514,-6.249625",0,9,261
1762522924,2025-11-07T13:42:04Z,BAW831,"53.425575,-6.249926",0,10,286
1762522930,2025-11-07T13:42:10Z,BAW831,"53.42577,-6.250181",0,0,315
1762522934,2025-11-07T13:42:14Z,BAW831,"53.42598,-6.250312",0,10,334
1762522940,2025-11-07T13:42:20Z,BAW831,"53.42627,-6.250534",0,10,337
1762522949,2025-11-07T13:42:29Z,BAW831,"53.426525,-6.250716",0,10,337
1762522955,2025-11-07T13:42:35Z,BAW831,"53.42696,-6.251025",0,11,334
1762522965,2025-11-07T13:42:45Z,BAW831,"53.427189,-6.251672",0,11,286
1762522968,2025-11-07T13:42:48Z,BAW831,"53.427143,-6.251968",0,12,264
1762522972,2025-11-07T13:42:52Z,BAW831,"53.427002,-6.252271",0,12,239
1762522975,2025-11-07T13:42:55Z,BAW831,"53.426868,-6.252496",0,12,227
1762522980,2025-11-07T13:43:00Z,BAW831,"53.426678,-6.252816",0,13,225
1762522985,2025-11-07T13:43:05Z,BAW831,"53.426445,-6.253202",0,14,225
1762522991,2025-11-07T13:43:11Z,BAW831,"53.426296,-6.253457",0,14,225
