Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762156401,2025-11-03T07:53:21Z,BAW900,"51.472321,-0.485973",0,0,270
1762156461,2025-11-03T07:54:21Z,BAW900,"51.472332,-0.485725",0,0,270
1762156484,2025-11-03T07:54:44Z,BAW900,"51.472332,-0.485477",0,0,270
1762156502,2025-11-03T07:55:02Z,BAW900,"51.472332,-0.485273",0,0,264
1762156522,2025-11-03T07:55:22Z,BAW900,"51.472309,-0.48505",0,0,236
1762156542,2025-11-03T07:55:42Z,BAW900,"51.472378,-0.484846",0,0,205
1762156774,2025-11-03T07:59:34Z,BAW900,"51.472126,-0.484716",0,7,180
1762156781,2025-11-03T07:59:41Z,BAW900,"51.471775,-0.484734",0,10,180
1762156788,2025-11-03T07:59:48Z,BAW900,"51.47139,-0.484715",0,12,180
1762156796,2025-11-03T07:59:56Z,BAW900,"51.470947,-0.484715",0,12,180
1762156808,2025-11-03T08:00:08Z,BAW900,"51.470284,-0.484715",0,13,180
1762156814,2025-11-03T08:00:14Z,BAW900,"51.469887,-0.484695",0,13,180
1762156822,2025-11-03T08:00:22Z,BAW900,"51.469398,-0.484695",0,13,180
1762156831,2025-11-03T08:00:31Z,BAW900,"51.468842,-0.484676",0,14,180
1762156840,2025-11-03T08:00:40Z,BAW900,"51.468281,-0.484679",0,14,180
1762156848,2025-11-03T08:00:48Z,BAW900,"51.467815,-0.484695",0,14,180
1762156856,2025-11-03T08:00:56Z,BAW900,"51.467224,-0.484676",0,14,180
1762156863,2025-11-03T08:01:03Z,BAW900,"51.466862,-0.484657",0,11,174
1762156869,2025-11-03T08:01:09Z,BAW900,"51.466618,-0.484409",0,10,143
1762156874,2025-11-03T08:01:14Z,BAW900,"51.466526,-0.484047",0,10,112
1762156878,2025-11-03T08:01:18Z,BAW900,"51.46653,-0.48377",0,11,95
1762156881,2025-11-03T08:01:21Z,BAW900,"51.46653,-0.483473",0,11,90
1762156885,2025-11-03T08:01:25Z,BAW900,"51.46653,-0.483194",0,11,90
