Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762178808,2025-11-03T14:06:48Z,BAW904N,"51.474079,-0.488892",0,1,180
1762178866,2025-11-03T14:07:46Z,BAW904N,"51.474438,-0.488873",0,1,177
1762178898,2025-11-03T14:08:18Z,BAW904N,"51.474667,-0.488892",0,0,154
1762178933,2025-11-03T14:08:53Z,BAW904N,"51.474892,-0.489044",0,1,129
1762178978,2025-11-03T14:09:38Z,BAW904N,"51.474892,-0.488834",0,0,109
1762178994,2025-11-03T14:09:54Z,BAW904N,"51.47488,-0.488625",0,0,101
1762179010,2025-11-03T14:10:10Z,BAW904N,"51.474873,-0.488409",0,0,92
1762179030,2025-11-03T14:10:30Z,BAW904N,"51.474873,-0.488149",0,0,90
1762179241,2025-11-03T14:14:01Z,BAW904N,"51.474873,-0.487945",0,0,90
1762179261,2025-11-03T14:14:21Z,BAW904N,"51.47488,-0.487537",0,3,90
1762179273,2025-11-03T14:14:33Z,BAW904N,"51.474884,-0.487166",0,4,90
1762179283,2025-11-03T14:14:43Z,BAW904N,"51.474884,-0.486776",0,6,90
1762179297,2025-11-03T14:14:57Z,BAW904N,"51.474884,-0.486089",0,8,90
1762179304,2025-11-03T14:15:04Z,BAW904N,"51.474884,-0.485625",0,8,90
1762179310,2025-11-03T14:15:10Z,BAW904N,"51.474895,-0.485236",0,8,90
1762179318,2025-11-03T14:15:18Z,BAW904N,"51.474892,-0.484734",0,9,90
1762179324,2025-11-03T14:15:24Z,BAW904N,"51.474895,-0.484308",0,9,90
1762179330,2025-11-03T14:15:30Z,BAW904N,"51.474873,-0.483937",0,8,98
1762179336,2025-11-03T14:15:36Z,BAW904N,"51.474712,-0.48364",0,8,135
1762179343,2025-11-03T14:15:43Z,BAW904N,"51.474426,-0.48357",0,8,174
1762179350,2025-11-03T14:15:50Z,BAW904N,"51.474159,-0.483589",0,9,180
1762179361,2025-11-03T14:16:01Z,BAW904N,"51.473717,-0.483584",0,9,180
1762179371,2025-11-03T14:16:11Z,BAW904N,"51.473305,-0.483565",0,0,180
1762179378,2025-11-03T14:16:18Z,BAW904N,"51.472996,-0.48357",0,10,180
1762179384,2025-11-03T14:16:24Z,BAW904N,"51.47271,-0.483565",0,10,180
1762179391,2025-11-03T14:16:31Z,BAW904N,"51.472343,-0.48357",0,10,180
1762179404,2025-11-03T14:16:44Z,BAW904N,"51.471737,-0.483565",0,11,180
1762179417,2025-11-03T14:16:57Z,BAW904N,"51.471066,-0.483551",0,0,180
1762179434,2025-11-03T14:17:14Z,BAW904N,"51.470512,-0.483974",0,8,241
1762179440,2025-11-03T14:17:20Z,BAW904N,"51.470505,-0.484276",0,0,261
1762179444,2025-11-03T14:17:24Z,BAW904N,"51.470455,-0.484493",0,8,250
1762179455,2025-11-03T14:17:35Z,BAW904N,"51.470089,-0.484697",0,8,188
1762179464,2025-11-03T14:17:44Z,BAW904N,"51.469704,-0.484695",0,9,180
1762179469,2025-11-03T14:17:49Z,BAW904N,"51.469482,-0.484697",0,9,180
1762179480,2025-11-03T14:18:00Z,BAW904N,"51.469006,-0.484676",0,10,180
1762179491,2025-11-03T14:18:11Z,BAW904N,"51.468475,-0.484679",0,11,180
1762179499,2025-11-03T14:18:19Z,BAW904N,"51.468037,-0.484676",0,0,180
1762179512,2025-11-03T14:18:32Z,BAW904N,"51.467316,-0.484676",0,13,180
1762179520,2025-11-03T14:18:40Z,BAW904N,"51.46685,-0.48466",0,11,180
1762179530,2025-11-03T14:18:50Z,BAW904N,"51.466553,-0.484215",0,10,120
1762179533,2025-11-03T14:18:53Z,BAW904N,"51.466537,-0.484009",0,11,106
1762179535,2025-11-03T14:18:55Z,BAW904N,"51.466537,-0.483799",0,11,95
1762179539,2025-11-03T14:18:59Z,BAW904N,"51.466537,-0.483475",0,11,90
1762179541,2025-11-03T14:19:01Z,BAW904N,"51.466537,-0.483265",0,11,90
1762179544,2025-11-03T14:19:04Z,BAW904N,"51.466537,-0.483036",0,12,90
1762179551,2025-11-03T14:19:11Z,BAW904N,"51.466537,-0.482426",0,12,90
