Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762690386,2025-11-09T12:13:06Z,SKY730,"42.751236,141.694611",1500,178,170
1762690397,2025-11-09T12:13:17Z,SKY730,"42.740681,141.696808",1850,197,171
1762690406,2025-11-09T12:13:26Z,SKY730,"42.732971,141.698532",2050,213,170
1762690418,2025-11-09T12:13:38Z,SKY730,"42.722946,141.70079",2525,224,170
1762690426,2025-11-09T12:13:46Z,SKY730,"42.711864,141.703323",2825,233,170
1762690434,2025-11-09T12:13:54Z,SKY730,"42.703903,141.705032",3225,235,171
1762690440,2025-11-09T12:14:00Z,SKY730,"42.696579,141.706406",3650,234,172
1762690449,2025-11-09T12:14:09Z,SKY730,"42.687149,141.708084",4225,234,172
1762690458,2025-11-09T12:14:18Z,SKY730,"42.678253,141.709839",4675,238,171
1762690464,2025-11-09T12:14:24Z,SKY730,"42.67099,141.711273",5025,240,171
1762690477,2025-11-09T12:14:37Z,SKY730,"42.656754,141.714142",5700,246,171
1762690490,2025-11-09T12:14:50Z,SKY730,"42.64151,141.71727",6325,254,171
1762690505,2025-11-09T12:15:05Z,SKY730,"42.623554,141.720505",6925,265,174
1762690518,2025-11-09T12:15:18Z,SKY730,"42.608334,141.721466",7600,267,177
1762690531,2025-11-09T12:15:31Z,SKY730,"42.590969,141.722351",8325,269,177
1762690544,2025-11-09T12:15:44Z,SKY730,"42.575558,141.72319",9100,268,177
1762690559,2025-11-09T12:15:59Z,SKY730,"42.557419,141.724197",9875,269,177
1762690572,2025-11-09T12:16:12Z,SKY730,"42.540482,141.72525",10600,270,177
1762690586,2025-11-09T12:16:26Z,SKY730,"42.523235,141.72612",10875,287,177
1762690599,2025-11-09T12:16:39Z,SKY730,"42.504822,141.727005",11125,306,178
1762690612,2025-11-09T12:16:52Z,SKY730,"42.48555,141.727936",11350,323,177
1762690625,2025-11-09T12:17:05Z,SKY730,"42.46579,141.729065",11700,334,177
1762690639,2025-11-09T12:17:19Z,SKY730,"42.444122,141.730316",12150,342,177
1762690671,2025-11-09T12:17:51Z,SKY730,"42.392517,141.733536",13475,354,177
1762690701,2025-11-09T12:18:21Z,SKY730,"42.342545,141.736496",14825,360,177
1762690733,2025-11-09T12:18:53Z,SKY730,"42.28838,141.739532",16250,367,177
1762690766,2025-11-09T12:19:26Z,SKY730,"42.23259,141.742416",17675,371,177
1762690796,2025-11-09T12:19:56Z,SKY730,"42.17981,141.745361",19175,371,177
1762690827,2025-11-09T12:20:27Z,SKY730,"42.126888,141.748291",20350,378,177
1762690858,2025-11-09T12:20:58Z,SKY730,"42.072098,141.751358",21275,390,177
1762690891,2025-11-09T12:21:31Z,SKY730,"42.011581,141.754654",22350,399,177
1762690923,2025-11-09T12:22:03Z,SKY730,"41.952209,141.758026",23450,404,177
1762690949,2025-11-09T12:22:29Z,SKY730,"41.903366,141.755157",24275,397,187
1762690954,2025-11-09T12:22:34Z,SKY730,"41.895401,141.753662",24400,396,188
1762690956,2025-11-09T12:22:36Z,SKY730,"41.892124,141.752945",24450,396,189
1762690958,2025-11-09T12:22:38Z,SKY730,"41.888542,141.752121",24500,395,190
1762690960,2025-11-09T12:22:40Z,SKY730,"41.883865,141.750916",24575,394,190
1762690962,2025-11-09T12:22:42Z,SKY730,"41.880627,141.750076",24625,394,191
1762690964,2025-11-09T12:22:44Z,SKY730,"41.876347,141.748993",24700,394,191
1762690966,2025-11-09T12:22:46Z,SKY730,"41.872761,141.748032",24750,395,190
1762690968,2025-11-09T12:22:48Z,SKY730,"41.869492,141.747223",24825,396,190
1762691001,2025-11-09T12:23:21Z,SKY730,"41.811035,141.731995",25750,399,191
1762691031,2025-11-09T12:23:51Z,SKY730,"41.756145,141.716858",26550,403,192
1762691063,2025-11-09T12:24:23Z,SKY730,"41.695587,141.699158",27450,406,192
1762691094,2025-11-09T12:24:54Z,SKY730,"41.639908,141.683197",28650,398,191
1762691127,2025-11-09T12:25:27Z,SKY730,"41.581741,141.666641",29825,392,192
1762691157,2025-11-09T12:25:57Z,SKY730,"41.528412,141.651352",30625,394,192
1762691188,2025-11-09T12:26:28Z,SKY730,"41.472736,141.635544",31350,399,191
1762691220,2025-11-09T12:27:00Z,SKY730,"41.415024,141.619263",32125,401,191
1762691250,2025-11-09T12:27:30Z,SKY730,"41.360413,141.603882",32825,402,191
1762691283,2025-11-09T12:28:03Z,SKY730,"41.300766,141.587036",33525,401,191
1762691315,2025-11-09T12:28:35Z,SKY730,"41.241211,141.57019",34250,400,192
1762691347,2025-11-09T12:29:07Z,SKY730,"41.184067,141.554092",35075,393,191
1762691378,2025-11-09T12:29:38Z,SKY730,"41.128948,141.538681",35875,387,191
1762691410,2025-11-09T12:30:10Z,SKY730,"41.073486,141.522949",36000,385,192
1762691441,2025-11-09T12:30:41Z,SKY730,"41.018692,141.507324",36000,393,192
1762691472,2025-11-09T12:31:12Z,SKY730,"40.963531,141.492126",36000,397,191
1762691504,2025-11-09T12:31:44Z,SKY730,"40.905807,141.476318",36000,399,191
1762691535,2025-11-09T12:32:15Z,SKY730,"40.849869,141.460831",36000,398,191
1762691567,2025-11-09T12:32:47Z,SKY730,"40.792282,141.444855",36000,396,192
1762691599,2025-11-09T12:33:19Z,SKY730,"40.734558,141.42865",36000,397,192
1762691631,2025-11-09T12:33:51Z,SKY730,"40.676651,141.412109",36000,404,192
1762691663,2025-11-09T12:34:23Z,SKY730,"40.61734,141.395798",36000,409,191
1762691695,2025-11-09T12:34:55Z,SKY730,"40.559101,141.379868",36000,408,191
1762691726,2025-11-09T12:35:26Z,SKY730,"40.501556,141.364014",36000,411,192
1762691758,2025-11-09T12:35:58Z,SKY730,"40.441418,141.34729",36000,414,191
1762691789,2025-11-09T12:36:29Z,SKY730,"40.384251,141.331802",36000,416,191
1762691821,2025-11-09T12:37:01Z,SKY730,"40.321976,141.314819",36000,416,191
1762691854,2025-11-09T12:37:34Z,SKY730,"40.26123,141.298523",36000,412,191
1762691885,2025-11-09T12:38:05Z,SKY730,"40.203445,141.282364",36000,412,192
1762691916,2025-11-09T12:38:36Z,SKY730,"40.145905,141.266571",36000,413,191
1762691947,2025-11-09T12:39:07Z,SKY730,"40.086823,141.250427",36000,416,191
1762691980,2025-11-09T12:39:40Z,SKY730,"40.025391,141.233765",36000,420,191
1762692010,2025-11-09T12:40:10Z,SKY730,"39.966522,141.218018",36000,422,191
1762692042,2025-11-09T12:40:42Z,SKY730,"39.906326,141.201904",36000,417,191
1762692074,2025-11-09T12:41:14Z,SKY730,"39.84634,141.185547",36000,404,191
1762692107,2025-11-09T12:41:47Z,SKY730,"39.787445,141.16954",36000,403,191
1762692137,2025-11-09T12:42:17Z,SKY730,"39.731499,141.154236",36000,404,191
1762692170,2025-11-09T12:42:50Z,SKY730,"39.672592,141.13855",36000,404,191
1762692200,2025-11-09T12:43:20Z,SKY730,"39.616196,141.123383",35850,404,191
1762692231,2025-11-09T12:43:51Z,SKY730,"39.559441,141.108154",35075,404,191
1762692263,2025-11-09T12:44:23Z,SKY730,"39.500931,141.092453",34325,408,191
1762692296,2025-11-09T12:44:56Z,SKY730,"39.439663,141.075989",33975,410,191
1762692328,2025-11-09T12:45:28Z,SKY730,"39.38026,141.060181",33975,408,191
1762692361,2025-11-09T12:46:01Z,SKY730,"39.319244,141.044159",32950,409,191
1762692392,2025-11-09T12:46:32Z,SKY730,"39.26207,141.028992",31950,409,191
1762692424,2025-11-09T12:47:04Z,SKY730,"39.202618,141.013062",30900,407,191
1762692455,2025-11-09T12:47:35Z,SKY730,"39.143265,140.997375",29850,419,191
1762692486,2025-11-09T12:48:06Z,SKY730,"39.084595,140.981812",28900,421,191
1762692517,2025-11-09T12:48:37Z,SKY730,"39.025497,140.966415",28400,414,191
1762692548,2025-11-09T12:49:08Z,SKY730,"38.968506,140.951538",28000,408,191
1762692579,2025-11-09T12:49:39Z,SKY730,"38.911015,140.936157",28000,405,192
1762692612,2025-11-09T12:50:12Z,SKY730,"38.85141,140.91954",28000,404,192
1762692642,2025-11-09T12:50:42Z,SKY730,"38.79538,140.9039",28000,413,192
1762692674,2025-11-09T12:51:14Z,SKY730,"38.735229,140.887238",28000,425,192
1762692707,2025-11-09T12:51:47Z,SKY730,"38.670757,140.86969",28000,426,192
1762692739,2025-11-09T12:52:19Z,SKY730,"38.608612,140.852844",28000,426,192
1762692770,2025-11-09T12:52:50Z,SKY730,"38.549286,140.836731",28000,426,192
1762692802,2025-11-09T12:53:22Z,SKY730,"38.487534,140.819763",28000,427,192
1762692834,2025-11-09T12:53:54Z,SKY730,"38.424309,140.802551",28000,429,191
1762692866,2025-11-09T12:54:26Z,SKY730,"38.362335,140.785767",28000,431,192
1762692898,2025-11-09T12:54:58Z,SKY730,"38.299362,140.768723",28000,432,192
1762692929,2025-11-09T12:55:29Z,SKY730,"38.240204,140.752686",28000,433,192
1762692961,2025-11-09T12:56:01Z,SKY730,"38.177769,140.735886",28000,434,191
1762692994,2025-11-09T12:56:34Z,SKY730,"38.112991,140.718445",28000,432,191
1762693026,2025-11-09T12:57:06Z,SKY730,"38.050495,140.701599",28000,427,192
1762693059,2025-11-09T12:57:39Z,SKY730,"37.986813,140.684357",28000,429,192
1762693090,2025-11-09T12:58:10Z,SKY730,"37.926807,140.668167",28000,431,192
1762693120,2025-11-09T12:58:40Z,SKY730,"37.866898,140.652176",28000,433,191
1762693152,2025-11-09T12:59:12Z,SKY730,"37.80442,140.635635",28000,433,191
1762693183,2025-11-09T12:59:43Z,SKY730,"37.744087,140.619629",28000,432,191
1762693215,2025-11-09T13:00:15Z,SKY730,"37.680267,140.602615",28000,432,192
1762693246,2025-11-09T13:00:46Z,SKY730,"37.619156,140.586197",28000,428,192
1762693277,2025-11-09T13:01:17Z,SKY730,"37.559788,140.570374",28000,428,191
1762693308,2025-11-09T13:01:48Z,SKY730,"37.499874,140.55455",28000,430,191
1762693340,2025-11-09T13:02:20Z,SKY730,"37.436874,140.537933",28000,433,191
1762693371,2025-11-09T13:02:51Z,SKY730,"37.375301,140.521591",28000,433,191
1762693403,2025-11-09T13:03:23Z,SKY730,"37.314606,140.505493",28000,432,191
1762693433,2025-11-09T13:03:53Z,SKY730,"37.254173,140.489578",27225,429,191
1762693465,2025-11-09T13:04:25Z,SKY730,"37.192863,140.473694",26125,416,191
1762693496,2025-11-09T13:04:56Z,SKY730,"37.135574,140.458389",25050,410,192
1762693529,2025-11-09T13:05:29Z,SKY730,"37.075367,140.442703",23950,396,191
1762693560,2025-11-09T13:06:00Z,SKY730,"37.019852,140.428238",22900,393,191
1762693591,2025-11-09T13:06:31Z,SKY730,"36.964245,140.413757",21825,388,191
1762693622,2025-11-09T13:07:02Z,SKY730,"36.910618,140.399658",20800,380,191
1762693653,2025-11-09T13:07:33Z,SKY730,"36.858536,140.386047",19775,373,191
1762693684,2025-11-09T13:08:04Z,SKY730,"36.806713,140.372482",18725,365,191
1762693717,2025-11-09T13:08:37Z,SKY730,"36.752151,140.358459",17725,366,191
1762693748,2025-11-09T13:09:08Z,SKY730,"36.699783,140.344849",17225,370,191
1762693779,2025-11-09T13:09:39Z,SKY730,"36.647923,140.331345",16725,371,191
1762693811,2025-11-09T13:10:11Z,SKY730,"36.593353,140.319275",16200,373,189
1762693843,2025-11-09T13:10:43Z,SKY730,"36.539474,140.308517",15675,373,189
1762693874,2025-11-09T13:11:14Z,SKY730,"36.485828,140.297928",15175,374,189
1762693905,2025-11-09T13:11:45Z,SKY730,"36.43309,140.287506",14650,378,189
1762693937,2025-11-09T13:12:17Z,SKY730,"36.378105,140.276352",14100,379,189
1762693967,2025-11-09T13:12:47Z,SKY730,"36.324921,140.265366",13600,381,189
1762693998,2025-11-09T13:13:18Z,SKY730,"36.271873,140.255035",13350,377,188
