Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1701545374,2023-12-02T19:29:34Z,CAO1054,"40.122574,116.588745",3000,165,352
1701545393,2023-12-02T19:29:53Z,CAO1054,"40.132645,116.586792",3525,182,351
1701545440,2023-12-02T19:30:40Z,CAO1054,"40.18716,116.590942",5600,265,33
1701545495,2023-12-02T19:31:35Z,CAO1054,"40.206757,116.674561",9150,280,86
1701545594,2023-12-02T19:33:14Z,CAO1054,"40.127888,116.792656",14550,346,182
1701545615,2023-12-02T19:33:35Z,CAO1054,"40.125793,116.588097",15375,379,185
1701545679,2023-12-02T19:34:39Z,CAO1054,"39.97147,116.777611",18975,414,185
1701545741,2023-12-02T19:35:41Z,CAO1054,"39.853683,116.767532",19700,428,183
1701545794,2023-12-02T19:36:34Z,CAO1054,"39.742901,116.766991",22250,445,175
1701545858,2023-12-02T19:37:38Z,CAO1054,"39.620865,116.787476",25575,470,172
1701546008,2023-12-02T19:40:08Z,CAO1054,"39.269375,116.844849",31125,506,172
1701546039,2023-12-02T19:40:39Z,CAO1054,"39.197079,116.856506",31100,502,172
1701546071,2023-12-02T19:41:11Z,CAO1054,"39.123001,116.868263",31100,504,172
1701546102,2023-12-02T19:41:42Z,CAO1054,"39.050034,116.879959",31100,504,172
1701546133,2023-12-02T19:42:13Z,CAO1054,"38.978119,116.891365",31100,504,172
1701546164,2023-12-02T19:42:44Z,CAO1054,"38.906479,116.90271",31100,502,173
1701546196,2023-12-02T19:43:16Z,CAO1054,"38.833557,116.914238",31100,502,172
1701546227,2023-12-02T19:43:47Z,CAO1054,"38.765121,116.925102",31100,502,172
1701546258,2023-12-02T19:44:18Z,CAO1054,"38.69101,116.936806",31100,504,172
1701546284,2023-12-02T19:44:44Z,CAO1054,"38.636028,116.945435",31100,502,172
1701546412,2023-12-02T19:46:52Z,CAO1054,"38.341965,116.990372",31100,498,173
1701546446,2023-12-02T19:47:26Z,CAO1054,"38.258469,117.003105",31100,498,173
1701546638,2023-12-02T19:50:38Z,CAO1054,"37.819321,117.069481",31100,493,173
1701547237,2023-12-02T20:00:37Z,CAO1054,"36.468842,117.381592",31100,495,168
1701547357,2023-12-02T20:02:37Z,CAO1054,"36.199669,117.451683",31100,495,168
1701547417,2023-12-02T20:03:37Z,CAO1054,"36.12648,117.470627",31100,497,168
1701547481,2023-12-02T20:04:41Z,CAO1054,"35.929855,117.521629",31100,497,168
1701547551,2023-12-02T20:05:51Z,CAO1054,"35.763897,117.564346",31100,500,168
1701547638,2023-12-02T20:07:18Z,CAO1054,"35.567596,117.614655",31100,500,168
1701547670,2023-12-02T20:07:50Z,CAO1054,"35.493149,117.633652",31100,500,168
1701547704,2023-12-02T20:08:24Z,CAO1054,"35.414291,117.653793",31100,498,168
1701547737,2023-12-02T20:08:57Z,CAO1054,"35.346405,117.671013",31100,496,168
1701547772,2023-12-02T20:09:32Z,CAO1054,"35.263184,117.692184",31100,496,168
1701547805,2023-12-02T20:10:05Z,CAO1054,"35.189068,117.711014",31100,496,168
1701547838,2023-12-02T20:10:38Z,CAO1054,"35.114685,117.729828",31100,497,168
1701547872,2023-12-02T20:11:12Z,CAO1054,"35.038471,117.749008",31100,500,168
1701547906,2023-12-02T20:11:46Z,CAO1054,"34.959961,117.768677",31100,502,168
1701547936,2023-12-02T20:12:16Z,CAO1054,"34.889832,117.784981",31100,502,169
1701547981,2023-12-02T20:13:01Z,CAO1054,"34.788116,117.806732",31100,502,170
1701548014,2023-12-02T20:13:34Z,CAO1054,"34.713455,117.822708",31100,500,170
