Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1746253130,2025-05-03T06:18:50Z,CAO1054,"41.960815,-87.920822",0,0,0
1746253273,2025-05-03T06:21:13Z,CAO1054,"41.961021,-87.920837",0,4,0
1746253281,2025-05-03T06:21:21Z,CAO1054,"41.961243,-87.920837",0,6,357
1746253289,2025-05-03T06:21:29Z,CAO1054,"41.961502,-87.920837",0,8,357
1746253296,2025-05-03T06:21:36Z,CAO1054,"41.961781,-87.920837",0,8,357
1746253303,2025-05-03T06:21:43Z,CAO1054,"41.96204,-87.920837",0,9,357
1746253310,2025-05-03T06:21:50Z,CAO1054,"41.962269,-87.920837",0,9,357
1746253317,2025-05-03T06:21:57Z,CAO1054,"41.962666,-87.920837",0,10,357
1746253325,2025-05-03T06:22:05Z,CAO1054,"41.963036,-87.920837",0,10,357
1746253331,2025-05-03T06:22:11Z,CAO1054,"41.963341,-87.920837",0,11,357
1746253338,2025-05-03T06:22:18Z,CAO1054,"41.963688,-87.920837",0,11,357
1746253342,2025-05-03T06:22:22Z,CAO1054,"41.963921,-87.920853",0,11,340
1746253348,2025-05-03T06:22:28Z,CAO1054,"41.96413,-87.921059",0,10,303
1746253353,2025-05-03T06:22:33Z,CAO1054,"41.964214,-87.921303",0,9,281
1746253357,2025-05-03T06:22:37Z,CAO1054,"41.964222,-87.921524",0,8,270
1746253362,2025-05-03T06:22:42Z,CAO1054,"41.964226,-87.921776",0,8,270
1746253366,2025-05-03T06:22:46Z,CAO1054,"41.964222,-87.922005",0,8,270
1746253371,2025-05-03T06:22:51Z,CAO1054,"41.964222,-87.922256",0,9,270
1746253377,2025-05-03T06:22:57Z,CAO1054,"41.964222,-87.922623",0,9,270
1746253384,2025-05-03T06:23:04Z,CAO1054,"41.964222,-87.923012",0,9,270
1746253391,2025-05-03T06:23:11Z,CAO1054,"41.964226,-87.923447",0,10,270
1746253398,2025-05-03T06:23:18Z,CAO1054,"41.964222,-87.923874",0,10,270
1746253405,2025-05-03T06:23:25Z,CAO1054,"41.964226,-87.924362",0,10,270
1746253413,2025-05-03T06:23:33Z,CAO1054,"41.964226,-87.924896",0,11,270
1746253420,2025-05-03T06:23:40Z,CAO1054,"41.964222,-87.925423",0,13,270
1746253427,2025-05-03T06:23:47Z,CAO1054,"41.964222,-87.926041",0,15,270
1746253435,2025-05-03T06:23:55Z,CAO1054,"41.964222,-87.926781",0,15,270
1746253443,2025-05-03T06:24:03Z,CAO1054,"41.964226,-87.927536",0,15,270
1746253449,2025-05-03T06:24:09Z,CAO1054,"41.964214,-87.928169",0,15,270
1746253456,2025-05-03T06:24:16Z,CAO1054,"41.964211,-87.928787",0,16,270
1746253464,2025-05-03T06:24:24Z,CAO1054,"41.964214,-87.929626",0,15,270
1746253472,2025-05-03T06:24:32Z,CAO1054,"41.964214,-87.930199",0,10,270
1746253479,2025-05-03T06:24:39Z,CAO1054,"41.964214,-87.930557",0,7,270
1746253486,2025-05-03T06:24:46Z,CAO1054,"41.964214,-87.930855",0,6,270
1746253493,2025-05-03T06:24:53Z,CAO1054,"41.964226,-87.931061",0,5,289
1746253507,2025-05-03T06:25:07Z,CAO1054,"41.964363,-87.931267",0,2,340
1746253524,2025-05-03T06:25:24Z,CAO1054,"41.964569,-87.931328",0,4,357
1746253534,2025-05-03T06:25:34Z,CAO1054,"41.964787,-87.931343",0,5,357
1746253544,2025-05-03T06:25:44Z,CAO1054,"41.965004,-87.931343",0,5,357
1746253553,2025-05-03T06:25:53Z,CAO1054,"41.965221,-87.931343",0,5,357
1746253562,2025-05-03T06:26:02Z,CAO1054,"41.965439,-87.931343",0,5,5
1746253574,2025-05-03T06:26:14Z,CAO1054,"41.965645,-87.931213",0,3,59
1746253583,2025-05-03T06:26:23Z,CAO1054,"41.965691,-87.931007",0,4,81
1746253591,2025-05-03T06:26:31Z,CAO1054,"41.965702,-87.930779",0,5,90
1746253598,2025-05-03T06:26:38Z,CAO1054,"41.965714,-87.930527",0,9,90
1746253600,2025-05-03T06:26:40Z,CAO1054,"41.965714,-87.930305",0,14,90
1746253603,2025-05-03T06:26:43Z,CAO1054,"41.965714,-87.930016",0,19,90
1746253604,2025-05-03T06:26:44Z,CAO1054,"41.965714,-87.929749",0,29,90
