Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762136934,2025-11-03T02:28:54Z,CPA150,"-27.405325,153.110443",0,3,323
1762136967,2025-11-03T02:29:27Z,CPA150,"-27.405602,153.110764",0,0,343
1762137001,2025-11-03T02:30:01Z,CPA150,"-27.405907,153.11087",0,0,39
1762137041,2025-11-03T02:30:41Z,CPA150,"-27.406153,153.110596",0,0,53
1762137213,2025-11-03T02:33:33Z,CPA150,"-27.405865,153.110901",0,7,45
1762137234,2025-11-03T02:33:54Z,CPA150,"-27.405245,153.111328",0,8,30
1762137243,2025-11-03T02:34:03Z,CPA150,"-27.404892,153.111526",0,9,28
1762137319,2025-11-03T02:35:19Z,CPA150,"-27.401836,153.113785",0,0,70
1762137349,2025-11-03T02:35:49Z,CPA150,"-27.402672,153.115616",0,0,118
1762137362,2025-11-03T02:36:02Z,CPA150,"-27.402454,153.116211",0,10,59
1762137376,2025-11-03T02:36:16Z,CPA150,"-27.401939,153.116455",0,0,28
1762137398,2025-11-03T02:36:38Z,CPA150,"-27.401012,153.116989",0,10,28
1762137440,2025-11-03T02:37:20Z,CPA150,"-27.399006,153.118134",0,0,25
1762137450,2025-11-03T02:37:30Z,CPA150,"-27.398346,153.1185",0,15,25
1762137463,2025-11-03T02:37:43Z,CPA150,"-27.397545,153.118973",0,15,28
1762137476,2025-11-03T02:37:56Z,CPA150,"-27.396645,153.119492",0,16,28
1762137490,2025-11-03T02:38:10Z,CPA150,"-27.395679,153.120041",0,17,28
1762137518,2025-11-03T02:38:38Z,CPA150,"-27.393425,153.121323",0,22,28
1762137527,2025-11-03T02:38:47Z,CPA150,"-27.39259,153.121811",0,23,28
1762137535,2025-11-03T02:38:55Z,CPA150,"-27.391802,153.122269",0,23,28
1762137542,2025-11-03T02:39:02Z,CPA150,"-27.391151,153.12262",0,23,28
1762137554,2025-11-03T02:39:14Z,CPA150,"-27.390003,153.123276",0,23,28
1762137564,2025-11-03T02:39:24Z,CPA150,"-27.389053,153.123825",0,0,28
1762137572,2025-11-03T02:39:32Z,CPA150,"-27.38817,153.124329",0,0,28
1762137582,2025-11-03T02:39:42Z,CPA150,"-27.387199,153.124893",0,0,28
1762137589,2025-11-03T02:39:49Z,CPA150,"-27.386559,153.125259",0,23,28
1762137596,2025-11-03T02:39:56Z,CPA150,"-27.385826,153.125671",0,24,28
1762137611,2025-11-03T02:40:11Z,CPA150,"-27.384384,153.126495",0,24,28
1762137618,2025-11-03T02:40:18Z,CPA150,"-27.38361,153.126938",0,24,28
1762137628,2025-11-03T02:40:28Z,CPA150,"-27.382668,153.127472",0,24,28
1762137637,2025-11-03T02:40:37Z,CPA150,"-27.381729,153.128006",0,23,28
1762137644,2025-11-03T02:40:44Z,CPA150,"-27.38113,153.128357",0,15,28
1762137653,2025-11-03T02:40:53Z,CPA150,"-27.380688,153.128616",0,11,28
1762137660,2025-11-03T02:41:00Z,CPA150,"-27.380362,153.128738",0,11,19
1762137666,2025-11-03T02:41:06Z,CPA150,"-27.380081,153.128586",0,12,345
1762137674,2025-11-03T02:41:14Z,CPA150,"-27.379875,153.128159",0,12,303
1762137680,2025-11-03T02:41:20Z,CPA150,"-27.379675,153.127838",0,12,306
1762137688,2025-11-03T02:41:28Z,CPA150,"-27.379408,153.127487",0,13,309
1762137697,2025-11-03T02:41:37Z,CPA150,"-27.379152,153.126907",0,13,298
1762137700,2025-11-03T02:41:40Z,CPA150,"-27.37904,153.126694",0,13,298
1762137705,2025-11-03T02:41:45Z,CPA150,"-27.378925,153.126419",0,14,298
1762137709,2025-11-03T02:41:49Z,CPA150,"-27.378803,153.12616",0,14,298
1762137714,2025-11-03T02:41:54Z,CPA150,"-27.378628,153.125793",0,15,298
1762137721,2025-11-03T02:42:01Z,CPA150,"-27.378395,153.125275",0,15,298
1762137733,2025-11-03T02:42:13Z,CPA150,"-27.377989,153.124374",0,16,298
1762137740,2025-11-03T02:42:20Z,CPA150,"-27.377743,153.123856",0,16,298
1762137749,2025-11-03T02:42:29Z,CPA150,"-27.377405,153.123108",0,17,298
1762137758,2025-11-03T02:42:38Z,CPA150,"-27.377081,153.122391",0,17,298
1762137769,2025-11-03T02:42:49Z,CPA150,"-27.376659,153.121445",0,18,298
1762137780,2025-11-03T02:43:00Z,CPA150,"-27.376265,153.120575",0,18,298
