Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762135063,2025-11-03T01:57:43Z,CPA347,"40.079033,116.607063",0,3,109
1762135073,2025-11-03T01:57:53Z,CPA347,"40.079075,116.606842",0,3,118
1762135130,2025-11-03T01:58:50Z,CPA347,"40.079464,116.60611",0,3,171
1762135325,2025-11-03T02:02:05Z,CPA347,"40.07922,116.606293",0,5,174
1762135350,2025-11-03T02:02:30Z,CPA347,"40.079441,116.607231",0,8,174
1762135381,2025-11-03T02:03:01Z,CPA347,"40.080292,116.608696",0,12,53
1762135392,2025-11-03T02:03:12Z,CPA347,"40.080723,116.609436",0,8,53
1762135402,2025-11-03T02:03:22Z,CPA347,"40.081116,116.609497",0,9,53
1762135412,2025-11-03T02:03:32Z,CPA347,"40.081444,116.609421",0,10,53
1762135422,2025-11-03T02:03:42Z,CPA347,"40.081848,116.609261",0,10,53
1762135427,2025-11-03T02:03:47Z,CPA347,"40.081982,116.608856",0,10,298
1762135431,2025-11-03T02:03:51Z,CPA347,"40.081944,116.608574",0,10,286
1762135436,2025-11-03T02:03:56Z,CPA347,"40.081882,116.608276",0,10,270
1762135441,2025-11-03T02:04:01Z,CPA347,"40.08186,116.607933",0,11,270
1762135448,2025-11-03T02:04:08Z,CPA347,"40.081825,116.607559",0,11,270
1762135451,2025-11-03T02:04:11Z,CPA347,"40.081802,116.607277",0,12,270
1762135470,2025-11-03T02:04:30Z,CPA347,"40.081673,116.60585",0,14,264
1762135485,2025-11-03T02:04:45Z,CPA347,"40.081558,116.60463",0,15,261
1762135502,2025-11-03T02:05:02Z,CPA347,"40.081394,116.602898",0,16,264
1762135512,2025-11-03T02:05:12Z,CPA347,"40.081295,116.601791",0,18,264
1762135531,2025-11-03T02:05:31Z,CPA347,"40.081127,116.599915",0,16,264
1762135540,2025-11-03T02:05:40Z,CPA347,"40.081066,116.599213",0,9,264
1762135552,2025-11-03T02:05:52Z,CPA347,"40.080849,116.598633",0,9,264
1762135577,2025-11-03T02:06:17Z,CPA347,"40.07967,116.59874",0,13,222
1762135593,2025-11-03T02:06:33Z,CPA347,"40.078693,116.598885",0,15,174
1762135612,2025-11-03T02:06:52Z,CPA347,"40.077061,116.599136",0,18,174
1762135631,2025-11-03T02:07:11Z,CPA347,"40.07531,116.599411",0,20,174
1762135641,2025-11-03T02:07:21Z,CPA347,"40.07468,116.59951",0,22,174
1762135673,2025-11-03T02:07:53Z,CPA347,"40.070812,116.600113",0,26,174
1762135683,2025-11-03T02:08:03Z,CPA347,"40.069668,116.600296",0,26,171
1762135710,2025-11-03T02:08:30Z,CPA347,"40.066532,116.600784",0,22,174
1762135732,2025-11-03T02:08:52Z,CPA347,"40.064873,116.601044",0,11,171
1762135742,2025-11-03T02:09:02Z,CPA347,"40.064507,116.601097",0,8,174
1762135787,2025-11-03T02:09:47Z,CPA347,"40.06303,116.601334",0,10,174
1762135818,2025-11-03T02:10:18Z,CPA347,"40.061611,116.601555",0,14,174
1762135827,2025-11-03T02:10:27Z,CPA347,"40.060902,116.601669",0,16,171
1762135837,2025-11-03T02:10:37Z,CPA347,"40.059959,116.601814",0,18,171
1762135847,2025-11-03T02:10:47Z,CPA347,"40.059307,116.601913",0,8,174
1762135952,2025-11-03T02:12:32Z,CPA347,"40.058819,116.60199",0,5,174
1762135958,2025-11-03T02:12:38Z,CPA347,"40.058514,116.602036",0,7,174
1762135988,2025-11-03T02:13:08Z,CPA347,"40.057362,116.602173",0,8,174
1762136166,2025-11-03T02:16:06Z,CPA347,"40.057072,116.600571",0,6,188
1762136263,2025-11-03T02:17:43Z,CPA347,"40.086361,116.595154",0,169,352
1762136273,2025-11-03T02:17:53Z,CPA347,"40.094189,116.59359",425,165,352
1762136285,2025-11-03T02:18:05Z,CPA347,"40.111362,116.590599",1250,167,353
1762136293,2025-11-03T02:18:13Z,CPA347,"40.116997,116.589783",1500,169,353
1762136303,2025-11-03T02:18:23Z,CPA347,"40.124817,116.588722",1700,175,354
1762136316,2025-11-03T02:18:36Z,CPA347,"40.137058,116.587105",2025,184,354
1762136327,2025-11-03T02:18:47Z,CPA347,"40.146561,116.585815",2300,184,354
1762136343,2025-11-03T02:19:03Z,CPA347,"40.150269,116.585274",2400,186,354
1762136353,2025-11-03T02:19:13Z,CPA347,"40.159172,116.583977",2650,188,354
1762136366,2025-11-03T02:19:26Z,CPA347,"40.180573,116.580627",3125,202,352
1762136377,2025-11-03T02:19:37Z,CPA347,"40.191467,116.578796",3250,214,352
1762136389,2025-11-03T02:19:49Z,CPA347,"40.20335,116.576805",3400,226,352
1762136400,2025-11-03T02:20:00Z,CPA347,"40.214756,116.574867",3550,238,352
1762136412,2025-11-03T02:20:12Z,CPA347,"40.228348,116.572617",3825,250,352
1762136418,2025-11-03T02:20:18Z,CPA347,"40.233261,116.571838",3925,259,352
1762136428,2025-11-03T02:20:28Z,CPA347,"40.24725,116.568253",4075,268,343
1762136435,2025-11-03T02:20:35Z,CPA347,"40.255966,116.562561",4275,268,343
1762136441,2025-11-03T02:20:41Z,CPA347,"40.261276,116.556946",4500,264,319
1762136447,2025-11-03T02:20:47Z,CPA347,"40.266769,116.550049",4800,262,317
1762136452,2025-11-03T02:20:52Z,CPA347,"40.261688,116.556519",4500,265,320
1762136457,2025-11-03T02:20:57Z,CPA347,"40.265823,116.55127",4725,261,316
1762136467,2025-11-03T02:21:07Z,CPA347,"40.274296,116.540596",5125,266,317
1762136482,2025-11-03T02:21:22Z,CPA347,"40.288357,116.524117",5825,266,319
1762136492,2025-11-03T02:21:32Z,CPA347,"40.296478,116.514954",6150,265,320
1762136501,2025-11-03T02:21:41Z,CPA347,"40.306091,116.503891",6350,226,353
1762136506,2025-11-03T02:21:46Z,CPA347,"40.307388,116.502213",6375,266,316
1762136548,2025-11-03T02:22:28Z,CPA347,"40.313679,116.436234",8050,268,327
1762136558,2025-11-03T02:22:38Z,CPA347,"40.306465,116.422867",8475,263,316
1762136563,2025-11-03T02:22:43Z,CPA347,"40.30423,116.418877",8600,267,234
1762136566,2025-11-03T02:22:46Z,CPA347,"40.30032,116.411942",8800,268,234
1762136571,2025-11-03T02:22:51Z,CPA347,"40.297432,116.4067",8975,268,234
1762136579,2025-11-03T02:22:59Z,CPA347,"40.285263,116.384216",9825,269,234
1762136584,2025-11-03T02:23:04Z,CPA347,"40.2803,116.375053",10025,272,234
1762136588,2025-11-03T02:23:08Z,CPA347,"40.278858,116.372429",10100,274,234
1762136606,2025-11-03T02:23:26Z,CPA347,"40.262936,116.343155",10375,293,234
1762136622,2025-11-03T02:23:42Z,CPA347,"40.249344,116.318314",10625,312,234
1762136640,2025-11-03T02:24:00Z,CPA347,"40.234634,116.291626",10850,329,234
1762136657,2025-11-03T02:24:17Z,CPA347,"40.218567,116.262695",11150,344,234
1762136674,2025-11-03T02:24:34Z,CPA347,"40.201996,116.232971",11825,346,233
1762136691,2025-11-03T02:24:51Z,CPA347,"40.186569,116.2052",12325,353,234
1762136726,2025-11-03T02:25:26Z,CPA347,"40.155636,116.149399",13450,363,233
1762136760,2025-11-03T02:26:00Z,CPA347,"40.118637,116.082886",14500,372,234
1762136792,2025-11-03T02:26:32Z,CPA347,"40.084782,116.022179",15600,378,233
1762136826,2025-11-03T02:27:06Z,CPA347,"40.049744,115.959412",16650,383,233
1762136850,2025-11-03T02:27:30Z,CPA347,"40.036423,115.935669",17050,386,234
1762136888,2025-11-03T02:28:08Z,CPA347,"39.98502,115.844025",18725,388,233
1762136923,2025-11-03T02:28:43Z,CPA347,"39.948532,115.779114",20200,380,233
1762136957,2025-11-03T02:29:17Z,CPA347,"39.912491,115.715149",21375,379,233
1762136990,2025-11-03T02:29:50Z,CPA347,"39.879349,115.656433",22775,369,233
1762137023,2025-11-03T02:30:23Z,CPA347,"39.846062,115.597412",23875,365,233
1762137056,2025-11-03T02:30:56Z,CPA347,"39.813171,115.539268",24650,369,233
1762137088,2025-11-03T02:31:28Z,CPA347,"39.779911,115.480591",25375,374,233
1762137120,2025-11-03T02:32:00Z,CPA347,"39.749771,115.420631",26250,370,240
1762137153,2025-11-03T02:32:33Z,CPA347,"39.724228,115.356323",26475,381,243
1762137186,2025-11-03T02:33:06Z,CPA347,"39.697655,115.28717",26750,396,243
1762137218,2025-11-03T02:33:38Z,CPA347,"39.670422,115.217896",27025,406,242
1762137251,2025-11-03T02:34:11Z,CPA347,"39.641235,115.144897",27250,418,242
1762137286,2025-11-03T02:34:46Z,CPA347,"39.609764,115.066162",27525,430,242
1762137319,2025-11-03T02:35:19Z,CPA347,"39.580437,114.993042",27925,435,242
1762137348,2025-11-03T02:35:48Z,CPA347,"39.562729,114.948936",28275,434,243
1762137378,2025-11-03T02:36:18Z,CPA347,"39.535046,114.880005",28925,432,243
1762137408,2025-11-03T02:36:48Z,CPA347,"39.507721,114.812073",29650,428,243
1762137443,2025-11-03T02:37:23Z,CPA347,"39.475708,114.732735",30175,430,242
1762137472,2025-11-03T02:37:52Z,CPA347,"39.448505,114.665466",30625,431,242
1762137507,2025-11-03T02:38:27Z,CPA347,"39.41592,114.585144",31300,429,242
1762137541,2025-11-03T02:39:01Z,CPA347,"39.384979,114.509125",31975,428,242
1762137561,2025-11-03T02:39:21Z,CPA347,"39.363174,114.466309",32100,433,232
1762137566,2025-11-03T02:39:26Z,CPA347,"39.35701,114.457062",32100,434,229
1762137571,2025-11-03T02:39:31Z,CPA347,"39.350609,114.448242",32100,435,227
1762137576,2025-11-03T02:39:36Z,CPA347,"39.344376,114.44046",32075,436,224
1762137581,2025-11-03T02:39:41Z,CPA347,"39.335754,114.430664",32100,437,221
1762137586,2025-11-03T02:39:46Z,CPA347,"39.327484,114.42231",32100,438,217
1762137591,2025-11-03T02:39:51Z,CPA347,"39.322266,114.417534",32100,438,216
1762137596,2025-11-03T02:39:56Z,CPA347,"39.31041,114.407677",32100,438,212
1762137601,2025-11-03T02:40:01Z,CPA347,"39.301262,114.401001",32100,439,209
1762137606,2025-11-03T02:40:06Z,CPA347,"39.292278,114.395203",32100,440,207
