Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762267726,2025-11-04T14:48:46Z,AHK456,"14.522413,121.009575",0,0,45
1762268356,2025-11-04T14:59:16Z,AHK456,"14.522226,121.009369",0,2,45
1762268380,2025-11-04T14:59:40Z,AHK456,"14.522026,121.009171",0,2,45
1762268415,2025-11-04T15:00:15Z,AHK456,"14.521808,121.00901",0,3,59
1762268439,2025-11-04T15:00:39Z,AHK456,"14.521603,121.008865",0,2,101
1762268465,2025-11-04T15:01:05Z,AHK456,"14.521622,121.008644",0,0,123
1762268676,2025-11-04T15:04:36Z,AHK456,"14.521412,121.008789",0,3,135
1762268687,2025-11-04T15:04:47Z,AHK456,"14.521214,121.008995",0,7,135
1762268694,2025-11-04T15:04:54Z,AHK456,"14.521008,121.009209",0,9,135
1762268702,2025-11-04T15:05:02Z,AHK456,"14.520748,121.009476",0,12,135
1762268708,2025-11-04T15:05:08Z,AHK456,"14.52047,121.009766",0,14,135
1762268716,2025-11-04T15:05:16Z,AHK456,"14.520103,121.010139",0,15,135
1762268722,2025-11-04T15:05:22Z,AHK456,"14.519725,121.010536",0,16,135
1762268729,2025-11-04T15:05:29Z,AHK456,"14.519371,121.010902",0,17,135
1762268736,2025-11-04T15:05:36Z,AHK456,"14.518991,121.011299",0,17,135
1762268744,2025-11-04T15:05:44Z,AHK456,"14.518513,121.011803",0,17,135
1762268751,2025-11-04T15:05:51Z,AHK456,"14.518106,121.012215",0,17,135
1762268758,2025-11-04T15:05:58Z,AHK456,"14.517699,121.012634",0,16,135
1762268765,2025-11-04T15:06:05Z,AHK456,"14.517323,121.013016",0,17,135
1762268773,2025-11-04T15:06:13Z,AHK456,"14.516853,121.013519",0,18,135
1762268779,2025-11-04T15:06:19Z,AHK456,"14.516431,121.013947",0,19,135
1762268786,2025-11-04T15:06:26Z,AHK456,"14.516024,121.014381",0,20,135
1762268793,2025-11-04T15:06:33Z,AHK456,"14.515469,121.014938",0,21,135
1762268801,2025-11-04T15:06:41Z,AHK456,"14.514988,121.015442",0,20,135
1762268808,2025-11-04T15:06:48Z,AHK456,"14.514484,121.015953",0,20,135
1762268815,2025-11-04T15:06:55Z,AHK456,"14.514004,121.016464",0,20,135
1762268824,2025-11-04T15:07:04Z,AHK456,"14.513546,121.016937",0,15,135
1762268833,2025-11-04T15:07:13Z,AHK456,"14.513031,121.017456",0,16,135
1762268843,2025-11-04T15:07:23Z,AHK456,"14.512497,121.018021",0,17,135
1762268852,2025-11-04T15:07:32Z,AHK456,"14.511932,121.018593",0,0,135
1762268864,2025-11-04T15:07:44Z,AHK456,"14.511229,121.019333",0,0,135
1762268873,2025-11-04T15:07:53Z,AHK456,"14.510857,121.019722",0,13,135
1762268882,2025-11-04T15:08:02Z,AHK456,"14.510639,121.019943",0,9,135
1762268886,2025-11-04T15:08:06Z,AHK456,"14.510437,121.019943",0,7,163
1762268893,2025-11-04T15:08:13Z,AHK456,"14.510274,121.01973",0,7,208
1762268901,2025-11-04T15:08:21Z,AHK456,"14.510158,121.019508",0,7,227
1762268908,2025-11-04T15:08:28Z,AHK456,"14.51003,121.019272",0,9,239
1762268913,2025-11-04T15:08:33Z,AHK456,"14.509918,121.019066",0,10,239
1762268918,2025-11-04T15:08:38Z,AHK456,"14.509769,121.018806",0,12,239
1762268921,2025-11-04T15:08:41Z,AHK456,"14.509658,121.018593",0,14,239
1762268929,2025-11-04T15:08:49Z,AHK456,"14.509357,121.018059",0,17,239
1762268936,2025-11-04T15:08:56Z,AHK456,"14.509048,121.017494",0,19,239
1762268944,2025-11-04T15:09:04Z,AHK456,"14.508668,121.016823",0,20,239
1762268951,2025-11-04T15:09:11Z,AHK456,"14.508316,121.01619",0,22,239
1762268955,2025-11-04T15:09:15Z,AHK456,"14.50811,121.015816",0,22,239
1762268961,2025-11-04T15:09:21Z,AHK456,"14.507749,121.01516",0,23,239
1762268968,2025-11-04T15:09:28Z,AHK456,"14.507343,121.014442",0,25,239
1762268976,2025-11-04T15:09:36Z,AHK456,"14.506992,121.013817",0,17,239
1762268982,2025-11-04T15:09:42Z,AHK456,"14.506818,121.013474",0,11,239
1762268989,2025-11-04T15:09:49Z,AHK456,"14.506599,121.0131",0,14,239
1762268997,2025-11-04T15:09:57Z,AHK456,"14.506317,121.012611",0,16,239
1762269004,2025-11-04T15:10:04Z,AHK456,"14.506039,121.012093",0,18,239
1762269012,2025-11-04T15:10:12Z,AHK456,"14.505677,121.011444",0,20,241
1762269019,2025-11-04T15:10:19Z,AHK456,"14.505352,121.010841",0,22,239
1762269026,2025-11-04T15:10:26Z,AHK456,"14.505107,121.010414",0,10,239
1762269033,2025-11-04T15:10:33Z,AHK456,"14.504986,121.010201",0,8,239
1762269041,2025-11-04T15:10:41Z,AHK456,"14.504805,121.009888",0,11,239
