Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762606759,2025-11-08T12:59:19Z,CFG9AP,"50.047882,8.583422",0,2,160
1762606780,2025-11-08T12:59:40Z,CFG9AP,"50.048088,8.583273",0,0,163
1762606806,2025-11-08T13:00:06Z,CFG9AP,"50.048332,8.583069",0,0,225
1762607000,2025-11-08T13:03:20Z,CFG9AP,"50.04837,8.582846",0,5,250
1762607008,2025-11-08T13:03:28Z,CFG9AP,"50.048275,8.582437",0,0,250
1762607016,2025-11-08T13:03:36Z,CFG9AP,"50.048149,8.5819",0,10,250
1762607023,2025-11-08T13:03:43Z,CFG9AP,"50.048012,8.581352",0,11,250
1762607033,2025-11-08T13:03:53Z,CFG9AP,"50.047829,8.580593",0,12,250
1762607046,2025-11-08T13:04:06Z,CFG9AP,"50.0476,8.579747",0,13,244
1762607048,2025-11-08T13:04:08Z,CFG9AP,"50.047497,8.579506",0,14,236
1762607050,2025-11-08T13:04:10Z,CFG9AP,"50.047302,8.579202",0,15,227
1762607058,2025-11-08T13:04:18Z,CFG9AP,"50.046963,8.578522",0,16,239
1762607076,2025-11-08T13:04:36Z,CFG9AP,"50.046455,8.576365",0,0,250
1762607078,2025-11-08T13:04:38Z,CFG9AP,"50.046398,8.576112",0,0,250
1762607082,2025-11-08T13:04:42Z,CFG9AP,"50.046249,8.575516",0,19,250
1762607084,2025-11-08T13:04:44Z,CFG9AP,"50.046204,8.575299",0,19,250
1762607091,2025-11-08T13:04:51Z,CFG9AP,"50.045959,8.574254",0,20,250
1762607096,2025-11-08T13:04:56Z,CFG9AP,"50.045803,8.573636",0,21,250
1762607098,2025-11-08T13:04:58Z,CFG9AP,"50.045723,8.573276",0,21,250
1762607100,2025-11-08T13:05:00Z,CFG9AP,"50.045647,8.572973",0,21,250
1762607102,2025-11-08T13:05:02Z,CFG9AP,"50.045589,8.572732",0,21,250
1762607103,2025-11-08T13:05:03Z,CFG9AP,"50.04554,8.572491",0,21,250
1762607105,2025-11-08T13:05:05Z,CFG9AP,"50.045471,8.572246",0,22,250
1762607107,2025-11-08T13:05:07Z,CFG9AP,"50.045403,8.571938",0,22,250
1762607110,2025-11-08T13:05:10Z,CFG9AP,"50.045334,8.57163",0,22,250
1762607114,2025-11-08T13:05:14Z,CFG9AP,"50.045151,8.570889",0,23,247
1762607116,2025-11-08T13:05:16Z,CFG9AP,"50.045086,8.570635",0,23,250
1762607120,2025-11-08T13:05:20Z,CFG9AP,"50.044933,8.569986",0,23,247
1762607122,2025-11-08T13:05:22Z,CFG9AP,"50.044853,8.569661",0,23,247
1762607127,2025-11-08T13:05:27Z,CFG9AP,"50.044632,8.568761",0,24,247
1762607130,2025-11-08T13:05:30Z,CFG9AP,"50.044521,8.56827",0,25,250
1762607132,2025-11-08T13:05:32Z,CFG9AP,"50.044464,8.568017",0,25,250
1762607135,2025-11-08T13:05:35Z,CFG9AP,"50.044327,8.567456",0,25,250
1762607136,2025-11-08T13:05:36Z,CFG9AP,"50.044273,8.567221",0,25,250
1762607139,2025-11-08T13:05:39Z,CFG9AP,"50.044189,8.56686",0,26,250
1762607140,2025-11-08T13:05:40Z,CFG9AP,"50.044132,8.566607",0,26,250
1762607144,2025-11-08T13:05:44Z,CFG9AP,"50.043926,8.565758",0,24,250
1762607155,2025-11-08T13:05:55Z,CFG9AP,"50.043606,8.564384",0,18,247
1762607157,2025-11-08T13:05:57Z,CFG9AP,"50.043541,8.564121",0,18,247
1762607165,2025-11-08T13:06:05Z,CFG9AP,"50.043331,8.563249",0,13,250
1762607179,2025-11-08T13:06:19Z,CFG9AP,"50.043015,8.56195",0,15,250
1762607188,2025-11-08T13:06:28Z,CFG9AP,"50.042782,8.560985",0,0,250
1762607200,2025-11-08T13:06:40Z,CFG9AP,"50.042572,8.560094",0,0,250
1762607213,2025-11-08T13:06:53Z,CFG9AP,"50.0424,8.559389",0,9,250
1762607230,2025-11-08T13:07:10Z,CFG9AP,"50.042118,8.558164",0,11,250
1762607236,2025-11-08T13:07:16Z,CFG9AP,"50.042004,8.5577",0,12,247
1762607240,2025-11-08T13:07:20Z,CFG9AP,"50.041897,8.557292",0,13,250
1762607244,2025-11-08T13:07:24Z,CFG9AP,"50.041805,8.556921",0,13,250
1762607253,2025-11-08T13:07:33Z,CFG9AP,"50.041603,8.556037",0,15,247
1762607259,2025-11-08T13:07:39Z,CFG9AP,"50.041492,8.555621",0,15,250
1762607264,2025-11-08T13:07:44Z,CFG9AP,"50.041443,8.555399",0,15,250
1762607267,2025-11-08T13:07:47Z,CFG9AP,"50.04126,8.554583",0,16,250
1762607271,2025-11-08T13:07:51Z,CFG9AP,"50.041168,8.55423",0,16,250
1762607274,2025-11-08T13:07:54Z,CFG9AP,"50.041073,8.553822",0,16,250
1762607285,2025-11-08T13:08:05Z,CFG9AP,"50.040886,8.553061",0,16,250
1762607295,2025-11-08T13:08:15Z,CFG9AP,"50.040527,8.551538",0,16,250
1762607299,2025-11-08T13:08:19Z,CFG9AP,"50.040432,8.55113",0,14,250
1762607302,2025-11-08T13:08:22Z,CFG9AP,"50.040367,8.550869",0,13,250
1762607305,2025-11-08T13:08:25Z,CFG9AP,"50.040291,8.550573",0,13,250
1762607313,2025-11-08T13:08:33Z,CFG9AP,"50.040138,8.549893",0,14,250
1762607319,2025-11-08T13:08:39Z,CFG9AP,"50.039989,8.549296",0,14,250
1762607327,2025-11-08T13:08:47Z,CFG9AP,"50.039818,8.548592",0,15,247
1762607333,2025-11-08T13:08:53Z,CFG9AP,"50.039665,8.547938",0,13,250
1762607335,2025-11-08T13:08:55Z,CFG9AP,"50.039616,8.547734",0,13,250
1762607342,2025-11-08T13:09:02Z,CFG9AP,"50.039497,8.547236",0,12,250
1762607348,2025-11-08T13:09:08Z,CFG9AP,"50.039371,8.546695",0,13,250
1762607351,2025-11-08T13:09:11Z,CFG9AP,"50.039303,8.546417",0,14,247
1762607357,2025-11-08T13:09:17Z,CFG9AP,"50.0392,8.54599",0,14,247
1762607361,2025-11-08T13:09:21Z,CFG9AP,"50.039051,8.545394",0,15,247
1762607364,2025-11-08T13:09:24Z,CFG9AP,"50.038979,8.54508",0,15,250
1762607366,2025-11-08T13:09:26Z,CFG9AP,"50.038918,8.54484",0,16,250
1762607370,2025-11-08T13:09:30Z,CFG9AP,"50.038837,8.544468",0,16,250
1762607372,2025-11-08T13:09:32Z,CFG9AP,"50.038757,8.544153",0,17,247
1762607375,2025-11-08T13:09:35Z,CFG9AP,"50.038696,8.543912",0,17,244
1762607377,2025-11-08T13:09:37Z,CFG9AP,"50.038582,8.543614",0,18,239
1762607381,2025-11-08T13:09:41Z,CFG9AP,"50.038376,8.543189",0,18,233
1762607386,2025-11-08T13:09:46Z,CFG9AP,"50.038136,8.542647",0,18,236
1762607389,2025-11-08T13:09:49Z,CFG9AP,"50.038033,8.542358",0,19,241
1762607392,2025-11-08T13:09:52Z,CFG9AP,"50.037952,8.542019",0,19,247
1762607393,2025-11-08T13:09:53Z,CFG9AP,"50.037895,8.54174",0,19,250
1762607395,2025-11-08T13:09:55Z,CFG9AP,"50.037815,8.541418",0,19,250
1762607401,2025-11-08T13:10:01Z,CFG9AP,"50.037621,8.540606",0,20,250
1762607405,2025-11-08T13:10:05Z,CFG9AP,"50.037498,8.540089",0,20,250
1762607408,2025-11-08T13:10:08Z,CFG9AP,"50.037418,8.539736",0,21,250
1762607410,2025-11-08T13:10:10Z,CFG9AP,"50.037312,8.539328",0,21,247
1762607412,2025-11-08T13:10:12Z,CFG9AP,"50.037266,8.539105",0,21,250
1762607413,2025-11-08T13:10:13Z,CFG9AP,"50.037209,8.538882",0,21,250
1762607416,2025-11-08T13:10:16Z,CFG9AP,"50.037113,8.538492",0,21,250
1762607419,2025-11-08T13:10:19Z,CFG9AP,"50.03701,8.538047",0,18,250
1762607427,2025-11-08T13:10:27Z,CFG9AP,"50.036835,8.537342",0,14,250
1762607431,2025-11-08T13:10:31Z,CFG9AP,"50.036739,8.536919",0,14,250
1762607433,2025-11-08T13:10:33Z,CFG9AP,"50.036697,8.536711",0,14,250
1762607436,2025-11-08T13:10:36Z,CFG9AP,"50.036625,8.536413",0,15,250
1762607439,2025-11-08T13:10:39Z,CFG9AP,"50.036545,8.536088",0,15,247
1762607447,2025-11-08T13:10:47Z,CFG9AP,"50.036312,8.535245",0,16,247
1762607453,2025-11-08T13:10:53Z,CFG9AP,"50.036144,8.534552",0,16,250
1762607456,2025-11-08T13:10:56Z,CFG9AP,"50.036076,8.534263",0,17,250
1762607459,2025-11-08T13:10:59Z,CFG9AP,"50.035984,8.533883",0,16,247
1762607466,2025-11-08T13:11:06Z,CFG9AP,"50.035847,8.533287",0,14,247
1762607469,2025-11-08T13:11:09Z,CFG9AP,"50.035778,8.532999",0,12,247
1762607472,2025-11-08T13:11:12Z,CFG9AP,"50.035717,8.532758",0,10,247
1762607477,2025-11-08T13:11:17Z,CFG9AP,"50.035648,8.532498",0,7,247
1762607483,2025-11-08T13:11:23Z,CFG9AP,"50.035591,8.53222",0,7,250
1762607490,2025-11-08T13:11:30Z,CFG9AP,"50.035496,8.531849",0,8,250
1762607497,2025-11-08T13:11:37Z,CFG9AP,"50.035404,8.531459",0,9,250
1762607506,2025-11-08T13:11:46Z,CFG9AP,"50.035275,8.530884",0,10,250
1762607512,2025-11-08T13:11:52Z,CFG9AP,"50.035149,8.530414",0,11,247
1762607517,2025-11-08T13:11:57Z,CFG9AP,"50.035069,8.53007",0,10,250
1762607523,2025-11-08T13:12:03Z,CFG9AP,"50.035007,8.529789",0,6,250
1762607532,2025-11-08T13:12:12Z,CFG9AP,"50.034916,8.529418",0,6,247
1762607538,2025-11-08T13:12:18Z,CFG9AP,"50.03484,8.529131",0,7,247
1762607545,2025-11-08T13:12:25Z,CFG9AP,"50.03474,8.528769",0,8,247
1762607550,2025-11-08T13:12:30Z,CFG9AP,"50.034672,8.52849",0,9,244
1762607554,2025-11-08T13:12:34Z,CFG9AP,"50.034576,8.52821",0,10,244
1762607561,2025-11-08T13:12:41Z,CFG9AP,"50.034462,8.527794",0,10,247
1762607567,2025-11-08T13:12:47Z,CFG9AP,"50.034393,8.527488",0,7,247
1762607575,2025-11-08T13:12:55Z,CFG9AP,"50.034325,8.527234",0,3,250
1762607635,2025-11-08T13:13:55Z,CFG9AP,"50.034267,8.526962",0,4,247
1762607644,2025-11-08T13:14:04Z,CFG9AP,"50.034206,8.526746",0,5,247
1762607650,2025-11-08T13:14:10Z,CFG9AP,"50.034107,8.526366",0,7,250
1762607658,2025-11-08T13:14:18Z,CFG9AP,"50.034031,8.525985",0,5,250
1762607671,2025-11-08T13:14:31Z,CFG9AP,"50.033821,8.525879",0,4,202
1762607721,2025-11-08T13:15:21Z,CFG9AP,"50.033531,8.525928",0,12,180
