Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762267277,2025-11-04T14:41:17Z,DAL1087,"40.784969,-111.986481",0,0,11
1762267291,2025-11-04T14:41:31Z,DAL1087,"40.784763,-111.986526",0,4,22
1762267306,2025-11-04T14:41:46Z,DAL1087,"40.784534,-111.986679",0,3,61
1762267323,2025-11-04T14:42:03Z,DAL1087,"40.784451,-111.986969",0,3,87
1762267334,2025-11-04T14:42:14Z,DAL1087,"40.784439,-111.987183",0,4,87
1762267344,2025-11-04T14:42:24Z,DAL1087,"40.784428,-111.987389",0,3,87
1762267357,2025-11-04T14:42:37Z,DAL1087,"40.784443,-111.98764",0,4,70
1762267369,2025-11-04T14:42:49Z,DAL1087,"40.784397,-111.987869",0,3,22
1762267522,2025-11-04T14:45:22Z,DAL1087,"40.784328,-111.988129",0,3,298
1762267532,2025-11-04T14:45:32Z,DAL1087,"40.784351,-111.988373",0,5,275
1762267540,2025-11-04T14:45:40Z,DAL1087,"40.784348,-111.988655",0,6,267
1762267547,2025-11-04T14:45:47Z,DAL1087,"40.784328,-111.988922",0,7,264
1762267552,2025-11-04T14:45:52Z,DAL1087,"40.784309,-111.989166",0,9,264
1762267558,2025-11-04T14:45:58Z,DAL1087,"40.784286,-111.989479",0,9,264
1762267562,2025-11-04T14:46:02Z,DAL1087,"40.784271,-111.989731",0,10,264
1762267569,2025-11-04T14:46:09Z,DAL1087,"40.784241,-111.990166",0,10,264
1762267577,2025-11-04T14:46:17Z,DAL1087,"40.784203,-111.990707",0,12,264
1762267585,2025-11-04T14:46:25Z,DAL1087,"40.784168,-111.991272",0,13,264
1762267591,2025-11-04T14:46:31Z,DAL1087,"40.784122,-111.991806",0,13,264
1762267598,2025-11-04T14:46:38Z,DAL1087,"40.784111,-111.99234",0,14,267
1762267605,2025-11-04T14:46:45Z,DAL1087,"40.784088,-111.992935",0,13,267
1762267608,2025-11-04T14:46:48Z,DAL1087,"40.784111,-111.993149",0,13,275
