Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762291305,2025-11-04T21:21:45Z,DAL1647,"33.946941,-118.40773",0,0,160
1762291519,2025-11-04T21:25:19Z,DAL1647,"33.947159,-118.407814",0,3,160
1762291538,2025-11-04T21:25:38Z,DAL1647,"33.947365,-118.407951",0,3,182
1762291554,2025-11-04T21:25:54Z,DAL1647,"33.947571,-118.408066",0,3,250
1762291718,2025-11-04T21:28:38Z,DAL1647,"33.947601,-118.408272",0,5,264
1762291726,2025-11-04T21:28:46Z,DAL1647,"33.947617,-118.408516",0,6,275
1762291733,2025-11-04T21:28:53Z,DAL1647,"33.947742,-118.40873",0,8,298
1762291739,2025-11-04T21:28:59Z,DAL1647,"33.947952,-118.408875",0,9,326
1762291743,2025-11-04T21:29:03Z,DAL1647,"33.948162,-118.408882",0,10,351
1762291749,2025-11-04T21:29:09Z,DAL1647,"33.948372,-118.408699",0,10,36
1762291753,2025-11-04T21:29:13Z,DAL1647,"33.948406,-118.40847",0,10,67
1762291757,2025-11-04T21:29:17Z,DAL1647,"33.948429,-118.408257",0,10,78
1762291761,2025-11-04T21:29:21Z,DAL1647,"33.948441,-118.408035",0,11,81
1762291764,2025-11-04T21:29:24Z,DAL1647,"33.948475,-118.407799",0,11,81
1762291768,2025-11-04T21:29:28Z,DAL1647,"33.948498,-118.407585",0,12,84
1762291771,2025-11-04T21:29:31Z,DAL1647,"33.948521,-118.407341",0,13,84
1762291775,2025-11-04T21:29:35Z,DAL1647,"33.948544,-118.407028",0,14,84
1762291782,2025-11-04T21:29:42Z,DAL1647,"33.948616,-118.406425",0,15,84
1762291785,2025-11-04T21:29:45Z,DAL1647,"33.948624,-118.406219",0,16,81
1762291788,2025-11-04T21:29:48Z,DAL1647,"33.948658,-118.405937",0,16,84
1762291791,2025-11-04T21:29:51Z,DAL1647,"33.948692,-118.405602",0,17,81
1762291794,2025-11-04T21:29:54Z,DAL1647,"33.948719,-118.40535",0,18,84
1762291796,2025-11-04T21:29:56Z,DAL1647,"33.94875,-118.405106",0,16,84
1762291799,2025-11-04T21:29:59Z,DAL1647,"33.948765,-118.404892",0,14,84
