Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762516398,2025-11-07T11:53:18Z,DAL2534,"29.52475,-98.470963",0,3,36
1762516822,2025-11-07T12:00:22Z,DAL2534,"29.524803,-98.470688",0,5,84
1762516832,2025-11-07T12:00:32Z,DAL2534,"29.524639,-98.470474",0,5,135
1762516843,2025-11-07T12:00:43Z,DAL2534,"29.524418,-98.470428",0,4,171
1762516860,2025-11-07T12:01:00Z,DAL2534,"29.524212,-98.470589",0,3,213
1762516879,2025-11-07T12:01:19Z,DAL2534,"29.524,-98.470657",0,1,191
1762516920,2025-11-07T12:02:00Z,DAL2534,"29.523777,-98.470459",0,4,137
1762516930,2025-11-07T12:02:10Z,DAL2534,"29.523626,-98.470245",0,6,129
1762516939,2025-11-07T12:02:19Z,DAL2534,"29.523453,-98.470016",0,7,129
1762516945,2025-11-07T12:02:25Z,DAL2534,"29.523394,-98.469788",0,8,101
1762516954,2025-11-07T12:02:34Z,DAL2534,"29.523663,-98.46949",0,10,39
1762516959,2025-11-07T12:02:39Z,DAL2534,"29.52396,-98.469208",0,23,39
1762516961,2025-11-07T12:02:41Z,DAL2534,"29.524208,-98.468948",0,34,42
1762516963,2025-11-07T12:02:43Z,DAL2534,"29.524544,-98.46862",0,45,39
1762516965,2025-11-07T12:02:45Z,DAL2534,"29.524899,-98.468277",0,56,39
1762516967,2025-11-07T12:02:47Z,DAL2534,"29.525356,-98.467834",0,66,42
1762516969,2025-11-07T12:02:49Z,DAL2534,"29.525608,-98.467583",0,70,42
1762516970,2025-11-07T12:02:50Z,DAL2534,"29.526203,-98.466988",0,82,39
1762516972,2025-11-07T12:02:52Z,DAL2534,"29.526699,-98.466499",0,90,39
1762516973,2025-11-07T12:02:53Z,DAL2534,"29.527061,-98.466156",0,96,42
1762516975,2025-11-07T12:02:55Z,DAL2534,"29.527851,-98.465393",850,106,41
1762516978,2025-11-07T12:02:58Z,DAL2534,"29.529099,-98.464172",850,120,40
1762516980,2025-11-07T12:03:00Z,DAL2534,"29.529993,-98.463242",850,129,40
1762516983,2025-11-07T12:03:03Z,DAL2534,"29.531433,-98.461853",850,141,40
1762516985,2025-11-07T12:03:05Z,DAL2534,"29.532413,-98.460815",850,148,40
1762516987,2025-11-07T12:03:07Z,DAL2534,"29.533539,-98.45974",800,156,40
1762516990,2025-11-07T12:03:10Z,DAL2534,"29.534729,-98.458572",800,163,40
1762516992,2025-11-07T12:03:12Z,DAL2534,"29.536469,-98.456886",900,167,41
1762516994,2025-11-07T12:03:14Z,DAL2534,"29.537338,-98.455986",950,167,41
1762516997,2025-11-07T12:03:17Z,DAL2534,"29.538744,-98.454575",1075,165,40
