Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762267496,2025-11-04T14:44:56Z,DAL2980,"33.946194,-118.403381",0,0,244
1762268566,2025-11-04T15:02:46Z,DAL2980,"33.946262,-118.403175",0,0,241
1762268593,2025-11-04T15:03:13Z,DAL2980,"33.946358,-118.402962",0,0,239
1762268617,2025-11-04T15:03:37Z,DAL2980,"33.946484,-118.402748",0,0,261
1762268644,2025-11-04T15:04:04Z,DAL2980,"33.946529,-118.402542",0,0,326
1762268719,2025-11-04T15:05:19Z,DAL2980,"33.946732,-118.402519",0,2,2
1762268740,2025-11-04T15:05:40Z,DAL2980,"33.946941,-118.402534",0,0,357
1762268767,2025-11-04T15:06:07Z,DAL2980,"33.947147,-118.402557",0,0,354
1762268939,2025-11-04T15:08:59Z,DAL2980,"33.947353,-118.402588",0,4,354
1762268948,2025-11-04T15:09:08Z,DAL2980,"33.94759,-118.402618",0,6,354
1762268956,2025-11-04T15:09:16Z,DAL2980,"33.947823,-118.402664",0,7,351
1762268962,2025-11-04T15:09:22Z,DAL2980,"33.948032,-118.402702",0,7,348
1762268968,2025-11-04T15:09:28Z,DAL2980,"33.948246,-118.402794",0,7,340
1762268976,2025-11-04T15:09:36Z,DAL2980,"33.948498,-118.402878",0,8,348
1762268982,2025-11-04T15:09:42Z,DAL2980,"33.948742,-118.402863",0,9,5
1762268989,2025-11-04T15:09:49Z,DAL2980,"33.948952,-118.402649",0,9,47
1762268993,2025-11-04T15:09:53Z,DAL2980,"33.949024,-118.402405",0,10,73
1762268997,2025-11-04T15:09:57Z,DAL2980,"33.949047,-118.402191",0,10,78
1762269001,2025-11-04T15:10:01Z,DAL2980,"33.94907,-118.40197",0,10,81
1762269005,2025-11-04T15:10:05Z,DAL2980,"33.949093,-118.401733",0,10,84
1762269010,2025-11-04T15:10:10Z,DAL2980,"33.949127,-118.401482",0,10,84
1762269014,2025-11-04T15:10:14Z,DAL2980,"33.94915,-118.401245",0,10,84
1762269022,2025-11-04T15:10:22Z,DAL2980,"33.949184,-118.400894",0,7,84
1762269043,2025-11-04T15:10:43Z,DAL2980,"33.949299,-118.400681",0,5,53
1762269050,2025-11-04T15:10:50Z,DAL2980,"33.949535,-118.400635",0,7,5
1762269058,2025-11-04T15:10:58Z,DAL2980,"33.949768,-118.40065",0,7,357
1762269065,2025-11-04T15:11:05Z,DAL2980,"33.949997,-118.400665",0,6,357
1762269074,2025-11-04T15:11:14Z,DAL2980,"33.950199,-118.400688",0,4,351
1762269086,2025-11-04T15:11:26Z,DAL2980,"33.950306,-118.400894",0,4,298
1762269099,2025-11-04T15:11:39Z,DAL2980,"33.95026,-118.401115",0,3,264
1762269107,2025-11-04T15:11:47Z,DAL2980,"33.950233,-118.401405",0,12,264
1762269110,2025-11-04T15:11:50Z,DAL2980,"33.950211,-118.401619",0,21,264
1762269111,2025-11-04T15:11:51Z,DAL2980,"33.950188,-118.401947",0,32,264
1762269114,2025-11-04T15:11:54Z,DAL2980,"33.950123,-118.402542",0,47,261
1762269115,2025-11-04T15:11:55Z,DAL2980,"33.950092,-118.402832",0,52,261
1762269116,2025-11-04T15:11:56Z,DAL2980,"33.950058,-118.403175",0,57,261
1762269117,2025-11-04T15:11:57Z,DAL2980,"33.950001,-118.403694",0,62,261
1762269119,2025-11-04T15:11:59Z,DAL2980,"33.949944,-118.404282",0,70,264
1762269120,2025-11-04T15:12:00Z,DAL2980,"33.949917,-118.404495",0,70,261
1762269121,2025-11-04T15:12:01Z,DAL2980,"33.949837,-118.405373",0,80,261
1762269122,2025-11-04T15:12:02Z,DAL2980,"33.94978,-118.405869",0,84,261
1762269123,2025-11-04T15:12:03Z,DAL2980,"33.949722,-118.40641",0,88,261
1762269125,2025-11-04T15:12:05Z,DAL2980,"33.949673,-118.406921",0,94,264
1762269126,2025-11-04T15:12:06Z,DAL2980,"33.949585,-118.407845",0,98,261
1762269128,2025-11-04T15:12:08Z,DAL2980,"33.949429,-118.409103",0,106,263
1762269130,2025-11-04T15:12:10Z,DAL2980,"33.94931,-118.410423",0,119,262
1762269132,2025-11-04T15:12:12Z,DAL2980,"33.94915,-118.41185",0,127,262
1762269135,2025-11-04T15:12:15Z,DAL2980,"33.949009,-118.41333",0,134,263
1762269137,2025-11-04T15:12:17Z,DAL2980,"33.948853,-118.414848",0,142,263
1762269139,2025-11-04T15:12:19Z,DAL2980,"33.948639,-118.416824",0,153,262
1762269141,2025-11-04T15:12:21Z,DAL2980,"33.948452,-118.41877",0,157,263
1762269143,2025-11-04T15:12:23Z,DAL2980,"33.948303,-118.420456",0,166,263
1762269145,2025-11-04T15:12:25Z,DAL2980,"33.948078,-118.422714",0,169,263
1762269147,2025-11-04T15:12:27Z,DAL2980,"33.947895,-118.424667",0,173,263
1762269149,2025-11-04T15:12:29Z,DAL2980,"33.947662,-118.426552",75,174,263
1762269151,2025-11-04T15:12:31Z,DAL2980,"33.947475,-118.428665",175,171,263
