Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762193397,2025-11-03T18:09:57Z,SKW114T,"40.787853,-111.984619",0,6,250
1762193410,2025-11-03T18:10:10Z,SKW114T,"40.787697,-111.985405",0,0,264
1762193418,2025-11-03T18:10:18Z,SKW114T,"40.78767,-111.985809",0,9,264
1762193437,2025-11-03T18:10:37Z,SKW114T,"40.787579,-111.987152",0,0,264
1762193447,2025-11-03T18:10:47Z,SKW114T,"40.787521,-111.987976",0,14,267
1762193490,2025-11-03T18:11:30Z,SKW114T,"40.787254,-111.992241",0,17,267
1762193498,2025-11-03T18:11:38Z,SKW114T,"40.787235,-111.993179",0,17,267
1762193506,2025-11-03T18:11:46Z,SKW114T,"40.787182,-111.994019",0,17,267
1762193510,2025-11-03T18:11:50Z,SKW114T,"40.78714,-111.994347",0,15,255
1762193513,2025-11-03T18:11:53Z,SKW114T,"40.787052,-111.994568",0,13,233
1762193517,2025-11-03T18:11:57Z,SKW114T,"40.786846,-111.994705",0,13,194
1762193520,2025-11-03T18:12:00Z,SKW114T,"40.786613,-111.994675",0,14,171
1762193524,2025-11-03T18:12:04Z,SKW114T,"40.786407,-111.994644",0,14,174
1762193529,2025-11-03T18:12:09Z,SKW114T,"40.786022,-111.994598",0,15,174
1762193532,2025-11-03T18:12:12Z,SKW114T,"40.785778,-111.994568",0,15,174
1762193538,2025-11-03T18:12:18Z,SKW114T,"40.785332,-111.994507",0,17,173
1762193540,2025-11-03T18:12:20Z,SKW114T,"40.785099,-111.994522",0,15,179
1762193544,2025-11-03T18:12:24Z,SKW114T,"40.784859,-111.994461",0,15,173
1762193547,2025-11-03T18:12:27Z,SKW114T,"40.78458,-111.994408",0,20,172
1762193550,2025-11-03T18:12:30Z,SKW114T,"40.784351,-111.994392",0,17,176
1762193553,2025-11-03T18:12:33Z,SKW114T,"40.784069,-111.994408",0,19,181
1762193556,2025-11-03T18:12:36Z,SKW114T,"40.783718,-111.994362",0,20,172
1762193559,2025-11-03T18:12:39Z,SKW114T,"40.783459,-111.994278",0,20,166
1762193563,2025-11-03T18:12:43Z,SKW114T,"40.783119,-111.994217",0,25,170
1762193566,2025-11-03T18:12:46Z,SKW114T,"40.782879,-111.994232",0,20,177
1762193569,2025-11-03T18:12:49Z,SKW114T,"40.782612,-111.994217",0,20,177
1762193571,2025-11-03T18:12:51Z,SKW114T,"40.782379,-111.994202",0,23,175
1762193574,2025-11-03T18:12:54Z,SKW114T,"40.782082,-111.994164",0,22,176
1762193576,2025-11-03T18:12:56Z,SKW114T,"40.781879,-111.994102",0,23,170
1762193579,2025-11-03T18:12:59Z,SKW114T,"40.781509,-111.99408",0,20,175
1762193583,2025-11-03T18:13:03Z,SKW114T,"40.78117,-111.994041",0,24,175
1762193586,2025-11-03T18:13:06Z,SKW114T,"40.78088,-111.994118",0,21,189
1762193589,2025-11-03T18:13:09Z,SKW114T,"40.780521,-111.994263",0,20,195
1762193593,2025-11-03T18:13:13Z,SKW114T,"40.780258,-111.994362",0,20,195
1762193596,2025-11-03T18:13:16Z,SKW114T,"40.779968,-111.994408",0,18,189
1762193599,2025-11-03T18:13:19Z,SKW114T,"40.77972,-111.9944",0,18,180
1762193602,2025-11-03T18:13:22Z,SKW114T,"40.779469,-111.994377",0,18,178
1762193606,2025-11-03T18:13:26Z,SKW114T,"40.77924,-111.994347",0,18,176
