Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762205304,2025-11-03T21:28:24Z,SKW3748,"47.441265,-122.303131",0,0,292
1762205452,2025-11-03T21:30:52Z,SKW3748,"47.441185,-122.302841",0,3,295
1762205464,2025-11-03T21:31:04Z,SKW3748,"47.441093,-122.30262",0,3,320
1762205481,2025-11-03T21:31:21Z,SKW3748,"47.440884,-122.302444",0,3,345
1762205499,2025-11-03T21:31:39Z,SKW3748,"47.440639,-122.302391",0,3,337
1762205517,2025-11-03T21:31:57Z,SKW3748,"47.44051,-122.30217",0,2,286
1762205662,2025-11-03T21:34:22Z,SKW3748,"47.440395,-122.302376",0,6,227
1762205667,2025-11-03T21:34:27Z,SKW3748,"47.440224,-122.302673",0,10,233
1762205672,2025-11-03T21:34:32Z,SKW3748,"47.440117,-122.302902",0,11,239
1762205675,2025-11-03T21:34:35Z,SKW3748,"47.440025,-122.3032",0,12,250
1762205678,2025-11-03T21:34:38Z,SKW3748,"47.439976,-122.303413",0,13,255
1762205680,2025-11-03T21:34:40Z,SKW3748,"47.439941,-122.303658",0,13,261
1762205683,2025-11-03T21:34:43Z,SKW3748,"47.439926,-122.30394",0,13,264
1762205687,2025-11-03T21:34:47Z,SKW3748,"47.439915,-122.304184",0,12,267
1762205690,2025-11-03T21:34:50Z,SKW3748,"47.439915,-122.304459",0,10,270
1762205694,2025-11-03T21:34:54Z,SKW3748,"47.439919,-122.304703",0,7,270
1762205699,2025-11-03T21:34:59Z,SKW3748,"47.439915,-122.304939",0,8,272
1762205703,2025-11-03T21:35:03Z,SKW3748,"47.439919,-122.305206",0,10,272
1762205706,2025-11-03T21:35:06Z,SKW3748,"47.439919,-122.305473",0,11,270
1762205710,2025-11-03T21:35:10Z,SKW3748,"47.439926,-122.305763",0,10,272
1762205714,2025-11-03T21:35:14Z,SKW3748,"47.439972,-122.306",0,11,292
1762205717,2025-11-03T21:35:17Z,SKW3748,"47.440105,-122.306229",0,11,317
1762205722,2025-11-03T21:35:22Z,SKW3748,"47.440315,-122.306335",0,11,348
1762205726,2025-11-03T21:35:26Z,SKW3748,"47.440548,-122.306351",0,11,357
1762205731,2025-11-03T21:35:31Z,SKW3748,"47.440792,-122.306351",0,11,357
1762205736,2025-11-03T21:35:36Z,SKW3748,"47.441025,-122.306351",0,11,357
1762205741,2025-11-03T21:35:41Z,SKW3748,"47.441265,-122.306343",0,10,357
1762205748,2025-11-03T21:35:48Z,SKW3748,"47.441608,-122.306343",0,10,357
1762205755,2025-11-03T21:35:55Z,SKW3748,"47.441906,-122.306343",0,9,357
1762205763,2025-11-03T21:36:03Z,SKW3748,"47.442284,-122.306343",0,9,357
1762205771,2025-11-03T21:36:11Z,SKW3748,"47.442608,-122.306335",0,9,357
1762205776,2025-11-03T21:36:16Z,SKW3748,"47.442844,-122.306328",0,9,2
1762205783,2025-11-03T21:36:23Z,SKW3748,"47.443153,-122.306328",0,9,2
1762205789,2025-11-03T21:36:29Z,SKW3748,"47.443386,-122.306335",0,9,2
1762205796,2025-11-03T21:36:36Z,SKW3748,"47.443714,-122.306335",0,9,2
1762205804,2025-11-03T21:36:44Z,SKW3748,"47.44405,-122.306335",0,10,2
1762205811,2025-11-03T21:36:51Z,SKW3748,"47.444389,-122.30632",0,10,2
1762205818,2025-11-03T21:36:58Z,SKW3748,"47.444687,-122.306328",0,10,2
1762205826,2025-11-03T21:37:06Z,SKW3748,"47.445099,-122.306313",0,11,2
1762205834,2025-11-03T21:37:14Z,SKW3748,"47.445507,-122.30632",0,11,2
1762205840,2025-11-03T21:37:20Z,SKW3748,"47.445854,-122.306305",0,12,2
1762205848,2025-11-03T21:37:28Z,SKW3748,"47.446289,-122.306313",0,12,2
1762205856,2025-11-03T21:37:36Z,SKW3748,"47.446735,-122.30629",0,12,2
1762205862,2025-11-03T21:37:42Z,SKW3748,"47.447029,-122.306305",0,8,2
1762205871,2025-11-03T21:37:51Z,SKW3748,"47.44725,-122.306305",0,4,2
1762205914,2025-11-03T21:38:34Z,SKW3748,"47.447456,-122.30629",0,0,2
1762205944,2025-11-03T21:39:04Z,SKW3748,"47.447662,-122.30629",0,3,2
1762205956,2025-11-03T21:39:16Z,SKW3748,"47.447868,-122.30629",0,4,2
1762205967,2025-11-03T21:39:27Z,SKW3748,"47.448109,-122.30629",0,5,2
1762205975,2025-11-03T21:39:35Z,SKW3748,"47.448326,-122.30629",0,7,2
1762205981,2025-11-03T21:39:41Z,SKW3748,"47.448544,-122.30629",0,8,2
1762205988,2025-11-03T21:39:48Z,SKW3748,"47.448845,-122.306282",0,9,2
1762205995,2025-11-03T21:39:55Z,SKW3748,"47.449123,-122.306282",0,10,2
1762206002,2025-11-03T21:40:02Z,SKW3748,"47.449497,-122.306282",0,11,2
1762206009,2025-11-03T21:40:09Z,SKW3748,"47.449825,-122.306274",0,12,2
1762206016,2025-11-03T21:40:16Z,SKW3748,"47.450287,-122.306282",0,13,2
1762206024,2025-11-03T21:40:24Z,SKW3748,"47.450764,-122.306274",0,14,2
1762206031,2025-11-03T21:40:31Z,SKW3748,"47.451302,-122.306259",0,15,2
1762206039,2025-11-03T21:40:39Z,SKW3748,"47.451862,-122.306259",0,16,2
1762206046,2025-11-03T21:40:46Z,SKW3748,"47.452419,-122.306252",0,16,2
1762206054,2025-11-03T21:40:54Z,SKW3748,"47.453018,-122.306259",0,16,2
1762206062,2025-11-03T21:41:02Z,SKW3748,"47.453651,-122.306252",0,16,2
1762206070,2025-11-03T21:41:10Z,SKW3748,"47.454258,-122.306229",0,16,2
1762206078,2025-11-03T21:41:18Z,SKW3748,"47.454826,-122.306244",0,16,2
1762206085,2025-11-03T21:41:25Z,SKW3748,"47.455421,-122.306229",0,16,2
1762206092,2025-11-03T21:41:32Z,SKW3748,"47.455994,-122.306229",0,17,2
1762206099,2025-11-03T21:41:39Z,SKW3748,"47.456505,-122.306213",0,17,2
1762206107,2025-11-03T21:41:47Z,SKW3748,"47.457161,-122.306206",0,18,2
