Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762197009,2025-11-03T19:10:09Z,SKW4050,"32.119801,-110.938934",0,2,22
1762197028,2025-11-03T19:10:28Z,SKW4050,"32.119583,-110.939064",0,3,33
1762197222,2025-11-03T19:13:42Z,SKW4050,"32.119537,-110.939308",0,5,306
1762197229,2025-11-03T19:13:49Z,SKW4050,"32.119682,-110.939575",0,8,300
1762197237,2025-11-03T19:13:57Z,SKW4050,"32.119869,-110.939926",0,11,306
1762197241,2025-11-03T19:14:01Z,SKW4050,"32.120022,-110.94014",0,13,312
1762197245,2025-11-03T19:14:05Z,SKW4050,"32.120201,-110.940384",0,12,309
1762197249,2025-11-03T19:14:09Z,SKW4050,"32.120293,-110.940613",0,11,284
1762197254,2025-11-03T19:14:14Z,SKW4050,"32.120247,-110.940872",0,10,244
1762197259,2025-11-03T19:14:19Z,SKW4050,"32.120121,-110.941124",0,12,239
1762197262,2025-11-03T19:14:22Z,SKW4050,"32.120056,-110.941345",0,13,261
1762197266,2025-11-03T19:14:26Z,SKW4050,"32.120098,-110.941589",0,14,292
1762197270,2025-11-03T19:14:30Z,SKW4050,"32.1203,-110.941864",0,15,315
1762197275,2025-11-03T19:14:35Z,SKW4050,"32.120556,-110.942154",0,16,315
1762197279,2025-11-03T19:14:39Z,SKW4050,"32.120777,-110.942421",0,17,315
1762197282,2025-11-03T19:14:42Z,SKW4050,"32.120964,-110.942642",0,18,315
1762197286,2025-11-03T19:14:46Z,SKW4050,"32.121185,-110.942894",0,19,315
1762197294,2025-11-03T19:14:54Z,SKW4050,"32.121735,-110.943542",0,21,315
1762197301,2025-11-03T19:15:01Z,SKW4050,"32.12225,-110.944145",0,23,315
1762197308,2025-11-03T19:15:08Z,SKW4050,"32.122799,-110.944801",0,21,315
1762197316,2025-11-03T19:15:16Z,SKW4050,"32.123234,-110.945305",0,15,315
1762197322,2025-11-03T19:15:22Z,SKW4050,"32.123543,-110.945671",0,11,315
1762197329,2025-11-03T19:15:29Z,SKW4050,"32.123772,-110.945946",0,8,315
1762197337,2025-11-03T19:15:37Z,SKW4050,"32.123955,-110.946152",0,6,315
1762197345,2025-11-03T19:15:45Z,SKW4050,"32.124138,-110.946365",0,8,309
1762197350,2025-11-03T19:15:50Z,SKW4050,"32.124184,-110.946587",0,10,275
1762197355,2025-11-03T19:15:55Z,SKW4050,"32.124126,-110.946823",0,8,239
1762197460,2025-11-03T19:17:40Z,SKW4050,"32.123909,-110.947083",0,0,225
1762197468,2025-11-03T19:17:48Z,SKW4050,"32.123722,-110.947296",0,8,225
1762197475,2025-11-03T19:17:55Z,SKW4050,"32.123531,-110.947533",0,10,227
1762197481,2025-11-03T19:18:01Z,SKW4050,"32.123348,-110.947739",0,6,219
1762197492,2025-11-03T19:18:12Z,SKW4050,"32.123127,-110.947647",0,4,135
1762197551,2025-11-03T19:19:11Z,SKW4050,"32.122627,-110.947044",0,0,135
1762197558,2025-11-03T19:19:18Z,SKW4050,"32.121323,-110.945488",2450,70,135
1762197567,2025-11-03T19:19:27Z,SKW4050,"32.118763,-110.942467",2450,100,135
1762197576,2025-11-03T19:19:36Z,SKW4050,"32.115273,-110.938431",2450,131,135
1762197584,2025-11-03T19:19:44Z,SKW4050,"32.11116,-110.933571",2450,155,135
1762197591,2025-11-03T19:19:51Z,SKW4050,"32.107918,-110.929794",2550,161,135
1762197599,2025-11-03T19:19:59Z,SKW4050,"32.103306,-110.924416",2900,157,134
