Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762475421,2025-11-07T00:30:21Z,DAL847,"40.785519,-111.980438",0,0,354
1762475538,2025-11-07T00:32:18Z,DAL847,"40.78529,-111.980408",0,3,348
1762475561,2025-11-07T00:32:41Z,DAL847,"40.784962,-111.980286",0,3,19
1762475691,2025-11-07T00:34:51Z,DAL847,"40.784904,-111.980057",0,6,78
1762475697,2025-11-07T00:34:57Z,DAL847,"40.784927,-111.979805",0,7,81
1762475703,2025-11-07T00:35:03Z,DAL847,"40.784946,-111.979568",0,8,84
1762475709,2025-11-07T00:35:09Z,DAL847,"40.784969,-111.979233",0,9,84
1762475715,2025-11-07T00:35:15Z,DAL847,"40.784996,-111.978867",0,10,84
1762475719,2025-11-07T00:35:19Z,DAL847,"40.785027,-111.978653",0,10,81
1762475722,2025-11-07T00:35:22Z,DAL847,"40.785057,-111.978416",0,11,78
1762475730,2025-11-07T00:35:30Z,DAL847,"40.785118,-111.977829",0,13,81
1762475735,2025-11-07T00:35:35Z,DAL847,"40.785194,-111.977371",0,15,75
1762475742,2025-11-07T00:35:42Z,DAL847,"40.785217,-111.976807",0,13,101
1762475747,2025-11-07T00:35:47Z,DAL847,"40.784996,-111.97654",0,12,151
1762475752,2025-11-07T00:35:52Z,DAL847,"40.784729,-111.976479",0,13,174
1762475756,2025-11-07T00:35:56Z,DAL847,"40.784496,-111.976448",0,13,174
1762475760,2025-11-07T00:36:00Z,DAL847,"40.784229,-111.976418",0,14,174
1762475765,2025-11-07T00:36:05Z,DAL847,"40.783939,-111.976387",0,14,174
1762475768,2025-11-07T00:36:08Z,DAL847,"40.783733,-111.976364",0,14,174
1762475773,2025-11-07T00:36:13Z,DAL847,"40.783356,-111.976326",0,15,174
1762475778,2025-11-07T00:36:18Z,DAL847,"40.78299,-111.976288",0,15,174
1762475789,2025-11-07T00:36:29Z,DAL847,"40.7826,-111.976227",0,16,174
1762475795,2025-11-07T00:36:35Z,DAL847,"40.781696,-111.976135",0,17,174
1762475802,2025-11-07T00:36:42Z,DAL847,"40.78109,-111.976059",0,18,174
1762475811,2025-11-07T00:36:51Z,DAL847,"40.780319,-111.975967",0,18,174
1762475820,2025-11-07T00:37:00Z,DAL847,"40.779644,-111.975868",0,15,165
1762475830,2025-11-07T00:37:10Z,DAL847,"40.778973,-111.975479",0,16,151
1762475834,2025-11-07T00:37:14Z,DAL847,"40.778675,-111.975311",0,17,163
1762475838,2025-11-07T00:37:18Z,DAL847,"40.778362,-111.97525",0,18,174
1762475843,2025-11-07T00:37:23Z,DAL847,"40.777908,-111.975189",0,0,174
1762475850,2025-11-07T00:37:30Z,DAL847,"40.777313,-111.975113",0,16,174
1762475854,2025-11-07T00:37:34Z,DAL847,"40.777084,-111.975098",0,12,174
1762475859,2025-11-07T00:37:39Z,DAL847,"40.776875,-111.975075",0,8,174
1762475871,2025-11-07T00:37:51Z,DAL847,"40.776608,-111.975044",0,2,174
1762475886,2025-11-07T00:38:06Z,DAL847,"40.776386,-111.975006",0,4,174
1762475896,2025-11-07T00:38:16Z,DAL847,"40.776169,-111.974976",0,5,174
1762475904,2025-11-07T00:38:24Z,DAL847,"40.775932,-111.974968",0,7,174
1762475914,2025-11-07T00:38:34Z,DAL847,"40.775608,-111.97493",0,6,174
1762475927,2025-11-07T00:38:47Z,DAL847,"40.775406,-111.974907",0,1,174
1762475977,2025-11-07T00:39:37Z,DAL847,"40.77515,-111.974869",0,5,174
1762475987,2025-11-07T00:39:47Z,DAL847,"40.77491,-111.974838",0,3,174
1762476017,2025-11-07T00:40:17Z,DAL847,"40.774601,-111.974731",0,7,154
1762476023,2025-11-07T00:40:23Z,DAL847,"40.774475,-111.974503",0,9,118
1762476032,2025-11-07T00:40:32Z,DAL847,"40.774601,-111.973892",0,12,53
1762476036,2025-11-07T00:40:36Z,DAL847,"40.774734,-111.97364",0,13,59
1762476040,2025-11-07T00:40:40Z,DAL847,"40.774803,-111.973373",0,9,75
1762476048,2025-11-07T00:40:48Z,DAL847,"40.774899,-111.97316",0,5,45
1762476062,2025-11-07T00:41:02Z,DAL847,"40.775257,-111.973221",0,8,354
1762476066,2025-11-07T00:41:06Z,DAL847,"40.775478,-111.973251",0,15,354
1762476069,2025-11-07T00:41:09Z,DAL847,"40.775803,-111.973282",0,29,357
1762476074,2025-11-07T00:41:14Z,DAL847,"40.776733,-111.973373",0,53,354
1762476075,2025-11-07T00:41:15Z,DAL847,"40.777016,-111.973404",0,57,354
1762476078,2025-11-07T00:41:18Z,DAL847,"40.777897,-111.973511",0,70,354
1762476080,2025-11-07T00:41:20Z,DAL847,"40.778633,-111.973595",0,78,354
