Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762012440,2025-11-01T15:54:00Z,EIN42M,"53.422005,-6.243197",0,12,244
1762012454,2025-11-01T15:54:14Z,EIN42M,"53.421959,-6.24459",0,12,267
1762012461,2025-11-01T15:54:21Z,EIN42M,"53.421959,-6.245237",0,13,270
1762012463,2025-11-01T15:54:23Z,EIN42M,"53.421951,-6.245525",0,13,272
1762012466,2025-11-01T15:54:26Z,EIN42M,"53.42197,-6.245728",0,13,272
1762012468,2025-11-01T15:54:28Z,EIN42M,"53.421963,-6.24603",0,14,272
1762012471,2025-11-01T15:54:31Z,EIN42M,"53.421986,-6.246394",0,15,275
1762012476,2025-11-01T15:54:36Z,EIN42M,"53.422009,-6.246818",0,14,275
1762012478,2025-11-01T15:54:38Z,EIN42M,"53.422058,-6.247181",0,14,281
1762012485,2025-11-01T15:54:45Z,EIN42M,"53.422337,-6.247707",0,14,323
1762012500,2025-11-01T15:55:00Z,EIN42M,"53.423206,-6.248278",0,14,337
1762012511,2025-11-01T15:55:11Z,EIN42M,"53.422474,-6.247767",0,0,334
1762012513,2025-11-01T15:55:13Z,EIN42M,"53.423977,-6.248837",0,15,337
1762012517,2025-11-01T15:55:17Z,EIN42M,"53.424301,-6.24906",0,15,337
1762012525,2025-11-01T15:55:25Z,EIN42M,"53.424854,-6.249475",0,16,337
1762012537,2025-11-01T15:55:37Z,EIN42M,"53.425724,-6.25011",0,16,337
1762012544,2025-11-01T15:55:44Z,EIN42M,"53.426193,-6.250436",0,16,337
1762012565,2025-11-01T15:56:05Z,EIN42M,"53.427376,-6.251806",0,0,306
1762012566,2025-11-01T15:56:06Z,EIN42M,"53.427544,-6.252064",0,0,317
1762012573,2025-11-01T15:56:13Z,EIN42M,"53.42804,-6.252453",0,16,337
1762012587,2025-11-01T15:56:27Z,EIN42M,"53.428883,-6.253065",0,0,334
1762012591,2025-11-01T15:56:31Z,EIN42M,"53.429157,-6.253281",0,0,331
1762012594,2025-11-01T15:56:34Z,EIN42M,"53.429455,-6.253614",0,15,329
1762012602,2025-11-01T15:56:42Z,EIN42M,"53.429981,-6.254028",0,16,337
1762012614,2025-11-01T15:56:54Z,EIN42M,"53.430889,-6.254694",0,16,334
1762012618,2025-11-01T15:56:58Z,EIN42M,"53.431168,-6.254896",0,16,337
1762012624,2025-11-01T15:57:04Z,EIN42M,"53.431599,-6.255199",0,17,337
1762012631,2025-11-01T15:57:11Z,EIN42M,"53.43203,-6.255517",0,17,334
1762012637,2025-11-01T15:57:17Z,EIN42M,"53.432484,-6.255825",0,17,340
1762012640,2025-11-01T15:57:20Z,EIN42M,"53.432835,-6.255967",0,18,345
1762012644,2025-11-01T15:57:24Z,EIN42M,"53.43314,-6.256145",0,18,337
1762012648,2025-11-01T15:57:28Z,EIN42M,"53.433472,-6.256411",0,17,337
1762012652,2025-11-01T15:57:32Z,EIN42M,"53.433678,-6.256518",0,14,343
1762012663,2025-11-01T15:57:43Z,EIN42M,"53.43409,-6.256047",0,12,59
1762012666,2025-11-01T15:57:46Z,EIN42M,"53.434101,-6.255744",0,13,81
1762012668,2025-11-01T15:57:48Z,EIN42M,"53.43409,-6.255517",0,13,92
1762012670,2025-11-01T15:57:50Z,EIN42M,"53.434078,-6.255282",0,13,95
1762012673,2025-11-01T15:57:53Z,EIN42M,"53.434067,-6.255066",0,13,95
1762012675,2025-11-01T15:57:55Z,EIN42M,"53.434044,-6.254856",0,14,95
1762012678,2025-11-01T15:57:58Z,EIN42M,"53.434032,-6.254575",0,15,95
1762012680,2025-11-01T15:58:00Z,EIN42M,"53.43401,-6.25427",0,15,95
1762012681,2025-11-01T15:58:01Z,EIN42M,"53.433998,-6.254068",0,15,95
1762012685,2025-11-01T15:58:05Z,EIN42M,"53.433975,-6.253594",0,16,95
1762012693,2025-11-01T15:58:13Z,EIN42M,"53.433914,-6.252513",0,18,95
1762012700,2025-11-01T15:58:20Z,EIN42M,"53.433872,-6.251574",0,19,95
1762012707,2025-11-01T15:58:27Z,EIN42M,"53.433811,-6.250494",0,20,95
1762012714,2025-11-01T15:58:34Z,EIN42M,"53.433735,-6.249239",0,18,95
1762012721,2025-11-01T15:58:41Z,EIN42M,"53.433701,-6.248553",0,15,95
1762012729,2025-11-01T15:58:49Z,EIN42M,"53.433643,-6.247513",0,14,95
1762012736,2025-11-01T15:58:56Z,EIN42M,"53.433601,-6.246899",0,12,95
1762012742,2025-11-01T15:59:02Z,EIN42M,"53.433586,-6.246159",0,12,90
1762012745,2025-11-01T15:59:05Z,EIN42M,"53.433613,-6.24595",0,11,81
1762012749,2025-11-01T15:59:09Z,EIN42M,"53.433712,-6.245688",0,10,59
1762012756,2025-11-01T15:59:16Z,EIN42M,"53.433998,-6.245566",0,10,11
1762012763,2025-11-01T15:59:23Z,EIN42M,"53.434277,-6.245546",0,12,2
1762012768,2025-11-01T15:59:28Z,EIN42M,"53.434685,-6.245492",0,14,5
1762012772,2025-11-01T15:59:32Z,EIN42M,"53.434917,-6.245425",0,13,8
1762012779,2025-11-01T15:59:39Z,EIN42M,"53.435196,-6.245425",0,7,357
1762012785,2025-11-01T15:59:45Z,EIN42M,"53.435299,-6.245626",0,6,317
1762012790,2025-11-01T15:59:50Z,EIN42M,"53.435299,-6.245869",0,6,284
1762012795,2025-11-01T15:59:55Z,EIN42M,"53.435291,-6.24614",0,8,272
1762012798,2025-11-01T15:59:58Z,EIN42M,"53.435303,-6.246395",0,13,272
1762012800,2025-11-01T16:00:00Z,EIN42M,"53.43531,-6.246616",0,16,272
1762012801,2025-11-01T16:00:01Z,EIN42M,"53.435326,-6.246865",0,19,272
1762012802,2025-11-01T16:00:02Z,EIN42M,"53.435337,-6.247121",0,26,272
1762012804,2025-11-01T16:00:04Z,EIN42M,"53.43536,-6.24767",0,39,272
1762012805,2025-11-01T16:00:05Z,EIN42M,"53.435383,-6.248043",0,45,272
1762012806,2025-11-01T16:00:06Z,EIN42M,"53.435394,-6.248356",0,50,275
1762012808,2025-11-01T16:00:08Z,EIN42M,"53.435474,-6.249494",0,61,275
1762012810,2025-11-01T16:00:10Z,EIN42M,"53.43552,-6.250372",0,70,272
1762012811,2025-11-01T16:00:11Z,EIN42M,"53.435543,-6.250837",0,76,272
