Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762521501,2025-11-07T13:18:21Z,EIN52V,"53.424397,-6.239921",0,3,340
1762521516,2025-11-07T13:18:36Z,EIN52V,"53.424191,-6.239783",0,3,8
1762521537,2025-11-07T13:18:57Z,EIN52V,"53.42387,-6.239921",0,3,36
1762521552,2025-11-07T13:19:12Z,EIN52V,"53.423698,-6.240136",0,3,45
1762521571,2025-11-07T13:19:31Z,EIN52V,"53.423512,-6.240437",0,3,42
1762521583,2025-11-07T13:19:43Z,EIN52V,"53.423382,-6.240638",0,3,39
1762521596,2025-11-07T13:19:56Z,EIN52V,"53.423244,-6.24084",0,3,30
1762521612,2025-11-07T13:20:12Z,EIN52V,"53.423058,-6.241062",0,3,11
1762521628,2025-11-07T13:20:28Z,EIN52V,"53.42284,-6.241117",0,3,343
1762521643,2025-11-07T13:20:43Z,EIN52V,"53.422638,-6.241022",0,3,317
1762521659,2025-11-07T13:20:59Z,EIN52V,"53.422462,-6.240803",0,3,289
1762521673,2025-11-07T13:21:13Z,EIN52V,"53.422394,-6.240548",0,3,281
1762521807,2025-11-07T13:23:27Z,EIN52V,"53.42244,-6.240941",0,6,281
1762521815,2025-11-07T13:23:35Z,EIN52V,"53.422497,-6.241353",0,6,284
1762521830,2025-11-07T13:23:50Z,EIN52V,"53.422546,-6.242012",0,6,270
1762521836,2025-11-07T13:23:56Z,EIN52V,"53.422451,-6.242274",0,7,241
1762521844,2025-11-07T13:24:04Z,EIN52V,"53.42223,-6.242597",0,9,225
1762521849,2025-11-07T13:24:09Z,EIN52V,"53.422085,-6.242883",0,10,227
1762521855,2025-11-07T13:24:15Z,EIN52V,"53.421986,-6.243244",0,11,247
1762521858,2025-11-07T13:24:18Z,EIN52V,"53.421959,-6.24355",0,11,261
1762521866,2025-11-07T13:24:26Z,EIN52V,"53.421951,-6.244253",0,11,270
1762521871,2025-11-07T13:24:31Z,EIN52V,"53.421951,-6.244698",0,12,270
1762521880,2025-11-07T13:24:40Z,EIN52V,"53.421951,-6.245283",0,6,270
1762521891,2025-11-07T13:24:51Z,EIN52V,"53.421982,-6.2461",0,10,272
1762521894,2025-11-07T13:24:54Z,EIN52V,"53.421986,-6.246334",0,11,275
1762521897,2025-11-07T13:24:57Z,EIN52V,"53.422005,-6.246591",0,9,275
1762521901,2025-11-07T13:25:01Z,EIN52V,"53.42202,-6.246798",0,8,275
1762521906,2025-11-07T13:25:06Z,EIN52V,"53.422031,-6.247121",0,7,278
1762521910,2025-11-07T13:25:10Z,EIN52V,"53.422085,-6.247356",0,9,286
1762521916,2025-11-07T13:25:16Z,EIN52V,"53.422211,-6.247591",0,7,306
1762521923,2025-11-07T13:25:23Z,EIN52V,"53.422428,-6.247727",0,6,334
1762521936,2025-11-07T13:25:36Z,EIN52V,"53.422646,-6.247905",0,3,337
1762521955,2025-11-07T13:25:55Z,EIN52V,"53.422863,-6.248062",0,0,337
1762521970,2025-11-07T13:26:10Z,EIN52V,"53.42308,-6.248211",0,5,337
1762521977,2025-11-07T13:26:17Z,EIN52V,"53.423309,-6.248376",0,8,337
1762521985,2025-11-07T13:26:25Z,EIN52V,"53.42358,-6.248595",0,9,337
1762521992,2025-11-07T13:26:32Z,EIN52V,"53.423824,-6.248749",0,9,337
1762521999,2025-11-07T13:26:39Z,EIN52V,"53.424099,-6.248945",0,9,337
1762522006,2025-11-07T13:26:46Z,EIN52V,"53.424374,-6.249141",0,10,337
1762522014,2025-11-07T13:26:54Z,EIN52V,"53.424709,-6.249383",0,11,337
1762522021,2025-11-07T13:27:01Z,EIN52V,"53.42506,-6.249645",0,12,334
1762522028,2025-11-07T13:27:08Z,EIN52V,"53.425461,-6.249926",0,12,337
1762522036,2025-11-07T13:27:16Z,EIN52V,"53.425827,-6.250211",0,11,337
