Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762077728,2025-11-02T10:02:08Z,EIN68Y,"53.422626,-6.239043",0,3,19
1762077746,2025-11-02T10:02:26Z,EIN68Y,"53.422394,-6.239164",0,3,326
1762077763,2025-11-02T10:02:43Z,EIN68Y,"53.422222,-6.238959",0,2,295
1762077792,2025-11-02T10:03:12Z,EIN68Y,"53.422291,-6.239194",0,3,295
1762077803,2025-11-02T10:03:23Z,EIN68Y,"53.422348,-6.239427",0,3,295
1762077813,2025-11-02T10:03:33Z,EIN68Y,"53.422417,-6.239628",0,2,298
1762077827,2025-11-02T10:03:47Z,EIN68Y,"53.422474,-6.239842",0,0,295
1762078009,2025-11-02T10:06:49Z,EIN68Y,"53.422565,-6.240117",0,2,295
1762078024,2025-11-02T10:07:04Z,EIN68Y,"53.422638,-6.240416",0,4,295
1762078034,2025-11-02T10:07:14Z,EIN68Y,"53.422737,-6.240725",0,5,295
1762078044,2025-11-02T10:07:24Z,EIN68Y,"53.422806,-6.241039",0,5,289
1762078049,2025-11-02T10:07:29Z,EIN68Y,"53.422817,-6.241274",0,6,278
1762078055,2025-11-02T10:07:35Z,EIN68Y,"53.422771,-6.241588",0,7,258
1762078060,2025-11-02T10:07:40Z,EIN68Y,"53.422672,-6.24185",0,8,239
1762078068,2025-11-02T10:07:48Z,EIN68Y,"53.422462,-6.242236",0,8,227
1762078074,2025-11-02T10:07:54Z,EIN68Y,"53.422337,-6.242451",0,8,227
1762078080,2025-11-02T10:08:00Z,EIN68Y,"53.422161,-6.242759",0,9,227
1762078083,2025-11-02T10:08:03Z,EIN68Y,"53.422062,-6.242961",0,10,233
1762078086,2025-11-02T10:08:06Z,EIN68Y,"53.422009,-6.243183",0,10,241
1762078089,2025-11-02T10:08:09Z,EIN68Y,"53.421982,-6.243432",0,10,255
1762078098,2025-11-02T10:08:18Z,EIN68Y,"53.42197,-6.244099",0,11,267
1762078101,2025-11-02T10:08:21Z,EIN68Y,"53.421963,-6.244354",0,11,267
1762078104,2025-11-02T10:08:24Z,EIN68Y,"53.421959,-6.244648",0,11,270
1762078107,2025-11-02T10:08:27Z,EIN68Y,"53.421951,-6.2449",0,10,270
1762078110,2025-11-02T10:08:30Z,EIN68Y,"53.421959,-6.245198",0,12,270
1762078113,2025-11-02T10:08:33Z,EIN68Y,"53.421959,-6.245492",0,12,272
1762078116,2025-11-02T10:08:36Z,EIN68Y,"53.421974,-6.245728",0,13,272
1762078119,2025-11-02T10:08:39Z,EIN68Y,"53.421982,-6.246041",0,14,275
1762078121,2025-11-02T10:08:41Z,EIN68Y,"53.421993,-6.246296",0,14,275
1762078124,2025-11-02T10:08:44Z,EIN68Y,"53.422016,-6.24663",0,14,275
1762078127,2025-11-02T10:08:47Z,EIN68Y,"53.422031,-6.247",0,14,275
1762078132,2025-11-02T10:08:52Z,EIN68Y,"53.42215,-6.247444",0,14,298
1762078137,2025-11-02T10:08:57Z,EIN68Y,"53.422371,-6.247689",0,13,326
1762078141,2025-11-02T10:09:01Z,EIN68Y,"53.422577,-6.247846",0,13,337
1762078145,2025-11-02T10:09:05Z,EIN68Y,"53.42284,-6.248043",0,13,337
1762078149,2025-11-02T10:09:09Z,EIN68Y,"53.423046,-6.248191",0,13,334
1762078154,2025-11-02T10:09:14Z,EIN68Y,"53.423279,-6.248373",0,13,337
1762078158,2025-11-02T10:09:18Z,EIN68Y,"53.423527,-6.248533",0,14,337
1762078161,2025-11-02T10:09:21Z,EIN68Y,"53.423744,-6.248696",0,14,337
1762078166,2025-11-02T10:09:26Z,EIN68Y,"53.424007,-6.248886",0,14,337
1762078173,2025-11-02T10:09:33Z,EIN68Y,"53.424419,-6.24918",0,14,337
1762078181,2025-11-02T10:09:41Z,EIN68Y,"53.424923,-6.249553",0,15,337
1762078188,2025-11-02T10:09:48Z,EIN68Y,"53.425396,-6.249888",0,15,337
1762078195,2025-11-02T10:09:55Z,EIN68Y,"53.425838,-6.25022",0,16,337
1762078201,2025-11-02T10:10:01Z,EIN68Y,"53.426308,-6.250554",0,16,337
1762078211,2025-11-02T10:10:11Z,EIN68Y,"53.426903,-6.250985",0,13,334
1762078216,2025-11-02T10:10:16Z,EIN68Y,"53.427143,-6.251362",0,10,309
1762078221,2025-11-02T10:10:21Z,EIN68Y,"53.427246,-6.251726",0,13,298
1762078225,2025-11-02T10:10:25Z,EIN68Y,"53.427422,-6.252028",0,13,315
1762078233,2025-11-02T10:10:33Z,EIN68Y,"53.42791,-6.252398",0,12,337
1762078239,2025-11-02T10:10:39Z,EIN68Y,"53.428211,-6.252614",0,12,337
1762078246,2025-11-02T10:10:46Z,EIN68Y,"53.428585,-6.252877",0,11,337
1762078254,2025-11-02T10:10:54Z,EIN68Y,"53.428959,-6.25316",0,12,334
1762078260,2025-11-02T10:11:00Z,EIN68Y,"53.429272,-6.253457",0,12,329
1762078265,2025-11-02T10:11:05Z,EIN68Y,"53.429482,-6.253664",0,12,329
1762078269,2025-11-02T10:11:09Z,EIN68Y,"53.429714,-6.253866",0,13,331
1762078273,2025-11-02T10:11:13Z,EIN68Y,"53.429935,-6.254048",0,13,334
1762078284,2025-11-02T10:11:24Z,EIN68Y,"53.430515,-6.254452",0,15,337
1762078287,2025-11-02T10:11:27Z,EIN68Y,"53.430794,-6.254654",0,15,337
1762078291,2025-11-02T10:11:31Z,EIN68Y,"53.431053,-6.254836",0,14,337
1762078300,2025-11-02T10:11:40Z,EIN68Y,"53.431461,-6.255138",0,14,337
1762078309,2025-11-02T10:11:49Z,EIN68Y,"53.432076,-6.255583",0,13,337
1762078324,2025-11-02T10:12:04Z,EIN68Y,"53.43298,-6.256086",0,15,340
1762078331,2025-11-02T10:12:11Z,EIN68Y,"53.433483,-6.256431",0,15,334
1762078336,2025-11-02T10:12:16Z,EIN68Y,"53.433693,-6.256532",0,0,345
1762078342,2025-11-02T10:12:22Z,EIN68Y,"53.433929,-6.2564",0,10,16
1762078346,2025-11-02T10:12:26Z,EIN68Y,"53.434067,-6.256108",0,12,50
1762078349,2025-11-02T10:12:29Z,EIN68Y,"53.434101,-6.255846",0,12,73
1762078351,2025-11-02T10:12:31Z,EIN68Y,"53.434101,-6.255615",0,12,87
1762078354,2025-11-02T10:12:34Z,EIN68Y,"53.43409,-6.255381",0,12,92
1762078358,2025-11-02T10:12:38Z,EIN68Y,"53.434067,-6.254977",0,13,95
1762078361,2025-11-02T10:12:41Z,EIN68Y,"53.434044,-6.254654",0,13,95
1762078364,2025-11-02T10:12:44Z,EIN68Y,"53.434032,-6.254391",0,14,95
1762078366,2025-11-02T10:12:46Z,EIN68Y,"53.434021,-6.254124",0,14,95
1762078369,2025-11-02T10:12:49Z,EIN68Y,"53.433998,-6.253745",0,15,95
1762078373,2025-11-02T10:12:53Z,EIN68Y,"53.433975,-6.253341",0,15,95
1762078382,2025-11-02T10:13:02Z,EIN68Y,"53.433926,-6.252412",0,13,95
1762078389,2025-11-02T10:13:09Z,EIN68Y,"53.43388,-6.251665",0,12,95
1762078397,2025-11-02T10:13:17Z,EIN68Y,"53.433849,-6.250946",0,13,95
1762078405,2025-11-02T10:13:25Z,EIN68Y,"53.4338,-6.25013",0,14,95
