Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762542571,2025-11-07T19:09:31Z,UAE242,"43.676228,-79.613129",0,0,47
1762542621,2025-11-07T19:10:21Z,UAE242,"43.67609,-79.613342",0,0,47
1762542642,2025-11-07T19:10:42Z,UAE242,"43.675987,-79.613548",0,0,36
1762542660,2025-11-07T19:11:00Z,UAE242,"43.67588,-79.61377",0,2,19
1762542684,2025-11-07T19:11:24Z,UAE242,"43.675694,-79.613983",0,2,351
1762542707,2025-11-07T19:11:47Z,UAE242,"43.675484,-79.614037",0,0,326
1762542734,2025-11-07T19:12:14Z,UAE242,"43.675278,-79.613914",0,0,309
1762542761,2025-11-07T19:12:41Z,UAE242,"43.675152,-79.613701",0,0,298
1762543186,2025-11-07T19:19:46Z,UAE242,"43.675232,-79.613914",0,3,298
1762543197,2025-11-07T19:19:57Z,UAE242,"43.675346,-79.614136",0,4,300
1762543207,2025-11-07T19:20:07Z,UAE242,"43.675472,-79.614342",0,4,306
1762543222,2025-11-07T19:20:22Z,UAE242,"43.675602,-79.614555",0,2,309
1762543239,2025-11-07T19:20:39Z,UAE242,"43.675762,-79.614761",0,3,312
1762543253,2025-11-07T19:20:53Z,UAE242,"43.675949,-79.615013",0,4,315
1762543265,2025-11-07T19:21:05Z,UAE242,"43.676113,-79.615219",0,5,315
1762543276,2025-11-07T19:21:16Z,UAE242,"43.676285,-79.615448",0,4,315
1762543288,2025-11-07T19:21:28Z,UAE242,"43.676434,-79.615654",0,4,315
1762543299,2025-11-07T19:21:39Z,UAE242,"43.67659,-79.61586",0,5,315
1762543307,2025-11-07T19:21:47Z,UAE242,"43.676731,-79.616089",0,6,312
1762543364,2025-11-07T19:22:44Z,UAE242,"43.676777,-79.616302",0,0,300
1762543386,2025-11-07T19:23:06Z,UAE242,"43.676628,-79.616516",0,3,261
1762543397,2025-11-07T19:23:17Z,UAE242,"43.676422,-79.616608",0,5,225
1762543407,2025-11-07T19:23:27Z,UAE242,"43.676262,-79.616852",0,8,230
1762543412,2025-11-07T19:23:32Z,UAE242,"43.676273,-79.617088",0,8,250
1762543416,2025-11-07T19:23:36Z,UAE242,"43.676342,-79.617294",0,8,270
1762543420,2025-11-07T19:23:40Z,UAE242,"43.676456,-79.617508",0,8,289
1762543427,2025-11-07T19:23:47Z,UAE242,"43.676636,-79.617722",0,8,306
1762543433,2025-11-07T19:23:53Z,UAE242,"43.676834,-79.617935",0,9,315
1762543438,2025-11-07T19:23:58Z,UAE242,"43.676998,-79.618164",0,9,315
1762543444,2025-11-07T19:24:04Z,UAE242,"43.677166,-79.61837",0,10,315
1762543451,2025-11-07T19:24:11Z,UAE242,"43.677429,-79.618721",0,10,315
1762543458,2025-11-07T19:24:18Z,UAE242,"43.677662,-79.619019",0,11,317
