Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762316757,2025-11-05T04:25:57Z,UAE262,"-23.424168,-46.473866",0,0,253
1762316790,2025-11-05T04:26:30Z,UAE262,"-23.424099,-46.473629",0,2,255
1762316811,2025-11-05T04:26:51Z,UAE262,"-23.424063,-46.473427",0,0,253
1762316835,2025-11-05T04:27:15Z,UAE262,"-23.424049,-46.473225",0,0,241
1762316863,2025-11-05T04:27:43Z,UAE262,"-23.424015,-46.47298",0,0,222
1762316889,2025-11-05T04:28:09Z,UAE262,"-23.423927,-46.472778",0,0,196
1762316919,2025-11-05T04:28:39Z,UAE262,"-23.423721,-46.472641",0,0,163
1762316982,2025-11-05T04:29:42Z,UAE262,"-23.423933,-46.472599",0,0,163
1762317003,2025-11-05T04:30:03Z,UAE262,"-23.424156,-46.472553",0,3,165
1762317020,2025-11-05T04:30:20Z,UAE262,"-23.424364,-46.472485",0,2,163
1762317039,2025-11-05T04:30:39Z,UAE262,"-23.424568,-46.472416",0,2,163
1762317060,2025-11-05T04:31:00Z,UAE262,"-23.424772,-46.472347",0,0,163
1762317281,2025-11-05T04:34:41Z,UAE262,"-23.424994,-46.472256",0,4,163
1762317290,2025-11-05T04:34:50Z,UAE262,"-23.42522,-46.472179",0,6,163
1762317299,2025-11-05T04:34:59Z,UAE262,"-23.425449,-46.472118",0,7,163
1762317310,2025-11-05T04:35:10Z,UAE262,"-23.425884,-46.471981",0,8,163
1762317317,2025-11-05T04:35:17Z,UAE262,"-23.426113,-46.471905",0,8,163
1762317326,2025-11-05T04:35:26Z,UAE262,"-23.426434,-46.471806",0,8,163
1762317335,2025-11-05T04:35:35Z,UAE262,"-23.426716,-46.47171",0,6,163
1762317343,2025-11-05T04:35:43Z,UAE262,"-23.426949,-46.471645",0,6,163
1762317353,2025-11-05T04:35:53Z,UAE262,"-23.427166,-46.471569",0,3,163
1762317373,2025-11-05T04:36:13Z,UAE262,"-23.427372,-46.471508",0,2,163
1762317390,2025-11-05T04:36:30Z,UAE262,"-23.427601,-46.471432",0,4,163
1762317401,2025-11-05T04:36:41Z,UAE262,"-23.427834,-46.471355",0,6,163
1762317407,2025-11-05T04:36:47Z,UAE262,"-23.428041,-46.471291",0,8,163
1762317414,2025-11-05T04:36:54Z,UAE262,"-23.428299,-46.471203",0,9,163
1762317421,2025-11-05T04:37:01Z,UAE262,"-23.428577,-46.471111",0,8,163
1762317429,2025-11-05T04:37:09Z,UAE262,"-23.428869,-46.471024",0,9,163
1762317435,2025-11-05T04:37:15Z,UAE262,"-23.429111,-46.471119",0,9,188
1762317442,2025-11-05T04:37:22Z,UAE262,"-23.429249,-46.471371",0,8,222
1762317448,2025-11-05T04:37:28Z,UAE262,"-23.429306,-46.471581",0,8,239
1762317453,2025-11-05T04:37:33Z,UAE262,"-23.429352,-46.471783",0,9,247
1762317458,2025-11-05T04:37:38Z,UAE262,"-23.429409,-46.471992",0,9,250
1762317464,2025-11-05T04:37:44Z,UAE262,"-23.429474,-46.472244",0,9,253
1762317469,2025-11-05T04:37:49Z,UAE262,"-23.429535,-46.472481",0,9,253
1762317474,2025-11-05T04:37:54Z,UAE262,"-23.429602,-46.472713",0,10,253
1762317481,2025-11-05T04:38:01Z,UAE262,"-23.429695,-46.473045",0,10,253
1762317489,2025-11-05T04:38:09Z,UAE262,"-23.42981,-46.473415",0,11,253
1762317496,2025-11-05T04:38:16Z,UAE262,"-23.429916,-46.47377",0,11,253
1762317504,2025-11-05T04:38:24Z,UAE262,"-23.430056,-46.474239",0,12,253
1762317512,2025-11-05T04:38:32Z,UAE262,"-23.430183,-46.474697",0,13,253
1762317519,2025-11-05T04:38:39Z,UAE262,"-23.430311,-46.475155",0,13,253
1762317527,2025-11-05T04:38:47Z,UAE262,"-23.430462,-46.475677",0,14,253
1762317535,2025-11-05T04:38:55Z,UAE262,"-23.430614,-46.476223",0,15,253
1762317545,2025-11-05T04:39:05Z,UAE262,"-23.430813,-46.476936",0,15,253
1762317552,2025-11-05T04:39:12Z,UAE262,"-23.430965,-46.477474",0,15,253
1762317558,2025-11-05T04:39:18Z,UAE262,"-23.431103,-46.477974",0,16,253
1762317566,2025-11-05T04:39:26Z,UAE262,"-23.431267,-46.478603",0,16,253
1762317573,2025-11-05T04:39:33Z,UAE262,"-23.431417,-46.47916",0,16,253
1762317581,2025-11-05T04:39:41Z,UAE262,"-23.431602,-46.479836",0,17,253
1762317587,2025-11-05T04:39:47Z,UAE262,"-23.431755,-46.480396",0,17,253
1762317595,2025-11-05T04:39:55Z,UAE262,"-23.431906,-46.480991",0,15,253
1762317602,2025-11-05T04:40:02Z,UAE262,"-23.432045,-46.481503",0,15,253
1762317610,2025-11-05T04:40:10Z,UAE262,"-23.432236,-46.482166",0,16,253
1762317618,2025-11-05T04:40:18Z,UAE262,"-23.432373,-46.482704",0,12,253
1762317627,2025-11-05T04:40:27Z,UAE262,"-23.432499,-46.483105",0,9,250
1762317634,2025-11-05T04:40:34Z,UAE262,"-23.432697,-46.483345",0,9,233
1762317641,2025-11-05T04:40:41Z,UAE262,"-23.432964,-46.483471",0,8,210
1762317648,2025-11-05T04:40:48Z,UAE262,"-23.433197,-46.483509",0,7,196
1762317656,2025-11-05T04:40:56Z,UAE262,"-23.433426,-46.483479",0,7,182
1762317663,2025-11-05T04:41:03Z,UAE262,"-23.433628,-46.48341",0,6,171
1762317671,2025-11-05T04:41:11Z,UAE262,"-23.433872,-46.48333",0,8,165
1762317677,2025-11-05T04:41:17Z,UAE262,"-23.434093,-46.483257",0,9,163
1762317682,2025-11-05T04:41:22Z,UAE262,"-23.434296,-46.483192",0,10,163
1762317690,2025-11-05T04:41:30Z,UAE262,"-23.434629,-46.483089",0,12,163
1762317697,2025-11-05T04:41:37Z,UAE262,"-23.435061,-46.482964",0,12,163
1762317705,2025-11-05T04:41:45Z,UAE262,"-23.43536,-46.482891",0,9,165
1762317710,2025-11-05T04:41:50Z,UAE262,"-23.435589,-46.482941",0,9,182
1762317716,2025-11-05T04:41:56Z,UAE262,"-23.435795,-46.483105",0,9,202
