Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762522950,2025-11-07T13:42:30Z,UAE2,"51.468384,-0.455728",0,0,0
1762522975,2025-11-07T13:42:55Z,UAE2,"51.468143,-0.455723",0,2,357
1762523004,2025-11-07T13:43:24Z,UAE2,"51.46788,-0.455803",0,2,337
1762523033,2025-11-07T13:43:53Z,UAE2,"51.467644,-0.455818",0,0,306
1762523064,2025-11-07T13:44:24Z,UAE2,"51.467434,-0.455617",0,0,275
1762523396,2025-11-07T13:49:56Z,UAE2,"51.467468,-0.455951",0,4,275
1762523407,2025-11-07T13:50:07Z,UAE2,"51.46748,-0.456341",0,6,272
1762523426,2025-11-07T13:50:26Z,UAE2,"51.467468,-0.457268",0,0,270
1762523442,2025-11-07T13:50:42Z,UAE2,"51.467072,-0.457783",0,8,213
1762523448,2025-11-07T13:50:48Z,UAE2,"51.466839,-0.45777",0,8,194
1762523471,2025-11-07T13:51:11Z,UAE2,"51.466595,-0.458698",0,0,264
1762523481,2025-11-07T13:51:21Z,UAE2,"51.466621,-0.459255",0,8,270
1762523495,2025-11-07T13:51:35Z,UAE2,"51.466621,-0.460108",0,0,270
1762523504,2025-11-07T13:51:44Z,UAE2,"51.466621,-0.460683",0,10,270
1762523513,2025-11-07T13:51:53Z,UAE2,"51.46661,-0.461407",0,11,270
1762523526,2025-11-07T13:52:06Z,UAE2,"51.466595,-0.462513",0,0,270
1762523540,2025-11-07T13:52:20Z,UAE2,"51.466587,-0.463838",0,14,270
1762523547,2025-11-07T13:52:27Z,UAE2,"51.466587,-0.464599",0,14,270
1762523556,2025-11-07T13:52:36Z,UAE2,"51.466576,-0.465583",0,15,270
1762523568,2025-11-07T13:52:48Z,UAE2,"51.466564,-0.466845",0,15,270
1762523575,2025-11-07T13:52:55Z,UAE2,"51.46656,-0.467587",0,0,270
1762523587,2025-11-07T13:53:07Z,UAE2,"51.46656,-0.468292",0,8,270
1762523594,2025-11-07T13:53:14Z,UAE2,"51.466549,-0.46875",0,9,270
1762523601,2025-11-07T13:53:21Z,UAE2,"51.466549,-0.469265",0,10,270
1762523610,2025-11-07T13:53:30Z,UAE2,"51.466537,-0.469952",0,12,270
1762523617,2025-11-07T13:53:37Z,UAE2,"51.466549,-0.470638",0,13,270
1762523632,2025-11-07T13:53:52Z,UAE2,"51.466537,-0.472126",0,15,270
1762523643,2025-11-07T13:54:03Z,UAE2,"51.466541,-0.472783",0,10,270
1762523651,2025-11-07T13:54:11Z,UAE2,"51.466541,-0.473544",0,8,270
1762523660,2025-11-07T13:54:20Z,UAE2,"51.466541,-0.474157",0,10,270
1762523669,2025-11-07T13:54:29Z,UAE2,"51.466541,-0.474843",0,11,270
1762523677,2025-11-07T13:54:37Z,UAE2,"51.466541,-0.475511",0,12,270
1762523686,2025-11-07T13:54:46Z,UAE2,"51.46653,-0.476328",0,12,270
1762523696,2025-11-07T13:54:56Z,UAE2,"51.466537,-0.47718",0,12,270
1762523705,2025-11-07T13:55:05Z,UAE2,"51.46653,-0.478017",0,13,270
1762523714,2025-11-07T13:55:14Z,UAE2,"51.466526,-0.478745",0,10,270
1762523724,2025-11-07T13:55:24Z,UAE2,"51.466526,-0.479412",0,9,270
1762523738,2025-11-07T13:55:38Z,UAE2,"51.466518,-0.480411",0,0,270
1762523746,2025-11-07T13:55:46Z,UAE2,"51.466526,-0.480881",0,11,270
1762523753,2025-11-07T13:55:53Z,UAE2,"51.466515,-0.481663",0,12,270
1762523762,2025-11-07T13:56:02Z,UAE2,"51.466515,-0.482521",0,12,270
1762523771,2025-11-07T13:56:11Z,UAE2,"51.466518,-0.483102",0,7,270
1762523778,2025-11-07T13:56:18Z,UAE2,"51.466515,-0.483456",0,7,270
1762523785,2025-11-07T13:56:25Z,UAE2,"51.466507,-0.483918",0,8,270
1762523792,2025-11-07T13:56:32Z,UAE2,"51.466507,-0.484345",0,9,270
1762523800,2025-11-07T13:56:40Z,UAE2,"51.466503,-0.484848",0,9,270
1762523806,2025-11-07T13:56:46Z,UAE2,"51.466503,-0.48521",0,6,270
1762523814,2025-11-07T13:56:54Z,UAE2,"51.466507,-0.485421",0,0,270
1762523876,2025-11-07T13:57:56Z,UAE2,"51.466496,-0.485663",0,3,270
1762523883,2025-11-07T13:58:03Z,UAE2,"51.466503,-0.485916",0,6,270
1762523890,2025-11-07T13:58:10Z,UAE2,"51.466503,-0.486259",0,8,270
1762523898,2025-11-07T13:58:18Z,UAE2,"51.466503,-0.486794",0,9,270
1762523905,2025-11-07T13:58:25Z,UAE2,"51.466461,-0.487203",0,7,264
1762523912,2025-11-07T13:58:32Z,UAE2,"51.466316,-0.487461",0,7,241
1762523922,2025-11-07T13:58:42Z,UAE2,"51.466022,-0.487614",0,4,210
1762523968,2025-11-07T13:59:28Z,UAE2,"51.465809,-0.487722",0,0,202
1762523977,2025-11-07T13:59:37Z,UAE2,"51.465607,-0.487823",0,6,196
1762523986,2025-11-07T13:59:46Z,UAE2,"51.465374,-0.487834",0,7,188
1762523998,2025-11-07T13:59:58Z,UAE2,"51.465008,-0.487574",0,7,160
1762524005,2025-11-07T14:00:05Z,UAE2,"51.464848,-0.487347",0,6,146
1762524012,2025-11-07T14:00:12Z,UAE2,"51.464767,-0.487091",0,5,132
1762524018,2025-11-07T14:00:18Z,UAE2,"51.464745,-0.486869",0,5,118
1762524026,2025-11-07T14:00:26Z,UAE2,"51.464779,-0.486641",0,4,101
1762524137,2025-11-07T14:02:17Z,UAE2,"51.464767,-0.486386",0,0,90
1762524144,2025-11-07T14:02:24Z,UAE2,"51.464767,-0.484883",0,43,90
1762524154,2025-11-07T14:02:34Z,UAE2,"51.464779,-0.481821",0,70,90
1762524161,2025-11-07T14:02:41Z,UAE2,"51.464802,-0.475693",350,101,90
1762524167,2025-11-07T14:02:47Z,UAE2,"51.464813,-0.470111",350,111,89
1762524177,2025-11-07T14:02:57Z,UAE2,"51.464859,-0.460164",325,129,89
1762524186,2025-11-07T14:03:06Z,UAE2,"51.464905,-0.449697",375,168,89
1762524192,2025-11-07T14:03:12Z,UAE2,"51.464943,-0.441818",500,171,88
1762524200,2025-11-07T14:03:20Z,UAE2,"51.465042,-0.431436",725,172,89
1762524208,2025-11-07T14:03:28Z,UAE2,"51.465176,-0.420914",950,173,88
1762524215,2025-11-07T14:03:35Z,UAE2,"51.465225,-0.413398",1125,172,91
1762524217,2025-11-07T14:03:37Z,UAE2,"51.465134,-0.410354",1175,170,96
1762524219,2025-11-07T14:03:39Z,UAE2,"51.464897,-0.407867",1250,170,99
1762524221,2025-11-07T14:03:41Z,UAE2,"51.464569,-0.40535",1300,170,103
1762524223,2025-11-07T14:03:43Z,UAE2,"51.464172,-0.403154",1350,167,107
1762524225,2025-11-07T14:03:45Z,UAE2,"51.463593,-0.40062",1400,167,110
1762524227,2025-11-07T14:03:47Z,UAE2,"51.463032,-0.398331",1450,166,113
1762524229,2025-11-07T14:03:49Z,UAE2,"51.462433,-0.396102",1525,166,113
1762524231,2025-11-07T14:03:51Z,UAE2,"51.461792,-0.3938",1600,166,114
1762524233,2025-11-07T14:03:53Z,UAE2,"51.461033,-0.391159",1650,166,114
1762524235,2025-11-07T14:03:55Z,UAE2,"51.460419,-0.388975",1725,166,115
1762524237,2025-11-07T14:03:57Z,UAE2,"51.459778,-0.386897",1775,166,115
