Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762520798,2025-11-07T13:06:38Z,UAE355,"1.366184,103.988098",0,0,2
1762520881,2025-11-07T13:08:01Z,UAE355,"1.365978,103.988106",0,0,351
1762521129,2025-11-07T13:12:09Z,UAE355,"1.366573,103.988029",0,0,351
1762521139,2025-11-07T13:12:19Z,UAE355,"1.36689,103.987984",0,6,354
1762521148,2025-11-07T13:12:28Z,UAE355,"1.367123,103.988029",0,6,5
1762521168,2025-11-07T13:12:48Z,UAE355,"1.367386,103.98819",0,1,22
1762521270,2025-11-07T13:14:30Z,UAE355,"1.368252,103.988533",0,0,22
1762521284,2025-11-07T13:14:44Z,UAE355,"1.368839,103.988785",0,12,22
1762521292,2025-11-07T13:14:52Z,UAE355,"1.369264,103.988968",0,0,22
1762521299,2025-11-07T13:14:59Z,UAE355,"1.369532,103.98909",0,9,25
1762521306,2025-11-07T13:15:06Z,UAE355,"1.369695,103.989326",0,8,47
1762521314,2025-11-07T13:15:14Z,UAE355,"1.369698,103.98954",0,8,73
1762521322,2025-11-07T13:15:22Z,UAE355,"1.369537,103.989853",0,8,104
1762521328,2025-11-07T13:15:28Z,UAE355,"1.369434,103.990089",0,9,112
1762521336,2025-11-07T13:15:36Z,UAE355,"1.369308,103.990387",0,10,112
1762521343,2025-11-07T13:15:43Z,UAE355,"1.369171,103.990692",0,10,112
1762521347,2025-11-07T13:15:47Z,UAE355,"1.369102,103.990906",0,11,112
1762521353,2025-11-07T13:15:53Z,UAE355,"1.368988,103.991158",0,11,112
1762521361,2025-11-07T13:16:01Z,UAE355,"1.368845,103.991554",0,11,112
1762521368,2025-11-07T13:16:08Z,UAE355,"1.368729,103.991859",0,12,112
1762521379,2025-11-07T13:16:19Z,UAE355,"1.368484,103.992447",0,13,112
1762521386,2025-11-07T13:16:26Z,UAE355,"1.368322,103.992851",0,14,112
1762521393,2025-11-07T13:16:33Z,UAE355,"1.36817,103.99321",0,15,112
1762521405,2025-11-07T13:16:45Z,UAE355,"1.367798,103.99408",0,17,112
1762521411,2025-11-07T13:16:51Z,UAE355,"1.367603,103.994522",0,18,112
1762521424,2025-11-07T13:17:04Z,UAE355,"1.367146,103.995613",0,18,112
1762521432,2025-11-07T13:17:12Z,UAE355,"1.36689,103.996216",0,15,112
1762521442,2025-11-07T13:17:22Z,UAE355,"1.366599,103.996887",0,16,112
1762521449,2025-11-07T13:17:29Z,UAE355,"1.366436,103.997269",0,13,112
1762521462,2025-11-07T13:17:42Z,UAE355,"1.366196,103.997818",0,6,112
1762521561,2025-11-07T13:19:21Z,UAE355,"1.366087,103.998039",0,3,112
1762521575,2025-11-07T13:19:35Z,UAE355,"1.365947,103.998337",0,8,115
1762521583,2025-11-07T13:19:43Z,UAE355,"1.365681,103.998512",0,9,140
1762521591,2025-11-07T13:19:51Z,UAE355,"1.365389,103.998466",0,8,174
1762521599,2025-11-07T13:19:59Z,UAE355,"1.365121,103.998337",0,8,196
1762521610,2025-11-07T13:20:10Z,UAE355,"1.364888,103.99823",0,1,202
1762521964,2025-11-07T13:26:04Z,UAE355,"1.364656,103.998169",0,6,202
1762521976,2025-11-07T13:26:16Z,UAE355,"1.364273,103.998016",0,8,202
1762521987,2025-11-07T13:26:27Z,UAE355,"1.364004,103.998169",0,7,163
1762522001,2025-11-07T13:26:41Z,UAE355,"1.364004,103.998444",0,1,120
1762522339,2025-11-07T13:32:19Z,UAE355,"1.363632,103.998756",0,9,140
1762522353,2025-11-07T13:32:33Z,UAE355,"1.362991,103.99884",0,11,171
1762522358,2025-11-07T13:32:38Z,UAE355,"1.362735,103.998863",0,11,171
