Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762080978,2025-11-02T10:56:18Z,UAE75T,"-27.402649,153.11554",0,7,118
1762081023,2025-11-02T10:57:03Z,UAE75T,"-27.403021,153.116318",0,3,118
1762081117,2025-11-02T10:58:37Z,UAE75T,"-27.402567,153.118332",0,5,33
1762081240,2025-11-02T11:00:40Z,UAE75T,"-27.402111,153.118637",0,26,28
1762081260,2025-11-02T11:01:00Z,UAE75T,"-27.397177,153.121384",0,89,27
1762081273,2025-11-02T11:01:13Z,UAE75T,"-27.390976,153.124954",100,128,26
1762081290,2025-11-02T11:01:30Z,UAE75T,"-27.380816,153.130829",200,158,27
1762081300,2025-11-02T11:01:40Z,UAE75T,"-27.374065,153.134842",450,156,27
1762081308,2025-11-02T11:01:48Z,UAE75T,"-27.368912,153.137863",650,155,27
1762081315,2025-11-02T11:01:55Z,UAE75T,"-27.364616,153.140442",850,153,30
1762081318,2025-11-02T11:01:58Z,UAE75T,"-27.363359,153.141327",900,154,37
1762081320,2025-11-02T11:02:00Z,UAE75T,"-27.361404,153.143082",975,154,39
1762081323,2025-11-02T11:02:03Z,UAE75T,"-27.360332,153.14418",1050,155,44
1762081325,2025-11-02T11:02:05Z,UAE75T,"-27.359299,153.14537",1100,155,47
1762081327,2025-11-02T11:02:07Z,UAE75T,"-27.358337,153.146622",1150,156,49
1762081329,2025-11-02T11:02:09Z,UAE75T,"-27.357376,153.147919",1200,157,51
1762081331,2025-11-02T11:02:11Z,UAE75T,"-27.356277,153.14946",1250,158,52
1762081333,2025-11-02T11:02:13Z,UAE75T,"-27.355362,153.150864",1300,161,53
1762081336,2025-11-02T11:02:16Z,UAE75T,"-27.354328,153.152481",1325,163,54
1762081338,2025-11-02T11:02:18Z,UAE75T,"-27.353439,153.153915",1350,166,55
1762081340,2025-11-02T11:02:20Z,UAE75T,"-27.352615,153.155273",1350,168,56
1762081342,2025-11-02T11:02:22Z,UAE75T,"-27.351627,153.156921",1375,171,56
1762081344,2025-11-02T11:02:24Z,UAE75T,"-27.350784,153.158432",1400,174,56
1762081346,2025-11-02T11:02:26Z,UAE75T,"-27.349672,153.160294",1425,176,57
1762081348,2025-11-02T11:02:28Z,UAE75T,"-27.34877,153.16185",1450,180,57
1762081350,2025-11-02T11:02:30Z,UAE75T,"-27.347904,153.1633",1450,182,57
1762081352,2025-11-02T11:02:32Z,UAE75T,"-27.347076,153.16481",1450,185,57
1762081354,2025-11-02T11:02:34Z,UAE75T,"-27.346161,153.166458",1475,187,57
1762081357,2025-11-02T11:02:37Z,UAE75T,"-27.344971,153.168488",1500,191,57
1762081359,2025-11-02T11:02:39Z,UAE75T,"-27.343992,153.170227",1500,193,57
1762081361,2025-11-02T11:02:41Z,UAE75T,"-27.342865,153.172165",1525,195,57
1762081370,2025-11-02T11:02:50Z,UAE75T,"-27.338333,153.180038",1625,206,57
1762081377,2025-11-02T11:02:57Z,UAE75T,"-27.334991,153.185791",1725,212,57
1762081385,2025-11-02T11:03:05Z,UAE75T,"-27.330259,153.194",1850,222,57
1762081390,2025-11-02T11:03:10Z,UAE75T,"-27.327467,153.198807",1900,226,56
1762081392,2025-11-02T11:03:12Z,UAE75T,"-27.326349,153.200699",1925,228,57
1762081394,2025-11-02T11:03:14Z,UAE75T,"-27.325186,153.202713",1950,230,56
1762081396,2025-11-02T11:03:16Z,UAE75T,"-27.323776,153.205124",1975,232,56
1762081398,2025-11-02T11:03:18Z,UAE75T,"-27.322403,153.207504",2025,235,56
1762081401,2025-11-02T11:03:21Z,UAE75T,"-27.32095,153.209991",2075,237,56
1762081403,2025-11-02T11:03:23Z,UAE75T,"-27.319832,153.211899",2100,239,56
1762081405,2025-11-02T11:03:25Z,UAE75T,"-27.318483,153.214218",2150,240,56
1762081407,2025-11-02T11:03:27Z,UAE75T,"-27.317047,153.216629",2225,241,56
1762081409,2025-11-02T11:03:29Z,UAE75T,"-27.31572,153.218903",2300,242,56
1762081416,2025-11-02T11:03:36Z,UAE75T,"-27.3116,153.225952",2575,241,56
1762081423,2025-11-02T11:03:43Z,UAE75T,"-27.307251,153.233261",2875,239,56
1762081432,2025-11-02T11:03:52Z,UAE75T,"-27.301849,153.242172",3200,241,55
1762081441,2025-11-02T11:04:01Z,UAE75T,"-27.296185,153.25119",3500,244,54
1762081447,2025-11-02T11:04:07Z,UAE75T,"-27.291824,153.258133",3700,247,54
1762081456,2025-11-02T11:04:16Z,UAE75T,"-27.286057,153.266998",3950,252,54
1762081464,2025-11-02T11:04:24Z,UAE75T,"-27.279844,153.276596",4175,256,53
1762081469,2025-11-02T11:04:29Z,UAE75T,"-27.276855,153.280884",4300,256,49
1762081471,2025-11-02T11:04:31Z,UAE75T,"-27.274933,153.283371",4375,256,47
1762081473,2025-11-02T11:04:33Z,UAE75T,"-27.273327,153.285217",4425,256,42
1762081475,2025-11-02T11:04:35Z,UAE75T,"-27.271362,153.287109",4500,255,38
1762081478,2025-11-02T11:04:38Z,UAE75T,"-27.268936,153.289124",4575,255,35
1762081480,2025-11-02T11:04:40Z,UAE75T,"-27.267042,153.290497",4625,254,29
1762081482,2025-11-02T11:04:42Z,UAE75T,"-27.264862,153.291763",4700,254,25
1762081484,2025-11-02T11:04:44Z,UAE75T,"-27.262712,153.292816",4750,253,21
1762081486,2025-11-02T11:04:46Z,UAE75T,"-27.259964,153.2939",4825,252,17
1762081488,2025-11-02T11:04:48Z,UAE75T,"-27.257629,153.294571",4900,251,12
1762081490,2025-11-02T11:04:50Z,UAE75T,"-27.255497,153.295029",4950,250,8
1762081493,2025-11-02T11:04:53Z,UAE75T,"-27.252914,153.295349",5025,249,3
1762081495,2025-11-02T11:04:55Z,UAE75T,"-27.250051,153.295456",5125,249,2
1762081497,2025-11-02T11:04:57Z,UAE75T,"-27.247677,153.295349",5175,248,355
1762081499,2025-11-02T11:04:59Z,UAE75T,"-27.245815,153.29509",5225,248,351
1762081501,2025-11-02T11:05:01Z,UAE75T,"-27.242844,153.294464",5300,248,347
1762081503,2025-11-02T11:05:03Z,UAE75T,"-27.240189,153.29364",5375,248,342
1762081506,2025-11-02T11:05:06Z,UAE75T,"-27.238174,153.292862",5425,248,338
1762081508,2025-11-02T11:05:08Z,UAE75T,"-27.235657,153.291565",5500,248,333
1762081510,2025-11-02T11:05:10Z,UAE75T,"-27.233572,153.290283",5550,248,328
1762081512,2025-11-02T11:05:12Z,UAE75T,"-27.231308,153.288605",5625,250,325
1762081514,2025-11-02T11:05:14Z,UAE75T,"-27.229708,153.287277",5675,249,321
1762081516,2025-11-02T11:05:16Z,UAE75T,"-27.227938,153.285629",5750,250,319
1762081518,2025-11-02T11:05:18Z,UAE75T,"-27.226273,153.283951",5800,251,316
1762081521,2025-11-02T11:05:21Z,UAE75T,"-27.224075,153.281509",5850,252,314
1762081523,2025-11-02T11:05:23Z,UAE75T,"-27.22184,153.27887",5925,253,312
1762081525,2025-11-02T11:05:25Z,UAE75T,"-27.220257,153.276917",5975,255,311
1762081528,2025-11-02T11:05:28Z,UAE75T,"-27.218767,153.275024",6025,256,311
1762081530,2025-11-02T11:05:30Z,UAE75T,"-27.216812,153.272476",6050,258,310
1762081532,2025-11-02T11:05:32Z,UAE75T,"-27.215277,153.270477",6100,260,310
1762081534,2025-11-02T11:05:34Z,UAE75T,"-27.213684,153.268402",6100,262,310
1762081536,2025-11-02T11:05:36Z,UAE75T,"-27.211878,153.265991",6150,264,310
1762081539,2025-11-02T11:05:39Z,UAE75T,"-27.209877,153.263245",6175,265,309
1762081541,2025-11-02T11:05:41Z,UAE75T,"-27.208099,153.26088",6225,266,309
1762081543,2025-11-02T11:05:43Z,UAE75T,"-27.20636,153.258606",6275,267,309
1762081545,2025-11-02T11:05:45Z,UAE75T,"-27.204987,153.256683",6325,268,309
1762081560,2025-11-02T11:06:00Z,UAE75T,"-27.193268,153.240311",6850,270,303
1762081562,2025-11-02T11:06:02Z,UAE75T,"-27.19194,153.237869",6925,270,299
1762081564,2025-11-02T11:06:04Z,UAE75T,"-27.19051,153.234924",7000,272,295
1762081566,2025-11-02T11:06:06Z,UAE75T,"-27.189331,153.231812",7075,272,291
1762081569,2025-11-02T11:06:09Z,UAE75T,"-27.188507,153.229111",7150,273,287
1762081571,2025-11-02T11:06:11Z,UAE75T,"-27.187857,153.226639",7200,274,284
1762081573,2025-11-02T11:06:13Z,UAE75T,"-27.187204,153.223618",7250,274,281
1762081575,2025-11-02T11:06:15Z,UAE75T,"-27.1866,153.220032",7325,275,280
1762081577,2025-11-02T11:06:17Z,UAE75T,"-27.186172,153.217194",7400,275,279
1762081580,2025-11-02T11:06:20Z,UAE75T,"-27.185669,153.213699",7475,276,279
1762081582,2025-11-02T11:06:22Z,UAE75T,"-27.185249,153.210846",7525,277,278
1762081584,2025-11-02T11:06:24Z,UAE75T,"-27.184832,153.208038",7600,278,278
1762081586,2025-11-02T11:06:26Z,UAE75T,"-27.184479,153.205276",7675,277,279
1762081588,2025-11-02T11:06:28Z,UAE75T,"-27.183947,153.201752",7775,278,279
1762081590,2025-11-02T11:06:30Z,UAE75T,"-27.183609,153.199585",7825,277,279
1762081592,2025-11-02T11:06:32Z,UAE75T,"-27.183016,153.195633",7950,277,279
