Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762272634,2025-11-04T16:10:34Z,UAE529,"17.234344,78.427315",0,0,0
1762272897,2025-11-04T16:14:57Z,UAE529,"17.234138,78.427299",0,0,0
1762272923,2025-11-04T16:15:23Z,UAE529,"17.233921,78.427261",0,0,348
1762272948,2025-11-04T16:15:48Z,UAE529,"17.233715,78.427238",0,0,323
1762272979,2025-11-04T16:16:19Z,UAE529,"17.233511,78.427361",0,0,295
1762273004,2025-11-04T16:16:44Z,UAE529,"17.233406,78.427574",0,0,286
1762273027,2025-11-04T16:17:07Z,UAE529,"17.233315,78.42778",0,0,278
1762273051,2025-11-04T16:17:31Z,UAE529,"17.23328,78.427986",0,0,270
1762273518,2025-11-04T16:25:18Z,UAE529,"17.23328,78.427773",0,4,270
1762273528,2025-11-04T16:25:28Z,UAE529,"17.233269,78.427528",0,5,267
1762273536,2025-11-04T16:25:36Z,UAE529,"17.233114,78.427322",0,6,239
1762273542,2025-11-04T16:25:42Z,UAE529,"17.232903,78.427277",0,8,213
1762273549,2025-11-04T16:25:49Z,UAE529,"17.232651,78.427292",0,8,182
1762273556,2025-11-04T16:25:56Z,UAE529,"17.232445,78.42746",0,9,151
1762273561,2025-11-04T16:26:01Z,UAE529,"17.232388,78.427689",0,8,120
1762273567,2025-11-04T16:26:07Z,UAE529,"17.232382,78.427902",0,8,101
1762273573,2025-11-04T16:26:13Z,UAE529,"17.232399,78.428146",0,9,90
1762273579,2025-11-04T16:26:19Z,UAE529,"17.232399,78.428406",0,9,90
1762273584,2025-11-04T16:26:24Z,UAE529,"17.232405,78.42865",0,10,87
1762273589,2025-11-04T16:26:29Z,UAE529,"17.232405,78.428871",0,10,90
1762273594,2025-11-04T16:26:34Z,UAE529,"17.232405,78.429131",0,11,90
1762273597,2025-11-04T16:26:37Z,UAE529,"17.232416,78.429352",0,12,90
1762273601,2025-11-04T16:26:41Z,UAE529,"17.23241,78.429588",0,12,90
1762273608,2025-11-04T16:26:48Z,UAE529,"17.232422,78.430023",0,13,90
1762273616,2025-11-04T16:26:56Z,UAE529,"17.232416,78.430511",0,14,90
1762273622,2025-11-04T16:27:02Z,UAE529,"17.232433,78.430893",0,15,90
1762273629,2025-11-04T16:27:09Z,UAE529,"17.232433,78.431465",0,15,90
1762273636,2025-11-04T16:27:16Z,UAE529,"17.232439,78.432007",0,15,90
1762273644,2025-11-04T16:27:24Z,UAE529,"17.23245,78.432602",0,15,90
1762273652,2025-11-04T16:27:32Z,UAE529,"17.232464,78.433174",0,16,90
1762273659,2025-11-04T16:27:39Z,UAE529,"17.232479,78.433746",0,14,90
1762273668,2025-11-04T16:27:48Z,UAE529,"17.232475,78.434067",0,11,90
1762273674,2025-11-04T16:27:54Z,UAE529,"17.232479,78.434517",0,11,90
1762273682,2025-11-04T16:28:02Z,UAE529,"17.232487,78.434906",0,11,90
1762273690,2025-11-04T16:28:10Z,UAE529,"17.232487,78.435249",0,11,90
1762273696,2025-11-04T16:28:16Z,UAE529,"17.232498,78.435539",0,6,90
1762273704,2025-11-04T16:28:24Z,UAE529,"17.232498,78.43576",0,7,90
1762273711,2025-11-04T16:28:31Z,UAE529,"17.232502,78.435989",0,7,90
1762273717,2025-11-04T16:28:37Z,UAE529,"17.23251,78.436241",0,7,90
1762273725,2025-11-04T16:28:45Z,UAE529,"17.23251,78.436501",0,8,90
1762273741,2025-11-04T16:29:01Z,UAE529,"17.232525,78.43718",0,9,90
1762273751,2025-11-04T16:29:11Z,UAE529,"17.232533,78.437721",0,13,90
1762273759,2025-11-04T16:29:19Z,UAE529,"17.232533,78.438065",0,14,90
1762273766,2025-11-04T16:29:26Z,UAE529,"17.232536,78.438805",0,15,90
1762273776,2025-11-04T16:29:36Z,UAE529,"17.232548,78.439491",0,15,90
1762273783,2025-11-04T16:29:43Z,UAE529,"17.232559,78.439995",0,14,90
1762273790,2025-11-04T16:29:50Z,UAE529,"17.232567,78.44046",0,14,90
1762273797,2025-11-04T16:29:57Z,UAE529,"17.232571,78.440887",0,14,90
1762273803,2025-11-04T16:30:03Z,UAE529,"17.232567,78.441414",0,14,90
1762273812,2025-11-04T16:30:12Z,UAE529,"17.232582,78.441856",0,10,90
1762273824,2025-11-04T16:30:24Z,UAE529,"17.232592,78.442345",0,10,90
1762273832,2025-11-04T16:30:32Z,UAE529,"17.232605,78.442741",0,10,90
1762273838,2025-11-04T16:30:38Z,UAE529,"17.232605,78.44313",0,9,90
1762273845,2025-11-04T16:30:45Z,UAE529,"17.232571,78.443428",0,9,98
1762273856,2025-11-04T16:30:56Z,UAE529,"17.232159,78.443657",0,10,157
1762273860,2025-11-04T16:31:00Z,UAE529,"17.231941,78.443672",0,11,171
1762273873,2025-11-04T16:31:13Z,UAE529,"17.231266,78.443687",0,0,174
1762273891,2025-11-04T16:31:31Z,UAE529,"17.231037,78.444542",0,0,90
1762273898,2025-11-04T16:31:38Z,UAE529,"17.231049,78.444946",0,14,87
1762273909,2025-11-04T16:31:49Z,UAE529,"17.23106,78.445633",0,17,90
1762273916,2025-11-04T16:31:56Z,UAE529,"17.23106,78.446465",0,0,90
1762273925,2025-11-04T16:32:05Z,UAE529,"17.231083,78.447319",0,18,90
1762273935,2025-11-04T16:32:15Z,UAE529,"17.231091,78.448235",0,19,90
1762273944,2025-11-04T16:32:24Z,UAE529,"17.231106,78.448936",0,16,90
1762273951,2025-11-04T16:32:31Z,UAE529,"17.231106,78.449493",0,17,90
1762273958,2025-11-04T16:32:38Z,UAE529,"17.231113,78.45018",0,18,90
1762273965,2025-11-04T16:32:45Z,UAE529,"17.231125,78.450829",0,18,90
1762273973,2025-11-04T16:32:53Z,UAE529,"17.231129,78.451439",0,19,90
1762273980,2025-11-04T16:33:00Z,UAE529,"17.231148,78.452316",0,21,90
1762273987,2025-11-04T16:33:07Z,UAE529,"17.231129,78.452789",0,14,95
1762273992,2025-11-04T16:33:12Z,UAE529,"17.230968,78.453018",0,12,118
1762273997,2025-11-04T16:33:17Z,UAE529,"17.230671,78.453171",0,12,151
1762274002,2025-11-04T16:33:22Z,UAE529,"17.230427,78.453201",0,13,168
1762274006,2025-11-04T16:33:26Z,UAE529,"17.230194,78.453171",0,12,180
1762274010,2025-11-04T16:33:30Z,UAE529,"17.229973,78.45311",0,11,191
1762274019,2025-11-04T16:33:39Z,UAE529,"17.229595,78.452843",0,11,216
1762274029,2025-11-04T16:33:49Z,UAE529,"17.229239,78.452538",0,11,219
1762274035,2025-11-04T16:33:55Z,UAE529,"17.22908,78.45224",0,11,239
1762274040,2025-11-04T16:34:00Z,UAE529,"17.229088,78.451981",0,11,264
1762274044,2025-11-04T16:34:04Z,UAE529,"17.229088,78.451729",0,12,267
1762274048,2025-11-04T16:34:08Z,UAE529,"17.229092,78.451523",0,13,270
1762274050,2025-11-04T16:34:10Z,UAE529,"17.22908,78.451286",0,18,270
1762274053,2025-11-04T16:34:13Z,UAE529,"17.229088,78.450867",0,28,270
1762274056,2025-11-04T16:34:16Z,UAE529,"17.229088,78.450485",0,37,270
1762274058,2025-11-04T16:34:18Z,UAE529,"17.229076,78.449898",0,46,270
1762274063,2025-11-04T16:34:23Z,UAE529,"17.229053,78.448242",0,67,270
1762274065,2025-11-04T16:34:25Z,UAE529,"17.229031,78.447411",0,80,270
1762274066,2025-11-04T16:34:26Z,UAE529,"17.229023,78.447174",0,80,270
1762274072,2025-11-04T16:34:32Z,UAE529,"17.228983,78.443901",2025,100,268
1762274080,2025-11-04T16:34:40Z,UAE529,"17.228889,78.43885",2000,134,269
1762274088,2025-11-04T16:34:48Z,UAE529,"17.228844,78.433701",2000,161,268
1762274095,2025-11-04T16:34:55Z,UAE529,"17.22876,78.427589",2025,182,268
1762274101,2025-11-04T16:35:01Z,UAE529,"17.228611,78.421242",2100,191,268
1762274108,2025-11-04T16:35:08Z,UAE529,"17.228472,78.415504",2325,190,268
1762274117,2025-11-04T16:35:17Z,UAE529,"17.228302,78.407066",2650,192,268
1762274123,2025-11-04T16:35:23Z,UAE529,"17.22821,78.401428",2875,193,268
1762274131,2025-11-04T16:35:31Z,UAE529,"17.228052,78.394173",3200,193,269
1762274137,2025-11-04T16:35:37Z,UAE529,"17.228027,78.388031",3400,194,269
1762274146,2025-11-04T16:35:46Z,UAE529,"17.227936,78.379791",3625,198,269
1762274152,2025-11-04T16:35:52Z,UAE529,"17.227913,78.373764",3775,200,269
1762274160,2025-11-04T16:36:00Z,UAE529,"17.227844,78.366058",4025,201,269
1762274167,2025-11-04T16:36:07Z,UAE529,"17.227819,78.359497",4250,201,269
1762274175,2025-11-04T16:36:15Z,UAE529,"17.227661,78.351311",4525,201,269
1762274184,2025-11-04T16:36:24Z,UAE529,"17.22757,78.343071",4775,203,269
1762274193,2025-11-04T16:36:33Z,UAE529,"17.227587,78.333992",5050,203,271
1762274203,2025-11-04T16:36:43Z,UAE529,"17.228798,78.323738",5350,204,279
1762274206,2025-11-04T16:36:46Z,UAE529,"17.229263,78.321335",5400,206,281
1762274208,2025-11-04T16:36:48Z,UAE529,"17.229774,78.319229",5425,207,283
1762274210,2025-11-04T16:36:50Z,UAE529,"17.230194,78.317657",5450,208,284
