Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762725250,2025-11-09T21:54:10Z,UAE658,"25.264355,55.339993",0,2,300
1762725279,2025-11-09T21:54:39Z,UAE658,"25.264286,55.340195",0,3,300
1762725288,2025-11-09T21:54:48Z,UAE658,"25.264168,55.340401",0,6,300
1762725295,2025-11-09T21:54:55Z,UAE658,"25.264057,55.340614",0,8,120
1762725300,2025-11-09T21:55:00Z,UAE658,"25.263947,55.340816",0,8,120
1762725307,2025-11-09T21:55:07Z,UAE658,"25.263828,55.341045",0,8,120
1762725313,2025-11-09T21:55:13Z,UAE658,"25.263689,55.34127",0,8,123
1762725320,2025-11-09T21:55:20Z,UAE658,"25.263504,55.341492",0,9,137
1762725324,2025-11-09T21:55:24Z,UAE658,"25.26329,55.341568",0,10,165
1762725331,2025-11-09T21:55:31Z,UAE658,"25.263039,55.341518",0,9,196
1762725338,2025-11-09T21:55:38Z,UAE658,"25.26277,55.341347",0,9,208
1762725344,2025-11-09T21:55:44Z,UAE658,"25.262569,55.341225",0,8,210
1762725350,2025-11-09T21:55:50Z,UAE658,"25.262352,55.341129",0,8,196
1762725356,2025-11-09T21:55:56Z,UAE658,"25.262135,55.34116",0,9,168
1762725361,2025-11-09T21:56:01Z,UAE658,"25.261932,55.34132",0,10,135
1762736034,2025-11-10T00:53:54Z,UAE658,"25.238249,55.390633",225,183,121
1762736042,2025-11-10T00:54:02Z,UAE658,"25.234222,55.397694",450,184,122
1762736050,2025-11-10T00:54:10Z,UAE658,"25.230707,55.403847",725,189,122
1762736056,2025-11-10T00:54:16Z,UAE658,"25.227722,55.409138",950,190,121
1762736064,2025-11-10T00:54:24Z,UAE658,"25.223923,55.415905",1200,194,121
1762736072,2025-11-10T00:54:32Z,UAE658,"25.220001,55.423073",1375,202,121
1762736081,2025-11-10T00:54:41Z,UAE658,"25.21582,55.430706",1550,207,120
1762736087,2025-11-10T00:54:47Z,UAE658,"25.212799,55.436146",1650,214,121
1762736095,2025-11-10T00:54:55Z,UAE658,"25.208549,55.443851",1800,222,121
1762736104,2025-11-10T00:55:04Z,UAE658,"25.203415,55.453186",1975,230,121
1762736112,2025-11-10T00:55:12Z,UAE658,"25.198929,55.461376",2200,236,121
1762736120,2025-11-10T00:55:20Z,UAE658,"25.194031,55.470226",2475,239,121
1762736129,2025-11-10T00:55:29Z,UAE658,"25.18927,55.478821",2725,242,121
1762736137,2025-11-10T00:55:37Z,UAE658,"25.183876,55.488419",3050,245,121
1762736144,2025-11-10T00:55:44Z,UAE658,"25.180298,55.49474",3225,249,121
1762736153,2025-11-10T00:55:53Z,UAE658,"25.174393,55.505322",3450,256,121
1762736165,2025-11-10T00:56:05Z,UAE658,"25.166279,55.519825",3750,267,121
1762736174,2025-11-10T00:56:14Z,UAE658,"25.161112,55.529049",4075,270,121
1762736181,2025-11-10T00:56:21Z,UAE658,"25.155991,55.538128",4375,271,121
1762736190,2025-11-10T00:56:30Z,UAE658,"25.150223,55.548298",4750,271,122
1762736196,2025-11-10T00:56:36Z,UAE658,"25.146332,55.555012",5050,270,122
