Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762107976,2025-11-02T18:26:16Z,UAE795,"14.670763,-17.06879",0,2,90
1762108004,2025-11-02T18:26:44Z,UAE795,"14.670763,-17.069103",0,2,90
1762108023,2025-11-02T18:27:03Z,UAE795,"14.670708,-17.069309",0,2,109
1762108045,2025-11-02T18:27:25Z,UAE795,"14.670729,-17.069525",0,2,137
1762108066,2025-11-02T18:27:46Z,UAE795,"14.670833,-17.069731",0,0,168
1762108097,2025-11-02T18:28:17Z,UAE795,"14.671112,-17.069803",0,2,188
1762108119,2025-11-02T18:28:39Z,UAE795,"14.671333,-17.069754",0,0,180
1762108316,2025-11-02T18:31:56Z,UAE795,"14.670959,-17.069746",0,5,180
1762108324,2025-11-02T18:32:04Z,UAE795,"14.670752,-17.069754",0,6,180
1762108339,2025-11-02T18:32:19Z,UAE795,"14.670251,-17.069742",0,8,180
1762108348,2025-11-02T18:32:28Z,UAE795,"14.669821,-17.069742",0,10,180
1762108355,2025-11-02T18:32:35Z,UAE795,"14.669495,-17.069735",0,11,180
1762108363,2025-11-02T18:32:43Z,UAE795,"14.669076,-17.069731",0,12,180
1762108371,2025-11-02T18:32:51Z,UAE795,"14.668613,-17.069735",0,14,180
1762108378,2025-11-02T18:32:58Z,UAE795,"14.668385,-17.069723",0,14,180
1762108386,2025-11-02T18:33:06Z,UAE795,"14.667515,-17.069723",0,16,180
1762108392,2025-11-02T18:33:12Z,UAE795,"14.667114,-17.069712",0,11,180
1762108399,2025-11-02T18:33:19Z,UAE795,"14.666842,-17.069731",0,8,182
1762108407,2025-11-02T18:33:27Z,UAE795,"14.666643,-17.069946",0,8,222
1762108418,2025-11-02T18:33:38Z,UAE795,"14.666622,-17.070421",0,9,264
1762108431,2025-11-02T18:33:51Z,UAE795,"14.666399,-17.070814",0,0,225
1762108437,2025-11-02T18:33:57Z,UAE795,"14.666187,-17.070835",0,7,202
1762108449,2025-11-02T18:34:09Z,UAE795,"14.665793,-17.070839",0,9,182
1762108454,2025-11-02T18:34:14Z,UAE795,"14.665538,-17.070839",0,10,180
1762108463,2025-11-02T18:34:23Z,UAE795,"14.665061,-17.070826",0,12,180
