Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762446095,2025-11-06T16:21:35Z,UAE797,"9.574457,-13.619767",0,0,320
1762446232,2025-11-06T16:23:52Z,UAE797,"9.574253,-13.619591",0,0,320
1762446265,2025-11-06T16:24:25Z,UAE797,"9.57405,-13.619412",0,0,320
1762446294,2025-11-06T16:24:54Z,UAE797,"9.57384,-13.61927",0,0,309
1762446327,2025-11-06T16:25:27Z,UAE797,"9.573635,-13.61909",0,0,281
1762446360,2025-11-06T16:26:00Z,UAE797,"9.573532,-13.61888",0,0,247
1762446394,2025-11-06T16:26:34Z,UAE797,"9.573589,-13.618671",0,0,227
1762446576,2025-11-06T16:29:36Z,UAE797,"9.573409,-13.618879",0,4,227
1762446588,2025-11-06T16:29:48Z,UAE797,"9.573235,-13.61909",0,5,230
1762446597,2025-11-06T16:29:57Z,UAE797,"9.57306,-13.619294",0,7,230
1762446606,2025-11-06T16:30:06Z,UAE797,"9.57288,-13.619509",0,8,230
1762446613,2025-11-06T16:30:13Z,UAE797,"9.572708,-13.619719",0,8,230
1762446621,2025-11-06T16:30:21Z,UAE797,"9.572525,-13.619933",0,7,230
1762446631,2025-11-06T16:30:31Z,UAE797,"9.572285,-13.620032",0,6,205
1762446638,2025-11-06T16:30:38Z,UAE797,"9.572079,-13.619916",0,8,165
1762446645,2025-11-06T16:30:45Z,UAE797,"9.571874,-13.61972",0,10,143
1762446650,2025-11-06T16:30:50Z,UAE797,"9.571641,-13.619519",0,13,140
1762446655,2025-11-06T16:30:55Z,UAE797,"9.571415,-13.619323",0,14,137
1762446659,2025-11-06T16:30:59Z,UAE797,"9.57121,-13.61914",0,13,140
1762446666,2025-11-06T16:31:06Z,UAE797,"9.571026,-13.618927",0,8,126
1762446671,2025-11-06T16:31:11Z,UAE797,"9.571094,-13.618726",0,9,92
1762446678,2025-11-06T16:31:18Z,UAE797,"9.571301,-13.61852",0,9,56
1762446685,2025-11-06T16:31:25Z,UAE797,"9.571484,-13.618299",0,10,50
1762446688,2025-11-06T16:31:28Z,UAE797,"9.571667,-13.618077",0,16,50
1762446691,2025-11-06T16:31:31Z,UAE797,"9.571885,-13.617838",0,23,47
1762446693,2025-11-06T16:31:33Z,UAE797,"9.572193,-13.617473",0,37,47
1762446696,2025-11-06T16:31:36Z,UAE797,"9.572595,-13.617021",0,47,47
1762446697,2025-11-06T16:31:37Z,UAE797,"9.572811,-13.616751",0,57,47
1762446698,2025-11-06T16:31:38Z,UAE797,"9.573026,-13.616512",0,62,50
1762446699,2025-11-06T16:31:39Z,UAE797,"9.573328,-13.616145",0,67,50
1762446701,2025-11-06T16:31:41Z,UAE797,"9.573589,-13.615843",0,70,50
1762446702,2025-11-06T16:31:42Z,UAE797,"9.57391,-13.615447",0,76,47
1762446703,2025-11-06T16:31:43Z,UAE797,"9.574317,-13.614985",0,84,47
