Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762456317,2025-11-06T19:11:57Z,UAE797,"14.67074,-17.069357",0,0,115
1762456337,2025-11-06T19:12:17Z,UAE797,"14.670753,-17.069557",0,2,146
1762456362,2025-11-06T19:12:42Z,UAE797,"14.670959,-17.069746",0,2,171
1762456392,2025-11-06T19:13:12Z,UAE797,"14.671264,-17.069778",0,0,177
1762456593,2025-11-06T19:16:33Z,UAE797,"14.670994,-17.069782",0,0,182
1762456603,2025-11-06T19:16:43Z,UAE797,"14.670776,-17.06996",0,6,213
1762456641,2025-11-06T19:17:21Z,UAE797,"14.670067,-17.070871",0,9,182
1762456649,2025-11-06T19:17:29Z,UAE797,"14.669643,-17.070883",0,11,180
1762456658,2025-11-06T19:17:38Z,UAE797,"14.669163,-17.070883",0,13,180
1762456670,2025-11-06T19:17:50Z,UAE797,"14.668236,-17.070871",0,0,180
1762456690,2025-11-06T19:18:10Z,UAE797,"14.666359,-17.070848",0,0,180
1762456698,2025-11-06T19:18:18Z,UAE797,"14.665421,-17.070835",0,0,180
1762456706,2025-11-06T19:18:26Z,UAE797,"14.664631,-17.070835",0,24,180
1762456714,2025-11-06T19:18:34Z,UAE797,"14.663688,-17.070826",0,25,180
1762456721,2025-11-06T19:18:41Z,UAE797,"14.662767,-17.070814",0,26,180
1762456730,2025-11-06T19:18:50Z,UAE797,"14.661724,-17.070812",0,24,180
1762456737,2025-11-06T19:18:57Z,UAE797,"14.660953,-17.070803",0,24,180
1762456754,2025-11-06T19:19:14Z,UAE797,"14.659184,-17.070789",0,24,180
1762456761,2025-11-06T19:19:21Z,UAE797,"14.65824,-17.070778",0,23,180
1762456769,2025-11-06T19:19:29Z,UAE797,"14.657455,-17.070765",0,20,180
1762456775,2025-11-06T19:19:35Z,UAE797,"14.656952,-17.070765",0,17,180
1762456784,2025-11-06T19:19:44Z,UAE797,"14.656345,-17.070753",0,15,180
1762456794,2025-11-06T19:19:54Z,UAE797,"14.65575,-17.070755",0,11,180
1762456803,2025-11-06T19:20:03Z,UAE797,"14.655441,-17.070765",0,5,182
1762456815,2025-11-06T19:20:15Z,UAE797,"14.65527,-17.07099",0,6,227
1762456823,2025-11-06T19:20:23Z,UAE797,"14.65527,-17.071215",0,6,253
1762456838,2025-11-06T19:20:38Z,UAE797,"14.65527,-17.071417",0,0,264
1762457310,2025-11-06T19:28:30Z,UAE797,"14.655258,-17.071878",0,8,270
1762457317,2025-11-06T19:28:37Z,UAE797,"14.655261,-17.072151",0,9,270
1762457322,2025-11-06T19:28:42Z,UAE797,"14.655281,-17.072388",0,9,275
1762457328,2025-11-06T19:28:48Z,UAE797,"14.655396,-17.072588",0,8,295
1762457335,2025-11-06T19:28:55Z,UAE797,"14.655622,-17.072645",0,7,329
1762457345,2025-11-06T19:29:05Z,UAE797,"14.655956,-17.072647",0,8,354
1762457351,2025-11-06T19:29:11Z,UAE797,"14.656285,-17.072657",0,14,357
1762457355,2025-11-06T19:29:15Z,UAE797,"14.656553,-17.07267",0,19,357
1762457358,2025-11-06T19:29:18Z,UAE797,"14.657181,-17.072672",0,35,357
1762457359,2025-11-06T19:29:19Z,UAE797,"14.657398,-17.072672",0,39,357
1762457360,2025-11-06T19:29:20Z,UAE797,"14.657647,-17.07267",0,44,357
1762457363,2025-11-06T19:29:23Z,UAE797,"14.658211,-17.072672",0,52,357
1762457365,2025-11-06T19:29:25Z,UAE797,"14.658863,-17.072683",0,61,357
1762457366,2025-11-06T19:29:26Z,UAE797,"14.659195,-17.072681",0,65,357
1762457368,2025-11-06T19:29:28Z,UAE797,"14.660099,-17.072695",0,78,357
1762457376,2025-11-06T19:29:36Z,UAE797,"14.663955,-17.072754",400,111,359
1762457394,2025-11-06T19:29:54Z,UAE797,"14.675629,-17.072849",400,173,359
1762457402,2025-11-06T19:30:02Z,UAE797,"14.682948,-17.072947",500,187,359
1762457409,2025-11-06T19:30:09Z,UAE797,"14.688583,-17.073038",750,184,359
1762457417,2025-11-06T19:30:17Z,UAE797,"14.695052,-17.073139",1100,183,359
1762457424,2025-11-06T19:30:24Z,UAE797,"14.701662,-17.073236",1425,182,359
1762457434,2025-11-06T19:30:34Z,UAE797,"14.709915,-17.073227",1800,184,359
1762457442,2025-11-06T19:30:42Z,UAE797,"14.716873,-17.073179",2100,186,359
1762457448,2025-11-06T19:30:48Z,UAE797,"14.722137,-17.073179",2300,184,359
1762457455,2025-11-06T19:30:55Z,UAE797,"14.728043,-17.073275",2425,186,359
1762457464,2025-11-06T19:31:04Z,UAE797,"14.736145,-17.073418",2600,189,358
1762457471,2025-11-06T19:31:11Z,UAE797,"14.741837,-17.073622",2725,191,357
1762457479,2025-11-06T19:31:19Z,UAE797,"14.749844,-17.07391",2900,193,357
1762457486,2025-11-06T19:31:26Z,UAE797,"14.756012,-17.074175",3050,194,357
1762457493,2025-11-06T19:31:33Z,UAE797,"14.761761,-17.074345",3175,196,358
1762457495,2025-11-06T19:31:35Z,UAE797,"14.763748,-17.074316",3225,197,1
1762457497,2025-11-06T19:31:37Z,UAE797,"14.766044,-17.074055",3275,197,4
1762457500,2025-11-06T19:31:40Z,UAE797,"14.767441,-17.07391",3300,197,7
1762457502,2025-11-06T19:31:42Z,UAE797,"14.769974,-17.073322",3350,197,11
1762457504,2025-11-06T19:31:44Z,UAE797,"14.771956,-17.072706",3375,197,14
1762457506,2025-11-06T19:31:46Z,UAE797,"14.773632,-17.071983",3425,197,20
