Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762147959,2025-11-03T05:32:39Z,ETD1SA,"-33.940468,151.163986",0,0,30
1762148000,2025-11-03T05:33:20Z,ETD1SA,"-33.940659,151.163757",0,3,25
1762148019,2025-11-03T05:33:39Z,ETD1SA,"-33.94083,151.163544",0,3,357
1762148032,2025-11-03T05:33:52Z,ETD1SA,"-33.941071,151.163467",0,4,326
1762148045,2025-11-03T05:34:05Z,ETD1SA,"-33.941273,151.163589",0,4,331
1762148060,2025-11-03T05:34:20Z,ETD1SA,"-33.941494,151.163727",0,3,11
1762148076,2025-11-03T05:34:36Z,ETD1SA,"-33.941715,151.163666",0,3,56
1762148120,2025-11-03T05:35:20Z,ETD1SA,"-33.941666,151.16391",0,3,61
1762148131,2025-11-03T05:35:31Z,ETD1SA,"-33.94162,151.164139",0,3,61
1762148144,2025-11-03T05:35:44Z,ETD1SA,"-33.941563,151.164352",0,3,61
1762148159,2025-11-03T05:35:59Z,ETD1SA,"-33.941517,151.164566",0,3,61
1762148395,2025-11-03T05:39:55Z,ETD1SA,"-33.94146,151.16478",0,0,61
1762148409,2025-11-03T05:40:09Z,ETD1SA,"-33.941414,151.164993",0,3,61
1762148420,2025-11-03T05:40:20Z,ETD1SA,"-33.941368,151.165237",0,4,61
1762148434,2025-11-03T05:40:34Z,ETD1SA,"-33.941273,151.165619",0,6,61
1762148445,2025-11-03T05:40:45Z,ETD1SA,"-33.941154,151.166107",0,9,61
1762148454,2025-11-03T05:40:54Z,ETD1SA,"-33.941059,151.166534",0,9,61
1762148462,2025-11-03T05:41:02Z,ETD1SA,"-33.940968,151.166916",0,9,61
1762148471,2025-11-03T05:41:11Z,ETD1SA,"-33.940853,151.167435",0,10,61
1762148481,2025-11-03T05:41:21Z,ETD1SA,"-33.940773,151.167969",0,10,73
1762148487,2025-11-03T05:41:27Z,ETD1SA,"-33.940945,151.168228",0,10,112
1762148495,2025-11-03T05:41:35Z,ETD1SA,"-33.941231,151.16835",0,10,143
1762148499,2025-11-03T05:41:39Z,ETD1SA,"-33.941505,151.168427",0,11,154
1762148505,2025-11-03T05:41:45Z,ETD1SA,"-33.941818,151.168518",0,12,154
1762148510,2025-11-03T05:41:50Z,ETD1SA,"-33.942078,151.168579",0,12,154
1762148515,2025-11-03T05:41:55Z,ETD1SA,"-33.942318,151.168655",0,12,154
1762148521,2025-11-03T05:42:01Z,ETD1SA,"-33.942635,151.168732",0,11,154
1762148532,2025-11-03T05:42:12Z,ETD1SA,"-33.943146,151.168884",0,10,154
1762148539,2025-11-03T05:42:19Z,ETD1SA,"-33.943531,151.168976",0,11,154
1762148546,2025-11-03T05:42:26Z,ETD1SA,"-33.94392,151.169128",0,12,146
1762148552,2025-11-03T05:42:32Z,ETD1SA,"-33.944077,151.169357",0,11,120
1762148557,2025-11-03T05:42:37Z,ETD1SA,"-33.944099,151.169708",0,10,84
1762148561,2025-11-03T05:42:41Z,ETD1SA,"-33.944054,151.169922",0,10,70
1762148565,2025-11-03T05:42:45Z,ETD1SA,"-33.943996,151.170181",0,10,61
1762148571,2025-11-03T05:42:51Z,ETD1SA,"-33.943924,151.170456",0,11,61
1762148574,2025-11-03T05:42:54Z,ETD1SA,"-33.943863,151.170685",0,11,61
1762148578,2025-11-03T05:42:58Z,ETD1SA,"-33.943806,151.170929",0,11,61
1762148584,2025-11-03T05:43:04Z,ETD1SA,"-33.943714,151.171295",0,12,61
1762148592,2025-11-03T05:43:12Z,ETD1SA,"-33.943623,151.171677",0,12,61
1762148599,2025-11-03T05:43:19Z,ETD1SA,"-33.943474,151.172287",0,13,61
1762148606,2025-11-03T05:43:26Z,ETD1SA,"-33.943394,151.172745",0,12,64
1762148610,2025-11-03T05:43:30Z,ETD1SA,"-33.943428,151.172989",0,12,81
1762148614,2025-11-03T05:43:34Z,ETD1SA,"-33.943577,151.173203",0,12,112
1762148620,2025-11-03T05:43:40Z,ETD1SA,"-33.943863,151.17334",0,10,143
1762148624,2025-11-03T05:43:44Z,ETD1SA,"-33.94408,151.173386",0,10,151
1762148629,2025-11-03T05:43:49Z,ETD1SA,"-33.944286,151.173431",0,10,154
1762148634,2025-11-03T05:43:54Z,ETD1SA,"-33.944504,151.173492",0,10,154
1762148638,2025-11-03T05:43:58Z,ETD1SA,"-33.944744,151.173553",0,10,154
1762148646,2025-11-03T05:44:06Z,ETD1SA,"-33.94511,151.173645",0,11,154
1762148652,2025-11-03T05:44:12Z,ETD1SA,"-33.945419,151.173721",0,11,154
1762148660,2025-11-03T05:44:20Z,ETD1SA,"-33.945786,151.173828",0,11,154
1762148667,2025-11-03T05:44:27Z,ETD1SA,"-33.946209,151.173935",0,12,154
1762148674,2025-11-03T05:44:34Z,ETD1SA,"-33.946625,151.174042",0,14,154
1762148681,2025-11-03T05:44:41Z,ETD1SA,"-33.94709,151.174164",0,15,154
1762148689,2025-11-03T05:44:49Z,ETD1SA,"-33.947697,151.174316",0,17,154
1762148696,2025-11-03T05:44:56Z,ETD1SA,"-33.948254,151.174469",0,18,154
1762148704,2025-11-03T05:45:04Z,ETD1SA,"-33.948952,151.174652",0,18,154
1762148711,2025-11-03T05:45:11Z,ETD1SA,"-33.949562,151.174805",0,19,154
1762148719,2025-11-03T05:45:19Z,ETD1SA,"-33.95015,151.174957",0,19,154
1762148726,2025-11-03T05:45:26Z,ETD1SA,"-33.950901,151.175156",0,20,154
