Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762160447,2025-11-03T09:00:47Z,ETD81C,"51.461174,-0.447025",0,0,132
1762160479,2025-11-03T09:01:19Z,ETD81C,"51.461288,-0.447229",0,2,132
1762160494,2025-11-03T09:01:34Z,ETD81C,"51.461414,-0.447433",0,3,132
1762160515,2025-11-03T09:01:55Z,ETD81C,"51.46159,-0.447636",0,2,115
1762160533,2025-11-03T09:02:13Z,ETD81C,"51.46172,-0.447845",0,2,98
1762160548,2025-11-03T09:02:28Z,ETD81C,"51.4618,-0.448055",0,2,78
1762160563,2025-11-03T09:02:43Z,ETD81C,"51.461838,-0.448268",0,2,61
1762160576,2025-11-03T09:02:56Z,ETD81C,"51.461826,-0.448472",0,1,45
1762160619,2025-11-03T09:03:39Z,ETD81C,"51.461685,-0.448685",0,0,39
1762160799,2025-11-03T09:06:39Z,ETD81C,"51.461788,-0.448475",0,4,42
1762160809,2025-11-03T09:06:49Z,ETD81C,"51.461941,-0.448265",0,4,42
1762160820,2025-11-03T09:07:00Z,ETD81C,"51.46209,-0.448036",0,4,42
1762160831,2025-11-03T09:07:11Z,ETD81C,"51.462254,-0.447807",0,5,42
1762160843,2025-11-03T09:07:23Z,ETD81C,"51.46241,-0.447582",0,3,42
1762160855,2025-11-03T09:07:35Z,ETD81C,"51.462547,-0.447377",0,4,42
1762160865,2025-11-03T09:07:45Z,ETD81C,"51.462708,-0.447173",0,5,39
1762160873,2025-11-03T09:07:53Z,ETD81C,"51.46286,-0.446968",0,6,39
1762160880,2025-11-03T09:08:00Z,ETD81C,"51.46302,-0.446739",0,6,39
1762160887,2025-11-03T09:08:07Z,ETD81C,"51.463142,-0.446524",0,6,45
1762160892,2025-11-03T09:08:12Z,ETD81C,"51.4632,-0.44632",0,6,53
1762160896,2025-11-03T09:08:16Z,ETD81C,"51.463234,-0.446115",0,6,61
1762160902,2025-11-03T09:08:22Z,ETD81C,"51.463268,-0.445837",0,7,70
1762160906,2025-11-03T09:08:26Z,ETD81C,"51.463264,-0.445633",0,7,78
1762160911,2025-11-03T09:08:31Z,ETD81C,"51.463257,-0.445355",0,8,84
1762160915,2025-11-03T09:08:35Z,ETD81C,"51.463253,-0.445099",0,9,87
1762160920,2025-11-03T09:08:40Z,ETD81C,"51.463253,-0.44487",0,8,90
1762160924,2025-11-03T09:08:44Z,ETD81C,"51.463253,-0.44466",0,6,90
