Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1761968771,2025-11-01T03:46:11Z,SFR100,"-33.972244,18.599083",0,2,255
1761968791,2025-11-01T03:46:31Z,SFR100,"-33.972198,18.599293",0,2,253
1761968810,2025-11-01T03:46:50Z,SFR100,"-33.972141,18.599518",0,2,255
1761968829,2025-11-01T03:47:09Z,SFR100,"-33.972084,18.599728",0,0,298
1761969010,2025-11-01T03:50:10Z,SFR100,"-33.971878,18.599825",0,8,345
1761969017,2025-11-01T03:50:17Z,SFR100,"-33.971615,18.59977",0,8,345
1761969024,2025-11-01T03:50:24Z,SFR100,"-33.971413,18.599682",0,7,345
1761969032,2025-11-01T03:50:32Z,SFR100,"-33.97118,18.599628",0,6,348
1761969038,2025-11-01T03:50:38Z,SFR100,"-33.970974,18.599602",0,8,354
1761969044,2025-11-01T03:50:44Z,SFR100,"-33.970722,18.59956",0,10,348
1761969049,2025-11-01T03:50:49Z,SFR100,"-33.970505,18.599503",0,10,345
1761969055,2025-11-01T03:50:55Z,SFR100,"-33.970253,18.599419",0,10,343
1761969060,2025-11-01T03:51:00Z,SFR100,"-33.970024,18.599335",0,9,343
1761969066,2025-11-01T03:51:06Z,SFR100,"-33.969784,18.599264",0,9,343
1761969073,2025-11-01T03:51:13Z,SFR100,"-33.969528,18.599182",0,9,343
1761969080,2025-11-01T03:51:20Z,SFR100,"-33.9692,18.59907",0,11,343
1761969088,2025-11-01T03:51:28Z,SFR100,"-33.968788,18.598942",0,12,343
1761969095,2025-11-01T03:51:35Z,SFR100,"-33.968399,18.598808",0,11,343
1761969101,2025-11-01T03:51:41Z,SFR100,"-33.968086,18.598709",0,11,343
1761969109,2025-11-01T03:51:49Z,SFR100,"-33.967724,18.598595",0,10,343
1761969116,2025-11-01T03:51:56Z,SFR100,"-33.9674,18.59848",0,10,343
1761969122,2025-11-01T03:52:02Z,SFR100,"-33.967072,18.598381",0,11,343
1761969130,2025-11-01T03:52:10Z,SFR100,"-33.966717,18.59827",0,11,343
1761969136,2025-11-01T03:52:16Z,SFR100,"-33.966396,18.598152",0,11,343
1761969143,2025-11-01T03:52:23Z,SFR100,"-33.966007,18.598061",0,12,345
1761969150,2025-11-01T03:52:30Z,SFR100,"-33.965675,18.59795",0,12,343
1761969155,2025-11-01T03:52:35Z,SFR100,"-33.965355,18.597849",0,12,345
1761969160,2025-11-01T03:52:40Z,SFR100,"-33.965126,18.597794",0,12,348
1761969164,2025-11-01T03:52:44Z,SFR100,"-33.964851,18.597738",0,13,351
1761969168,2025-11-01T03:52:48Z,SFR100,"-33.9646,18.597681",0,13,351
1761969173,2025-11-01T03:52:53Z,SFR100,"-33.964325,18.597637",0,13,348
1761969177,2025-11-01T03:52:57Z,SFR100,"-33.964119,18.597584",0,13,348
1761969180,2025-11-01T03:53:00Z,SFR100,"-33.963871,18.597536",0,13,348
1761969187,2025-11-01T03:53:07Z,SFR100,"-33.963455,18.597443",0,13,348
1761969194,2025-11-01T03:53:14Z,SFR100,"-33.963089,18.597359",0,12,351
1761969198,2025-11-01T03:53:18Z,SFR100,"-33.962837,18.597317",0,13,348
1761969203,2025-11-01T03:53:23Z,SFR100,"-33.962597,18.597261",0,12,351
1761969207,2025-11-01T03:53:27Z,SFR100,"-33.962391,18.597246",0,10,2
1761969212,2025-11-01T03:53:32Z,SFR100,"-33.962151,18.597416",0,10,33
1761969219,2025-11-01T03:53:39Z,SFR100,"-33.961956,18.597639",0,10,45
1761969225,2025-11-01T03:53:45Z,SFR100,"-33.961754,18.597893",0,9,45
1761969232,2025-11-01T03:53:52Z,SFR100,"-33.961567,18.598108",0,8,45
1761969239,2025-11-01T03:53:59Z,SFR100,"-33.961372,18.598341",0,9,45
1761969247,2025-11-01T03:54:07Z,SFR100,"-33.961124,18.598637",0,9,45
1761969253,2025-11-01T03:54:13Z,SFR100,"-33.960938,18.598873",0,8,45
1761969261,2025-11-01T03:54:21Z,SFR100,"-33.960754,18.599094",0,6,45
1761969488,2025-11-01T03:58:08Z,SFR100,"-33.960556,18.599323",0,5,45
1761969495,2025-11-01T03:58:15Z,SFR100,"-33.960388,18.59956",0,9,53
1761969500,2025-11-01T03:58:20Z,SFR100,"-33.9603,18.599796",0,8,70
1761969506,2025-11-01T03:58:26Z,SFR100,"-33.9603,18.600025",0,7,90
1761969515,2025-11-01T03:58:35Z,SFR100,"-33.960457,18.600231",0,5,140
1761969545,2025-11-01T03:59:05Z,SFR100,"-33.960659,18.600311",0,3,163
