Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762516790,2025-11-07T11:59:50Z,RYR6WF,"53.430077,-6.248111",0,0,5
1762517084,2025-11-07T12:04:44Z,RYR6WF,"53.429817,-6.248151",0,2,11
1762517107,2025-11-07T12:05:07Z,RYR6WF,"53.429581,-6.248258",0,2,320
1762517126,2025-11-07T12:05:26Z,RYR6WF,"53.429443,-6.248023",0,3,284
1762517141,2025-11-07T12:05:41Z,RYR6WF,"53.429413,-6.247787",0,2,272
1762517403,2025-11-07T12:10:03Z,RYR6WF,"53.429409,-6.248003",0,5,272
1762517409,2025-11-07T12:10:09Z,RYR6WF,"53.429379,-6.248333",0,8,255
1762517413,2025-11-07T12:10:13Z,RYR6WF,"53.429272,-6.248555",0,10,230
1762517419,2025-11-07T12:10:19Z,RYR6WF,"53.429157,-6.248757",0,10,225
1762517423,2025-11-07T12:10:23Z,RYR6WF,"53.428909,-6.249181",0,12,227
1762517428,2025-11-07T12:10:28Z,RYR6WF,"53.428791,-6.249396",0,11,227
1762517432,2025-11-07T12:10:32Z,RYR6WF,"53.428654,-6.249651",0,7,227
1762517443,2025-11-07T12:10:43Z,RYR6WF,"53.428505,-6.249926",0,1,227
1762517496,2025-11-07T12:11:36Z,RYR6WF,"53.428387,-6.25015",0,0,225
1762517503,2025-11-07T12:11:43Z,RYR6WF,"53.42815,-6.250455",0,12,210
1762517507,2025-11-07T12:11:47Z,RYR6WF,"53.427956,-6.250671",0,14,213
1762517516,2025-11-07T12:11:56Z,RYR6WF,"53.427456,-6.251463",0,16,225
1762517519,2025-11-07T12:11:59Z,RYR6WF,"53.427315,-6.251711",0,17,225
1762517521,2025-11-07T12:12:01Z,RYR6WF,"53.427155,-6.251968",0,18,225
1762517525,2025-11-07T12:12:05Z,RYR6WF,"53.426956,-6.252311",0,19,225
1762517526,2025-11-07T12:12:06Z,RYR6WF,"53.426826,-6.252533",0,20,225
1762517529,2025-11-07T12:12:09Z,RYR6WF,"53.426655,-6.252836",0,20,225
1762517537,2025-11-07T12:12:17Z,RYR6WF,"53.426102,-6.253791",0,22,225
1762517544,2025-11-07T12:12:24Z,RYR6WF,"53.425587,-6.254673",0,22,225
1762517551,2025-11-07T12:12:31Z,RYR6WF,"53.425163,-6.255381",0,19,225
1762517561,2025-11-07T12:12:41Z,RYR6WF,"53.424583,-6.256371",0,14,225
1762517570,2025-11-07T12:12:50Z,RYR6WF,"53.424202,-6.257028",0,14,225
1762517578,2025-11-07T12:12:58Z,RYR6WF,"53.423847,-6.257617",0,13,222
1762517587,2025-11-07T12:13:07Z,RYR6WF,"53.423477,-6.258228",0,11,225
1762517591,2025-11-07T12:13:11Z,RYR6WF,"53.423336,-6.258471",0,0,225
1762517596,2025-11-07T12:13:16Z,RYR6WF,"53.423183,-6.258733",0,0,225
1762517602,2025-11-07T12:13:22Z,RYR6WF,"53.423012,-6.259068",0,9,227
1762517614,2025-11-07T12:13:34Z,RYR6WF,"53.422714,-6.259794",0,10,241
1762517619,2025-11-07T12:13:39Z,RYR6WF,"53.422634,-6.260186",0,11,253
1762517622,2025-11-07T12:13:42Z,RYR6WF,"53.422604,-6.26045",0,10,258
1762517625,2025-11-07T12:13:45Z,RYR6WF,"53.422581,-6.260652",0,10,261
1762517629,2025-11-07T12:13:49Z,RYR6WF,"53.422581,-6.260995",0,10,270
1762517632,2025-11-07T12:13:52Z,RYR6WF,"53.422581,-6.261278",0,11,270
1762517635,2025-11-07T12:13:55Z,RYR6WF,"53.422592,-6.26152",0,11,272
1762517639,2025-11-07T12:13:59Z,RYR6WF,"53.4226,-6.261795",0,11,275
1762517643,2025-11-07T12:14:03Z,RYR6WF,"53.422626,-6.262227",0,12,275
1762517647,2025-11-07T12:14:07Z,RYR6WF,"53.422638,-6.26255",0,12,275
1762517650,2025-11-07T12:14:10Z,RYR6WF,"53.422661,-6.262853",0,12,275
1762517653,2025-11-07T12:14:13Z,RYR6WF,"53.42268,-6.263168",0,13,275
1762517656,2025-11-07T12:14:16Z,RYR6WF,"53.422691,-6.263443",0,13,275
1762517664,2025-11-07T12:14:24Z,RYR6WF,"53.422737,-6.264188",0,14,275
1762517671,2025-11-07T12:14:31Z,RYR6WF,"53.422783,-6.265032",0,13,275
1762517679,2025-11-07T12:14:39Z,RYR6WF,"53.422825,-6.265781",0,14,275
1762517686,2025-11-07T12:14:46Z,RYR6WF,"53.422859,-6.266509",0,13,275
1762517694,2025-11-07T12:14:54Z,RYR6WF,"53.422897,-6.26723",0,11,275
1762517703,2025-11-07T12:15:03Z,RYR6WF,"53.422943,-6.268034",0,11,275
1762517718,2025-11-07T12:15:18Z,RYR6WF,"53.423023,-6.269407",0,13,275
1762517725,2025-11-07T12:15:25Z,RYR6WF,"53.423058,-6.270144",0,13,275
1762517737,2025-11-07T12:15:37Z,RYR6WF,"53.423126,-6.271275",0,12,275
1762517744,2025-11-07T12:15:44Z,RYR6WF,"53.423161,-6.271941",0,12,275
1762517753,2025-11-07T12:15:53Z,RYR6WF,"53.42321,-6.272769",0,13,275
1762517760,2025-11-07T12:16:00Z,RYR6WF,"53.423241,-6.273429",0,13,275
1762517769,2025-11-07T12:16:09Z,RYR6WF,"53.423302,-6.274426",0,13,275
1762517776,2025-11-07T12:16:16Z,RYR6WF,"53.423332,-6.275077",0,11,275
1762517783,2025-11-07T12:16:23Z,RYR6WF,"53.423367,-6.275626",0,10,275
1762517792,2025-11-07T12:16:32Z,RYR6WF,"53.423393,-6.276162",0,9,275
1762517799,2025-11-07T12:16:39Z,RYR6WF,"53.423431,-6.276768",0,9,275
1762517806,2025-11-07T12:16:46Z,RYR6WF,"53.423454,-6.277253",0,9,275
1762517813,2025-11-07T12:16:53Z,RYR6WF,"53.423489,-6.277758",0,11,275
1762517820,2025-11-07T12:17:00Z,RYR6WF,"53.423515,-6.278353",0,12,275
1762517828,2025-11-07T12:17:08Z,RYR6WF,"53.42355,-6.27902",0,12,275
1762517835,2025-11-07T12:17:15Z,RYR6WF,"53.423584,-6.279766",0,12,275
1762517842,2025-11-07T12:17:22Z,RYR6WF,"53.42363,-6.280393",0,12,275
1762517849,2025-11-07T12:17:29Z,RYR6WF,"53.423664,-6.28107",0,11,275
1762517856,2025-11-07T12:17:36Z,RYR6WF,"53.423687,-6.281574",0,9,275
1762517863,2025-11-07T12:17:43Z,RYR6WF,"53.42371,-6.281982",0,6,275
1762517870,2025-11-07T12:17:50Z,RYR6WF,"53.423733,-6.282322",0,6,275
1762517879,2025-11-07T12:17:59Z,RYR6WF,"53.423756,-6.282767",0,6,275
