Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762526501,2025-11-07T14:41:41Z,RYR98BP,"53.430187,-6.250083",0,0,5
1762526727,2025-11-07T14:45:27Z,RYR98BP,"53.42997,-6.25011",0,3,5
1762526739,2025-11-07T14:45:39Z,RYR98BP,"53.429749,-6.250171",0,3,348
1762526761,2025-11-07T14:46:01Z,RYR98BP,"53.429539,-6.25005",0,2,275
1762526787,2025-11-07T14:46:27Z,RYR98BP,"53.42955,-6.250271",0,3,275
1762526796,2025-11-07T14:46:36Z,RYR98BP,"53.429562,-6.250473",0,3,275
1762526807,2025-11-07T14:46:47Z,RYR98BP,"53.429573,-6.250716",0,3,275
1762526816,2025-11-07T14:46:56Z,RYR98BP,"53.429585,-6.250918",0,3,275
1762526826,2025-11-07T14:47:06Z,RYR98BP,"53.429592,-6.251142",0,2,275
1762527038,2025-11-07T14:50:38Z,RYR98BP,"53.429604,-6.251437",0,5,275
1762527044,2025-11-07T14:50:44Z,RYR98BP,"53.429623,-6.251705",0,8,275
1762527050,2025-11-07T14:50:50Z,RYR98BP,"53.429634,-6.25215",0,10,270
1762527053,2025-11-07T14:50:53Z,RYR98BP,"53.429592,-6.252398",0,10,255
1762527056,2025-11-07T14:50:56Z,RYR98BP,"53.429523,-6.252673",0,10,247
1762527060,2025-11-07T14:51:00Z,RYR98BP,"53.429459,-6.252917",0,9,244
1762527063,2025-11-07T14:51:03Z,RYR98BP,"53.429398,-6.253124",0,9,241
1762527067,2025-11-07T14:51:07Z,RYR98BP,"53.429306,-6.253361",0,8,236
1762527074,2025-11-07T14:51:14Z,RYR98BP,"53.429119,-6.253725",0,10,227
1762527084,2025-11-07T14:51:24Z,RYR98BP,"53.428745,-6.254379",0,13,225
1762527089,2025-11-07T14:51:29Z,RYR98BP,"53.428528,-6.254755",0,14,225
1762527099,2025-11-07T14:51:39Z,RYR98BP,"53.42807,-6.255557",0,15,225
1762527107,2025-11-07T14:51:47Z,RYR98BP,"53.427635,-6.256282",0,16,225
1762527114,2025-11-07T14:51:54Z,RYR98BP,"53.427269,-6.25691",0,15,225
1762527124,2025-11-07T14:52:04Z,RYR98BP,"53.427086,-6.257224",0,13,225
1762527127,2025-11-07T14:52:07Z,RYR98BP,"53.426769,-6.257461",0,14,191
1762527131,2025-11-07T14:52:11Z,RYR98BP,"53.426285,-6.257205",0,14,154
1762527136,2025-11-07T14:52:16Z,RYR98BP,"53.426022,-6.256989",0,15,157
1762527140,2025-11-07T14:52:20Z,RYR98BP,"53.425816,-6.256871",0,15,163
1762527143,2025-11-07T14:52:23Z,RYR98BP,"53.42561,-6.256832",0,14,180
1762527146,2025-11-07T14:52:26Z,RYR98BP,"53.425385,-6.256977",0,13,205
1762527150,2025-11-07T14:52:30Z,RYR98BP,"53.425198,-6.257224",0,14,222
1762527158,2025-11-07T14:52:38Z,RYR98BP,"53.424854,-6.257813",0,14,227
1762527160,2025-11-07T14:52:40Z,RYR98BP,"53.424732,-6.258027",0,15,225
1762527167,2025-11-07T14:52:47Z,RYR98BP,"53.424419,-6.258538",0,14,225
1762527171,2025-11-07T14:52:51Z,RYR98BP,"53.424221,-6.258875",0,13,225
