Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762448340,2025-11-06T16:59:00Z,RYR14XY,"53.430157,-6.249424",0,0,5
1762448494,2025-11-06T17:01:34Z,RYR14XY,"53.429947,-6.249464",0,2,351
1762448517,2025-11-06T17:01:57Z,RYR14XY,"53.429726,-6.249363",0,2,323
1762448537,2025-11-06T17:02:17Z,RYR14XY,"53.429558,-6.249161",0,2,298
1762448551,2025-11-06T17:02:31Z,RYR14XY,"53.429482,-6.248959",0,2,275
1762448562,2025-11-06T17:02:42Z,RYR14XY,"53.42947,-6.248757",0,0,272
1762448574,2025-11-06T17:02:54Z,RYR14XY,"53.42947,-6.248555",0,2,272
1762448586,2025-11-06T17:03:06Z,RYR14XY,"53.429466,-6.248337",0,2,275
1762448597,2025-11-06T17:03:17Z,RYR14XY,"53.429447,-6.248131",0,3,278
1762448608,2025-11-06T17:03:28Z,RYR14XY,"53.429424,-6.247929",0,2,275
1762448799,2025-11-06T17:06:39Z,RYR14XY,"53.429401,-6.248211",0,6,258
1762448808,2025-11-06T17:06:48Z,RYR14XY,"53.429214,-6.248676",0,9,230
1762448813,2025-11-06T17:06:53Z,RYR14XY,"53.429054,-6.248945",0,10,227
1762448817,2025-11-06T17:06:57Z,RYR14XY,"53.428917,-6.24918",0,11,225
1762448821,2025-11-06T17:07:01Z,RYR14XY,"53.428783,-6.249424",0,10,227
1762448825,2025-11-06T17:07:05Z,RYR14XY,"53.428654,-6.249651",0,8,227
1762448838,2025-11-06T17:07:18Z,RYR14XY,"53.428528,-6.249887",0,0,227
1762448894,2025-11-06T17:08:14Z,RYR14XY,"53.428402,-6.250122",0,4,227
1762448905,2025-11-06T17:08:25Z,RYR14XY,"53.428207,-6.250397",0,6,216
1762448913,2025-11-06T17:08:33Z,RYR14XY,"53.427967,-6.250635",0,8,213
1762448924,2025-11-06T17:08:44Z,RYR14XY,"53.427624,-6.251182",0,10,225
1762448931,2025-11-06T17:08:51Z,RYR14XY,"53.427383,-6.251574",0,0,225
1762448938,2025-11-06T17:08:58Z,RYR14XY,"53.427109,-6.252028",0,13,225
1762448941,2025-11-06T17:09:01Z,RYR14XY,"53.427002,-6.252231",0,13,225
1762448943,2025-11-06T17:09:03Z,RYR14XY,"53.426865,-6.252453",0,14,225
1762448946,2025-11-06T17:09:06Z,RYR14XY,"53.426735,-6.252675",0,14,225
1762448953,2025-11-06T17:09:13Z,RYR14XY,"53.426445,-6.253182",0,14,225
1762448961,2025-11-06T17:09:21Z,RYR14XY,"53.426056,-6.25383",0,14,225
1762448970,2025-11-06T17:09:30Z,RYR14XY,"53.425644,-6.254556",0,15,225
1762448977,2025-11-06T17:09:37Z,RYR14XY,"53.425339,-6.255058",0,16,225
1762448985,2025-11-06T17:09:45Z,RYR14XY,"53.424831,-6.255929",0,16,225
1762448995,2025-11-06T17:09:55Z,RYR14XY,"53.424255,-6.256916",0,18,225
1762449002,2025-11-06T17:10:02Z,RYR14XY,"53.423859,-6.257596",0,17,225
1762449011,2025-11-06T17:10:11Z,RYR14XY,"53.423359,-6.258451",0,16,225
1762449019,2025-11-06T17:10:19Z,RYR14XY,"53.422939,-6.259198",0,15,230
1762449026,2025-11-06T17:10:26Z,RYR14XY,"53.422813,-6.259501",0,0,236
1762449027,2025-11-06T17:10:27Z,RYR14XY,"53.42268,-6.26001",0,15,247
1762449030,2025-11-06T17:10:30Z,RYR14XY,"53.422626,-6.260329",0,14,255
1762449033,2025-11-06T17:10:33Z,RYR14XY,"53.4226,-6.260638",0,14,261
1762449035,2025-11-06T17:10:35Z,RYR14XY,"53.422581,-6.260874",0,14,264
1762449038,2025-11-06T17:10:38Z,RYR14XY,"53.422588,-6.261167",0,14,270
1762449040,2025-11-06T17:10:40Z,RYR14XY,"53.422588,-6.261442",0,14,272
