Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762538016,2025-11-07T17:53:36Z,RYR47ZP,"53.430004,-6.246818",0,0,5
1762539345,2025-11-07T18:15:45Z,RYR47ZP,"53.429718,-6.246964",0,4,50
1762539366,2025-11-07T18:16:06Z,RYR47ZP,"53.429527,-6.247404",0,3,67
1762539382,2025-11-07T18:16:22Z,RYR47ZP,"53.429455,-6.247807",0,3,87
1762539390,2025-11-07T18:16:30Z,RYR47ZP,"53.429436,-6.24803",0,0,90
1762539398,2025-11-07T18:16:38Z,RYR47ZP,"53.429436,-6.248272",0,3,98
1762539407,2025-11-07T18:16:47Z,RYR47ZP,"53.429455,-6.248474",0,2,92
1762539416,2025-11-07T18:16:56Z,RYR47ZP,"53.429459,-6.248696",0,3,90
1762539421,2025-11-07T18:17:01Z,RYR47ZP,"53.429455,-6.248494",0,2,92
1762539424,2025-11-07T18:17:04Z,RYR47ZP,"53.429466,-6.248788",0,0,87
1762539432,2025-11-07T18:17:12Z,RYR47ZP,"53.429447,-6.248999",0,3,118
1762539462,2025-11-07T18:17:42Z,RYR47ZP,"53.429214,-6.248847",0,2,165
1762539488,2025-11-07T18:18:08Z,RYR47ZP,"53.429005,-6.24902",0,2,210
1762539499,2025-11-07T18:18:19Z,RYR47ZP,"53.428886,-6.249241",0,3,225
1762539509,2025-11-07T18:18:29Z,RYR47ZP,"53.428772,-6.249444",0,3,227
1762539776,2025-11-07T18:22:56Z,RYR47ZP,"53.428654,-6.249666",0,3,227
1762539783,2025-11-07T18:23:03Z,RYR47ZP,"53.428539,-6.249867",0,6,227
1762539790,2025-11-07T18:23:10Z,RYR47ZP,"53.428375,-6.250171",0,9,225
1762539797,2025-11-07T18:23:17Z,RYR47ZP,"53.428154,-6.250433",0,11,213
1762539803,2025-11-07T18:23:23Z,RYR47ZP,"53.42791,-6.250691",0,9,216
1762539809,2025-11-07T18:23:29Z,RYR47ZP,"53.4277,-6.251019",0,11,225
1762539816,2025-11-07T18:23:36Z,RYR47ZP,"53.427433,-6.251503",0,13,225
1762539821,2025-11-07T18:23:41Z,RYR47ZP,"53.427269,-6.25179",0,14,225
1762539823,2025-11-07T18:23:43Z,RYR47ZP,"53.427063,-6.252123",0,16,225
1762539827,2025-11-07T18:23:47Z,RYR47ZP,"53.426933,-6.252352",0,16,225
1762539829,2025-11-07T18:23:49Z,RYR47ZP,"53.426743,-6.252673",0,17,225
1762539834,2025-11-07T18:23:54Z,RYR47ZP,"53.426491,-6.253104",0,18,225
1762539845,2025-11-07T18:24:05Z,RYR47ZP,"53.425957,-6.254008",0,12,225
1762539852,2025-11-07T18:24:12Z,RYR47ZP,"53.425655,-6.254517",0,14,225
1762539858,2025-11-07T18:24:18Z,RYR47ZP,"53.425362,-6.255017",0,14,225
1762539873,2025-11-07T18:24:33Z,RYR47ZP,"53.424675,-6.256189",0,15,225
1762539879,2025-11-07T18:24:39Z,RYR47ZP,"53.424351,-6.256754",0,15,225
1762539890,2025-11-07T18:24:50Z,RYR47ZP,"53.423836,-6.257636",0,16,225
1762539901,2025-11-07T18:25:01Z,RYR47ZP,"53.423309,-6.258538",0,10,225
1762539909,2025-11-07T18:25:09Z,RYR47ZP,"53.42308,-6.258915",0,8,225
1762539923,2025-11-07T18:25:23Z,RYR47ZP,"53.422794,-6.259578",0,8,239
1762539928,2025-11-07T18:25:28Z,RYR47ZP,"53.423058,-6.25897",0,0,225
1762539931,2025-11-07T18:25:31Z,RYR47ZP,"53.422668,-6.260068",0,9,247
1762539934,2025-11-07T18:25:34Z,RYR47ZP,"53.422626,-6.260288",0,8,253
1762539939,2025-11-07T18:25:39Z,RYR47ZP,"53.422592,-6.260612",0,8,258
1762539943,2025-11-07T18:25:43Z,RYR47ZP,"53.422581,-6.260814",0,8,264
1762539947,2025-11-07T18:25:47Z,RYR47ZP,"53.422577,-6.261128",0,9,270
1762539952,2025-11-07T18:25:52Z,RYR47ZP,"53.422592,-6.2615",0,10,272
1762539955,2025-11-07T18:25:55Z,RYR47ZP,"53.422604,-6.261743",0,11,275
1762539958,2025-11-07T18:25:58Z,RYR47ZP,"53.422615,-6.261985",0,12,275
1762539962,2025-11-07T18:26:02Z,RYR47ZP,"53.422634,-6.262344",0,13,275
1762539964,2025-11-07T18:26:04Z,RYR47ZP,"53.422649,-6.262591",0,14,275
1762539966,2025-11-07T18:26:06Z,RYR47ZP,"53.422672,-6.262853",0,15,275
1762539969,2025-11-07T18:26:09Z,RYR47ZP,"53.422684,-6.263136",0,15,275
1762539976,2025-11-07T18:26:16Z,RYR47ZP,"53.422726,-6.264031",0,17,275
1762539983,2025-11-07T18:26:23Z,RYR47ZP,"53.422783,-6.264993",0,18,275
1762539990,2025-11-07T18:26:30Z,RYR47ZP,"53.422848,-6.266064",0,19,275
1762539998,2025-11-07T18:26:38Z,RYR47ZP,"53.422909,-6.267308",0,19,275
1762540008,2025-11-07T18:26:48Z,RYR47ZP,"53.423,-6.268811",0,19,275
1762540015,2025-11-07T18:26:55Z,RYR47ZP,"53.423058,-6.269982",0,20,275
1762540024,2025-11-07T18:27:04Z,RYR47ZP,"53.423138,-6.271275",0,19,275
1762540031,2025-11-07T18:27:11Z,RYR47ZP,"53.423195,-6.272311",0,19,275
1762540038,2025-11-07T18:27:18Z,RYR47ZP,"53.423252,-6.27337",0,19,275
1762540045,2025-11-07T18:27:25Z,RYR47ZP,"53.423309,-6.274429",0,19,275
