Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762449020,2025-11-06T17:10:20Z,RYR646U,"53.430855,-6.246354",0,0,185
1762449122,2025-11-06T17:12:02Z,RYR646U,"53.431171,-6.246296",0,3,182
1762449139,2025-11-06T17:12:19Z,RYR646U,"53.431377,-6.246253",0,2,185
1762449161,2025-11-06T17:12:41Z,RYR646U,"53.431629,-6.246238",0,2,177
1762449187,2025-11-06T17:13:07Z,RYR646U,"53.431835,-6.246257",0,1,210
1762449389,2025-11-06T17:16:29Z,RYR646U,"53.432007,-6.246512",0,4,284
1762449396,2025-11-06T17:16:36Z,RYR646U,"53.432133,-6.246787",0,7,303
1762449401,2025-11-06T17:16:41Z,RYR646U,"53.432213,-6.24712",0,9,286
1762449405,2025-11-06T17:16:45Z,RYR646U,"53.43224,-6.247404",0,11,278
1762449408,2025-11-06T17:16:48Z,RYR646U,"53.432262,-6.247626",0,12,275
1762449410,2025-11-06T17:16:50Z,RYR646U,"53.43227,-6.247866",0,12,275
1762449413,2025-11-06T17:16:53Z,RYR646U,"53.432285,-6.24809",0,12,272
1762449415,2025-11-06T17:16:55Z,RYR646U,"53.432297,-6.248353",0,12,272
1762449418,2025-11-06T17:16:58Z,RYR646U,"53.432308,-6.248595",0,12,272
1762449421,2025-11-06T17:17:01Z,RYR646U,"53.432339,-6.248965",0,13,275
1762449425,2025-11-06T17:17:05Z,RYR646U,"53.432358,-6.249262",0,13,275
1762449427,2025-11-06T17:17:07Z,RYR646U,"53.432369,-6.249484",0,13,275
1762449430,2025-11-06T17:17:10Z,RYR646U,"53.432392,-6.249847",0,13,275
1762449438,2025-11-06T17:17:18Z,RYR646U,"53.43243,-6.250652",0,14,275
1762449445,2025-11-06T17:17:25Z,RYR646U,"53.432472,-6.251402",0,13,275
1762449452,2025-11-06T17:17:32Z,RYR646U,"53.432522,-6.252182",0,13,275
1762449456,2025-11-06T17:17:36Z,RYR646U,"53.432545,-6.252515",0,13,275
1762449459,2025-11-06T17:17:39Z,RYR646U,"53.432552,-6.252756",0,13,270
1762449461,2025-11-06T17:17:41Z,RYR646U,"53.432529,-6.253018",0,13,264
1762449463,2025-11-06T17:17:43Z,RYR646U,"53.432499,-6.253261",0,13,255
1762449465,2025-11-06T17:17:45Z,RYR646U,"53.432438,-6.253462",0,13,250
1762449468,2025-11-06T17:17:48Z,RYR646U,"53.432384,-6.253693",0,13,247
1762449472,2025-11-06T17:17:52Z,RYR646U,"53.43232,-6.253967",0,13,247
1762449474,2025-11-06T17:17:54Z,RYR646U,"53.43224,-6.25425",0,12,244
1762449478,2025-11-06T17:17:58Z,RYR646U,"53.432159,-6.254452",0,8,233
1762449485,2025-11-06T17:18:05Z,RYR646U,"53.431938,-6.254735",0,7,222
1762449491,2025-11-06T17:18:11Z,RYR646U,"53.431808,-6.254957",0,8,222
1762449497,2025-11-06T17:18:17Z,RYR646U,"53.431606,-6.255105",0,10,196
1762449502,2025-11-06T17:18:22Z,RYR646U,"53.431309,-6.255027",0,11,163
1762449507,2025-11-06T17:18:27Z,RYR646U,"53.431076,-6.254876",0,12,157
1762449521,2025-11-06T17:18:41Z,RYR646U,"53.430279,-6.254281",0,14,154
1762449526,2025-11-06T17:18:46Z,RYR646U,"53.429993,-6.254085",0,13,154
1762449530,2025-11-06T17:18:50Z,RYR646U,"53.429771,-6.253907",0,13,154
1762449536,2025-11-06T17:18:56Z,RYR646U,"53.42947,-6.253664",0,13,149
1762449547,2025-11-06T17:19:07Z,RYR646U,"53.428925,-6.253139",0,13,151
1762449553,2025-11-06T17:19:13Z,RYR646U,"53.428528,-6.252849",0,14,154
