Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762193724,2025-11-03T18:15:24Z,TSU7123,"32.541676,-116.96199",0,14,101
1762193735,2025-11-03T18:15:35Z,TSU7123,"32.541561,-116.961136",0,15,101
1762193751,2025-11-03T18:15:51Z,TSU7123,"32.541401,-116.95993",0,13,101
1762193759,2025-11-03T18:15:59Z,TSU7123,"32.54134,-116.959442",0,14,101
1762193766,2025-11-03T18:16:06Z,TSU7123,"32.541252,-116.958748",0,15,101
1762193773,2025-11-03T18:16:13Z,TSU7123,"32.541168,-116.958138",0,16,101
1762193781,2025-11-03T18:16:21Z,TSU7123,"32.541073,-116.957405",0,17,101
1762193795,2025-11-03T18:16:35Z,TSU7123,"32.540897,-116.956093",0,13,101
1762193803,2025-11-03T18:16:43Z,TSU7123,"32.540806,-116.95546",0,15,101
1762193835,2025-11-03T18:17:15Z,TSU7123,"32.539719,-116.954391",0,0,191
1762193960,2025-11-03T18:19:20Z,TSU7123,"32.539318,-116.95681",0,0,281
1762193971,2025-11-03T18:19:31Z,TSU7123,"32.540154,-116.963249",325,120,278
1762193979,2025-11-03T18:19:39Z,TSU7123,"32.540947,-116.969193",500,126,279
1762193986,2025-11-03T18:19:46Z,TSU7123,"32.541595,-116.974182",800,126,277
1762193989,2025-11-03T18:19:49Z,TSU7123,"32.541779,-116.975937",850,129,276
1762193991,2025-11-03T18:19:51Z,TSU7123,"32.541828,-116.977211",875,132,273
1762193993,2025-11-03T18:19:53Z,TSU7123,"32.541878,-116.978607",925,136,269
1762193995,2025-11-03T18:19:55Z,TSU7123,"32.541779,-116.980499",950,138,264
1762193997,2025-11-03T18:19:57Z,TSU7123,"32.541595,-116.981926",975,142,259
1762193999,2025-11-03T18:19:59Z,TSU7123,"32.541183,-116.983902",1025,145,256
1762194001,2025-11-03T18:20:01Z,TSU7123,"32.540817,-116.985497",1050,149,252
1762194004,2025-11-03T18:20:04Z,TSU7123,"32.54034,-116.987015",1075,153,250
1762194006,2025-11-03T18:20:06Z,TSU7123,"32.539829,-116.988586",1100,156,247
1762194008,2025-11-03T18:20:08Z,TSU7123,"32.539082,-116.990715",1150,157,247
1762194010,2025-11-03T18:20:10Z,TSU7123,"32.538483,-116.99231",1200,159,246
1762194012,2025-11-03T18:20:12Z,TSU7123,"32.537968,-116.993744",1250,160,246
1762194014,2025-11-03T18:20:14Z,TSU7123,"32.537174,-116.995819",1325,161,245
1762194017,2025-11-03T18:20:17Z,TSU7123,"32.53656,-116.99736",1375,161,245
1762194019,2025-11-03T18:20:19Z,TSU7123,"32.535919,-116.999016",1425,162,244
1762194021,2025-11-03T18:20:21Z,TSU7123,"32.535126,-117.000977",1500,162,245
1762194023,2025-11-03T18:20:23Z,TSU7123,"32.534546,-117.002525",1550,163,245
1762194025,2025-11-03T18:20:25Z,TSU7123,"32.533916,-117.004173",1600,164,246
1762194027,2025-11-03T18:20:27Z,TSU7123,"32.533173,-117.006264",1650,166,246
1762194029,2025-11-03T18:20:29Z,TSU7123,"32.532669,-117.00769",1700,167,247
1762194031,2025-11-03T18:20:31Z,TSU7123,"32.532009,-117.00972",1750,167,248
1762194033,2025-11-03T18:20:33Z,TSU7123,"32.531448,-117.011459",1800,169,249
1762194035,2025-11-03T18:20:35Z,TSU7123,"32.53093,-117.013077",1850,170,250
1762194037,2025-11-03T18:20:37Z,TSU7123,"32.53038,-117.015053",1900,172,252
1762194040,2025-11-03T18:20:40Z,TSU7123,"32.529877,-117.017029",1950,173,253
1762194042,2025-11-03T18:20:42Z,TSU7123,"32.52951,-117.018784",2000,174,256
1762194044,2025-11-03T18:20:44Z,TSU7123,"32.529053,-117.021149",2075,174,257
1762194046,2025-11-03T18:20:46Z,TSU7123,"32.528732,-117.02285",2100,175,259
1762194048,2025-11-03T18:20:48Z,TSU7123,"32.528458,-117.024826",2150,176,260
1762194050,2025-11-03T18:20:50Z,TSU7123,"32.528229,-117.026642",2200,176,261
1762194052,2025-11-03T18:20:52Z,TSU7123,"32.528,-117.028671",2275,177,262
1762194054,2025-11-03T18:20:54Z,TSU7123,"32.527725,-117.031075",2350,177,263
1762194056,2025-11-03T18:20:56Z,TSU7123,"32.527538,-117.032982",2400,177,263
1762194058,2025-11-03T18:20:58Z,TSU7123,"32.527351,-117.035278",2475,176,264
1762194061,2025-11-03T18:21:01Z,TSU7123,"32.527222,-117.036804",2525,176,264
1762194063,2025-11-03T18:21:03Z,TSU7123,"32.527073,-117.039314",2575,177,265
1762194065,2025-11-03T18:21:05Z,TSU7123,"32.526947,-117.041092",2625,177,266
1762194067,2025-11-03T18:21:07Z,TSU7123,"32.526855,-117.043228",2700,178,266
1762194069,2025-11-03T18:21:09Z,TSU7123,"32.526794,-117.045258",2725,179,267
1762194071,2025-11-03T18:21:11Z,TSU7123,"32.526699,-117.047668",2800,179,267
1762194073,2025-11-03T18:21:13Z,TSU7123,"32.526608,-117.049629",2850,179,267
1762194076,2025-11-03T18:21:16Z,TSU7123,"32.526535,-117.051636",2900,179,267
1762194078,2025-11-03T18:21:18Z,TSU7123,"32.526489,-117.053726",2975,179,269
1762194080,2025-11-03T18:21:20Z,TSU7123,"32.526516,-117.05574",3025,179,272
1762194082,2025-11-03T18:21:22Z,TSU7123,"32.526672,-117.057625",3075,179,276
1762194084,2025-11-03T18:21:24Z,TSU7123,"32.526993,-117.059982",3150,178,280
1762194086,2025-11-03T18:21:26Z,TSU7123,"32.527405,-117.061852",3200,179,285
1762194088,2025-11-03T18:21:28Z,TSU7123,"32.527908,-117.063667",3250,179,290
1762194090,2025-11-03T18:21:30Z,TSU7123,"32.528732,-117.065865",3325,179,295
1762194092,2025-11-03T18:21:32Z,TSU7123,"32.529648,-117.067619",3375,179,301
1762194095,2025-11-03T18:21:35Z,TSU7123,"32.530563,-117.069191",3425,180,308
1762194097,2025-11-03T18:21:37Z,TSU7123,"32.531681,-117.070648",3500,179,313
1762194099,2025-11-03T18:21:39Z,TSU7123,"32.532898,-117.072067",3550,180,317
1762194101,2025-11-03T18:21:41Z,TSU7123,"32.534473,-117.073563",3600,180,322
1762194103,2025-11-03T18:21:43Z,TSU7123,"32.535919,-117.074738",3675,181,327
1762194105,2025-11-03T18:21:45Z,TSU7123,"32.537407,-117.075691",3725,181,331
1762194107,2025-11-03T18:21:47Z,TSU7123,"32.539036,-117.076591",3750,182,336
1762194109,2025-11-03T18:21:49Z,TSU7123,"32.540634,-117.077347",3800,182,340
1762194111,2025-11-03T18:21:51Z,TSU7123,"32.542713,-117.078049",3850,184,344
1762194114,2025-11-03T18:21:54Z,TSU7123,"32.544392,-117.078499",3900,185,347
1762194116,2025-11-03T18:21:56Z,TSU7123,"32.545975,-117.078835",3925,187,351
1762194118,2025-11-03T18:21:58Z,TSU7123,"32.547546,-117.079048",3975,187,354
1762194120,2025-11-03T18:22:00Z,TSU7123,"32.549744,-117.07917",4000,190,358
1762194122,2025-11-03T18:22:02Z,TSU7123,"32.551418,-117.079109",4050,191,2
1762194124,2025-11-03T18:22:04Z,TSU7123,"32.553188,-117.078941",4075,191,6
1762194126,2025-11-03T18:22:06Z,TSU7123,"32.554958,-117.078606",4125,192,10
1762194128,2025-11-03T18:22:08Z,TSU7123,"32.557114,-117.078003",4200,190,14
1762194130,2025-11-03T18:22:10Z,TSU7123,"32.558716,-117.077454",4250,190,18
1762194132,2025-11-03T18:22:12Z,TSU7123,"32.560318,-117.076683",4300,189,23
1762194135,2025-11-03T18:22:15Z,TSU7123,"32.561966,-117.075699",4375,187,28
1762194137,2025-11-03T18:22:17Z,TSU7123,"32.563889,-117.074379",4450,186,31
1762194139,2025-11-03T18:22:19Z,TSU7123,"32.565201,-117.073341",4500,186,34
1762194141,2025-11-03T18:22:21Z,TSU7123,"32.566864,-117.071907",4575,185,36
1762194143,2025-11-03T18:22:23Z,TSU7123,"32.568317,-117.070648",4625,185,36
1762194145,2025-11-03T18:22:25Z,TSU7123,"32.569668,-117.069412",4675,185,37
1762194147,2025-11-03T18:22:27Z,TSU7123,"32.571396,-117.067894",4725,187,37
1762194150,2025-11-03T18:22:30Z,TSU7123,"32.572586,-117.066795",4750,188,37
1762194152,2025-11-03T18:22:32Z,TSU7123,"32.574051,-117.065422",4775,189,37
1762194154,2025-11-03T18:22:34Z,TSU7123,"32.57547,-117.064163",4800,193,38
1762194156,2025-11-03T18:22:36Z,TSU7123,"32.577255,-117.062462",4800,194,38
1762194158,2025-11-03T18:22:38Z,TSU7123,"32.578701,-117.061172",4825,195,38
