Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762707197,2025-11-09T16:53:17Z,FDB3VG,"25.259571,55.36335",0,19,120
1762707275,2025-11-09T16:54:35Z,FDB3VG,"25.255835,55.370121",0,0,120
1762707284,2025-11-09T16:54:44Z,FDB3VG,"25.255358,55.370975",0,21,120
1762707295,2025-11-09T16:54:55Z,FDB3VG,"25.254799,55.37196",0,20,120
1762707308,2025-11-09T16:55:08Z,FDB3VG,"25.254147,55.373154",0,20,120
1762707901,2025-11-09T17:05:01Z,FDB3VG,"25.266645,55.346581",325,185,300
1762707907,2025-11-09T17:05:07Z,FDB3VG,"25.269379,55.341595",525,187,301
1762707916,2025-11-09T17:05:16Z,FDB3VG,"25.27335,55.334404",875,187,301
1762707924,2025-11-09T17:05:24Z,FDB3VG,"25.277252,55.327606",1150,190,302
1762707932,2025-11-09T17:05:32Z,FDB3VG,"25.281124,55.321033",1325,197,302
1762707941,2025-11-09T17:05:41Z,FDB3VG,"25.285639,55.313259",1475,206,302
1762707949,2025-11-09T17:05:49Z,FDB3VG,"25.289795,55.305988",1625,216,302
1762707955,2025-11-09T17:05:55Z,FDB3VG,"25.293182,55.30014",1800,221,302
1762707963,2025-11-09T17:06:03Z,FDB3VG,"25.297852,55.292103",2100,224,303
1762707970,2025-11-09T17:06:10Z,FDB3VG,"25.301514,55.286255",2375,223,305
1762707972,2025-11-09T17:06:12Z,FDB3VG,"25.302567,55.284679",2450,224,305
1762707974,2025-11-09T17:06:14Z,FDB3VG,"25.304031,55.28244",2550,223,305
1762707976,2025-11-09T17:06:16Z,FDB3VG,"25.305267,55.280506",2625,224,305
1762707984,2025-11-09T17:06:24Z,FDB3VG,"25.310257,55.272827",2950,226,305
1762707992,2025-11-09T17:06:32Z,FDB3VG,"25.315384,55.264942",3250,230,304
1762708001,2025-11-09T17:06:41Z,FDB3VG,"25.320601,55.256618",3525,234,304
1762708009,2025-11-09T17:06:49Z,FDB3VG,"25.326094,55.247654",3825,239,304
1762708018,2025-11-09T17:06:58Z,FDB3VG,"25.331177,55.23941",4100,241,304
1762708024,2025-11-09T17:07:04Z,FDB3VG,"25.335218,55.232986",4350,243,304
1762708032,2025-11-09T17:07:12Z,FDB3VG,"25.340385,55.224747",4675,244,304
1762708041,2025-11-09T17:07:21Z,FDB3VG,"25.345924,55.215939",5000,247,304
1762708053,2025-11-09T17:07:33Z,FDB3VG,"25.354065,55.202229",5575,246,300
1762708058,2025-11-09T17:07:38Z,FDB3VG,"25.355942,55.197498",5750,244,294
1762708060,2025-11-09T17:07:40Z,FDB3VG,"25.356771,55.194897",5825,243,290
1762708062,2025-11-09T17:07:42Z,FDB3VG,"25.357407,55.192005",5925,242,287
1762708064,2025-11-09T17:07:44Z,FDB3VG,"25.357819,55.189564",6025,242,284
1762708066,2025-11-09T17:07:46Z,FDB3VG,"25.358185,55.186768",6100,242,279
1762708068,2025-11-09T17:07:48Z,FDB3VG,"25.358355,55.184639",6150,242,275
1762708071,2025-11-09T17:07:51Z,FDB3VG,"25.358446,55.181267",6225,243,273
1762708073,2025-11-09T17:07:53Z,FDB3VG,"25.3584,55.178989",6275,244,270
1762708075,2025-11-09T17:07:55Z,FDB3VG,"25.358261,55.176605",6325,247,268
1762708077,2025-11-09T17:07:57Z,FDB3VG,"25.358122,55.174015",6350,249,266
1762708079,2025-11-09T17:07:59Z,FDB3VG,"25.357981,55.172096",6375,252,266
1762708081,2025-11-09T17:08:01Z,FDB3VG,"25.357748,55.168571",6425,256,265
1762708083,2025-11-09T17:08:03Z,FDB3VG,"25.35759,55.166065",6450,259,265
1762708085,2025-11-09T17:08:05Z,FDB3VG,"25.357407,55.163013",6500,260,266
1762708087,2025-11-09T17:08:07Z,FDB3VG,"25.357269,55.16032",6525,262,266
