Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762241277,2025-11-04T07:27:57Z,GLO1615,"-8.114882,-34.926128",0,16,317
1762241283,2025-11-04T07:28:03Z,GLO1615,"-8.114582,-34.926411",0,12,315
1762241289,2025-11-04T07:28:09Z,GLO1615,"-8.114463,-34.926628",0,8,292
1762241295,2025-11-04T07:28:15Z,GLO1615,"-8.114502,-34.926865",0,9,250
1762241301,2025-11-04T07:28:21Z,GLO1615,"-8.114754,-34.926983",0,11,191
1762241306,2025-11-04T07:28:26Z,GLO1615,"-8.115005,-34.926922",0,14,163
1762241309,2025-11-04T07:28:29Z,GLO1615,"-8.115312,-34.926826",0,25,160
1762241312,2025-11-04T07:28:32Z,GLO1615,"-8.115789,-34.926662",0,39,160
1762241313,2025-11-04T07:28:33Z,GLO1615,"-8.116011,-34.92659",0,44,160
1762241314,2025-11-04T07:28:34Z,GLO1615,"-8.116253,-34.926514",0,49,160
1762241315,2025-11-04T07:28:35Z,GLO1615,"-8.116546,-34.926414",0,58,160
1762241317,2025-11-04T07:28:37Z,GLO1615,"-8.117157,-34.926212",0,67,160
1762241318,2025-11-04T07:28:38Z,GLO1615,"-8.117488,-34.926105",0,70,160
1762241324,2025-11-04T07:28:44Z,GLO1615,"-8.119766,-34.92535",0,76,160
1762241329,2025-11-04T07:28:49Z,GLO1615,"-8.121969,-34.924637",50,109,161
1762241332,2025-11-04T07:28:52Z,GLO1615,"-8.123039,-34.924259",50,129,161
1762241334,2025-11-04T07:28:54Z,GLO1615,"-8.125031,-34.92363",50,132,161
1762241344,2025-11-04T07:29:04Z,GLO1615,"-8.131652,-34.921463",50,149,161
1762241353,2025-11-04T07:29:13Z,GLO1615,"-8.138262,-34.919521",275,172,164
1762241360,2025-11-04T07:29:20Z,GLO1615,"-8.143802,-34.917866",500,177,163
1762241364,2025-11-04T07:29:24Z,GLO1615,"-8.147201,-34.916824",650,179,162
1762241372,2025-11-04T07:29:32Z,GLO1615,"-8.154053,-34.914642",975,180,162
1762241381,2025-11-04T07:29:41Z,GLO1615,"-8.160933,-34.912373",1225,188,160
1762241388,2025-11-04T07:29:48Z,GLO1615,"-8.16655,-34.910408",1325,197,161
1762241395,2025-11-04T07:29:55Z,GLO1615,"-8.172958,-34.908218",1450,207,161
1762241403,2025-11-04T07:30:03Z,GLO1615,"-8.18095,-34.905506",1600,218,161
1762241410,2025-11-04T07:30:10Z,GLO1615,"-8.187282,-34.903374",1700,226,161
1762241419,2025-11-04T07:30:19Z,GLO1615,"-8.196762,-34.900307",1850,241,162
1762241426,2025-11-04T07:30:26Z,GLO1615,"-8.204553,-34.897835",2025,248,162
1762241434,2025-11-04T07:30:34Z,GLO1615,"-8.213745,-34.894859",2325,253,162
