Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762615789,2025-11-08T15:29:49Z,GLO1857,"-16.637398,-49.211029",0,12,219
1762615793,2025-11-08T15:29:53Z,GLO1857,"-16.637432,-49.211269",0,11,272
1762615797,2025-11-08T15:29:57Z,GLO1857,"-16.637341,-49.211487",0,13,298
1762615802,2025-11-08T15:30:02Z,GLO1857,"-16.637177,-49.211784",0,19,300
1762615804,2025-11-08T15:30:04Z,GLO1857,"-16.637026,-49.212044",0,27,300
1762615806,2025-11-08T15:30:06Z,GLO1857,"-16.636894,-49.21228",0,38,300
1762615808,2025-11-08T15:30:08Z,GLO1857,"-16.636688,-49.212654",0,49,300
1762615809,2025-11-08T15:30:09Z,GLO1857,"-16.636547,-49.212875",0,54,300
1762615810,2025-11-08T15:30:10Z,GLO1857,"-16.636368,-49.213207",0,59,300
1762615811,2025-11-08T15:30:11Z,GLO1857,"-16.636187,-49.213516",0,64,300
1762615813,2025-11-08T15:30:13Z,GLO1857,"-16.635977,-49.213894",0,69,300
1762615814,2025-11-08T15:30:14Z,GLO1857,"-16.635687,-49.214409",0,78,300
1762615815,2025-11-08T15:30:15Z,GLO1857,"-16.635475,-49.214798",0,84,300
1762615822,2025-11-08T15:30:22Z,GLO1857,"-16.633896,-49.217594",2475,112,300
1762615830,2025-11-08T15:30:30Z,GLO1857,"-16.631159,-49.222477",2450,148,299
1762615839,2025-11-08T15:30:39Z,GLO1857,"-16.62818,-49.22797",2575,167,299
1762615848,2025-11-08T15:30:48Z,GLO1857,"-16.624596,-49.234394",2875,172,299
1762615854,2025-11-08T15:30:54Z,GLO1857,"-16.622082,-49.238907",3125,176,300
1762615861,2025-11-08T15:31:01Z,GLO1857,"-16.619385,-49.243664",3425,179,300
1762615870,2025-11-08T15:31:10Z,GLO1857,"-16.615471,-49.25058",3750,186,300
1762615876,2025-11-08T15:31:16Z,GLO1857,"-16.612492,-49.255829",3875,196,300
1762615885,2025-11-08T15:31:25Z,GLO1857,"-16.60817,-49.26313",4025,210,301
1762615894,2025-11-08T15:31:34Z,GLO1857,"-16.60346,-49.271179",4250,221,301
1762615900,2025-11-08T15:31:40Z,GLO1857,"-16.599976,-49.277199",4475,228,300
1762615907,2025-11-08T15:31:47Z,GLO1857,"-16.596151,-49.283833",4650,237,300
1762615916,2025-11-08T15:31:56Z,GLO1857,"-16.591171,-49.292564",4850,251,300
1762615923,2025-11-08T15:32:03Z,GLO1857,"-16.586887,-49.300217",5050,258,300
1762615936,2025-11-08T15:32:16Z,GLO1857,"-16.57869,-49.314831",5825,255,300
1762615945,2025-11-08T15:32:25Z,GLO1857,"-16.574066,-49.324711",6450,248,290
1762615947,2025-11-08T15:32:27Z,GLO1857,"-16.573471,-49.326637",6575,246,286
1762615950,2025-11-08T15:32:30Z,GLO1857,"-16.57283,-49.329742",6750,244,282
1762615952,2025-11-08T15:32:32Z,GLO1857,"-16.572556,-49.33165",6875,242,276
1762615954,2025-11-08T15:32:34Z,GLO1857,"-16.572317,-49.334549",7050,240,272
1762615956,2025-11-08T15:32:36Z,GLO1857,"-16.572317,-49.337246",7200,240,268
1762615959,2025-11-08T15:32:39Z,GLO1857,"-16.572504,-49.339993",7350,239,265
1762615961,2025-11-08T15:32:41Z,GLO1857,"-16.572876,-49.342346",7450,239,261
1762615963,2025-11-08T15:32:43Z,GLO1857,"-16.573334,-49.344563",7550,240,256
1762615965,2025-11-08T15:32:45Z,GLO1857,"-16.574133,-49.347446",7675,241,252
1762615968,2025-11-08T15:32:48Z,GLO1857,"-16.575073,-49.350006",7775,241,248
1762615970,2025-11-08T15:32:50Z,GLO1857,"-16.576309,-49.352707",7900,242,243
1762615972,2025-11-08T15:32:52Z,GLO1857,"-16.577362,-49.354584",8000,244,239
1762615974,2025-11-08T15:32:54Z,GLO1857,"-16.578644,-49.356609",8075,245,235
1762615977,2025-11-08T15:32:57Z,GLO1857,"-16.580511,-49.35907",8200,245,231
1762615979,2025-11-08T15:32:59Z,GLO1857,"-16.582047,-49.360786",8300,247,225
