Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762624905,2025-11-08T18:01:45Z,GLO1977,"-22.805382,-43.274128",1175,166,301
1762624914,2025-11-08T18:01:54Z,GLO1977,"-22.802536,-43.28064",1500,167,293
1762624916,2025-11-08T18:01:56Z,GLO1977,"-22.802032,-43.281887",1525,169,291
1762624918,2025-11-08T18:01:58Z,GLO1977,"-22.801332,-43.283947",1600,170,290
1762624920,2025-11-08T18:02:00Z,GLO1977,"-22.800774,-43.285625",1625,174,290
1762624922,2025-11-08T18:02:02Z,GLO1977,"-22.800293,-43.287083",1675,176,290
1762624924,2025-11-08T18:02:04Z,GLO1977,"-22.799656,-43.288929",1725,178,289
1762624926,2025-11-08T18:02:06Z,GLO1977,"-22.799006,-43.291016",1750,180,289
1762624928,2025-11-08T18:02:08Z,GLO1977,"-22.798447,-43.292694",1800,183,290
1762624930,2025-11-08T18:02:10Z,GLO1977,"-22.797794,-43.294476",1825,185,291
1762624932,2025-11-08T18:02:12Z,GLO1977,"-22.797043,-43.296371",1875,188,292
1762624934,2025-11-08T18:02:14Z,GLO1977,"-22.796398,-43.297932",1900,192,293
1762624937,2025-11-08T18:02:17Z,GLO1977,"-22.795652,-43.299763",1925,195,293
1762624939,2025-11-08T18:02:19Z,GLO1977,"-22.794909,-43.301594",1950,198,293
1762624941,2025-11-08T18:02:21Z,GLO1977,"-22.794024,-43.303783",2000,202,293
1762624943,2025-11-08T18:02:23Z,GLO1977,"-22.793152,-43.305859",2050,203,294
1762624945,2025-11-08T18:02:25Z,GLO1977,"-22.79244,-43.307545",2100,206,294
1762624947,2025-11-08T18:02:27Z,GLO1977,"-22.791416,-43.309784",2150,208,295
1762624949,2025-11-08T18:02:29Z,GLO1977,"-22.790718,-43.31131",2200,210,296
1762624951,2025-11-08T18:02:31Z,GLO1977,"-22.789581,-43.313797",2275,212,296
1762624953,2025-11-08T18:02:33Z,GLO1977,"-22.788811,-43.315533",2325,214,296
1762624955,2025-11-08T18:02:35Z,GLO1977,"-22.787842,-43.317642",2350,217,296
1762624957,2025-11-08T18:02:37Z,GLO1977,"-22.786926,-43.319641",2400,220,295
1762624959,2025-11-08T18:02:39Z,GLO1977,"-22.785971,-43.321838",2450,221,295
1762624961,2025-11-08T18:02:41Z,GLO1977,"-22.785086,-43.323872",2500,223,295
1762624963,2025-11-08T18:02:43Z,GLO1977,"-22.784317,-43.325733",2575,224,294
1762624966,2025-11-08T18:02:46Z,GLO1977,"-22.783447,-43.327782",2650,225,294
1762624968,2025-11-08T18:02:48Z,GLO1977,"-22.782293,-43.330486",2750,226,294
1762624970,2025-11-08T18:02:50Z,GLO1977,"-22.781525,-43.332325",2800,228,294
1762624978,2025-11-08T18:02:58Z,GLO1977,"-22.778046,-43.340664",3175,226,293
1762624986,2025-11-08T18:03:06Z,GLO1977,"-22.774429,-43.349304",3650,224,294
1762624995,2025-11-08T18:03:15Z,GLO1977,"-22.770748,-43.358002",4150,220,294
1762625003,2025-11-08T18:03:23Z,GLO1977,"-22.76738,-43.365585",4700,213,295
1762625009,2025-11-08T18:03:29Z,GLO1977,"-22.76479,-43.371685",5050,217,294
1762625022,2025-11-08T18:03:42Z,GLO1977,"-22.75939,-43.38496",5700,221,293
1762625035,2025-11-08T18:03:55Z,GLO1977,"-22.753967,-43.398342",6300,226,293
1762625048,2025-11-08T18:04:08Z,GLO1977,"-22.748077,-43.412525",6825,236,294
1762625061,2025-11-08T18:04:21Z,GLO1977,"-22.742065,-43.426609",7400,238,295
1762625075,2025-11-08T18:04:35Z,GLO1977,"-22.735741,-43.440296",8175,232,300
1762625077,2025-11-08T18:04:37Z,GLO1977,"-22.734064,-43.443043",8325,232,302
1762625079,2025-11-08T18:04:39Z,GLO1977,"-22.73304,-43.444569",8425,233,306
1762625081,2025-11-08T18:04:41Z,GLO1977,"-22.731133,-43.447113",8550,234,309
1762625084,2025-11-08T18:04:44Z,GLO1977,"-22.729643,-43.448841",8675,235,313
1762625086,2025-11-08T18:04:46Z,GLO1977,"-22.727779,-43.450825",8775,235,316
1762625088,2025-11-08T18:04:48Z,GLO1977,"-22.726105,-43.452351",8875,237,318
1762625090,2025-11-08T18:04:50Z,GLO1977,"-22.724056,-43.454132",9000,237,321
1762625093,2025-11-08T18:04:53Z,GLO1977,"-22.72224,-43.455555",9100,239,325
1762625095,2025-11-08T18:04:55Z,GLO1977,"-22.719959,-43.457031",9225,239,327
1762625097,2025-11-08T18:04:57Z,GLO1977,"-22.717804,-43.458317",9325,240,331
1762625099,2025-11-08T18:04:59Z,GLO1977,"-22.715584,-43.459522",9450,242,334
1762625101,2025-11-08T18:05:01Z,GLO1977,"-22.713535,-43.460438",9550,243,336
1762625104,2025-11-08T18:05:04Z,GLO1977,"-22.710976,-43.461506",9650,245,339
1762625106,2025-11-08T18:05:06Z,GLO1977,"-22.708969,-43.462162",9750,246,342
1762625108,2025-11-08T18:05:08Z,GLO1977,"-22.706553,-43.46283",9850,249,346
1762625110,2025-11-08T18:05:10Z,GLO1977,"-22.704025,-43.463364",9950,251,349
1762625112,2025-11-08T18:05:12Z,GLO1977,"-22.701233,-43.46376",10050,254,352
1762625114,2025-11-08T18:05:14Z,GLO1977,"-22.698639,-43.464001",10150,255,355
1762625116,2025-11-08T18:05:16Z,GLO1977,"-22.695969,-43.464111",10250,259,358
1762625119,2025-11-08T18:05:19Z,GLO1977,"-22.693796,-43.46405",10325,261,359
1762625121,2025-11-08T18:05:21Z,GLO1977,"-22.690817,-43.463848",10400,264,3
1762625123,2025-11-08T18:05:23Z,GLO1977,"-22.688599,-43.463562",10475,267,6
1762625125,2025-11-08T18:05:25Z,GLO1977,"-22.685371,-43.462879",10575,273,11
1762625127,2025-11-08T18:05:27Z,GLO1977,"-22.682903,-43.462219",10650,276,14
1762625129,2025-11-08T18:05:29Z,GLO1977,"-22.679924,-43.461254",10725,279,17
1762625131,2025-11-08T18:05:31Z,GLO1977,"-22.677704,-43.460365",10800,282,19
1762625134,2025-11-08T18:05:34Z,GLO1977,"-22.674728,-43.459068",10875,285,21
1762625136,2025-11-08T18:05:36Z,GLO1977,"-22.672056,-43.457794",10975,288,23
1762625138,2025-11-08T18:05:38Z,GLO1977,"-22.66959,-43.456676",11050,290,23
1762625140,2025-11-08T18:05:40Z,GLO1977,"-22.666611,-43.45525",11150,291,23
1762625142,2025-11-08T18:05:42Z,GLO1977,"-22.664383,-43.454224",11225,292,23
1762625144,2025-11-08T18:05:44Z,GLO1977,"-22.661865,-43.453075",11300,292,23
1762625147,2025-11-08T18:05:47Z,GLO1977,"-22.659348,-43.451878",11375,294,23
1762625149,2025-11-08T18:05:49Z,GLO1977,"-22.65609,-43.450367",11475,295,23
1762625151,2025-11-08T18:05:51Z,GLO1977,"-22.653017,-43.448944",11575,298,23
1762625153,2025-11-08T18:05:53Z,GLO1977,"-22.650503,-43.447773",11650,299,23
1762625155,2025-11-08T18:05:55Z,GLO1977,"-22.64743,-43.44635",11750,300,23
1762625168,2025-11-08T18:06:08Z,GLO1977,"-22.630646,-43.438393",12325,306,24
1762625200,2025-11-08T18:06:40Z,GLO1977,"-22.590078,-43.418171",13950,312,25
1762625231,2025-11-08T18:07:11Z,GLO1977,"-22.548203,-43.397495",15325,325,24
1762625261,2025-11-08T18:07:41Z,GLO1977,"-22.505539,-43.377319",16650,334,23
1762625293,2025-11-08T18:08:13Z,GLO1977,"-22.459871,-43.35561",17900,343,23
1762625324,2025-11-08T18:08:44Z,GLO1977,"-22.411598,-43.335266",18575,364,13
1762625326,2025-11-08T18:08:46Z,GLO1977,"-22.40863,-43.334572",18575,365,12
1762625329,2025-11-08T18:08:49Z,GLO1977,"-22.404602,-43.333775",18600,366,10
1762625331,2025-11-08T18:08:51Z,GLO1977,"-22.400574,-43.333126",18625,367,8
1762625333,2025-11-08T18:08:53Z,GLO1977,"-22.397491,-43.332775",18650,368,6
1762625335,2025-11-08T18:08:55Z,GLO1977,"-22.394094,-43.332417",18675,369,4
1762625337,2025-11-08T18:08:57Z,GLO1977,"-22.390696,-43.332214",18700,369,2
1762625339,2025-11-08T18:08:59Z,GLO1977,"-22.386553,-43.332062",18725,370,1
1762625341,2025-11-08T18:09:01Z,GLO1977,"-22.383453,-43.332077",18750,371,359
1762625343,2025-11-08T18:09:03Z,GLO1977,"-22.378963,-43.332214",18775,372,358
1762625346,2025-11-08T18:09:06Z,GLO1977,"-22.374821,-43.33252",18825,372,356
1762625348,2025-11-08T18:09:08Z,GLO1977,"-22.371376,-43.332874",18850,373,354
1762625350,2025-11-08T18:09:10Z,GLO1977,"-22.368629,-43.333233",18900,373,352
1762625352,2025-11-08T18:09:12Z,GLO1977,"-22.364532,-43.333893",18975,373,351
1762625354,2025-11-08T18:09:14Z,GLO1977,"-22.360748,-43.334572",19050,373,350
1762625357,2025-11-08T18:09:17Z,GLO1977,"-22.356674,-43.33527",19150,373,350
1762625359,2025-11-08T18:09:19Z,GLO1977,"-22.352554,-43.336021",19250,373,350
1762625361,2025-11-08T18:09:21Z,GLO1977,"-22.349121,-43.336571",19325,374,351
1762625363,2025-11-08T18:09:23Z,GLO1977,"-22.346004,-43.337097",19400,374,351
1762625365,2025-11-08T18:09:25Z,GLO1977,"-22.341568,-43.337868",19500,375,351
1762625367,2025-11-08T18:09:27Z,GLO1977,"-22.337765,-43.33852",19575,375,350
1762625370,2025-11-08T18:09:30Z,GLO1977,"-22.334702,-43.339115",19650,375,349
1762625372,2025-11-08T18:09:32Z,GLO1977,"-22.331268,-43.339916",19725,374,348
1762625374,2025-11-08T18:09:34Z,GLO1977,"-22.327927,-43.340816",19800,373,345
1762625376,2025-11-08T18:09:36Z,GLO1977,"-22.323898,-43.342064",19850,373,343
1762625378,2025-11-08T18:09:38Z,GLO1977,"-22.320261,-43.343304",19925,373,342
1762625380,2025-11-08T18:09:40Z,GLO1977,"-22.316666,-43.344608",19975,373,341
1762625382,2025-11-08T18:09:42Z,GLO1977,"-22.312729,-43.346058",20050,373,340
1762625385,2025-11-08T18:09:45Z,GLO1977,"-22.309479,-43.347305",20125,374,340
1762625387,2025-11-08T18:09:47Z,GLO1977,"-22.30518,-43.348949",20225,375,340
1762625390,2025-11-08T18:09:50Z,GLO1977,"-22.301222,-43.350422",20300,376,340
1762625392,2025-11-08T18:09:52Z,GLO1977,"-22.297264,-43.351898",20350,377,340
1762625394,2025-11-08T18:09:54Z,GLO1977,"-22.293308,-43.353424",20425,378,340
1762625396,2025-11-08T18:09:56Z,GLO1977,"-22.289957,-43.354645",20475,379,340
1762625428,2025-11-08T18:10:28Z,GLO1977,"-22.238892,-43.377018",21375,387,335
1762625459,2025-11-08T18:10:59Z,GLO1977,"-22.186703,-43.403778",22300,395,334
1762625492,2025-11-08T18:11:32Z,GLO1977,"-22.131729,-43.4314",23700,389,335
1762625524,2025-11-08T18:12:04Z,GLO1977,"-22.081263,-43.455914",25625,364,335
1762625544,2025-11-08T18:12:24Z,GLO1977,"-22.051376,-43.473511",26275,357,325
1762625547,2025-11-08T18:12:27Z,GLO1977,"-22.048676,-43.475544",26350,357,324
1762625549,2025-11-08T18:12:29Z,GLO1977,"-22.046219,-43.477394",26400,357,324
1762625551,2025-11-08T18:12:31Z,GLO1977,"-22.042717,-43.480072",26475,357,324
1762625553,2025-11-08T18:12:33Z,GLO1977,"-22.03997,-43.482159",26550,357,324
1762625556,2025-11-08T18:12:36Z,GLO1977,"-22.036758,-43.48465",26650,357,324
1762625558,2025-11-08T18:12:38Z,GLO1977,"-22.032715,-43.487732",26750,356,324
1762625561,2025-11-08T18:12:41Z,GLO1977,"-22.029776,-43.48999",26850,355,324
1762625563,2025-11-08T18:12:43Z,GLO1977,"-22.026564,-43.492432",26950,354,324
1762625595,2025-11-08T18:13:15Z,GLO1977,"-21.984295,-43.525036",28150,347,324
1762625626,2025-11-08T18:13:46Z,GLO1977,"-21.943562,-43.556873",28825,354,323
1762625657,2025-11-08T18:14:17Z,GLO1977,"-21.901058,-43.590851",29000,377,323
