Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762631193,2025-11-08T19:46:33Z,GLO2072,"-15.878608,-47.909355",0,8,182
1762631202,2025-11-08T19:46:42Z,GLO2072,"-15.878746,-47.909595",0,8,258
1762631208,2025-11-08T19:46:48Z,GLO2072,"-15.878746,-47.909809",0,11,267
1762631211,2025-11-08T19:46:51Z,GLO2072,"-15.878769,-47.910137",0,21,267
1762631213,2025-11-08T19:46:53Z,GLO2072,"-15.878792,-47.910461",0,35,267
1762631216,2025-11-08T19:46:56Z,GLO2072,"-15.878815,-47.910931",0,44,267
1762631217,2025-11-08T19:46:57Z,GLO2072,"-15.878838,-47.91116",0,48,267
1762631218,2025-11-08T19:46:58Z,GLO2072,"-15.878863,-47.911549",0,53,267
1762631220,2025-11-08T19:47:00Z,GLO2072,"-15.878887,-47.911991",0,61,267
1762631221,2025-11-08T19:47:01Z,GLO2072,"-15.878918,-47.91246",0,66,267
1762631228,2025-11-08T19:47:08Z,GLO2072,"-15.879089,-47.915039",3425,94,266
1762631237,2025-11-08T19:47:17Z,GLO2072,"-15.879364,-47.919712",3425,124,265
1762631243,2025-11-08T19:47:23Z,GLO2072,"-15.879666,-47.924179",3425,148,266
1762631252,2025-11-08T19:47:32Z,GLO2072,"-15.880086,-47.930504",3450,174,266
1762631259,2025-11-08T19:47:39Z,GLO2072,"-15.880417,-47.936626",3575,181,266
1762631265,2025-11-08T19:47:45Z,GLO2072,"-15.880737,-47.94257",3825,182,266
1762631273,2025-11-08T19:47:53Z,GLO2072,"-15.881149,-47.949924",4200,181,266
1762631280,2025-11-08T19:48:00Z,GLO2072,"-15.881621,-47.955566",4425,185,264
1762631284,2025-11-08T19:48:04Z,GLO2072,"-15.88218,-47.959393",4575,189,258
1762631286,2025-11-08T19:48:06Z,GLO2072,"-15.882646,-47.961403",4650,189,256
1762631289,2025-11-08T19:48:09Z,GLO2072,"-15.883345,-47.963612",4725,191,250
1762631291,2025-11-08T19:48:11Z,GLO2072,"-15.884125,-47.965488",4775,193,246
1762631294,2025-11-08T19:48:14Z,GLO2072,"-15.884927,-47.967045",4800,198,240
1762631296,2025-11-08T19:48:16Z,GLO2072,"-15.886091,-47.969006",4850,202,236
1762631298,2025-11-08T19:48:18Z,GLO2072,"-15.887441,-47.970871",4900,205,231
1762631301,2025-11-08T19:48:21Z,GLO2072,"-15.889023,-47.972668",4950,208,226
1762631303,2025-11-08T19:48:23Z,GLO2072,"-15.890762,-47.974213",5000,213,219
1762631305,2025-11-08T19:48:25Z,GLO2072,"-15.89241,-47.975513",5050,215,215
1762631307,2025-11-08T19:48:27Z,GLO2072,"-15.894424,-47.976814",5100,218,211
1762631309,2025-11-08T19:48:29Z,GLO2072,"-15.896053,-47.977688",5125,221,207
1762631311,2025-11-08T19:48:31Z,GLO2072,"-15.898474,-47.978817",5175,226,201
1762631313,2025-11-08T19:48:33Z,GLO2072,"-15.90033,-47.979462",5200,230,197
1762631316,2025-11-08T19:48:36Z,GLO2072,"-15.902431,-47.980091",5225,233,193
1762631318,2025-11-08T19:48:38Z,GLO2072,"-15.905457,-47.980728",5275,237,190
1762631320,2025-11-08T19:48:40Z,GLO2072,"-15.90811,-47.981071",5300,241,186
1762631322,2025-11-08T19:48:42Z,GLO2072,"-15.9104,-47.981197",5300,246,183
1762631325,2025-11-08T19:48:45Z,GLO2072,"-15.912858,-47.981171",5325,253,178
1762631327,2025-11-08T19:48:47Z,GLO2072,"-15.915698,-47.980972",5350,256,175
1762631329,2025-11-08T19:48:49Z,GLO2072,"-15.917839,-47.980679",5375,261,171
1762631331,2025-11-08T19:48:51Z,GLO2072,"-15.920818,-47.980091",5400,265,168
