Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1761365610,2025-10-25T04:13:30Z,GBB201J,"-26.06119,28.265995",7350,227,24
1761365616,2025-10-25T04:13:36Z,GBB201J,"-26.055534,28.270212",7500,238,36
1761365618,2025-10-25T04:13:38Z,GBB201J,"-26.054056,28.27194",7575,240,42
1761365620,2025-10-25T04:13:40Z,GBB201J,"-26.052481,28.273983",7625,243,46
1761365622,2025-10-25T04:13:42Z,GBB201J,"-26.051088,28.275852",7675,243,49
1761365624,2025-10-25T04:13:44Z,GBB201J,"-26.049746,28.277983",7750,244,52
1761365626,2025-10-25T04:13:46Z,GBB201J,"-26.048599,28.280081",7825,247,56
1761365628,2025-10-25T04:13:48Z,GBB201J,"-26.047607,28.282419",7900,249,61
1761365630,2025-10-25T04:13:50Z,GBB201J,"-26.046583,28.284948",8000,248,64
1761365632,2025-10-25T04:13:52Z,GBB201J,"-26.045813,28.287367",8075,250,68
1761365634,2025-10-25T04:13:54Z,GBB201J,"-26.045151,28.289957",8150,252,72
1761365636,2025-10-25T04:13:56Z,GBB201J,"-26.04463,28.292513",8250,252,75
1761365638,2025-10-25T04:13:58Z,GBB201J,"-26.04423,28.295126",8325,255,78
1761365640,2025-10-25T04:14:00Z,GBB201J,"-26.043932,28.297741",8400,256,81
1761365642,2025-10-25T04:14:02Z,GBB201J,"-26.043787,28.300444",8475,260,85
1761365644,2025-10-25T04:14:04Z,GBB201J,"-26.043839,28.303787",8550,260,89
1761365647,2025-10-25T04:14:07Z,GBB201J,"-26.044008,28.306442",8650,260,92
1761365649,2025-10-25T04:14:09Z,GBB201J,"-26.044321,28.309124",8725,262,95
1761365651,2025-10-25T04:14:11Z,GBB201J,"-26.044737,28.311869",8800,268,98
1761365653,2025-10-25T04:14:13Z,GBB201J,"-26.045315,28.314474",8850,265,101
1761365655,2025-10-25T04:14:15Z,GBB201J,"-26.046103,28.317144",8875,271,105
1761365657,2025-10-25T04:14:17Z,GBB201J,"-26.047083,28.31979",8925,272,110
1761365659,2025-10-25T04:14:19Z,GBB201J,"-26.048269,28.322407",8975,272,114
1761365661,2025-10-25T04:14:21Z,GBB201J,"-26.049442,28.324684",9000,276,117
1761365663,2025-10-25T04:14:23Z,GBB201J,"-26.050873,28.327158",9050,277,120
1761365665,2025-10-25T04:14:25Z,GBB201J,"-26.052338,28.329475",9100,276,123
1761365667,2025-10-25T04:14:27Z,GBB201J,"-26.053928,28.331568",9150,279,127
1761365669,2025-10-25T04:14:29Z,GBB201J,"-26.055817,28.334017",9200,287,129
1761365671,2025-10-25T04:14:31Z,GBB201J,"-26.057478,28.33625",9250,283,129
1761365673,2025-10-25T04:14:33Z,GBB201J,"-26.059347,28.338673",9300,285,130
1761365675,2025-10-25T04:14:35Z,GBB201J,"-26.061153,28.340914",9350,290,131
1761365677,2025-10-25T04:14:37Z,GBB201J,"-26.06292,28.343271",9400,294,130
1761365679,2025-10-25T04:14:39Z,GBB201J,"-26.064562,28.345676",9450,292,128
1761365681,2025-10-25T04:14:41Z,GBB201J,"-26.066195,28.347967",9475,288,128
1761365683,2025-10-25T04:14:43Z,GBB201J,"-26.067884,28.350487",9525,294,127
1761365685,2025-10-25T04:14:45Z,GBB201J,"-26.069483,28.353086",9600,299,125
1761365687,2025-10-25T04:14:47Z,GBB201J,"-26.071119,28.355801",9675,301,124
1761365689,2025-10-25T04:14:49Z,GBB201J,"-26.072657,28.358456",9750,304,123
1761365691,2025-10-25T04:14:51Z,GBB201J,"-26.074127,28.361124",9825,304,122
1761365693,2025-10-25T04:14:53Z,GBB201J,"-26.075603,28.363728",9900,301,122
1761365696,2025-10-25T04:14:56Z,GBB201J,"-26.077242,28.366644",10025,300,121
1761365698,2025-10-25T04:14:58Z,GBB201J,"-26.078976,28.369633",10100,303,122
1761365700,2025-10-25T04:15:00Z,GBB201J,"-26.080563,28.372225",10225,303,123
1761365702,2025-10-25T04:15:02Z,GBB201J,"-26.082186,28.374828",10325,304,124
1761365704,2025-10-25T04:15:04Z,GBB201J,"-26.084068,28.377789",10425,304,124
1761365706,2025-10-25T04:15:06Z,GBB201J,"-26.085758,28.38035",10500,306,125
