Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762497040,2025-11-07T06:30:40Z,CHH729,"40.059784,116.599495",0,13,70
1762497093,2025-11-07T06:31:33Z,CHH729,"40.089249,116.594849",25,184,354
1762497103,2025-11-07T06:31:43Z,CHH729,"40.097488,116.593689",450,186,354
1762497117,2025-11-07T06:31:57Z,CHH729,"40.118454,116.590515",1525,186,352
1762497125,2025-11-07T06:32:05Z,CHH729,"40.125366,116.589355",1750,189,352
1762497139,2025-11-07T06:32:19Z,CHH729,"40.138138,116.587402",2075,195,353
1762497154,2025-11-07T06:32:34Z,CHH729,"40.152237,116.585205",2475,199,353
1762497167,2025-11-07T06:32:47Z,CHH729,"40.164459,116.583313",2800,199,353
1762497178,2025-11-07T06:32:58Z,CHH729,"40.175125,116.581665",3025,214,353
1762497191,2025-11-07T06:33:11Z,CHH729,"40.187805,116.579773",3200,229,353
1762497195,2025-11-07T06:33:15Z,CHH729,"40.19252,116.579041",3250,234,353
1762497208,2025-11-07T06:33:28Z,CHH729,"40.20689,116.576736",3450,246,353
1762497220,2025-11-07T06:33:40Z,CHH729,"40.220398,116.576904",3800,245,7
1762497225,2025-11-07T06:33:45Z,CHH729,"40.22612,116.578857",3975,244,18
1762497231,2025-11-07T06:33:51Z,CHH729,"40.232025,116.582108",4150,243,24
1762497235,2025-11-07T06:33:55Z,CHH729,"40.236122,116.585228",4325,242,33
1762497241,2025-11-07T06:34:01Z,CHH729,"40.240677,116.589661",4500,240,39
1762497247,2025-11-07T06:34:07Z,CHH729,"40.245667,116.596313",4700,240,49
1762497252,2025-11-07T06:34:12Z,CHH729,"40.24902,116.602211",4825,240,55
1762497257,2025-11-07T06:34:17Z,CHH729,"40.250244,116.604797",5025,238,59
1762497263,2025-11-07T06:34:23Z,CHH729,"40.254047,116.616249",5175,237,72
1762497270,2025-11-07T06:34:30Z,CHH729,"40.255554,116.624512",5300,238,80
1762497273,2025-11-07T06:34:33Z,CHH729,"40.256233,116.631607",5375,242,82
1762497279,2025-11-07T06:34:39Z,CHH729,"40.256973,116.639709",5425,246,83
1762497287,2025-11-07T06:34:47Z,CHH729,"40.256649,116.636169",5400,246,84
1762497307,2025-11-07T06:35:07Z,CHH729,"40.260773,116.684631",5875,278,83
1762497322,2025-11-07T06:35:22Z,CHH729,"40.26141,116.692078",5950,281,83
1762497337,2025-11-07T06:35:37Z,CHH729,"40.263565,116.71759",6350,293,84
1762497352,2025-11-07T06:35:52Z,CHH729,"40.265808,116.744377",6500,306,83
1762497367,2025-11-07T06:36:07Z,CHH729,"40.268291,116.772804",6525,311,84
1762497382,2025-11-07T06:36:22Z,CHH729,"40.27076,116.801208",6600,312,83
1762497397,2025-11-07T06:36:37Z,CHH729,"40.27322,116.828857",6975,314,83
1762497412,2025-11-07T06:36:52Z,CHH729,"40.275742,116.8573",7600,317,83
1762497427,2025-11-07T06:37:07Z,CHH729,"40.278214,116.88562",8175,320,84
1762497442,2025-11-07T06:37:22Z,CHH729,"40.280811,116.915131",8750,321,83
1762497457,2025-11-07T06:37:37Z,CHH729,"40.283157,116.944824",9325,324,86
1762497467,2025-11-07T06:37:47Z,CHH729,"40.282581,116.963821",9600,326,96
1762497472,2025-11-07T06:37:52Z,CHH729,"40.281372,116.972809",9675,329,102
1762497477,2025-11-07T06:37:57Z,CHH729,"40.279083,116.983398",9775,330,108
1762497482,2025-11-07T06:38:02Z,CHH729,"40.276245,116.992615",9925,330,113
1762497487,2025-11-07T06:38:07Z,CHH729,"40.272903,117.001099",10150,328,119
1762497492,2025-11-07T06:38:12Z,CHH729,"40.268646,117.009644",10375,324,124
1762497497,2025-11-07T06:38:17Z,CHH729,"40.264069,117.017395",10575,323,130
1762497502,2025-11-07T06:38:22Z,CHH729,"40.25853,117.025085",10700,326,135
1762497507,2025-11-07T06:38:27Z,CHH729,"40.252975,117.031487",10750,328,140
1762497512,2025-11-07T06:38:32Z,CHH729,"40.246628,117.037415",10825,330,147
1762497517,2025-11-07T06:38:37Z,CHH729,"40.24054,117.041992",10900,332,153
1762497522,2025-11-07T06:38:42Z,CHH729,"40.234211,117.045723",10950,336,159
1762497527,2025-11-07T06:38:47Z,CHH729,"40.226395,117.049255",11025,338,162
1762497532,2025-11-07T06:38:52Z,CHH729,"40.218567,117.052307",11075,342,163
1762497537,2025-11-07T06:38:57Z,CHH729,"40.21085,117.055771",11150,347,159
1762497542,2025-11-07T06:39:02Z,CHH729,"40.203598,117.060059",11225,353,153
1762497547,2025-11-07T06:39:07Z,CHH729,"40.197281,117.064636",11325,358,150
1762497552,2025-11-07T06:39:12Z,CHH729,"40.18959,117.07074",11400,362,147
1762497557,2025-11-07T06:39:17Z,CHH729,"40.182449,117.076988",11500,365,145
1762497562,2025-11-07T06:39:22Z,CHH729,"40.174721,117.084229",11625,369,143
1762497567,2025-11-07T06:39:27Z,CHH729,"40.168671,117.090164",11750,369,142
1762497577,2025-11-07T06:39:37Z,CHH729,"40.154888,117.103523",12125,371,144
1762497607,2025-11-07T06:40:07Z,CHH729,"40.113087,117.141914",13250,371,146
1762497637,2025-11-07T06:40:37Z,CHH729,"40.069977,117.179749",14225,374,146
1762497672,2025-11-07T06:41:12Z,CHH729,"40.019192,117.223434",15375,379,146
1762497707,2025-11-07T06:41:47Z,CHH729,"39.96719,117.268127",16350,386,146
1762497747,2025-11-07T06:42:27Z,CHH729,"39.888794,117.335716",17575,400,146
1762497780,2025-11-07T06:43:00Z,CHH729,"39.838055,117.379822",18425,407,146
1762497813,2025-11-07T06:43:33Z,CHH729,"39.78653,117.424141",19125,417,146
1762497844,2025-11-07T06:44:04Z,CHH729,"39.73613,117.467728",19850,424,146
1762497875,2025-11-07T06:44:35Z,CHH729,"39.684677,117.512032",20775,426,146
1762497911,2025-11-07T06:45:11Z,CHH729,"39.625683,117.562866",21675,350,146
1762497945,2025-11-07T06:45:45Z,CHH729,"39.574814,117.606491",22425,433,146
1762497976,2025-11-07T06:46:16Z,CHH729,"39.517868,117.655159",23200,439,145
1762498007,2025-11-07T06:46:47Z,CHH729,"39.468704,117.709068",23875,450,133
1762498013,2025-11-07T06:46:53Z,CHH729,"39.459595,117.721733",23975,454,132
