Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762139460,2025-11-03T03:11:00Z,UZB761,"41.262852,69.268753",0,0,264
1762139490,2025-11-03T03:11:30Z,UZB761,"41.26268,69.26902",0,0,261
1762139504,2025-11-03T03:11:44Z,UZB761,"41.262703,69.269226",0,3,261
1762139527,2025-11-03T03:12:07Z,UZB761,"41.262829,69.26944",0,3,244
1762139545,2025-11-03T03:12:25Z,UZB761,"41.262901,69.269653",0,0,205
1762139565,2025-11-03T03:12:45Z,UZB761,"41.263123,69.269859",0,3,233
1762139583,2025-11-03T03:13:03Z,UZB761,"41.263229,69.270096",0,3,258
1762139600,2025-11-03T03:13:20Z,UZB761,"41.263252,69.270363",0,2,261
1762139614,2025-11-03T03:13:34Z,UZB761,"41.263287,69.270569",0,2,275
1762139628,2025-11-03T03:13:48Z,UZB761,"41.263298,69.270782",0,2,309
1762139644,2025-11-03T03:14:04Z,UZB761,"41.263218,69.270996",0,2,343
1762139759,2025-11-03T03:15:59Z,UZB761,"41.263012,69.271088",0,0,348
1762139931,2025-11-03T03:18:51Z,UZB761,"41.263252,69.271156",0,5,16
1762139947,2025-11-03T03:19:07Z,UZB761,"41.263252,69.271606",0,0,118
1762139957,2025-11-03T03:19:17Z,UZB761,"41.263023,69.271667",0,5,163
1762139969,2025-11-03T03:19:29Z,UZB761,"41.262821,69.271698",0,5,171
1762139977,2025-11-03T03:19:37Z,UZB761,"41.262566,69.271744",0,5,171
1762139993,2025-11-03T03:19:53Z,UZB761,"41.262131,69.271835",0,8,171
1762140002,2025-11-03T03:20:02Z,UZB761,"41.261715,69.271904",0,10,174
1762140007,2025-11-03T03:20:07Z,UZB761,"41.261482,69.27195",0,11,174
1762140013,2025-11-03T03:20:13Z,UZB761,"41.261261,69.271988",0,11,171
1762140018,2025-11-03T03:20:18Z,UZB761,"41.261051,69.272026",0,7,168
1762140025,2025-11-03T03:20:25Z,UZB761,"41.260826,69.272186",0,8,151
1762140033,2025-11-03T03:20:33Z,UZB761,"41.260563,69.272217",0,9,191
1762140040,2025-11-03T03:20:40Z,UZB761,"41.260353,69.27198",0,9,236
1762140046,2025-11-03T03:20:46Z,UZB761,"41.260239,69.271622",0,10,244
1762140053,2025-11-03T03:20:53Z,UZB761,"41.260151,69.271362",0,11,244
1762140055,2025-11-03T03:20:55Z,UZB761,"41.260036,69.271042",0,12,244
1762140060,2025-11-03T03:21:00Z,UZB761,"41.259945,69.270767",0,13,244
1762140064,2025-11-03T03:21:04Z,UZB761,"41.259853,69.270485",0,13,244
1762140067,2025-11-03T03:21:07Z,UZB761,"41.25975,69.270172",0,14,244
1762140070,2025-11-03T03:21:10Z,UZB761,"41.259666,69.269905",0,15,244
1762140079,2025-11-03T03:21:19Z,UZB761,"41.259453,69.269302",0,11,244
1762140084,2025-11-03T03:21:24Z,UZB761,"41.259365,69.269051",0,12,244
1762140087,2025-11-03T03:21:27Z,UZB761,"41.259285,69.268814",0,13,244
1762140091,2025-11-03T03:21:31Z,UZB761,"41.259167,69.268494",0,14,244
1762140097,2025-11-03T03:21:37Z,UZB761,"41.259052,69.268143",0,11,239
1762140101,2025-11-03T03:21:41Z,UZB761,"41.258869,69.267807",0,12,236
1762140125,2025-11-03T03:22:05Z,UZB761,"41.258789,69.267593",0,0,241
1762140127,2025-11-03T03:22:07Z,UZB761,"41.258213,69.265884",0,0,244
1762140130,2025-11-03T03:22:10Z,UZB761,"41.258137,69.265656",0,16,244
1762140138,2025-11-03T03:22:18Z,UZB761,"41.257874,69.264877",0,15,247
1762140146,2025-11-03T03:22:26Z,UZB761,"41.257652,69.264275",0,11,239
1762140151,2025-11-03T03:22:31Z,UZB761,"41.257458,69.264069",0,11,210
1762140159,2025-11-03T03:22:39Z,UZB761,"41.25713,69.263901",0,11,202
1762140167,2025-11-03T03:22:47Z,UZB761,"41.256783,69.263664",0,10,208
1762140175,2025-11-03T03:22:55Z,UZB761,"41.256538,69.263603",0,6,174
