Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762555351,2025-11-07T22:42:31Z,ANE1083,"40.49699,-3.590423",0,0,177
1762555377,2025-11-07T22:42:57Z,ANE1083,"40.497196,-3.590424",0,0,157
1762555405,2025-11-07T22:43:25Z,ANE1083,"40.497398,-3.590532",0,0,123
1762555436,2025-11-07T22:43:56Z,ANE1083,"40.49749,-3.590735",0,0,87
1762555586,2025-11-07T22:46:26Z,ANE1083,"40.497482,-3.590515",0,5,90
1762555592,2025-11-07T22:46:32Z,ANE1083,"40.497478,-3.590235",0,8,90
1762555599,2025-11-07T22:46:39Z,ANE1083,"40.497482,-3.58989",0,9,90
1762555605,2025-11-07T22:46:45Z,ANE1083,"40.497482,-3.589569",0,11,90
1762555608,2025-11-07T22:46:48Z,ANE1083,"40.49749,-3.58933",0,12,90
1762555611,2025-11-07T22:46:51Z,ANE1083,"40.497494,-3.589066",0,13,90
1762555614,2025-11-07T22:46:54Z,ANE1083,"40.497494,-3.588791",0,13,90
1762555618,2025-11-07T22:46:58Z,ANE1083,"40.497478,-3.588534",0,14,92
1762555620,2025-11-07T22:47:00Z,ANE1083,"40.497456,-3.588331",0,14,98
1762555623,2025-11-07T22:47:03Z,ANE1083,"40.497425,-3.588074",0,14,98
1762555627,2025-11-07T22:47:07Z,ANE1083,"40.497398,-3.58777",0,15,95
1762555630,2025-11-07T22:47:10Z,ANE1083,"40.497391,-3.587509",0,14,92
1762555633,2025-11-07T22:47:13Z,ANE1083,"40.497387,-3.587301",0,13,90
1762555636,2025-11-07T22:47:16Z,ANE1083,"40.497368,-3.587021",0,11,95
1762555641,2025-11-07T22:47:21Z,ANE1083,"40.497292,-3.58674",0,11,112
1762555645,2025-11-07T22:47:25Z,ANE1083,"40.497131,-3.586537",0,11,137
1762555650,2025-11-07T22:47:30Z,ANE1083,"40.496922,-3.586441",0,11,163
1762555653,2025-11-07T22:47:33Z,ANE1083,"40.496716,-3.586426",0,11,177
1762555658,2025-11-07T22:47:38Z,ANE1083,"40.496479,-3.586443",0,11,182
1762555662,2025-11-07T22:47:42Z,ANE1083,"40.496269,-3.586441",0,11,180
1762555667,2025-11-07T22:47:47Z,ANE1083,"40.496017,-3.586426",0,11,180
1762555673,2025-11-07T22:47:53Z,ANE1083,"40.495686,-3.586426",0,11,182
1762555681,2025-11-07T22:48:01Z,ANE1083,"40.495296,-3.586441",0,11,182
1762555689,2025-11-07T22:48:09Z,ANE1083,"40.494862,-3.586456",0,13,180
1762555696,2025-11-07T22:48:16Z,ANE1083,"40.494427,-3.586441",0,15,180
1762555703,2025-11-07T22:48:23Z,ANE1083,"40.493877,-3.586441",0,16,180
1762555710,2025-11-07T22:48:30Z,ANE1083,"40.493256,-3.586427",0,18,180
1762555717,2025-11-07T22:48:37Z,ANE1083,"40.492661,-3.586427",0,20,180
1762555724,2025-11-07T22:48:44Z,ANE1083,"40.491978,-3.586426",0,21,180
1762555731,2025-11-07T22:48:51Z,ANE1083,"40.491264,-3.586412",0,22,182
1762555738,2025-11-07T22:48:58Z,ANE1083,"40.490578,-3.586427",0,21,180
1762555745,2025-11-07T22:49:05Z,ANE1083,"40.489845,-3.586427",0,21,180
1762555752,2025-11-07T22:49:12Z,ANE1083,"40.489147,-3.586412",0,20,180
1762555759,2025-11-07T22:49:19Z,ANE1083,"40.488544,-3.586395",0,16,180
1762555766,2025-11-07T22:49:26Z,ANE1083,"40.488087,-3.586365",0,13,174
1762555770,2025-11-07T22:49:30Z,ANE1083,"40.487881,-3.586227",0,12,151
1762555774,2025-11-07T22:49:34Z,ANE1083,"40.48772,-3.585953",0,13,123
1762555778,2025-11-07T22:49:38Z,ANE1083,"40.487656,-3.585694",0,13,106
