Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762701081,2025-11-09T15:11:21Z,IBS15MR,"40.488075,-3.588928",0,3,11
1762701092,2025-11-09T15:11:32Z,IBS15MR,"40.488285,-3.588722",0,6,33
1762701099,2025-11-09T15:11:39Z,IBS15MR,"40.488441,-3.588501",0,7,42
1762701106,2025-11-09T15:11:46Z,IBS15MR,"40.488659,-3.588303",0,9,36
1762701111,2025-11-09T15:11:51Z,IBS15MR,"40.488869,-3.588191",0,10,22
1762701116,2025-11-09T15:11:56Z,IBS15MR,"40.48914,-3.588165",0,11,5
1762701121,2025-11-09T15:12:01Z,IBS15MR,"40.489426,-3.588181",0,12,357
1762701125,2025-11-09T15:12:05Z,IBS15MR,"40.489658,-3.588191",0,13,357
1762701129,2025-11-09T15:12:09Z,IBS15MR,"40.489914,-3.588191",0,13,357
1762701134,2025-11-09T15:12:14Z,IBS15MR,"40.490215,-3.588207",0,13,357
1762701142,2025-11-09T15:12:22Z,IBS15MR,"40.490707,-3.588207",0,13,357
1762701149,2025-11-09T15:12:29Z,IBS15MR,"40.491131,-3.588211",0,13,357
1762701156,2025-11-09T15:12:36Z,IBS15MR,"40.4916,-3.588211",0,14,357
1762701162,2025-11-09T15:12:42Z,IBS15MR,"40.491962,-3.588207",0,15,2
1762701165,2025-11-09T15:12:45Z,IBS15MR,"40.492184,-3.588104",0,15,16
1762701169,2025-11-09T15:12:49Z,IBS15MR,"40.492405,-3.587863",0,14,39
1762701173,2025-11-09T15:12:53Z,IBS15MR,"40.492504,-3.58757",0,14,64
1762701176,2025-11-09T15:12:56Z,IBS15MR,"40.492523,-3.587348",0,14,78
1762701180,2025-11-09T15:13:00Z,IBS15MR,"40.492496,-3.587005",0,14,90
1762701183,2025-11-09T15:13:03Z,IBS15MR,"40.492504,-3.586731",0,15,90
1762701186,2025-11-09T15:13:06Z,IBS15MR,"40.492504,-3.586456",0,15,90
1762701189,2025-11-09T15:13:09Z,IBS15MR,"40.492504,-3.586182",0,15,90
1762701191,2025-11-09T15:13:11Z,IBS15MR,"40.492508,-3.585975",0,16,90
1762701193,2025-11-09T15:13:13Z,IBS15MR,"40.492496,-3.58571",0,17,90
1762701195,2025-11-09T15:13:15Z,IBS15MR,"40.492504,-3.58548",0,18,90
1762701202,2025-11-09T15:13:22Z,IBS15MR,"40.492496,-3.584664",0,20,90
1762701210,2025-11-09T15:13:30Z,IBS15MR,"40.492504,-3.583542",0,24,90
1762701217,2025-11-09T15:13:37Z,IBS15MR,"40.492496,-3.582479",0,26,90
1762701224,2025-11-09T15:13:44Z,IBS15MR,"40.492496,-3.581371",0,23,90
1762701230,2025-11-09T15:13:50Z,IBS15MR,"40.492504,-3.580536",0,19,90
1762701238,2025-11-09T15:13:58Z,IBS15MR,"40.492508,-3.579655",0,18,90
1762701244,2025-11-09T15:14:04Z,IBS15MR,"40.492508,-3.579062",0,14,90
1762701251,2025-11-09T15:14:11Z,IBS15MR,"40.492504,-3.57869",0,7,90
1762701258,2025-11-09T15:14:18Z,IBS15MR,"40.492504,-3.57843",0,6,90
1762701266,2025-11-09T15:14:26Z,IBS15MR,"40.492504,-3.578156",0,5,90
1762701273,2025-11-09T15:14:33Z,IBS15MR,"40.492508,-3.577954",0,4,90
1762701281,2025-11-09T15:14:41Z,IBS15MR,"40.492516,-3.577667",0,7,90
1762701287,2025-11-09T15:14:47Z,IBS15MR,"40.492508,-3.577361",0,7,90
