Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762697186,2025-11-09T14:06:26Z,BTK6884,"-6.125004,106.648323",0,3,354
1762697326,2025-11-09T14:08:46Z,BTK6884,"-6.124785,106.648216",0,6,337
1762697334,2025-11-09T14:08:54Z,BTK6884,"-6.124569,106.648125",0,7,337
1762697340,2025-11-09T14:09:00Z,BTK6884,"-6.12434,106.648033",0,9,337
1762697356,2025-11-09T14:09:16Z,BTK6884,"-6.123642,106.647766",0,11,340
1762697380,2025-11-09T14:09:40Z,BTK6884,"-6.122337,106.647987",0,0,33
1762697439,2025-11-09T14:10:39Z,BTK6884,"-6.120269,106.650124",0,0,8
1762697447,2025-11-09T14:10:47Z,BTK6884,"-6.119831,106.650185",0,10,8
1762697453,2025-11-09T14:10:53Z,BTK6884,"-6.119545,106.650162",0,9,351
1762697458,2025-11-09T14:10:58Z,BTK6884,"-6.119338,106.650078",0,10,337
1762697463,2025-11-09T14:11:03Z,BTK6884,"-6.119122,106.649986",0,10,337
1762697468,2025-11-09T14:11:08Z,BTK6884,"-6.118885,106.649933",0,9,348
1762697476,2025-11-09T14:11:16Z,BTK6884,"-6.118607,106.650063",0,9,30
1762697483,2025-11-09T14:11:23Z,BTK6884,"-6.118477,106.650314",0,10,61
1762697494,2025-11-09T14:11:34Z,BTK6884,"-6.118256,106.650871",0,12,67
1762697508,2025-11-09T14:11:48Z,BTK6884,"-6.117897,106.651733",0,0,70
1762697515,2025-11-09T14:11:55Z,BTK6884,"-6.117668,106.652306",0,19,67
1762697521,2025-11-09T14:12:01Z,BTK6884,"-6.117485,106.652763",0,21,70
1762697585,2025-11-09T14:13:05Z,BTK6884,"-6.114578,106.660057",0,0,67
1762697593,2025-11-09T14:13:13Z,BTK6884,"-6.114217,106.660934",0,26,67
1762697601,2025-11-09T14:13:21Z,BTK6884,"-6.113869,106.661835",0,26,67
1762697607,2025-11-09T14:13:27Z,BTK6884,"-6.113601,106.662506",0,26,70
1762697609,2025-11-09T14:13:29Z,BTK6884,"-6.113496,106.662758",0,26,67
1762697611,2025-11-09T14:13:31Z,BTK6884,"-6.113411,106.662987",0,26,67
1762697613,2025-11-09T14:13:33Z,BTK6884,"-6.113319,106.663223",0,27,70
1762697615,2025-11-09T14:13:35Z,BTK6884,"-6.113205,106.663513",0,27,67
1762697617,2025-11-09T14:13:37Z,BTK6884,"-6.113102,106.663757",0,27,67
1762697619,2025-11-09T14:13:39Z,BTK6884,"-6.11301,106.664001",0,27,67
1762697621,2025-11-09T14:13:41Z,BTK6884,"-6.112891,106.664284",0,27,67
1762697624,2025-11-09T14:13:44Z,BTK6884,"-6.112798,106.66452",0,27,67
1762697627,2025-11-09T14:13:47Z,BTK6884,"-6.112669,106.664825",0,28,67
1762697633,2025-11-09T14:13:53Z,BTK6884,"-6.112332,106.665665",0,27,67
1762697640,2025-11-09T14:14:00Z,BTK6884,"-6.112026,106.666435",0,26,67
1762697644,2025-11-09T14:14:04Z,BTK6884,"-6.111855,106.666885",0,26,67
1762697646,2025-11-09T14:14:06Z,BTK6884,"-6.11174,106.667183",0,26,67
1762697649,2025-11-09T14:14:09Z,BTK6884,"-6.111626,106.667473",0,25,67
1762697653,2025-11-09T14:14:13Z,BTK6884,"-6.111465,106.66787",0,24,67
1762697658,2025-11-09T14:14:18Z,BTK6884,"-6.111237,106.668457",0,23,67
1762697661,2025-11-09T14:14:21Z,BTK6884,"-6.111145,106.668663",0,22,67
1762697669,2025-11-09T14:14:29Z,BTK6884,"-6.110854,106.66935",0,14,64
1762697674,2025-11-09T14:14:34Z,BTK6884,"-6.110722,106.669556",0,9,53
1762697679,2025-11-09T14:14:39Z,BTK6884,"-6.110517,106.669693",0,10,33
1762697684,2025-11-09T14:14:44Z,BTK6884,"-6.110307,106.669739",0,10,14
1762697689,2025-11-09T14:14:49Z,BTK6884,"-6.110058,106.669716",0,11,354
1762697693,2025-11-09T14:14:53Z,BTK6884,"-6.109852,106.669632",0,12,334
1762697698,2025-11-09T14:14:58Z,BTK6884,"-6.109646,106.669449",0,12,317
1762697703,2025-11-09T14:15:03Z,BTK6884,"-6.109504,106.669182",0,13,295
1762697707,2025-11-09T14:15:07Z,BTK6884,"-6.109446,106.668938",0,13,284
1762697711,2025-11-09T14:15:11Z,BTK6884,"-6.109399,106.668709",0,13,281
1762697714,2025-11-09T14:15:14Z,BTK6884,"-6.109383,106.668495",0,14,275
1762697719,2025-11-09T14:15:19Z,BTK6884,"-6.109394,106.66819",0,14,264
1762697724,2025-11-09T14:15:24Z,BTK6884,"-6.109504,106.66787",0,14,250
1762697728,2025-11-09T14:15:28Z,BTK6884,"-6.1096,106.667618",0,15,247
1762697730,2025-11-09T14:15:30Z,BTK6884,"-6.109692,106.667397",0,19,247
1762697737,2025-11-09T14:15:37Z,BTK6884,"-6.110046,106.666527",0,45,247
1762697739,2025-11-09T14:15:39Z,BTK6884,"-6.110237,106.666061",0,54,247
1762697740,2025-11-09T14:15:40Z,BTK6884,"-6.110332,106.665817",0,58,247
1762697741,2025-11-09T14:15:41Z,BTK6884,"-6.110458,106.665512",0,63,247
1762697743,2025-11-09T14:15:43Z,BTK6884,"-6.110575,106.66523",0,67,247
1762697744,2025-11-09T14:15:44Z,BTK6884,"-6.110784,106.664688",0,74,247
1762697745,2025-11-09T14:15:45Z,BTK6884,"-6.110889,106.664413",0,74,247
1762697747,2025-11-09T14:15:47Z,BTK6884,"-6.111238,106.663605",150,87,247
1762697749,2025-11-09T14:15:49Z,BTK6884,"-6.111557,106.662674",0,95,248
1762697757,2025-11-09T14:15:57Z,BTK6884,"-6.113113,106.658859",125,123,248
1762697767,2025-11-09T14:16:07Z,BTK6884,"-6.115448,106.652992",125,152,248
1762697775,2025-11-09T14:16:15Z,BTK6884,"-6.117755,106.647316",200,169,248
1762697781,2025-11-09T14:16:21Z,BTK6884,"-6.119614,106.642563",400,165,248
1762697789,2025-11-09T14:16:29Z,BTK6884,"-6.121811,106.636795",725,163,249
1762697798,2025-11-09T14:16:38Z,BTK6884,"-6.12404,106.630791",1150,156,249
1762697806,2025-11-09T14:16:46Z,BTK6884,"-6.125839,106.625526",1475,155,255
1762697808,2025-11-09T14:16:48Z,BTK6884,"-6.126114,106.62413",1500,158,259
1762697810,2025-11-09T14:16:50Z,BTK6884,"-6.126389,106.622498",1550,162,263
