Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762691889,2025-11-09T12:38:09Z,PAS809,"-5.044556,118.254326",25350,446,262
1762691920,2025-11-09T12:38:40Z,PAS809,"-5.052407,118.190872",25575,458,262
1762691953,2025-11-09T12:39:13Z,PAS809,"-5.060973,118.121307",26100,463,262
1762691984,2025-11-09T12:39:44Z,PAS809,"-5.068405,118.061363",26550,467,262
1762692016,2025-11-09T12:40:16Z,PAS809,"-5.077972,117.984322",27150,470,262
1762692048,2025-11-09T12:40:48Z,PAS809,"-5.08667,117.913841",27675,473,262
1762692079,2025-11-09T12:41:19Z,PAS809,"-5.09491,117.846893",28150,475,262
1762692111,2025-11-09T12:41:51Z,PAS809,"-5.103287,117.778694",28575,479,262
1762692404,2025-11-09T12:46:44Z,PAS809,"-5.183853,117.119194",32825,483,263
1762692436,2025-11-09T12:47:16Z,PAS809,"-5.192642,117.046944",33175,486,263
1762692468,2025-11-09T12:47:48Z,PAS809,"-5.201157,116.976692",33725,482,263
1762692498,2025-11-09T12:48:18Z,PAS809,"-5.209428,116.908546",34125,483,263
1762692530,2025-11-09T12:48:50Z,PAS809,"-5.217865,116.839043",34600,481,263
1762692563,2025-11-09T12:49:23Z,PAS809,"-5.226654,116.766327",35025,481,263
1762692596,2025-11-09T12:49:56Z,PAS809,"-5.235451,116.694412",35800,472,263
1762692626,2025-11-09T12:50:26Z,PAS809,"-5.243365,116.62854",36375,468,263
1762692658,2025-11-09T12:50:58Z,PAS809,"-5.251694,116.558891",36725,469,263
1762692691,2025-11-09T12:51:31Z,PAS809,"-5.259979,116.490036",37075,469,263
1762692723,2025-11-09T12:52:03Z,PAS809,"-5.268631,116.419136",37325,472,263
1762692754,2025-11-09T12:52:34Z,PAS809,"-5.27651,116.352936",37725,470,263
1762692785,2025-11-09T12:53:05Z,PAS809,"-5.284564,116.286018",38025,469,263
1762692817,2025-11-09T12:53:37Z,PAS809,"-5.292801,116.217293",38000,476,263
1762692847,2025-11-09T12:54:07Z,PAS809,"-5.300996,116.148743",38000,482,263
1762692878,2025-11-09T12:54:38Z,PAS809,"-5.30928,116.080055",38000,484,263
1762692911,2025-11-09T12:55:11Z,PAS809,"-5.318035,116.007431",38000,482,263
1762692944,2025-11-09T12:55:44Z,PAS809,"-5.326859,115.933739",38000,482,263
1762692976,2025-11-09T12:56:16Z,PAS809,"-5.335464,115.862373",38000,481,263
1762693009,2025-11-09T12:56:49Z,PAS809,"-5.343964,115.791161",38025,480,263
