Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762708221,2025-11-09T17:10:21Z,JZR125,"29.236839,47.974586",0,6,180
1762708228,2025-11-09T17:10:28Z,JZR125,"29.236633,47.974468",0,7,208
1762708237,2025-11-09T17:10:37Z,JZR125,"29.236423,47.974075",0,11,244
1762708265,2025-11-09T17:11:05Z,JZR125,"29.23576,47.972355",0,13,244
1762708277,2025-11-09T17:11:17Z,JZR125,"29.23542,47.971512",0,14,244
1762708284,2025-11-09T17:11:24Z,JZR125,"29.235212,47.970993",0,15,244
1762708294,2025-11-09T17:11:34Z,JZR125,"29.234898,47.970253",0,16,244
1762708303,2025-11-09T17:11:43Z,JZR125,"29.234608,47.969543",0,16,244
1762708313,2025-11-09T17:11:53Z,JZR125,"29.234304,47.9688",0,15,244
1762708321,2025-11-09T17:12:01Z,JZR125,"29.23407,47.968224",0,0,244
1762708329,2025-11-09T17:12:09Z,JZR125,"29.233944,47.967854",0,9,253
1762708334,2025-11-09T17:12:14Z,JZR125,"29.233978,47.967587",0,9,281
1762708340,2025-11-09T17:12:20Z,JZR125,"29.2342,47.967358",0,10,320
1762708345,2025-11-09T17:12:25Z,JZR125,"29.234413,47.967258",0,11,334
1762708350,2025-11-09T17:12:30Z,JZR125,"29.234665,47.967117",0,11,334
1762708356,2025-11-09T17:12:36Z,JZR125,"29.234928,47.966969",0,12,334
1762708364,2025-11-09T17:12:44Z,JZR125,"29.235422,47.966713",0,14,334
1762708368,2025-11-09T17:12:48Z,JZR125,"29.235638,47.966599",0,14,334
1762708377,2025-11-09T17:12:57Z,JZR125,"29.236214,47.966293",0,15,334
1762708386,2025-11-09T17:13:06Z,JZR125,"29.236855,47.965958",0,17,334
1762708392,2025-11-09T17:13:12Z,JZR125,"29.237331,47.965702",0,18,334
1762708400,2025-11-09T17:13:20Z,JZR125,"29.237949,47.96537",0,19,334
1762708407,2025-11-09T17:13:27Z,JZR125,"29.238499,47.96508",0,20,334
1762708413,2025-11-09T17:13:33Z,JZR125,"29.238914,47.964855",0,21,334
1762708426,2025-11-09T17:13:46Z,JZR125,"29.240044,47.96426",0,15,334
1762708434,2025-11-09T17:13:54Z,JZR125,"29.240543,47.963993",0,13,334
1762708446,2025-11-09T17:14:06Z,JZR125,"29.241241,47.963631",0,14,334
1762708454,2025-11-09T17:14:14Z,JZR125,"29.24152,47.963455",0,9,329
1762708460,2025-11-09T17:14:20Z,JZR125,"29.241661,47.9632",0,9,298
1762708467,2025-11-09T17:14:27Z,JZR125,"29.241625,47.962875",0,10,258
1762708472,2025-11-09T17:14:32Z,JZR125,"29.24152,47.962639",0,9,244
1762708507,2025-11-09T17:15:07Z,JZR125,"29.241426,47.962418",0,3,244
1762708521,2025-11-09T17:15:21Z,JZR125,"29.241188,47.962017",0,0,225
1762708528,2025-11-09T17:15:28Z,JZR125,"29.240881,47.961918",0,11,191
1762708531,2025-11-09T17:15:31Z,JZR125,"29.240673,47.961884",0,12,191
1762708540,2025-11-09T17:15:40Z,JZR125,"29.24033,47.961712",0,7,208
1762708550,2025-11-09T17:15:50Z,JZR125,"29.240112,47.961739",0,5,165
1762708572,2025-11-09T17:16:12Z,JZR125,"29.239746,47.961937",0,17,154
1762708574,2025-11-09T17:16:14Z,JZR125,"29.239485,47.962082",0,28,154
