Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762128700,2025-11-03T00:11:40Z,JAP7009,"-12.026852,-77.116966",0,0,244
1762129024,2025-11-03T00:17:04Z,JAP7009,"-12.026748,-77.11676",0,0,244
1762129056,2025-11-03T00:17:36Z,JAP7009,"-12.02663,-77.116539",0,0,275
1762129087,2025-11-03T00:18:07Z,JAP7009,"-12.02663,-77.116302",0,0,331
1762129126,2025-11-03T00:18:46Z,JAP7009,"-12.026894,-77.116188",0,0,320
1762129157,2025-11-03T00:19:17Z,JAP7009,"-12.0271,-77.116058",0,0,292
1762129186,2025-11-03T00:19:46Z,JAP7009,"-12.027189,-77.115852",0,0,255
1762129217,2025-11-03T00:20:17Z,JAP7009,"-12.027131,-77.115639",0,0,244
1762129479,2025-11-03T00:24:39Z,JAP7009,"-12.026848,-77.115768",0,6,326
1762129488,2025-11-03T00:24:48Z,JAP7009,"-12.026619,-77.115891",0,6,334
1762129495,2025-11-03T00:24:55Z,JAP7009,"-12.026413,-77.115982",0,8,334
1762129501,2025-11-03T00:25:01Z,JAP7009,"-12.026189,-77.116096",0,10,334
1762129507,2025-11-03T00:25:07Z,JAP7009,"-12.025921,-77.116226",0,11,334
1762129515,2025-11-03T00:25:15Z,JAP7009,"-12.025525,-77.116425",0,12,334
1762129530,2025-11-03T00:25:30Z,JAP7009,"-12.024699,-77.116829",0,14,334
1762129537,2025-11-03T00:25:37Z,JAP7009,"-12.024281,-77.117035",0,14,334
1762129541,2025-11-03T00:25:41Z,JAP7009,"-12.024044,-77.117073",0,13,351
1762129545,2025-11-03T00:25:45Z,JAP7009,"-12.023781,-77.116982",0,14,28
1762129549,2025-11-03T00:25:49Z,JAP7009,"-12.023655,-77.116768",0,14,59
1762129557,2025-11-03T00:25:57Z,JAP7009,"-12.023442,-77.116364",0,12,56
1762129561,2025-11-03T00:26:01Z,JAP7009,"-12.02322,-77.116257",0,12,25
1762129566,2025-11-03T00:26:06Z,JAP7009,"-12.02298,-77.116302",0,12,348
1762129574,2025-11-03T00:26:14Z,JAP7009,"-12.022523,-77.116531",0,14,334
1762129581,2025-11-03T00:26:21Z,JAP7009,"-12.02208,-77.116745",0,16,334
1762129589,2025-11-03T00:26:29Z,JAP7009,"-12.021526,-77.117012",0,17,334
1762129593,2025-11-03T00:26:33Z,JAP7009,"-12.021206,-77.117172",0,18,334
1762129610,2025-11-03T00:26:50Z,JAP7009,"-12.020125,-77.117714",0,0,334
1762129618,2025-11-03T00:26:58Z,JAP7009,"-12.019833,-77.117859",0,8,334
1762129625,2025-11-03T00:27:05Z,JAP7009,"-12.01959,-77.117973",0,9,334
1762129632,2025-11-03T00:27:12Z,JAP7009,"-12.019287,-77.118118",0,12,334
1762129641,2025-11-03T00:27:21Z,JAP7009,"-12.01881,-77.11834",0,13,334
1762129645,2025-11-03T00:27:25Z,JAP7009,"-12.0186,-77.11853",0,14,315
1762129649,2025-11-03T00:27:29Z,JAP7009,"-12.018551,-77.118805",0,15,272
1762129653,2025-11-03T00:27:33Z,JAP7009,"-12.018642,-77.119026",0,14,250
1762129657,2025-11-03T00:27:37Z,JAP7009,"-12.018752,-77.119255",0,15,241
1762129660,2025-11-03T00:27:40Z,JAP7009,"-12.01886,-77.119469",0,15,241
1762129664,2025-11-03T00:27:44Z,JAP7009,"-12.018973,-77.119698",0,15,244
1762129668,2025-11-03T00:27:48Z,JAP7009,"-12.019113,-77.120003",0,15,244
1762129672,2025-11-03T00:27:52Z,JAP7009,"-12.019226,-77.120232",0,16,244
1762129679,2025-11-03T00:27:59Z,JAP7009,"-12.019474,-77.12075",0,16,244
1762129686,2025-11-03T00:28:06Z,JAP7009,"-12.019707,-77.121254",0,16,244
1762129693,2025-11-03T00:28:13Z,JAP7009,"-12.019927,-77.121712",0,16,244
1762129700,2025-11-03T00:28:20Z,JAP7009,"-12.020199,-77.122269",0,18,244
1762129708,2025-11-03T00:28:28Z,JAP7009,"-12.020496,-77.12291",0,19,244
1762129715,2025-11-03T00:28:35Z,JAP7009,"-12.020777,-77.123497",0,20,244
1762129723,2025-11-03T00:28:43Z,JAP7009,"-12.021114,-77.124191",0,21,244
1762129727,2025-11-03T00:28:47Z,JAP7009,"-12.02124,-77.124496",0,15,253
1762129730,2025-11-03T00:28:50Z,JAP7009,"-12.021217,-77.12471",0,14,275
1762129734,2025-11-03T00:28:54Z,JAP7009,"-12.021011,-77.124908",0,15,317
1762129739,2025-11-03T00:28:59Z,JAP7009,"-12.020684,-77.125084",0,15,334
1762129743,2025-11-03T00:29:03Z,JAP7009,"-12.020428,-77.125206",0,16,334
1762129746,2025-11-03T00:29:06Z,JAP7009,"-12.020219,-77.125313",0,17,334
1762129749,2025-11-03T00:29:09Z,JAP7009,"-12.019998,-77.12542",0,17,334
1762129753,2025-11-03T00:29:13Z,JAP7009,"-12.01973,-77.125557",0,18,334
1762129759,2025-11-03T00:29:19Z,JAP7009,"-12.019229,-77.125793",0,19,334
1762129767,2025-11-03T00:29:27Z,JAP7009,"-12.018589,-77.126122",0,20,334
1762129773,2025-11-03T00:29:33Z,JAP7009,"-12.018077,-77.126358",0,20,334
1762129783,2025-11-03T00:29:43Z,JAP7009,"-12.017553,-77.126625",0,18,334
1762129789,2025-11-03T00:29:49Z,JAP7009,"-12.016937,-77.126938",0,13,334
1762129822,2025-11-03T00:30:22Z,JAP7009,"-12.014981,-77.127892",0,0,334
1762129832,2025-11-03T00:30:32Z,JAP7009,"-12.014557,-77.128105",0,11,334
1762129839,2025-11-03T00:30:39Z,JAP7009,"-12.014214,-77.128273",0,11,334
1762129847,2025-11-03T00:30:47Z,JAP7009,"-12.013836,-77.128464",0,12,334
1762129853,2025-11-03T00:30:53Z,JAP7009,"-12.013538,-77.128609",0,8,334
1762129861,2025-11-03T00:31:01Z,JAP7009,"-12.013317,-77.128708",0,8,334
1762129869,2025-11-03T00:31:09Z,JAP7009,"-12.013049,-77.128853",0,9,334
1762129875,2025-11-03T00:31:15Z,JAP7009,"-12.012806,-77.128975",0,8,334
1762129884,2025-11-03T00:31:24Z,JAP7009,"-12.012595,-77.129082",0,6,334
1762129891,2025-11-03T00:31:31Z,JAP7009,"-12.012383,-77.129173",0,6,337
1762129900,2025-11-03T00:31:40Z,JAP7009,"-12.012154,-77.129242",0,7,343
1762129910,2025-11-03T00:31:50Z,JAP7009,"-12.011948,-77.129318",0,0,343
1762130072,2025-11-03T00:34:32Z,JAP7009,"-12.011742,-77.129372",0,5,340
1762130079,2025-11-03T00:34:39Z,JAP7009,"-12.011513,-77.129478",0,8,334
1762130086,2025-11-03T00:34:46Z,JAP7009,"-12.011295,-77.129601",0,9,334
1762130091,2025-11-03T00:34:51Z,JAP7009,"-12.011083,-77.1297",0,10,334
1762130097,2025-11-03T00:34:57Z,JAP7009,"-12.010792,-77.129837",0,11,334
