Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762689875,2025-11-09T12:04:35Z,JAL332,"33.599098,130.446243",0,0,67
1762689903,2025-11-09T12:05:03Z,JAL332,"33.59903,130.44603",0,0,67
1762689922,2025-11-09T12:05:22Z,JAL332,"33.598938,130.445816",0,2,64
1762689942,2025-11-09T12:05:42Z,JAL332,"33.598858,130.445602",0,2,36
1762689976,2025-11-09T12:06:16Z,JAL332,"33.598564,130.445435",0,2,348
1762689996,2025-11-09T12:06:36Z,JAL332,"33.598354,130.445511",0,2,337
1762690192,2025-11-09T12:09:52Z,JAL332,"33.598564,130.445358",0,5,334
1762690204,2025-11-09T12:10:04Z,JAL332,"33.598801,130.44519",0,5,337
1762690214,2025-11-09T12:10:14Z,JAL332,"33.599007,130.444977",0,6,326
1762690220,2025-11-09T12:10:20Z,JAL332,"33.599068,130.444763",0,6,298
1762690228,2025-11-09T12:10:28Z,JAL332,"33.59903,130.44455",0,5,272
1762690235,2025-11-09T12:10:35Z,JAL332,"33.598949,130.444336",0,6,255
1762690244,2025-11-09T12:10:44Z,JAL332,"33.598812,130.444046",0,6,250
1762690254,2025-11-09T12:10:54Z,JAL332,"33.598717,130.443832",0,5,247
1762690267,2025-11-09T12:11:07Z,JAL332,"33.59848,130.443649",0,5,219
1762690285,2025-11-09T12:11:25Z,JAL332,"33.598263,130.443588",0,1,205
1762690606,2025-11-09T12:16:46Z,JAL332,"33.59803,130.443512",0,7,205
1762690614,2025-11-09T12:16:54Z,JAL332,"33.597713,130.44339",0,10,202
1762690620,2025-11-09T12:17:00Z,JAL332,"33.597435,130.443298",0,9,202
1762690627,2025-11-09T12:17:07Z,JAL332,"33.597214,130.443237",0,7,202
1762690633,2025-11-09T12:17:13Z,JAL332,"33.596996,130.443192",0,8,196
1762690640,2025-11-09T12:17:20Z,JAL332,"33.596775,130.443268",0,7,174
1762690653,2025-11-09T12:17:33Z,JAL332,"33.596535,130.443436",0,3,157
1762690665,2025-11-09T12:17:45Z,JAL332,"33.596294,130.443588",0,8,157
1762690670,2025-11-09T12:17:50Z,JAL332,"33.596073,130.443756",0,15,157
1762690674,2025-11-09T12:17:54Z,JAL332,"33.595596,130.444077",0,33,157
1762690694,2025-11-09T12:18:14Z,JAL332,"33.589417,130.448349",0,120,150
1762690699,2025-11-09T12:18:19Z,JAL332,"33.586166,130.450546",0,137,149
1762690705,2025-11-09T12:18:25Z,JAL332,"33.58255,130.453033",0,152,150
1762690709,2025-11-09T12:18:29Z,JAL332,"33.580177,130.454636",100,155,150
1762690717,2025-11-09T12:18:37Z,JAL332,"33.574814,130.458221",375,157,151
1762690724,2025-11-09T12:18:44Z,JAL332,"33.570877,130.4608",575,161,151
1762690731,2025-11-09T12:18:51Z,JAL332,"33.565613,130.464157",825,161,151
1762690740,2025-11-09T12:19:00Z,JAL332,"33.560112,130.46756",1175,159,152
1762690746,2025-11-09T12:19:06Z,JAL332,"33.555782,130.4702",1425,160,152
1762690753,2025-11-09T12:19:13Z,JAL332,"33.551468,130.472855",1650,161,152
1762690761,2025-11-09T12:19:21Z,JAL332,"33.545635,130.476501",1975,163,152
1762690769,2025-11-09T12:19:29Z,JAL332,"33.540096,130.479919",2275,164,152
1762690777,2025-11-09T12:19:37Z,JAL332,"33.534512,130.483383",2575,165,152
1762690786,2025-11-09T12:19:46Z,JAL332,"33.5289,130.486877",2850,167,152
1762690794,2025-11-09T12:19:54Z,JAL332,"33.522949,130.490555",3150,169,152
1762690803,2025-11-09T12:20:03Z,JAL332,"33.517227,130.494171",3350,178,152
1762690809,2025-11-09T12:20:09Z,JAL332,"33.512302,130.497238",3450,189,152
1762690817,2025-11-09T12:20:17Z,JAL332,"33.5056,130.501434",3600,200,152
1762690825,2025-11-09T12:20:25Z,JAL332,"33.498367,130.505875",3750,215,152
1762690834,2025-11-09T12:20:34Z,JAL332,"33.490936,130.510513",3900,229,152
1762690840,2025-11-09T12:20:40Z,JAL332,"33.484791,130.514328",4025,237,152
1762690847,2025-11-09T12:20:47Z,JAL332,"33.477715,130.518692",4175,249,152
1762690855,2025-11-09T12:20:55Z,JAL332,"33.468979,130.52417",4350,261,152
1762690864,2025-11-09T12:21:04Z,JAL332,"33.459839,130.529968",4550,273,149
1762690866,2025-11-09T12:21:06Z,JAL332,"33.457352,130.531799",4625,275,147
1762690868,2025-11-09T12:21:08Z,JAL332,"33.455139,130.533615",4700,277,145
1762690870,2025-11-09T12:21:10Z,JAL332,"33.45314,130.535324",4775,278,143
1762690872,2025-11-09T12:21:12Z,JAL332,"33.451126,130.537247",4850,279,141
1762690874,2025-11-09T12:21:14Z,JAL332,"33.44862,130.539719",4950,280,139
