Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762727363,2025-11-09T22:29:23Z,JAL900,"26.20422,127.649277",0,3,2
1762727386,2025-11-09T22:29:46Z,JAL900,"26.204006,127.649094",0,3,2
1762727408,2025-11-09T22:30:08Z,JAL900,"26.203789,127.649101",0,3,2
1762727434,2025-11-09T22:30:34Z,JAL900,"26.203606,127.649307",0,3,2
1762727453,2025-11-09T22:30:53Z,JAL900,"26.203579,127.649513",0,3,2
1762727654,2025-11-09T22:34:14Z,JAL900,"26.203571,127.649292",0,7,267
1762727664,2025-11-09T22:34:24Z,JAL900,"26.203556,127.648895",0,10,267
1762727672,2025-11-09T22:34:32Z,JAL900,"26.203545,127.64843",0,10,267
1762727678,2025-11-09T22:34:38Z,JAL900,"26.203537,127.648148",0,10,267
1762727682,2025-11-09T22:34:42Z,JAL900,"26.203463,127.647926",0,11,241
1762727689,2025-11-09T22:34:49Z,JAL900,"26.203239,127.647682",0,11,213
1762727699,2025-11-09T22:34:59Z,JAL900,"26.202742,127.647614",0,11,180
1762727703,2025-11-09T22:35:03Z,JAL900,"26.202518,127.647621",0,12,177
1762727711,2025-11-09T22:35:11Z,JAL900,"26.202126,127.647636",0,13,177
1762727715,2025-11-09T22:35:15Z,JAL900,"26.201866,127.647644",0,14,177
1762727718,2025-11-09T22:35:18Z,JAL900,"26.20166,127.647659",0,14,177
1762727729,2025-11-09T22:35:29Z,JAL900,"26.200891,127.64769",0,16,177
1762727737,2025-11-09T22:35:37Z,JAL900,"26.200367,127.64772",0,17,177
1762727743,2025-11-09T22:35:43Z,JAL900,"26.199875,127.647736",0,18,177
1762727751,2025-11-09T22:35:51Z,JAL900,"26.1992,127.647774",0,19,177
1762727759,2025-11-09T22:35:59Z,JAL900,"26.198444,127.647804",0,20,177
1762727767,2025-11-09T22:36:07Z,JAL900,"26.197712,127.647842",0,21,177
1762727774,2025-11-09T22:36:14Z,JAL900,"26.19706,127.647881",0,22,177
1762727782,2025-11-09T22:36:22Z,JAL900,"26.196247,127.647903",0,23,177
1762727785,2025-11-09T22:36:25Z,JAL900,"26.196026,127.647919",0,23,177
1762727787,2025-11-09T22:36:27Z,JAL900,"26.195713,127.647942",0,23,177
1762727791,2025-11-09T22:36:31Z,JAL900,"26.195364,127.647942",0,24,177
1762727793,2025-11-09T22:36:33Z,JAL900,"26.195148,127.647972",0,24,177
1762727795,2025-11-09T22:36:35Z,JAL900,"26.194828,127.64798",0,25,177
1762727798,2025-11-09T22:36:38Z,JAL900,"26.194561,127.647995",0,25,177
1762727800,2025-11-09T22:36:40Z,JAL900,"26.194258,127.64801",0,25,177
1762727803,2025-11-09T22:36:43Z,JAL900,"26.194002,127.648018",0,25,177
1762727805,2025-11-09T22:36:45Z,JAL900,"26.193752,127.648033",0,26,177
1762727807,2025-11-09T22:36:47Z,JAL900,"26.193535,127.648033",0,26,177
1762727810,2025-11-09T22:36:50Z,JAL900,"26.19314,127.648064",0,26,177
1762727814,2025-11-09T22:36:54Z,JAL900,"26.192688,127.648071",0,26,177
1762727817,2025-11-09T22:36:57Z,JAL900,"26.192453,127.648087",0,27,177
1762727818,2025-11-09T22:36:58Z,JAL900,"26.192196,127.648102",0,27,177
1762727821,2025-11-09T22:37:01Z,JAL900,"26.191755,127.648125",0,27,177
1762727830,2025-11-09T22:37:10Z,JAL900,"26.190638,127.648178",0,28,177
1762727838,2025-11-09T22:37:18Z,JAL900,"26.189713,127.648232",0,24,177
1762727842,2025-11-09T22:37:22Z,JAL900,"26.189323,127.648239",0,22,177
1762727845,2025-11-09T22:37:25Z,JAL900,"26.189072,127.648254",0,20,177
1762727848,2025-11-09T22:37:28Z,JAL900,"26.188799,127.648254",0,17,177
1762727851,2025-11-09T22:37:31Z,JAL900,"26.188578,127.64827",0,14,177
1762727855,2025-11-09T22:37:35Z,JAL900,"26.188351,127.648239",0,13,199
1762727860,2025-11-09T22:37:40Z,JAL900,"26.188122,127.648048",0,12,233
1762727866,2025-11-09T22:37:46Z,JAL900,"26.188044,127.647766",0,11,258
1762727869,2025-11-09T22:37:49Z,JAL900,"26.188007,127.64756",0,12,267
1762727874,2025-11-09T22:37:54Z,JAL900,"26.187996,127.647308",0,12,267
1762727877,2025-11-09T22:37:57Z,JAL900,"26.187996,127.647079",0,13,270
1762727881,2025-11-09T22:38:01Z,JAL900,"26.187984,127.646843",0,14,267
1762727885,2025-11-09T22:38:05Z,JAL900,"26.187984,127.646584",0,11,270
1762727892,2025-11-09T22:38:12Z,JAL900,"26.18803,127.646339",0,7,2
1762727904,2025-11-09T22:38:24Z,JAL900,"26.188299,127.64624",0,6,2
1762727915,2025-11-09T22:38:35Z,JAL900,"26.18858,127.646217",0,4,2
1762727926,2025-11-09T22:38:46Z,JAL900,"26.188797,127.646217",0,5,2
1762727933,2025-11-09T22:38:53Z,JAL900,"26.189037,127.64621",0,12,357
1762727936,2025-11-09T22:38:56Z,JAL900,"26.189301,127.646194",0,20,357
1762727938,2025-11-09T22:38:58Z,JAL900,"26.189678,127.646179",0,34,357
1762727940,2025-11-09T22:39:00Z,JAL900,"26.189987,127.646156",0,45,357
1762727942,2025-11-09T22:39:02Z,JAL900,"26.190376,127.646141",0,50,357
1762727944,2025-11-09T22:39:04Z,JAL900,"26.190937,127.646103",0,61,357
1762727945,2025-11-09T22:39:05Z,JAL900,"26.191406,127.646095",0,70,357
1762727946,2025-11-09T22:39:06Z,JAL900,"26.191721,127.64608",0,76,357
1762727948,2025-11-09T22:39:08Z,JAL900,"26.192303,127.646065",0,80,357
1762727949,2025-11-09T22:39:09Z,JAL900,"26.192745,127.646042",0,86,357
1762727950,2025-11-09T22:39:10Z,JAL900,"26.193117,127.646011",0,90,357
1762727951,2025-11-09T22:39:11Z,JAL900,"26.193758,127.645973",0,98,357
1762727954,2025-11-09T22:39:14Z,JAL900,"26.195049,127.64592",0,110,357
1762727963,2025-11-09T22:39:23Z,JAL900,"26.200436,127.645653",0,145,357
1762727972,2025-11-09T22:39:32Z,JAL900,"26.207062,127.645325",175,161,357
1762727979,2025-11-09T22:39:39Z,JAL900,"26.212168,127.64502",575,149,356
1762727987,2025-11-09T22:39:47Z,JAL900,"26.217316,127.644653",1025,144,356
1762727993,2025-11-09T22:39:53Z,JAL900,"26.221758,127.644386",1350,144,357
1762727998,2025-11-09T22:39:58Z,JAL900,"26.225235,127.644241",1475,152,358
1762728007,2025-11-09T22:40:07Z,JAL900,"26.231506,127.644081",1675,165,358
1762728013,2025-11-09T22:40:13Z,JAL900,"26.236887,127.643913",1850,174,358
1762728020,2025-11-09T22:40:20Z,JAL900,"26.242584,127.643776",2075,182,358
1762728027,2025-11-09T22:40:27Z,JAL900,"26.248718,127.643616",2325,189,358
1762728034,2025-11-09T22:40:34Z,JAL900,"26.254669,127.64341",2600,193,357
1762728041,2025-11-09T22:40:41Z,JAL900,"26.260986,127.642998",2825,203,355
1762728043,2025-11-09T22:40:43Z,JAL900,"26.263096,127.642647",2900,207,353
1762728045,2025-11-09T22:40:45Z,JAL900,"26.265238,127.642227",2950,212,350
1762728048,2025-11-09T22:40:48Z,JAL900,"26.267349,127.641701",3025,220,346
1762728050,2025-11-09T22:40:50Z,JAL900,"26.26973,127.640976",3075,225,344
1762728052,2025-11-09T22:40:52Z,JAL900,"26.27179,127.640198",3125,231,341
1762728054,2025-11-09T22:40:54Z,JAL900,"26.27449,127.638954",3225,236,337
1762728057,2025-11-09T22:40:57Z,JAL900,"26.276783,127.637627",3325,242,332
1762728059,2025-11-09T22:40:59Z,JAL900,"26.279064,127.6362",3425,244,330
1762728062,2025-11-09T22:41:02Z,JAL900,"26.281578,127.63446",3600,246,327
1762728064,2025-11-09T22:41:04Z,JAL900,"26.283998,127.632767",3750,248,327
1762728067,2025-11-09T22:41:07Z,JAL900,"26.286255,127.631233",3900,248,327
1762728069,2025-11-09T22:41:09Z,JAL900,"26.288406,127.62973",4050,249,328
1762728071,2025-11-09T22:41:11Z,JAL900,"26.290283,127.628494",4200,249,328
1762728073,2025-11-09T22:41:13Z,JAL900,"26.292471,127.627014",4375,247,329
1762728075,2025-11-09T22:41:15Z,JAL900,"26.294861,127.625481",4575,247,329
1762728078,2025-11-09T22:41:18Z,JAL900,"26.297012,127.624031",4750,247,329
1762728080,2025-11-09T22:41:20Z,JAL900,"26.299454,127.62236",4950,247,328
1762728082,2025-11-09T22:41:22Z,JAL900,"26.301456,127.62104",5100,248,328
