Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762723439,2025-11-09T21:23:59Z,JAL901,"35.54789,139.783417",0,0,19
1762723496,2025-11-09T21:24:56Z,JAL901,"35.547672,139.783325",0,3,19
1762723517,2025-11-09T21:25:17Z,JAL901,"35.547371,139.783203",0,3,25
1762723532,2025-11-09T21:25:32Z,JAL901,"35.547169,139.783173",0,3,45
1762723555,2025-11-09T21:25:55Z,JAL901,"35.546906,139.783005",0,3,73
1762723574,2025-11-09T21:26:14Z,JAL901,"35.546757,139.782776",0,3,106
1762723588,2025-11-09T21:26:28Z,JAL901,"35.54673,139.782532",0,3,126
1762723617,2025-11-09T21:26:57Z,JAL901,"35.546906,139.782196",0,2,149
1762723810,2025-11-09T21:30:10Z,JAL901,"35.546684,139.782333",0,7,149
1762723818,2025-11-09T21:30:18Z,JAL901,"35.546448,139.782501",0,10,149
1762723828,2025-11-09T21:30:28Z,JAL901,"35.545952,139.782852",0,12,149
1762723836,2025-11-09T21:30:36Z,JAL901,"35.545555,139.783142",0,13,149
1762723847,2025-11-09T21:30:47Z,JAL901,"35.544937,139.783569",0,15,149
1762723854,2025-11-09T21:30:54Z,JAL901,"35.544426,139.783936",0,18,149
1762723862,2025-11-09T21:31:02Z,JAL901,"35.543861,139.784332",0,20,149
1762723870,2025-11-09T21:31:10Z,JAL901,"35.543198,139.784805",0,20,149
1762723883,2025-11-09T21:31:23Z,JAL901,"35.542015,139.785645",0,22,149
1762723890,2025-11-09T21:31:30Z,JAL901,"35.541412,139.786072",0,24,149
1762723899,2025-11-09T21:31:39Z,JAL901,"35.540508,139.786713",0,25,149
1762723906,2025-11-09T21:31:46Z,JAL901,"35.539783,139.787216",0,26,149
1762723913,2025-11-09T21:31:53Z,JAL901,"35.538986,139.787781",0,27,149
1762723921,2025-11-09T21:32:01Z,JAL901,"35.538219,139.78833",0,27,149
1762723928,2025-11-09T21:32:08Z,JAL901,"35.537441,139.788879",0,25,149
1762723936,2025-11-09T21:32:16Z,JAL901,"35.536594,139.78949",0,26,149
1762723943,2025-11-09T21:32:23Z,JAL901,"35.535759,139.790085",0,27,149
1762723950,2025-11-09T21:32:30Z,JAL901,"35.535069,139.790573",0,23,149
1762723958,2025-11-09T21:32:38Z,JAL901,"35.534393,139.791061",0,16,149
1762723965,2025-11-09T21:32:45Z,JAL901,"35.534035,139.791306",0,13,149
1762723969,2025-11-09T21:32:49Z,JAL901,"35.533859,139.79155",0,14,137
1762723972,2025-11-09T21:32:52Z,JAL901,"35.533764,139.791794",0,14,123
1762723976,2025-11-09T21:32:56Z,JAL901,"35.533695,139.792068",0,14,112
1762723979,2025-11-09T21:32:59Z,JAL901,"35.533672,139.792282",0,14,104
1762723983,2025-11-09T21:33:03Z,JAL901,"35.533722,139.792557",0,15,87
1762723986,2025-11-09T21:33:06Z,JAL901,"35.533848,139.792847",0,15,70
1762723991,2025-11-09T21:33:11Z,JAL901,"35.533962,139.79306",0,16,61
1762723993,2025-11-09T21:33:13Z,JAL901,"35.534111,139.793381",0,18,59
1762723999,2025-11-09T21:33:19Z,JAL901,"35.534386,139.793945",0,20,59
1762724006,2025-11-09T21:33:26Z,JAL901,"35.534763,139.794739",0,23,59
1762724016,2025-11-09T21:33:36Z,JAL901,"35.535347,139.795959",0,25,59
1762724026,2025-11-09T21:33:46Z,JAL901,"35.535942,139.797226",0,27,59
1762724042,2025-11-09T21:34:02Z,JAL901,"35.536816,139.799088",0,17,59
1762724053,2025-11-09T21:34:13Z,JAL901,"35.537121,139.799789",0,0,64
1762724061,2025-11-09T21:34:21Z,JAL901,"35.537003,139.800278",0,12,104
1762724067,2025-11-09T21:34:27Z,JAL901,"35.536686,139.800522",0,0,137
1762724072,2025-11-09T21:34:32Z,JAL901,"35.536396,139.80072",0,15,149
1762724080,2025-11-09T21:34:40Z,JAL901,"35.535885,139.801086",0,16,149
1762724084,2025-11-09T21:34:44Z,JAL901,"35.536343,139.800751",0,15,149
1762724091,2025-11-09T21:34:51Z,JAL901,"35.535084,139.801636",0,0,149
1762724101,2025-11-09T21:35:01Z,JAL901,"35.534256,139.802231",0,22,149
1762724108,2025-11-09T21:35:08Z,JAL901,"35.53363,139.802689",0,23,149
1762724118,2025-11-09T21:35:18Z,JAL901,"35.532589,139.803421",0,23,149
1762724127,2025-11-09T21:35:27Z,JAL901,"35.531822,139.803955",0,22,149
1762724139,2025-11-09T21:35:39Z,JAL901,"35.530792,139.804703",0,0,149
1762724145,2025-11-09T21:35:45Z,JAL901,"35.53038,139.804977",0,14,149
1762724158,2025-11-09T21:35:58Z,JAL901,"35.529785,139.805283",0,11,163
