Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762478425,2025-11-07T01:20:25Z,JST260,"-41.328484,174.810181",0,0,45
1762478486,2025-11-07T01:21:26Z,JST260,"-41.328648,174.809952",0,3,47
1762478504,2025-11-07T01:21:44Z,JST260,"-41.328785,174.809738",0,2,42
1762478526,2025-11-07T01:22:06Z,JST260,"-41.328983,174.809525",0,3,56
1762478543,2025-11-07T01:22:23Z,JST260,"-41.329124,174.80928",0,3,98
1762478558,2025-11-07T01:22:38Z,JST260,"-41.329147,174.809036",0,3,143
1762478585,2025-11-07T01:23:05Z,JST260,"-41.328915,174.808868",0,3,177
1762478602,2025-11-07T01:23:22Z,JST260,"-41.328712,174.808853",0,3,180
1762478620,2025-11-07T01:23:40Z,JST260,"-41.328484,174.808853",0,3,185
1762478637,2025-11-07T01:23:57Z,JST260,"-41.328278,174.808868",0,3,182
1762478654,2025-11-07T01:24:14Z,JST260,"-41.328064,174.808884",0,2,180
1762478820,2025-11-07T01:27:00Z,JST260,"-41.328609,174.808075",0,10,188
1762478829,2025-11-07T01:27:09Z,JST260,"-41.329067,174.808029",0,12,182
1762478836,2025-11-07T01:27:16Z,JST260,"-41.329468,174.808014",0,14,182
1762478858,2025-11-07T01:27:38Z,JST260,"-41.331116,174.807892",0,0,182
1762478865,2025-11-07T01:27:45Z,JST260,"-41.331757,174.807846",0,18,182
1762478872,2025-11-07T01:27:52Z,JST260,"-41.332314,174.8078",0,17,182
1762478879,2025-11-07T01:27:59Z,JST260,"-41.332855,174.807785",0,16,182
1762478887,2025-11-07T01:28:07Z,JST260,"-41.333427,174.807739",0,15,182
1762478894,2025-11-07T01:28:14Z,JST260,"-41.333931,174.807709",0,14,182
1762478902,2025-11-07T01:28:22Z,JST260,"-41.334396,174.807678",0,12,182
1762478908,2025-11-07T01:28:28Z,JST260,"-41.334675,174.807678",0,10,182
1762478915,2025-11-07T01:28:35Z,JST260,"-41.334938,174.807663",0,7,182
1762478963,2025-11-07T01:29:23Z,JST260,"-41.335247,174.807571",0,6,194
1762478972,2025-11-07T01:29:32Z,JST260,"-41.335503,174.807373",0,9,222
1762478978,2025-11-07T01:29:38Z,JST260,"-41.335651,174.807114",0,11,239
1762478981,2025-11-07T01:29:41Z,JST260,"-41.335735,174.806885",0,11,247
1762478988,2025-11-07T01:29:48Z,JST260,"-41.335793,174.806442",0,9,275
1762478997,2025-11-07T01:29:57Z,JST260,"-41.33556,174.806274",0,6,345
1762479025,2025-11-07T01:30:25Z,JST260,"-41.33535,174.80632",0,3,2
1762479031,2025-11-07T01:30:31Z,JST260,"-41.335041,174.806335",0,21,2
1762479039,2025-11-07T01:30:39Z,JST260,"-41.333557,174.806427",0,61,2
1762479045,2025-11-07T01:30:45Z,JST260,"-41.331001,174.80661",0,94,2
1762479053,2025-11-07T01:30:53Z,JST260,"-41.327888,174.806824",0,120,2
1762479059,2025-11-07T01:30:59Z,JST260,"-41.323151,174.807129",100,136,3
1762479066,2025-11-07T01:31:06Z,JST260,"-41.31926,174.807495",375,133,3
1762479074,2025-11-07T01:31:14Z,JST260,"-41.314636,174.807861",800,132,3
1762479081,2025-11-07T01:31:21Z,JST260,"-41.310196,174.808289",1075,133,4
1762479089,2025-11-07T01:31:29Z,JST260,"-41.304825,174.808777",1300,143,3
1762479096,2025-11-07T01:31:36Z,JST260,"-41.300354,174.809082",1450,150,3
1762479101,2025-11-07T01:31:41Z,JST260,"-41.297241,174.809326",1550,157,2
1762479103,2025-11-07T01:31:43Z,JST260,"-41.295605,174.809464",1625,161,2
1762479109,2025-11-07T01:31:49Z,JST260,"-41.290237,174.809753",1775,170,2
1762479116,2025-11-07T01:31:56Z,JST260,"-41.284714,174.81015",1975,179,2
1762479125,2025-11-07T01:32:05Z,JST260,"-41.277592,174.810455",2150,196,1
1762479133,2025-11-07T01:32:13Z,JST260,"-41.269135,174.810669",2450,208,1
1762479138,2025-11-07T01:32:18Z,JST260,"-41.264416,174.810394",2600,216,356
1762479140,2025-11-07T01:32:20Z,JST260,"-41.262367,174.81015",2650,219,354
1762479142,2025-11-07T01:32:22Z,JST260,"-41.259712,174.809708",2700,222,352
1762479144,2025-11-07T01:32:24Z,JST260,"-41.257874,174.809326",2775,90,351
1762479147,2025-11-07T01:32:27Z,JST260,"-41.256409,174.809021",2850,228,349
1762479149,2025-11-07T01:32:29Z,JST260,"-41.25412,174.80835",2900,232,348
1762479151,2025-11-07T01:32:31Z,JST260,"-41.252014,174.807739",2975,236,346
1762479153,2025-11-07T01:32:33Z,JST260,"-41.249222,174.806824",3075,238,345
1762479155,2025-11-07T01:32:35Z,JST260,"-41.246864,174.805969",3175,170,344
1762479157,2025-11-07T01:32:37Z,JST260,"-41.244278,174.804932",3275,243,343
1762479159,2025-11-07T01:32:39Z,JST260,"-41.241623,174.803955",3375,245,343
1762479162,2025-11-07T01:32:42Z,JST260,"-41.239197,174.80304",3500,248,345
1762479164,2025-11-07T01:32:44Z,JST260,"-41.237183,174.802399",3600,250,347
1762479166,2025-11-07T01:32:46Z,JST260,"-41.234161,174.801697",3750,252,350
1762479168,2025-11-07T01:32:48Z,JST260,"-41.232574,174.801407",3875,253,352
1762479170,2025-11-07T01:32:50Z,JST260,"-41.230198,174.801102",4000,254,355
1762479173,2025-11-07T01:32:53Z,JST260,"-41.227127,174.800842",4175,255,357
1762479175,2025-11-07T01:32:55Z,JST260,"-41.2248,174.80072",4325,255,358
1762479177,2025-11-07T01:32:57Z,JST260,"-41.221725,174.800659",4500,255,359
1762479179,2025-11-07T01:32:59Z,JST260,"-41.218887,174.800598",4675,255,359
1762479181,2025-11-07T01:33:01Z,JST260,"-41.216282,174.800598",4800,255,359
1762479184,2025-11-07T01:33:04Z,JST260,"-41.213699,174.800598",4950,256,359
1762479186,2025-11-07T01:33:06Z,JST260,"-41.210835,174.800598",5100,257,359
1762479188,2025-11-07T01:33:08Z,JST260,"-41.208462,174.800598",5200,258,359
1762479190,2025-11-07T01:33:10Z,JST260,"-41.205341,174.800659",5350,259,359
1762479192,2025-11-07T01:33:12Z,JST260,"-41.203667,174.800659",5475,260,359
1762479206,2025-11-07T01:33:26Z,JST260,"-41.187103,174.800964",6250,266,1
1762479219,2025-11-07T01:33:39Z,JST260,"-41.170334,174.801407",7050,274,1
1762479233,2025-11-07T01:33:53Z,JST260,"-41.152634,174.801697",7850,279,1
1762479246,2025-11-07T01:34:06Z,JST260,"-41.135838,174.801971",8700,279,1
1762479259,2025-11-07T01:34:19Z,JST260,"-41.11787,174.802155",9500,282,1
1762479273,2025-11-07T01:34:33Z,JST260,"-41.101063,174.802277",10225,286,1
1762479286,2025-11-07T01:34:46Z,JST260,"-41.082275,174.802246",10625,303,359
1762479299,2025-11-07T01:34:59Z,JST260,"-41.063736,174.802185",10925,322,359
1762479313,2025-11-07T01:35:13Z,JST260,"-41.043945,174.802155",11350,334,359
1762479326,2025-11-07T01:35:26Z,JST260,"-41.022949,174.802216",11925,340,359
1762479339,2025-11-07T01:35:39Z,JST260,"-41.001617,174.802307",12500,347,359
1762479370,2025-11-07T01:36:10Z,JST260,"-40.950375,174.802597",13875,361,359
1762479401,2025-11-07T01:36:41Z,JST260,"-40.896286,174.802795",15200,372,359
1762479434,2025-11-07T01:37:14Z,JST260,"-40.840988,174.802917",16500,384,359
1762479467,2025-11-07T01:37:47Z,JST260,"-40.78093,174.803223",17725,397,359
1762479500,2025-11-07T01:38:20Z,JST260,"-40.718536,174.803406",19025,405,359
1762479533,2025-11-07T01:38:53Z,JST260,"-40.658066,174.803528",20425,408,359
1762479566,2025-11-07T01:39:26Z,JST260,"-40.59383,174.803711",21600,415,359
1762479599,2025-11-07T01:39:59Z,JST260,"-40.529774,174.803909",22500,426,359
1762479631,2025-11-07T01:40:31Z,JST260,"-40.467533,174.804153",23725,426,359
1762479663,2025-11-07T01:41:03Z,JST260,"-40.403137,174.804199",24475,437,359
1762479693,2025-11-07T01:41:33Z,JST260,"-40.341099,174.804398",25225,445,359
1762479724,2025-11-07T01:42:04Z,JST260,"-40.277847,174.804688",26075,450,359
1762479755,2025-11-07T01:42:35Z,JST260,"-40.213257,174.804871",27450,442,359
1762479786,2025-11-07T01:43:06Z,JST260,"-40.148232,174.804962",28475,442,359
1762479818,2025-11-07T01:43:38Z,JST260,"-40.085667,174.805084",29650,437,359
1762479851,2025-11-07T01:44:11Z,JST260,"-40.019562,174.805145",30600,437,359
1762479882,2025-11-07T01:44:42Z,JST260,"-39.956177,174.80542",31000,434,359
1762479913,2025-11-07T01:45:13Z,JST260,"-39.894756,174.805664",31000,435,359
1762479946,2025-11-07T01:45:46Z,JST260,"-39.827225,174.805801",30975,436,359
1762479977,2025-11-07T01:46:17Z,JST260,"-39.765293,174.805969",31000,423,359
1762480009,2025-11-07T01:46:49Z,JST260,"-39.704033,174.806213",31000,421,359
1762480040,2025-11-07T01:47:20Z,JST260,"-39.642838,174.806396",31000,422,359
1762480071,2025-11-07T01:47:51Z,JST260,"-39.582275,174.806564",31000,422,359
1762480104,2025-11-07T01:48:24Z,JST260,"-39.517273,174.806686",31000,424,359
1762480137,2025-11-07T01:48:57Z,JST260,"-39.453579,174.806885",31000,425,359
1762480167,2025-11-07T01:49:27Z,JST260,"-39.394318,174.807007",31025,424,359
1762480200,2025-11-07T01:50:00Z,JST260,"-39.328308,174.80719",31025,424,359
1762480230,2025-11-07T01:50:30Z,JST260,"-39.27021,174.807373",31000,424,359
1762480261,2025-11-07T01:51:01Z,JST260,"-39.209747,174.807526",30600,409,359
1762480292,2025-11-07T01:51:32Z,JST260,"-39.152435,174.807495",30075,396,359
1762480325,2025-11-07T01:52:05Z,JST260,"-39.093933,174.807236",29500,385,359
1762480355,2025-11-07T01:52:35Z,JST260,"-39.039505,174.807053",29050,375,359
1762480386,2025-11-07T01:53:06Z,JST260,"-38.98613,174.806992",28575,374,359
1762480419,2025-11-07T01:53:39Z,JST260,"-38.931381,174.806747",28075,375,359
1762480450,2025-11-07T01:54:10Z,JST260,"-38.876938,174.80658",27550,373,359
