Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762097994,2025-11-02T15:39:54Z,JST62,"10.818007,106.663551",0,3,160
1762098019,2025-11-02T15:40:19Z,JST62,"10.818249,106.663528",0,0,115
1762098042,2025-11-02T15:40:42Z,JST62,"10.818356,106.663322",0,2,90
1762098063,2025-11-02T15:41:03Z,JST62,"10.818368,106.663116",0,2,73
1762098311,2025-11-02T15:45:11Z,JST62,"10.818449,106.663322",0,4,70
1762098321,2025-11-02T15:45:21Z,JST62,"10.818535,106.663528",0,5,70
1762098329,2025-11-02T15:45:29Z,JST62,"10.818615,106.663734",0,6,67
1762098336,2025-11-02T15:45:36Z,JST62,"10.818695,106.66394",0,7,70
1762098346,2025-11-02T15:45:46Z,JST62,"10.818787,106.6642",0,8,70
1762098349,2025-11-02T15:45:49Z,JST62,"10.818867,106.664413",0,8,70
1762098357,2025-11-02T15:45:57Z,JST62,"10.818981,106.664719",0,9,70
1762098367,2025-11-02T15:46:07Z,JST62,"10.81916,106.665184",0,11,70
1762098374,2025-11-02T15:46:14Z,JST62,"10.819287,106.665512",0,10,70
1762098384,2025-11-02T15:46:24Z,JST62,"10.819427,106.665932",0,9,70
1762098391,2025-11-02T15:46:31Z,JST62,"10.819543,106.666176",0,7,64
1762098401,2025-11-02T15:46:41Z,JST62,"10.819764,106.666344",0,6,36
1762098410,2025-11-02T15:46:50Z,JST62,"10.819985,106.666306",0,5,357
1762098421,2025-11-02T15:47:01Z,JST62,"10.820207,106.666214",0,5,340
1762098432,2025-11-02T15:47:12Z,JST62,"10.820412,106.66613",0,4,340
1762098446,2025-11-02T15:47:26Z,JST62,"10.820618,106.666046",0,3,340
1762098465,2025-11-02T15:47:45Z,JST62,"10.820847,106.665855",0,4,320
1762098478,2025-11-02T15:47:58Z,JST62,"10.821021,106.665642",0,3,306
1762098495,2025-11-02T15:48:15Z,JST62,"10.821149,106.665344",0,5,295
1762098505,2025-11-02T15:48:25Z,JST62,"10.821236,106.665108",0,6,289
1762098512,2025-11-02T15:48:32Z,JST62,"10.821281,106.664886",0,7,284
1762098519,2025-11-02T15:48:39Z,JST62,"10.821312,106.664658",0,8,278
1762098525,2025-11-02T15:48:45Z,JST62,"10.821336,106.664429",0,8,275
1762098530,2025-11-02T15:48:50Z,JST62,"10.821347,106.664215",0,8,275
1762098537,2025-11-02T15:48:57Z,JST62,"10.821394,106.663986",0,7,281
1762098546,2025-11-02T15:49:06Z,JST62,"10.821476,106.66375",0,5,289
1762098558,2025-11-02T15:49:18Z,JST62,"10.821464,106.663536",0,3,267
1762098922,2025-11-02T15:55:22Z,JST62,"10.821336,106.663261",0,9,250
1762098935,2025-11-02T15:55:35Z,JST62,"10.820446,106.660912",0,70,250
1762098943,2025-11-02T15:55:43Z,JST62,"10.819205,106.657684",0,0,249
1762098960,2025-11-02T15:56:00Z,JST62,"10.815342,106.647369",0,0,249
1762098966,2025-11-02T15:56:06Z,JST62,"10.81334,106.642166",225,179,248
1762098974,2025-11-02T15:56:14Z,JST62,"10.810867,106.635956",500,183,247
1762098981,2025-11-02T15:56:21Z,JST62,"10.808716,106.630699",825,182,247
1762098989,2025-11-02T15:56:29Z,JST62,"10.806125,106.6241",1250,180,248
1762098998,2025-11-02T15:56:38Z,JST62,"10.803611,106.617256",1575,182,250
1762099005,2025-11-02T15:56:45Z,JST62,"10.801529,106.611328",1675,190,250
1762099014,2025-11-02T15:56:54Z,JST62,"10.798828,106.603844",1800,202,250
1762099020,2025-11-02T15:57:00Z,JST62,"10.796675,106.597885",1875,210,249
1762099029,2025-11-02T15:57:09Z,JST62,"10.793369,106.589066",2000,221,249
1762099037,2025-11-02T15:57:17Z,JST62,"10.790359,106.581024",2175,230,249
1762099046,2025-11-02T15:57:26Z,JST62,"10.786899,106.571915",2275,240,248
1762099052,2025-11-02T15:57:32Z,JST62,"10.784134,106.564728",2450,248,247
1762099057,2025-11-02T15:57:37Z,JST62,"10.782166,106.560425",2525,252,244
1762099059,2025-11-02T15:57:39Z,JST62,"10.780847,106.557983",2600,255,240
1762099061,2025-11-02T15:57:41Z,JST62,"10.779694,106.556015",2650,257,238
1762099063,2025-11-02T15:57:43Z,JST62,"10.778046,106.553368",2725,258,237
1762099066,2025-11-02T15:57:46Z,JST62,"10.77626,106.550713",2800,259,236
1762099069,2025-11-02T15:57:49Z,JST62,"10.774246,106.547966",2900,261,233
1762099071,2025-11-02T15:57:51Z,JST62,"10.772793,106.546135",2975,262,230
1762099073,2025-11-02T15:57:53Z,JST62,"10.770996,106.544228",3025,264,226
1762099075,2025-11-02T15:57:55Z,JST62,"10.76865,106.541847",3125,265,223
1762099078,2025-11-02T15:57:58Z,JST62,"10.766322,106.539917",3200,267,220
1762099080,2025-11-02T15:58:00Z,JST62,"10.764404,106.538498",3275,269,215
1762099082,2025-11-02T15:58:02Z,JST62,"10.761806,106.536781",3375,269,211
1762099084,2025-11-02T15:58:04Z,JST62,"10.75946,106.535515",3450,270,208
1762099087,2025-11-02T15:58:07Z,JST62,"10.756714,106.534233",3550,271,202
1762099089,2025-11-02T15:58:09Z,JST62,"10.753876,106.533142",3650,272,199
1762099091,2025-11-02T15:58:11Z,JST62,"10.75145,106.532433",3750,272,195
1762099093,2025-11-02T15:58:13Z,JST62,"10.749098,106.531868",3825,272,192
1762099096,2025-11-02T15:58:16Z,JST62,"10.746231,106.531349",3925,273,189
1762099098,2025-11-02T15:58:18Z,JST62,"10.743046,106.531052",4050,273,184
1762099100,2025-11-02T15:58:20Z,JST62,"10.740372,106.530968",4150,274,181
1762099103,2025-11-02T15:58:23Z,JST62,"10.73746,106.531006",4225,275,177
1762099105,2025-11-02T15:58:25Z,JST62,"10.734387,106.531288",4325,275,173
1762099107,2025-11-02T15:58:27Z,JST62,"10.731445,106.531677",4425,275,172
1762099109,2025-11-02T15:58:29Z,JST62,"10.728289,106.532204",4550,275,170
1762099111,2025-11-02T15:58:31Z,JST62,"10.725632,106.532669",4650,275,170
1762099114,2025-11-02T15:58:34Z,JST62,"10.72247,106.533218",4750,276,170
1762099116,2025-11-02T15:58:36Z,JST62,"10.720322,106.533569",4825,276,170
1762099118,2025-11-02T15:58:38Z,JST62,"10.717163,106.534134",4925,275,170
1762099121,2025-11-02T15:58:41Z,JST62,"10.714554,106.534615",5000,275,169
1762099123,2025-11-02T15:58:43Z,JST62,"10.711487,106.535133",5100,276,169
1762099125,2025-11-02T15:58:45Z,JST62,"10.709109,106.535583",5175,276,169
1762099127,2025-11-02T15:58:47Z,JST62,"10.706451,106.536079",5250,277,169
1762099129,2025-11-02T15:58:49Z,JST62,"10.703156,106.536697",5350,278,169
1762099143,2025-11-02T15:59:03Z,JST62,"10.684949,106.540108",5575,292,169
1762099156,2025-11-02T15:59:16Z,JST62,"10.667038,106.54361",5800,306,169
1762099170,2025-11-02T15:59:30Z,JST62,"10.647903,106.547348",6025,318,168
1762099183,2025-11-02T15:59:43Z,JST62,"10.627899,106.551285",6225,331,169
1762099196,2025-11-02T15:59:56Z,JST62,"10.608124,106.555115",6425,344,169
1762099209,2025-11-02T16:00:09Z,JST62,"10.586864,106.559143",6650,355,169
1762099222,2025-11-02T16:00:22Z,JST62,"10.56545,106.563141",6950,363,169
1762099235,2025-11-02T16:00:35Z,JST62,"10.54343,106.567284",7350,366,169
1762099248,2025-11-02T16:00:48Z,JST62,"10.521876,106.571335",7800,369,169
1762099262,2025-11-02T16:01:02Z,JST62,"10.498554,106.575668",8325,370,169
1762099275,2025-11-02T16:01:15Z,JST62,"10.4767,106.579697",8800,370,169
1762099289,2025-11-02T16:01:29Z,JST62,"10.453217,106.584",9250,373,169
1762099302,2025-11-02T16:01:42Z,JST62,"10.429871,106.588379",9675,376,169
1762099315,2025-11-02T16:01:55Z,JST62,"10.407761,106.592522",10100,378,169
1762099329,2025-11-02T16:02:09Z,JST62,"10.383774,106.597038",10550,381,169
1762099344,2025-11-02T16:02:24Z,JST62,"10.357734,106.601906",11000,384,169
1762099358,2025-11-02T16:02:38Z,JST62,"10.333237,106.606537",11425,386,169
1762099371,2025-11-02T16:02:51Z,JST62,"10.309753,106.610863",11775,390,169
1762099384,2025-11-02T16:03:04Z,JST62,"10.28595,106.615303",12175,392,169
1762099417,2025-11-02T16:03:37Z,JST62,"10.225944,106.626434",13100,398,169
1762099449,2025-11-02T16:04:09Z,JST62,"10.167892,106.637215",14000,402,170
1762099481,2025-11-02T16:04:41Z,JST62,"10.107925,106.642143",14875,407,179
1762099513,2025-11-02T16:05:13Z,JST62,"10.046252,106.64135",15750,410,180
1762099545,2025-11-02T16:05:45Z,JST62,"9.987167,106.640747",16550,412,180
1762099577,2025-11-02T16:06:17Z,JST62,"9.925123,106.640022",17325,416,180
1762099607,2025-11-02T16:06:47Z,JST62,"9.866547,106.639259",17950,422,180
1762099640,2025-11-02T16:07:20Z,JST62,"9.801819,106.638557",18575,427,180
1762099672,2025-11-02T16:07:52Z,JST62,"9.738647,106.637863",19175,433,180
1762099704,2025-11-02T16:08:24Z,JST62,"9.672856,106.637039",19775,438,180
1762099735,2025-11-02T16:08:55Z,JST62,"9.608871,106.636284",20475,439,180
1762099767,2025-11-02T16:09:27Z,JST62,"9.543209,106.63562",21100,442,180
1762099798,2025-11-02T16:09:58Z,JST62,"9.479153,106.634865",21650,446,180
1762099830,2025-11-02T16:10:30Z,JST62,"9.411885,106.634109",22250,448,180
1762099863,2025-11-02T16:11:03Z,JST62,"9.344617,106.633301",22800,451,180
1762099893,2025-11-02T16:11:33Z,JST62,"9.280607,106.632545",23300,455,180
1762099924,2025-11-02T16:12:04Z,JST62,"9.216522,106.631859",23650,461,180
1762099956,2025-11-02T16:12:36Z,JST62,"9.14542,106.631027",24200,463,180
1762099988,2025-11-02T16:13:08Z,JST62,"9.077637,106.630318",24900,458,180
1762100020,2025-11-02T16:13:40Z,JST62,"9.010025,106.629532",25825,451,180
1762100052,2025-11-02T16:14:12Z,JST62,"8.943375,106.628784",26375,452,180
1762100084,2025-11-02T16:14:44Z,JST62,"8.875168,106.627991",26900,454,180
1762100116,2025-11-02T16:15:16Z,JST62,"8.809525,106.627296",27375,457,180
1762100148,2025-11-02T16:15:48Z,JST62,"8.740275,106.627571",27875,459,177
1762100179,2025-11-02T16:16:19Z,JST62,"8.673431,106.632744",28300,462,173
1762100211,2025-11-02T16:16:51Z,JST62,"8.604263,106.64019",28700,467,173
1762100243,2025-11-02T16:17:23Z,JST62,"8.535919,106.647408",29025,473,174
1762100275,2025-11-02T16:17:55Z,JST62,"8.46492,106.653549",29425,479,179
1762100284,2025-11-02T16:18:04Z,JST62,"8.444412,106.652664",29525,481,184
1762100286,2025-11-02T16:18:06Z,JST62,"8.439734,106.652199",29550,481,186
1762100288,2025-11-02T16:18:08Z,JST62,"8.435532,106.651688",29575,482,187
1762100290,2025-11-02T16:18:10Z,JST62,"8.429958,106.650871",29625,483,188
1762100293,2025-11-02T16:18:13Z,JST62,"8.424232,106.649872",29650,483,189
1762100296,2025-11-02T16:18:16Z,JST62,"8.418732,106.648758",29700,483,191
1762100298,2025-11-02T16:18:18Z,JST62,"8.413879,106.647682",29725,484,192
1762100300,2025-11-02T16:18:20Z,JST62,"8.409485,106.64666",29775,484,193
1762100302,2025-11-02T16:18:22Z,JST62,"8.405136,106.645546",29800,484,194
1762100304,2025-11-02T16:18:24Z,JST62,"8.399653,106.644142",29825,484,194
1762100307,2025-11-02T16:18:27Z,JST62,"8.394653,106.642799",29875,485,195
1762100309,2025-11-02T16:18:29Z,JST62,"8.39011,106.641541",29900,485,195
1762100311,2025-11-02T16:18:31Z,JST62,"8.385956,106.640373",29925,485,195
1762100313,2025-11-02T16:18:33Z,JST62,"8.380737,106.638885",29950,486,195
1762100315,2025-11-02T16:18:35Z,JST62,"8.376846,106.637772",29975,486,196
1762100347,2025-11-02T16:19:07Z,JST62,"8.306076,106.616638",30475,488,196
1762100378,2025-11-02T16:19:38Z,JST62,"8.239513,106.596413",30925,491,196
1762100409,2025-11-02T16:20:09Z,JST62,"8.170807,106.575714",31400,495,196
1762100440,2025-11-02T16:20:40Z,JST62,"8.101811,106.554787",31900,496,196
1762100472,2025-11-02T16:21:12Z,JST62,"8.033249,106.533913",32550,493,196
1762100503,2025-11-02T16:21:43Z,JST62,"7.964483,106.512596",33250,490,197
1762100535,2025-11-02T16:22:15Z,JST62,"7.894841,106.490524",33850,490,197
1762100568,2025-11-02T16:22:48Z,JST62,"7.82515,106.468597",34425,489,197
1762100598,2025-11-02T16:23:18Z,JST62,"7.759323,106.447701",34975,489,197
1762100629,2025-11-02T16:23:49Z,JST62,"7.691221,106.425743",35425,488,197
1762100660,2025-11-02T16:24:20Z,JST62,"7.623459,106.403801",35800,490,197
1762100693,2025-11-02T16:24:53Z,JST62,"7.554218,106.381706",36350,486,197
1762100717,2025-11-02T16:25:17Z,JST62,"7.502518,106.369347",36525,480,184
