Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762698086,2025-11-09T14:21:26Z,LNI012,"-6.127915,106.660706",0,0,149
1762698108,2025-11-09T14:21:48Z,LNI012,"-6.127705,106.660652",0,1,135
1762698266,2025-11-09T14:24:26Z,LNI012,"-6.130817,106.662003",0,16,157
1762698286,2025-11-09T14:24:46Z,LNI012,"-6.131861,106.662437",0,9,149
1762698299,2025-11-09T14:24:59Z,LNI012,"-6.131905,106.662865",0,8,78
1762698306,2025-11-09T14:25:06Z,LNI012,"-6.131803,106.663124",0,9,70
1762698312,2025-11-09T14:25:12Z,LNI012,"-6.131698,106.663368",0,9,67
1762698318,2025-11-09T14:25:18Z,LNI012,"-6.131593,106.663643",0,10,67
1762698326,2025-11-09T14:25:26Z,LNI012,"-6.131458,106.664001",0,11,67
1762698332,2025-11-09T14:25:32Z,LNI012,"-6.131314,106.664345",0,12,67
1762698342,2025-11-09T14:25:42Z,LNI012,"-6.131126,106.664803",0,13,67
1762698349,2025-11-09T14:25:49Z,LNI012,"-6.130976,106.665192",0,14,67
1762698355,2025-11-09T14:25:55Z,LNI012,"-6.130778,106.665695",0,15,67
1762698363,2025-11-09T14:26:03Z,LNI012,"-6.130577,106.666191",0,15,67
1762698372,2025-11-09T14:26:12Z,LNI012,"-6.130348,106.666771",0,16,67
1762698379,2025-11-09T14:26:19Z,LNI012,"-6.130126,106.667313",0,17,67
1762698387,2025-11-09T14:26:27Z,LNI012,"-6.12989,106.667915",0,17,67
1762698395,2025-11-09T14:26:35Z,LNI012,"-6.129627,106.668564",0,18,67
1762698402,2025-11-09T14:26:42Z,LNI012,"-6.129398,106.669159",0,19,67
1762698408,2025-11-09T14:26:48Z,LNI012,"-6.129158,106.669754",0,20,67
1762698412,2025-11-09T14:26:52Z,LNI012,"-6.129056,106.670013",0,20,67
1762698415,2025-11-09T14:26:55Z,LNI012,"-6.128916,106.670341",0,20,67
1762698417,2025-11-09T14:26:57Z,LNI012,"-6.128838,106.670563",0,21,67
1762698421,2025-11-09T14:27:01Z,LNI012,"-6.128712,106.67086",0,21,67
1762698425,2025-11-09T14:27:05Z,LNI012,"-6.12854,106.671288",0,22,67
1762698428,2025-11-09T14:27:08Z,LNI012,"-6.128428,106.671577",0,22,67
1762698436,2025-11-09T14:27:16Z,LNI012,"-6.128137,106.672295",0,20,67
1762698442,2025-11-09T14:27:22Z,LNI012,"-6.127922,106.672821",0,18,67
1762698450,2025-11-09T14:27:30Z,LNI012,"-6.127752,106.673294",0,11,70
1762698457,2025-11-09T14:27:37Z,LNI012,"-6.127741,106.673531",0,8,92
1762698467,2025-11-09T14:27:47Z,LNI012,"-6.128055,106.673752",0,8,157
1762698474,2025-11-09T14:27:54Z,LNI012,"-6.128277,106.673851",0,8,157
1762698481,2025-11-09T14:28:01Z,LNI012,"-6.128494,106.673927",0,6,157
1762698612,2025-11-09T14:30:12Z,LNI012,"-6.12873,106.674026",0,4,157
1762698620,2025-11-09T14:30:20Z,LNI012,"-6.128963,106.674118",0,8,157
1762698626,2025-11-09T14:30:26Z,LNI012,"-6.129238,106.674217",0,10,163
1762698630,2025-11-09T14:30:30Z,LNI012,"-6.129452,106.67424",0,9,177
1762698635,2025-11-09T14:30:35Z,LNI012,"-6.129673,106.674187",0,10,191
1762698640,2025-11-09T14:30:40Z,LNI012,"-6.129879,106.674141",0,8,191
1762698646,2025-11-09T14:30:46Z,LNI012,"-6.13008,106.674171",0,8,168
1762698652,2025-11-09T14:30:52Z,LNI012,"-6.130314,106.674255",0,8,163
1762698685,2025-11-09T14:31:25Z,LNI012,"-6.130383,106.674026",0,4,247
1762698688,2025-11-09T14:31:28Z,LNI012,"-6.130487,106.673775",0,18,247
1762698691,2025-11-09T14:31:31Z,LNI012,"-6.130611,106.673454",0,27,247
1762698693,2025-11-09T14:31:33Z,LNI012,"-6.130755,106.673065",0,36,247
1762698695,2025-11-09T14:31:35Z,LNI012,"-6.130966,106.672546",0,50,247
1762698696,2025-11-09T14:31:36Z,LNI012,"-6.131058,106.67231",0,54,247
1762698697,2025-11-09T14:31:37Z,LNI012,"-6.131184,106.671997",0,59,247
1762698698,2025-11-09T14:31:38Z,LNI012,"-6.131298,106.671707",0,63,247
1762698699,2025-11-09T14:31:39Z,LNI012,"-6.131465,106.671303",0,67,247
1762698702,2025-11-09T14:31:42Z,LNI012,"-6.131756,106.670555",0,76,247
1762698703,2025-11-09T14:31:43Z,LNI012,"-6.131896,106.670212",0,80,247
1762698704,2025-11-09T14:31:44Z,LNI012,"-6.132053,106.669823",0,84,247
1762698705,2025-11-09T14:31:45Z,LNI012,"-6.132186,106.669525",0,88,248
1762698711,2025-11-09T14:31:51Z,LNI012,"-6.133392,106.666397",100,115,248
1762698719,2025-11-09T14:31:59Z,LNI012,"-6.135361,106.66156",100,140,248
1762698728,2025-11-09T14:32:08Z,LNI012,"-6.13754,106.655937",150,166,248
1762698736,2025-11-09T14:32:16Z,LNI012,"-6.139893,106.649918",400,172,249
1762698742,2025-11-09T14:32:22Z,LNI012,"-6.141683,106.645279",675,170,248
1762698751,2025-11-09T14:32:31Z,LNI012,"-6.144151,106.638985",1100,167,248
1762698759,2025-11-09T14:32:39Z,LNI012,"-6.146292,106.633446",1475,163,248
1762698767,2025-11-09T14:32:47Z,LNI012,"-6.148453,106.627625",1750,163,250
1762698775,2025-11-09T14:32:55Z,LNI012,"-6.150696,106.621712",1875,172,248
1762698783,2025-11-09T14:33:03Z,LNI012,"-6.153168,106.615517",2025,181,248
1762698791,2025-11-09T14:33:11Z,LNI012,"-6.155742,106.608963",2175,190,248
1762698799,2025-11-09T14:33:19Z,LNI012,"-6.158582,106.601906",2325,202,248
1762698805,2025-11-09T14:33:25Z,LNI012,"-6.160812,106.596428",2475,208,247
1762698813,2025-11-09T14:33:33Z,LNI012,"-6.163788,106.58931",2750,213,247
1762698821,2025-11-09T14:33:41Z,LNI012,"-6.166855,106.581955",3075,215,247
1762698829,2025-11-09T14:33:49Z,LNI012,"-6.169987,106.574394",3375,218,247
1762698837,2025-11-09T14:33:57Z,LNI012,"-6.173126,106.566681",3675,221,247
1762698845,2025-11-09T14:34:05Z,LNI012,"-6.176422,106.558586",4000,224,247
1762698854,2025-11-09T14:34:14Z,LNI012,"-6.17967,106.550621",4350,226,247
1762698862,2025-11-09T14:34:22Z,LNI012,"-6.182831,106.542709",4700,227,248
1762698870,2025-11-09T14:34:30Z,LNI012,"-6.185898,106.535072",5050,227,247
1762698878,2025-11-09T14:34:38Z,LNI012,"-6.190063,106.527489",5400,227,237
1762698880,2025-11-09T14:34:40Z,LNI012,"-6.191448,106.525711",5500,228,234
1762698882,2025-11-09T14:34:42Z,LNI012,"-6.192798,106.524147",5575,229,230
1762698884,2025-11-09T14:34:44Z,LNI012,"-6.194334,106.522629",5650,230,226
1762698886,2025-11-09T14:34:46Z,LNI012,"-6.196056,106.521164",5750,231,223
1762698888,2025-11-09T14:34:48Z,LNI012,"-6.197593,106.519981",5800,232,219
1762698890,2025-11-09T14:34:50Z,LNI012,"-6.199501,106.518654",5900,233,215
1762698892,2025-11-09T14:34:52Z,LNI012,"-6.201503,106.517517",5975,235,211
1762698894,2025-11-09T14:34:54Z,LNI012,"-6.204025,106.516365",6100,235,208
1762698896,2025-11-09T14:34:56Z,LNI012,"-6.205646,106.515671",6150,236,204
1762698898,2025-11-09T14:34:58Z,LNI012,"-6.20787,106.514915",6250,237,200
1762698900,2025-11-09T14:35:00Z,LNI012,"-6.210617,106.514267",6350,239,196
1762698902,2025-11-09T14:35:02Z,LNI012,"-6.212631,106.513939",6425,241,191
1762698904,2025-11-09T14:35:04Z,LNI012,"-6.215469,106.513565",6525,243,187
1762698906,2025-11-09T14:35:06Z,LNI012,"-6.217284,106.513542",6600,244,183
1762698908,2025-11-09T14:35:08Z,LNI012,"-6.219727,106.513565",6675,246,180
1762698910,2025-11-09T14:35:10Z,LNI012,"-6.222033,106.513779",6750,247,176
1762698912,2025-11-09T14:35:12Z,LNI012,"-6.224213,106.514084",6825,250,172
1762698914,2025-11-09T14:35:14Z,LNI012,"-6.226639,106.514595",6900,251,169
1762698917,2025-11-09T14:35:17Z,LNI012,"-6.228928,106.515244",6975,253,165
1762698919,2025-11-09T14:35:19Z,LNI012,"-6.231157,106.516052",7050,255,161
1762698921,2025-11-09T14:35:21Z,LNI012,"-6.233734,106.517059",7125,257,158
1762698923,2025-11-09T14:35:23Z,LNI012,"-6.236023,106.518082",7225,258,156
1762698925,2025-11-09T14:35:25Z,LNI012,"-6.237534,106.518784",7275,258,155
1762698927,2025-11-09T14:35:27Z,LNI012,"-6.239868,106.519852",7350,258,155
1762698929,2025-11-09T14:35:29Z,LNI012,"-6.242477,106.521065",7475,258,155
1762698931,2025-11-09T14:35:31Z,LNI012,"-6.244657,106.52211",7550,259,154
1762698933,2025-11-09T14:35:33Z,LNI012,"-6.246705,106.523155",7600,259,153
1762698935,2025-11-09T14:35:35Z,LNI012,"-6.248932,106.524368",7700,262,151
1762698937,2025-11-09T14:35:37Z,LNI012,"-6.250802,106.525566",7750,263,149
1762698939,2025-11-09T14:35:39Z,LNI012,"-6.253408,106.527466",7850,265,144
1762698941,2025-11-09T14:35:41Z,LNI012,"-6.255224,106.528976",7925,266,140
1762698943,2025-11-09T14:35:43Z,LNI012,"-6.256989,106.53051",8000,267,139
1762698945,2025-11-09T14:35:45Z,LNI012,"-6.25914,106.532791",8100,268,134
1762698947,2025-11-09T14:35:47Z,LNI012,"-6.260834,106.534798",8175,269,131
1762698950,2025-11-09T14:35:50Z,LNI012,"-6.262254,106.536743",8250,270,127
1762698952,2025-11-09T14:35:52Z,LNI012,"-6.263672,106.538849",8325,271,124
1762698954,2025-11-09T14:35:54Z,LNI012,"-6.264908,106.541031",8400,272,121
1762698956,2025-11-09T14:35:56Z,LNI012,"-6.266071,106.543282",8475,273,118
1762698958,2025-11-09T14:35:58Z,LNI012,"-6.267334,106.546059",8550,273,115
1762698960,2025-11-09T14:36:00Z,LNI012,"-6.268166,106.548347",8625,274,111
1762698962,2025-11-09T14:36:02Z,LNI012,"-6.26889,106.550766",8675,274,108
1762698964,2025-11-09T14:36:04Z,LNI012,"-6.269623,106.553513",8750,275,106
1762698966,2025-11-09T14:36:06Z,LNI012,"-6.270172,106.555748",8825,276,104
1762698968,2025-11-09T14:36:08Z,LNI012,"-6.270819,106.558525",8875,277,103
1762698970,2025-11-09T14:36:10Z,LNI012,"-6.271378,106.561226",8900,280,102
1762698972,2025-11-09T14:36:12Z,LNI012,"-6.272095,106.564453",8950,283,102
1762698974,2025-11-09T14:36:14Z,LNI012,"-6.272635,106.566765",8975,286,102
1762698977,2025-11-09T14:36:17Z,LNI012,"-6.273193,106.569427",9000,288,102
1762698979,2025-11-09T14:36:19Z,LNI012,"-6.27388,106.572594",9025,291,102
1762698981,2025-11-09T14:36:21Z,LNI012,"-6.274338,106.574875",9075,293,101
1762698983,2025-11-09T14:36:23Z,LNI012,"-6.274916,106.577423",9100,295,101
1762698985,2025-11-09T14:36:25Z,LNI012,"-6.275528,106.580414",9150,297,101
1762698987,2025-11-09T14:36:27Z,LNI012,"-6.276219,106.583672",9200,299,101
1762698989,2025-11-09T14:36:29Z,LNI012,"-6.276685,106.585899",9225,301,101
1762699003,2025-11-09T14:36:43Z,LNI012,"-6.280874,106.606689",9625,311,101
1762699018,2025-11-09T14:36:58Z,LNI012,"-6.285017,106.626953",10125,314,101
1762699032,2025-11-09T14:37:12Z,LNI012,"-6.28958,106.649162",10450,326,101
1762699047,2025-11-09T14:37:27Z,LNI012,"-6.294067,106.670494",10700,340,101
1762699059,2025-11-09T14:37:39Z,LNI012,"-6.298187,106.689812",10925,351,102
1762699073,2025-11-09T14:37:53Z,LNI012,"-6.303314,106.713371",11150,365,102
1762699088,2025-11-09T14:38:08Z,LNI012,"-6.308573,106.737389",11450,376,102
1762699102,2025-11-09T14:38:22Z,LNI012,"-6.313751,106.761131",12100,373,102
1762699132,2025-11-09T14:38:52Z,LNI012,"-6.324417,106.810341",14175,348,102
1762699164,2025-11-09T14:39:24Z,LNI012,"-6.334991,106.860291",15800,341,101
1762699195,2025-11-09T14:39:55Z,LNI012,"-6.345612,106.909912",16925,348,102
1762699226,2025-11-09T14:40:26Z,LNI012,"-6.356382,106.959717",17750,366,102
1762699258,2025-11-09T14:40:58Z,LNI012,"-6.368067,107.013794",18725,377,102
1762699289,2025-11-09T14:41:29Z,LNI012,"-6.379669,107.067497",19925,377,102
1762699320,2025-11-09T14:42:00Z,LNI012,"-6.390976,107.120422",21150,374,101
1762699352,2025-11-09T14:42:32Z,LNI012,"-6.402562,107.17466",22275,375,101
1762699384,2025-11-09T14:43:04Z,LNI012,"-6.414368,107.229591",23125,384,102
1762699415,2025-11-09T14:43:35Z,LNI012,"-6.426086,107.284241",23900,390,102
1762699447,2025-11-09T14:44:07Z,LNI012,"-6.4385,107.341965",24850,392,102
1762699479,2025-11-09T14:44:39Z,LNI012,"-6.450883,107.399406",25750,394,102
1762699511,2025-11-09T14:45:11Z,LNI012,"-6.463173,107.457085",26550,398,102
1762699544,2025-11-09T14:45:44Z,LNI012,"-6.475696,107.515762",27225,404,102
1762699575,2025-11-09T14:46:15Z,LNI012,"-6.488637,107.576042",27450,421,102
1762699607,2025-11-09T14:46:47Z,LNI012,"-6.501938,107.637802",27650,438,102
